Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
36,59,95Kr,196.9 (7),(7/2+),1.42(15) μs,82.6(5),(E2)
37,58,95Rb,810.57 (25),(9/2+),94(7) ns,"191.4
810.6",M2
38,57,95Sr,556.08 (8),(7/2)+,21.7(3) ns,204.01(9),E2
39,56,95Y,1087.6 (6),9/2+,48.6(5) μs,"260.7
401.8","(M2)
(E3)"
39,56,95Y,3142.5 (14),(17/2,16(3) ns,969.1,(M2)
39,56,95Y,5022.2 (21),(27/2),65(4) ns,"101.2
120.6
682.3
1246.3","(E2)
(E1)
(M2)
(E3)"
41,54,95Nb,235.69 (2),1/2,3.61(3) d,235.69(2),M4
43,52,95Tc,38.91 (4),1/2,61(2) d,38.9(1),M4
44,51,95Ru,2538.0 (4),21/2+,10.05(14) ns,255(1),E2
45,50,95Rh,543.3 (3),(1/2),1.96(4) min,543.3(3),
45,50,95Rh,2236.37 (22),(17/2),18.8(10) ns,168.84(9),(E1)
46,49,95Pd,1875.13 (14),(21/2+),13.3(3) s,524.0(1),(E4)
46,49,95Pd,4330.9 (4),(31/2),11.2 (7) ns,"260.4(2)
1635.4",
35,61,96Br,311.5+X,,2.7(+117) μs,311.5(5),
37,59,96Rb,1134.6 (11),(10),1.77(6) μs,40(1),E2
38,58,96Sr,3523.7 (5),9,40(8) ns,"195.7
398.4","(E2)
E1"
39,57,96Y,1541 (10),8+,9.6(2) s,,
40,56,96Zr,1581.64 (6),0+,38.0(7) ns,1581.6(4),E0
43,53,96Tc,34.23 (4),4+,51.5(10) min,34.20(5),M3
43,53,96Tc,121.24 (7),(2),25.6(+42) ns,"85.1(1)
85.9(1)","E1
E1"
45,51,96Rh,51.98 (9),3+,1.51(2) min,51.98(9),M3
46,50,96Pd,2530.57 (23),8+,1.75(6) μs,106.37(17),E2
46,50,96Pd,7040.0 (12),(15+),35(4) ns,311.3(4),
46,50,96Pd,8385.1 (8),"(15 16
17)",37.7(11) ns,685.2(3),
47,49,96Ag,0+Y,(2+),4.395(85) s,,
47,49,96Ag,2461.4 (3),(13),100(10) μs,"485.7(3)
742.7(2)","(M2,E3)
(E3)"
47,49,96Ag,2643.4+Y,(15+),1.54(4) μs,,
48,48,96Cd,X,16+,0.29(+1110) s,,
37,60,97Rb,77+X,"(1/2,
3/2)",5.1(4) μs,76.5 (2),E1
38,59,97Sr,308.13 (11),7/2+,170(4) ns,141.3(5),E2
38,59,97Sr,830.83 (23),(9/2+),515(10) ns,"308.3(2)
522.7(2)",(E2)
39,58,97Y,667.52 (23),(9/2)+,1.17(3) s,667.5(5),
39,58,97Y,3522.6 (4),(27/2),142(8) ms,162.3(2),E3
40,57,97Zr,1264.35 (16),7/2+,0.106(2) μs,"161.2(2)
1264.2(5)",
41,56,97Nb,743.35 (3),1/2,58.7(18) s,743.36(3),
43,54,97Tc,96.57 (6),1/2,91.0(6) d,96.5(1),M4
45,52,97Rh,258.76 (18),1/2,46.2(16) min,258.76(18),M4
48,49,97Cd,0+X,(25/2+),3.8(2) s,,
37,61,98Rb,178.4 (5),,0.358(7) μs,"54.7?
178.4(5)","E2
E2"
37,61,98Rb,~ 270,"(3+,4+)",96(3) ms,,
38,60,98Sr,215.35 (7),0+,22.8(19) ns,"71.0(1)
215.5(1)","E2
E0"
38,60,98Sr,1838.2 (7),3+,13(3) ns,"1403.8
1693.3",
39,59,98Y,170.74 (6),2,0.61(1) μs,"51.4(1)
170.8(1)","M1+E2
E2"
39,59,98Y,374.91 (12),"(1 2
3,4)",35.8(8) ns,204.2(1),E2
39,59,98Y,240 (30),"(4,5)",2.0(2) s,,
39,59,98Y,496.19 (15),4,6.87(5) μs,"49.8(3)
121.3(1)","E1(+M2)
(M1)"
39,59,98Y,1182.0 (5),10,0.80(2) μs,110.8(2),E2
40,58,98Zr,854.02 (14),0+,64(7) ns,854.0(2),E0
40,58,98Zr,6603.7 (3),(17),1.7(3) μs,63.0(1),(E2)
41,57,98Nb,84 (4),(5+),51.3(4) min,,
42,56,98Mo,734.75 (4),0+,21.8(9) ns,734.75(4),E0
43,55,98Tc,90.76 (16),(2),14.7(3) μs *,,
45,53,98Rh,0+X,(5+),3.6(2) min,,
47,51,98Ag,167.83 (15),(3+),220(20) ns,107.28(10),E2
48,50,98Cd,2428.0 (5),(8+),0.17(+64) μs,147.1(2),E2
48,50,98Cd,6635.1 (21),(12+),0.23(+43) μs,4207(2),E4
49,49,98In,0+X,,1.27(30) s,,
39,60,99Y,2141.65 (19),(17/2+),8.0(5) μs,"27.7(4)
272.90(10)
546.2(3)
882.5(3)
1166.0(4)
1435.5(4)",(M1)
40,59,99Zr,251.96 (9),(7/2+),293(10) ns,130.2(1),E2
40,59,99Zr,1038.5 (5),(9/2+),54(10) ns,"188.5
360.1
381.1
786.8",
41,58,99Nb,365.27 (8),1/2,2.5(2) min,365.1,
42,57,99Mo,97.785 (3),5/2+,15.5(2) μs,97.785(3),E2
42,57,99Mo,684.10 (19),11/2,0.76(6) μs,448.6(2),
43,56,99Tc,142.6832 (11),1/2,6.0067(5) h,"2.1726(4)
142.63(3)","E3
M4"
44,55,99Ru,89.57 (6),3/2+,20.5(1) ns,89.50(20),E2+M1
45,54,99Rh,65.50 (23),9/2+,4.7(1) h,,
47,52,99Ag,506.2 (4),(1/2),10.5(5) s,163.6(2),E3
48,51,99Cd,2057.5 (4),(17/2+),13.1(5) ns,226.3(2),
38,62,100Sr,1618.72 (20),(4),0.122(9) μs,"58.3(2)
118.0(2)
204.4(3)
1201.7(2)",
39,61,100Y,145 (15),4+,0.94(3) s,,
41,59,100Nb,314 (23),(5+),2.99(11) s,,
41,59,100Nb,34.3+X,"(45
6)",0.46(6) μs,34.3,(E1)
41,59,100Nb,420.7+X,(8),12.4(3) μs,28,(E2)
43,57,100Tc,200.67 (4),(4)+,8.32(14) μs,28.520(2),E2
43,57,100Tc,243.95 (4),(6)+,3.2(2) μs,43.2862(10),E2
45,55,100Rh,32.696 (13),(2),27.6(6) ns,32.70(2),M1+E2
45,55,100Rh,74.782 (14),(2)+,214.0(20) ns,"42.10(2)
74.78(2)",E1
45,55,100Rh,107.60 (20),(5+),4.6(2) min,"32.7(2)?
74.9(2)",
45,55,100Rh,219.61 (22),(7+),130(10) ns,112.0(1),E2
47,53,100Ag,15.52 (16),(2)+,2.24(13) min,,
48,52,100Cd,2548.19 (18),(8+),60(3) ns,"90.7(1)
452.6(1)",
39,62,101Y,1205.5,,"0.860(+9080)
μs*",480.0 (16),
40,61,101Zr,941.81 (23),(9/2+),16(2) ns,"322.2(5)
331.4(5)
474.2(4)
533.7(4)
620.9(4)
710.2(4)
843.8(4)","E1
(M1+E2)
E1
E1
E2"
42,59,101Mo,13.497 (9),3/2+,226(7) ns,13.49(10),M1(+E2)
42,59,101Mo,57.015 (11),5/2+,133(70) ns,"43.515(5)
56.892(20)","M1+E2
E2"
42,59,101Mo,273 (2),11/2,95(15) ns,,
43,58,101Tc,9.320 (9),7/2+,14.3(3) ns,9.317(10),M1+E2
43,58,101Tc,15.602 (10),5/2+,26.8(6) ns,"6.281(7)
15.606(15)","M1+E2
E2"
43,58,101Tc,207.526 (20),1/2,636(8) μs,191.92(2),M2
44,57,101Ru,527.56 (10),11/2,17.5(4) μs,220.7(1),M2
45,56,101Rh,157.32 (3),9/2+,4.34(1) d,157.41(4),M4
39,63,102Y†,"0+X
0+Y","(>5)
(2)","0.36 (4) s
0.298(9) s",,
41,61,102Nb,93 (22),1+,1.3(2) s,,
43,59,102Tc,0+X,"(4,5)",4.35(7) min,,
45,57,102Rh,41.940 (15),2(),18.9(4) ns,41.938(20),M1
45,57,102Rh,140.73 (9),6(+),3.742(10) y,98.8(1),M4
46,56,102Pd,1593.16 (22),0+,14.5(4) ns,"58.3
1035.6
1592.6(5)",E0
47,55,102Ag,9.40 (7),2+,7.7(5) min,9.40(8)?,(M3)
48,54,102Cd,2718.6 (3),(8+),39(3) ns,"157.22(5)
487.43(4)
684.1(3)
1942.2(10)",(E2)
50,52,102Sn,1969+Y,(6+),0.8(3) μs*,,
44,59,103Ru,238.2 (7),11/2,1.69(7) ms,24.6(7)?,
45,58,103Rh,39.753 (6),7/2+,56.114(9) min,39.755(6),E3
46,57,103Pd,784.79 (10),11/2,25(2) ns,"66.95(15)
541.0(1)","(E1)
M2"
47,56,103Ag,134.45 (4),1/2,5.7(3) s,134.44(4),E3
49,54,103In,631.7 (1),(1/2),34(2) s,631.7(1),(M4)
41,63,104Nb,2.15E+2 (12),,0.94(4) s,,
43,61,104Tc,69.7 (2),(+),3.5(3) μs,69.7(2),E2
43,61,104Tc,106.1 (3),(+),0.40(2) μs,36.3(2),
45,59,104Rh,128.9679 (5),5+,4.34(3) min,"31.866(2)
77.5447(4)","M3
E3"
45,59,104Rh,344.594 (3),6,47(3) ns,"169.356(3)
215.626(10)
293.09(7)","E1
E1"
47,57,104Ag,6.90 (22),2+,33.5(20) min,6.9(4),
49,55,104In,93.48 (10),(3+),15.7(5) s,93.5(1),M3
43,62,105Tc,85.43 (8),(5/2+),20.8(6) ns,85.4(1),E1
44,61,105Ru,20.610 (13),(5/2)+,340(15) ns,20.559(19),M1+E2
"44
44","61
61","105Ru
105Ru","159.518 (6)
163.815 (15)","1/2+
3/2+,
5/2+","0.055(7) μs
55(7) ns","159.528(6)
55.83(4)
143.26(8)",
45,60,105Rh,129.782 (4),1/2,42.9(3) s,129.782(4),E3
46,59,105Pd,489.14 (4),11/2,36.1(4) μs,182.89(4),M2
47,58,105Ag,25.479 (16),7/2+,7.23(16) min,25.48(2),E3
48,57,105Cd,2517.5 (3),(21/2+),4.5(5) μs,126.46(19),(E2)
49,56,105In,674.08 (25),(1/2),48(6) s,674.1(3),M4
41,65,106Nb,204.9 (5),(3+),0.66(+1110) μs,204.9(5),
45,61,106Rh,137 (13),(6)+,131(2) min,,
47,59,106Ag,89.66 (7),6+,8.28(2) d,,
48,58,106Cd,4659.71 (9),12(+),62(6) ns,"223.61(5)
335.36(5)
476.8(3)",E2
48,58,106Cd*,7118.9 (7),16+,11(+63) ns,"602.8(2)
892.3(2)",E2
49,57,106In,28.6 (3),(2)+,5.2(1) min,,
51,55,106Sb,103.5 (3),(4+),232(21) ns,103.4(3),E2
42,65,107Mo,65.4 (2),(1/2+),420(30) ns,65.4(1),E2
43,64,107Tc,30.1 (1),(1/2+),3.85(5) μs,30.1(1),E1
43,64,107Tc,65.72 (14),(5/2+),184(3) ns,"20.0
65.77(14)",E1
44,63,107Ru,102.681 (22),(+),10.8(5) ns,102.70(3),M1+E2
44,63,107Ru,106.307 (22),,33.4(10) ns,106.31(3),M1+E2
45,62,107Rh,268.36 (4),1/2,> 10 μs,268.36(5),(E3)
45,62,107Rh,374.278 (25),(3/2+),15(2) ns,"105.92(5)
374.28(5)","(E1)
(E2)"
46,61,107Pd,115.74 (12),1/2+,0.85(10) μs,115.65(20),E2
46,61,107Pd,214.6 (3),11/2,21.3(5) s,214.9(5),E3
47,60,107Ag,93.125 (19),7/2+,44.3(2) s,93.124(20),E3
48,59,107Cd,845.54 (6),11/2,71(5) ns,"36.5(1)
640.58(10)
845.5(4)","E1
M2"
48,59,107Cd,2678.88 (15),21/2+,55(4) ns,520.4(1),E1
49,58,107In,678.5 (3),1/2,50.4(6) s,678.5(3),M4
40,68,108Zr,2074.5 (8),(6+),0.536(+2625) μs,"277.9(5)
432.3(5)",
41,67,108Nb,166.6 (5),,0.109(2) μs,"89.0(5)
102.2(5)",E2
43,65,108Tc,176.6+X,,28(4) ns,"70.4
90.4
176.6",
45,63,108Rh,115 (18),(5+),6.0(3) min,,
47,61,108Ag,109.466 (7),6+,438(9) y,30.332(8),M4
47,61,108Ag,215.382 (4),3+,45.8(7) ns,"136.241(6)
215.381(7)","E1
E2"
49,59,108In,29.75 (5),2+,39.6(7) min,,
41,68,109Nb,312.5 (4),,0.114(+87) μs,"196.2(5)
312.2(5)",
42,67,109Mo,69.7 (5),(1/2+),0.194(+7649) μs,69.7(5),E2
44,65,109Ru,96.2 (3),(5/2),0.68(3) μs,96.2(3),(E1)
45,64,109Rh,225.974 (21),(3/2)+,1.66(4) μs,225.98(3),E2
45,64,109Rh,257.77 (3),(1/2)+,28.7(15) ns,31.80(3),M1+E2
45,64,109Rh,374.09 (3),1/2,33(2) ns,"116.32(3)
148.12(3)",
46,63,109Pd,113.400 (10),1/2+,380(50) ns,113.401(2),E2
46,63,109Pd,188.990 (10),11/2,4.696(3) min,188.990(1),E3
47,62,109Ag,88.0341 (11),7/2+,39.6(2) s,88.0336(1),E3
48,61,109Cd,59.49 (11),1/2+,12(2) μs,59.9(5),E2
48,61,109Cd,463.5 (3),11/2,10.9(5) μs,259.1(5),M2
49,60,109In,650.1 (3),1/2,1.34(7) min,649.90(15),M4
49,60,109In,2101.8 (2),19/2+,0.209(6) s,673.5(1),M3
45,65,110Rh,0+Y,(6+),28.0(13) s,,
47,63,110Ag,1.112 (16),2,660(40) ns,1.112(16),E1
47,63,110Ag,117.59 (5),6+,249.83(4) d,116.48(5),M4
47,63,110Ag,118.719 (10),3+,36.6(6) ns,"117.607(17)
118.716(17)",E1(+M2)
49,61,110In,62.08 (4),2+,69.1(5) min,,
51,59,110Sb,1152.9 (10),(8),24(1) ns,812,(M2)
44,67,111Ru,253.97 (14),7/2,14 ns,"103.8(2)
254.0(2)",E1
45,66,111Rh,394.95 (17),(3/2+),87(8) ns,"91.3(3)
395.0(3)","M1, E2"
46,65,111Pd,172.18 (8),11/2,5.573(30) h,172.18(8),E3
47,64,111Ag,59.82 (4),7/2+,64.8(8) s,59.78(4),E3
47,64,111Ag,376.71 (5),3/2+,16(1) ns,"87.0
316.90(9)
376.71(6)","(E1)
(E2)
(E1)"
48,63,111Cd,245.390 (16),5/2+,84.5(4) ns,245.395(20),E2
48,63,111Cd,396.214 (21),11/2,48.50(9) min,150.824(13),E3
49,62,111In,536.99 (7),1/2,7.7(2) min,537.22(9),M4
49,62,111In,2716.79 (14),21/2+,13.7(4) ns,255.3(2),E2
50,61,111Sn,254.71 (4),1/2+,12.5(10) μs,100.24(3),E2
50,61,111Sn,978.6 (3),11/2,10.0(5) ns,978.6(3),M2
52,59,111Te,839.4 (6),11/2,32.2(14) ns,723,M2
43,69,112Tc,350.0 (15),(5+),150 (17) ns,92(1),
45,67,112Rh,0+Y,(6+),6.76(12) s,,
49,63,112In,156.592 (25),4+,20.67(8) min,156.61(3),M3
49,63,112In,350.80 (5),(7)+,0.69(5) μs,187.93(3),E2
49,63,112In,613.82 (6),(8),2.81(3) μs,263.01(3),E1+M2
50,62,112Sn,2549.22 (14),6+,13.73(8) ns,301.84(13),E2
51,61,112Sb,825.9 (4),(8),536 (22) ns,456.4(3),M2(+E3)
43,70,113Tc,114.4 (5),(5/2),0.526(+1615) μs,114.4(5),
44,69,113Ru,~120,(7/2),510(30) ms,,
46,67,113Pd,81.10 (10),(9/2),0.3(1) s,81.1(1),M2
47,66,113Ag,43.5 (1),7/2+,68.7(16) s,43.6(2),E3
47,66,113Ag,222.08 (13),3/2+,23(2) ns,222.06(20),E1
47,66,113Ag,273.59 (16),(1/2),~ 30 ns,"51.5(2)
273.6(2)",
48,65,113Cd,263.54 (3),11/2,13.89(16) y,263.7(3),E5
48,65,113Cd,316.206 (15),5/2+,10.8(3) ns,"17.78(9)
316.21(2)","M1
E2"
49,64,113In,391.699 (3),1/2,99.476(23) min,391.698(3),M4
50,63,113Sn,77.389 (19),7/2+,21.4(4) min,77.38(2),M3+E4
50,63,113Sn,738.4 (3),11/2,86(2) ns,661.0(3),M2(+E3)
43,71,114Tc†,"0+X
0+Y","(> 4)
(1+)","100(20) ms
90(20) ms",,
45,69,114Rh,0+X,(7),1.85(5) s,,
47,67,114Ag,199,(≤ 6+),1.50(5) ms,,
49,65,114In,190.2682 (8),5+,49.51(1) d,190.2684(8),E4
49,65,114In,501.948 (3),8,43.1(6) ms,311.665(6),E3
50,64,114Sn,3087.37 (7),7,733(14) ns,272.3(1),E2
51,63,114Sb,45.86 (2),"(2+),
4+",26(3) ns,45.87(3),"M1,(E2)"
51,63,114Sb,54.64 (3),3+,20.4(9) ns,54.65(3),"M1,(E2)"
51,63,114Sb,495.5 (7),(8),219(12) μs,321.6,M2+E3
53,61,114I,265.9,(7),6.2(5) s,134.47(16),M3
44,71,115Ru,61.7+X,(9/2),76(6) ms,~20?,
46,69,115Pd,89.21 (16),(7/2),50(3) s,89.3(2),E3
47,68,115Ag,41.16 (10),7/2+,18.0(7) s,41.1(2),E3
48,67,115Cd,181.0 (5),11/2,44.56(24) d,,
49,66,115In,336.244 (17),1/2,4.486(4) h,336.241(25),M4
50,65,115Sn,612.81 (4),7/2+,3.26(8) μs,115.46(4),E2
50,65,115Sn,713.64 (12),11/2,159(1) μs,100.70(21),M2
51,64,115Sb,2796.26 (9),(19/2),159(3) ns,"157.84(6)
279.36(9)","E2
E2"
52,63,115Te,< 20,(1/2)+,6.7(4) min,,
52,63,115Te,280.05 (20),11/2,7.5(2) μs,280.1(2),M2
45,71,116Rh,X,(6),0.57(5) s,,
47,69,116Ag,47.90 (10),(3+),20(1) s,47.9(1),E3
47,69,116Ag,129.80 (22),(6),9.3(3) s,81.9(2),E3
49,67,116In,127.267 (6),5+,54.29(17) min,,
49,67,116In,289.660 (6),8,2.18(4) s,162.393(7),E3
50,66,116Sn,2365.975 (21),5,348(19) ns,"99.802(11)
1072.37(3)","E2
E3"
51,65,116Sb,93.99 (5),1+,194(4) ns,93.88(3),E2
51,65,116Sb,383 (40),8,60.3(6) min,,
51,65,116Sb,1158.79 (15),7+,10.6(7) ns,"349.7(3)
775.8(2)","E1+M2
E1"
53,63,116I,430.4 (5),(7),3.27 μs,44.3(3),
55,61,116Cs,X,"4+,5,6",3.85(13) s,,
44,73,117Ru,185.0 (4),,2.487(+5855) μs,"82.5(5)?
127.4(5)
184.6(5)","E1
E2"
45,72,117Rh,321.2 (10),(3/2+),138(17) ns,321.2(10),
46,71,117Pd,203.3 (3),"(9/2,
11/2)",19.1(7) ms,"71.5(3)
168.6(3)","M2
M2"
47,70,117Ag,28.6 (2),(7/2+),5.34(5) s,28.6(2),E3
48,69,117Cd,136.4 (2),11/2,3.36(5) h,,
49,68,117In,315.303 (11),1/2,116.2(3) min,315.302(13),M4
49,68,117In,659.765 (13),3/2+,53.6(7) ns,"71.12(2)
344.459(10)","E1
E1"
50,67,117Sn,314.58 (4),11/2,14.00(5) d,"156.02(3)
314.3(3)",M4
50,67,117Sn,2406.4 (4),(19/2+),1.75(7) μs,"781.0(3)
813.4(3)","(E3)
(M2)"
51,66,117Sb,3130.76 (19),(25/2)+,355(17) μs,58.1(1),M2
51,66,117Sb,3230.7 (2),(23/2),290(5) ns,"16.4(2)
99.6(2)",(E2)
52,65,117Te,274.4 (1),5/2+,19.9(4) ns,274.4(1),E2
52,65,117Te,296.1 (5),(11/2),103(3) ms,,(M2)
53,64,117I,353.59 (11),(9/2)+,12.1(7) ns,"294.7(1)
353.6(2)",M1+(E2)
53,64,117I,5063.8 (7),(35/2+),50 ns,"380.5(6)
777.2(6)","M1, E2
E2"
54,63,117Xe,205.52 (14),(7/2),17(8) ns,205.6(2),E1
54,63,117Xe,229.78 (18),(11/2),59(20) ns,24,
55,62,117Cs†,"0+Y
0+Z","(9/2+)
(3/2+)","8.4(6) s
6.5(4) s",,
47,71,118Ag,45.79 (9),0() to,~ 0.1 μs,45.8(1),M1
47,71,118Ag,279.37 (20),"(2+,
3+)",~ 0.1 μs,151.6(2),
49,69,118In,~ 60,5+,4.45(5) min,,
49,69,118In,~ 200,8,8.5(3) s,138.2(5),(E3)
50,68,118Sn,2321.23 (4),5,21.7(2) ns,"40.8(1)
1091.51(8)","E1
E3"
50,68,118Sn,2574.91 (4),7,230(10) ns,253.678(10),E2
50,68,118Sn,3108.06 (22),10+,2.52(6) μs,55.9(2),E2
51,67,118Sb,50.814 (21),(3)+,20.6(6) μs,50.82(5),E2
51,67,118Sb,250 (6),8,5.00(2) h,,
51,67,118Sb,269.82 (3),(3),13.3(2) ns,"103.65(2)
187.85(7)
238.56(2)","E1
E1"
51,67,118Sb,964.88 (4),7+,22.6(3) ns,"396.65(4)
714.9(1)",E1+M2
53,65,118I,188.8 (7),(7),8.5(5) min,104(2),
55,63,118Cs,0+X,"6,7,8",17(3) s,,M1
44,75,119Ru,227.1 (7),,0.383(+2221) μs,90.8(5)?,E2
47,72,119Ag†,"0+X
0+Y","(7/2+)
(1/2)","2.1(1) s
6.0(5) s",,"M1
M2"
48,71,119Cd,146.54 (11),11/2(),2.20(2) min,,
48,71,119Cd,228.27 (9),"(7/2
9/2)",43(3) ns,"14.3
81.7(1)",E2
49,70,119In,311.37 (3),1/2,18.0(3) min,311.39(3),M4
49,70,119In,654.27 (7),(3/2)+,130(15) ns,"50.2(1)
343.0(1)",E1
49,70,119In,2656.9 (18),(25/2+),240(25) ns,152,(E2)
50,69,119Sn,23.871 (8),3/2+,18.03(7) ns,23.870(8),M1+E2
50,69,119Sn,89.531 (13),11/2,293.1(7) d,65.66(1),M4
50,69,119Sn,2127.0 (10),(19/2+),9.6(12) μs,"748(1)
818(1)",
50,69,119Sn,3103.3 (20),27/2,34(10) ns,175(1),
51,68,119Sb,2553.6 (3),(19/2,130(3) ns,"134
240","(E1+M2)
(E2)"
51,68,119Sb,2841.7+X,(27/2+),0.85(9) s,,
52,67,119Te,260.96 (5),11/2,4.70(4) d,,
53,66,119I,306.66 (14),9/2+,34.6(5) ns,"207.8(2)
306.9(2)","M1+E2
E2"
54,65,119Xe,176.08 (5),(7/2),20(4) ns,176.05(5),E1
54,65,119Xe,245.99 (11),(1/2+),70 ns,"76.4(2)
246.2(2)","E2
E2"
55,64,119Cs,0+X,3/2(+),30.4(1) s,,
45,75,120Rh,157.2 (7),,0.294(+1615) μs,59.1(5)?,(E2)
47,73,120Ag†,"0+X
0+Y","(0, 1)
4(+)","0.94(10) s
1.52(7) s",,
47,73,120Ag,203.2+Y,7(),0.44(5) s,203(1),E3
49,71,120In,0+X,(8),47.3(5) s,,
49,71,120In,0+Y,(5)+,46.2(8) s,,
50,70,120Sn,2481.63 (6),7,11.8(5) μs,197.37(2),E2
50,70,120Sn,2902.22 (22),10+,6.26(11) μs,65.7(2),(E2)
50,70,120Sn,4891.1 (3),15,30(3) ns,241.7(1),
51,69,120Sb,0+X,8,5.76(2) d,,
51,69,120Sb,78.16 (5),3+,246(2) ns,69.78(4),E1
51,69,120Sb,2328.3+X,13+,400(8) ns,204.4(3),
51,69,120Sb,2884.7+X,16−,14(3) ns,148.3(3),
53,67,120I,25.07 (8),1+,13.6(7) ns,25.1(2),E1
53,67,120I,72.3 (2),3+,244(5) ns,"13.5(3)
72.3(3)",E1
53,67,120I,72,(7,53(4) min,,
55,65,120Cs,0+X,(7),57(6) s,,
46,75,121Pd,135.5 (5),,0.460(+8592) μs,135.5(5),E2
46,75,121Pd,135.5+X,,0.463(+8394) μs,,
48,73,121Cd,214.86 (15),11/2(),8.3(8) s,,
48,73,121Cd,314.50 (6),"(5/2+,
7/2+)",19(2) ns,314.55(10),(E2)
49,72,121In,313.68 (7),1/2,3.88(10) min,313.60(9),M4
49,72,121In,2447.0+Y,(25/2+),350(50) ns #,,
49,72,121In,2448.0 (10),(21/2−),17(2)μs #,214?,
50,71,121Sn,6.31 (6),11/2,43.9(5) y,6.29(8),
50,71,121Sn,1998.3 (11),19/2+,5.3(5) μs,"752
841",
50,71,121Sn,2221.1 (11),(23/2+),0.5(1) μs,222.8(3),E2
50,71,121Sn,2832.7 (5),27/2,0.167(25) μs,175.4(2),
51,70,121Sb,2721.5+X,(25/2),179(6) μs,,
52,69,121Te,293.974 (22),11/2,164.2(8) d,81.788(18),M4
52,69,121Te,443.11 (3),7/2+,85.3(5) ns,230.95(5),E2
53,68,121I,2353.0 (3),(21/2),80(12) ns,134.8(1),
53,68,121I,2376.9 (4),,9.0(14) μs,158.7(3),
54,67,121Xe,153.99 (11),(1/2+),80(15) ns,153.9(2),E2
55,66,121Cs,68.5 (3),9/2(+),122(3) s,68.5(3),M3
45,77,122Rh,271.0 (7),,0.82(+1311) μs,63.9(5)?,(E2)
47,75,122Ag,0+X,(1),0.55(5) s,,
47,75,122Ag,0+Y,(9),0.20(5) s,,
47,75,122Ag,91+X,(1+),6.3(10) μs,91?,
49,73,122In,0+X,5+,10.3(6) s,,
49,73,122In,0+Y*,(8),10.8(4) s,,
50,72,122Sn,2409.03 (4),7,7.5(9) μs,163.22(3),E2
50,72,122Sn,2765.3 (4),10+,62(3) μs,75.2(5),E2
50,72,122Sn,4478.7 (3),13,40(3) ns,"70.2(5)
264.5(2)
609.6(1)
1712.8(5)","(E2)
(E1)"
50,72,122Sn,4721.2 (3),15,134(12) ns,242.5(1),(E2)
51,71,122Sb,61.4131 (5),3+,1.86(8) μs,61.4127(5),E1
51,71,122Sb,137.4726 (8),(5)+,0.53(3) ms,76.0595(7),E2
51,71,122Sb,163.5591 (17),(8),4.191(3) min,26.0867(24),(E3)
53,69,122I,155.7 (3),(4+),16(1) ns,"46.0(3)
94.4(3)",E2
53,69,122I,315.0 (4),(7),190(10) ns,159.3(3),E3
53,69,122I,379.5 (5),(7,80(3) μs,64.5(3),M1+E2
53,69,122I,393.9 (5),(8+),81(3) μs,51.0(3),
53,69,122I,444.2 (5),(8-),148(5) ns,64.7(3),
55,67,122Cs,45.87 (12),(3)+,> 1 μs,45.85(15),E2
55,67,122Cs,127.07 (16),(5),0.36(2) s,81.20(10),M2
55,67,122Cs,135 (15),8(),3.70(11) min,,
47,76,123Ag,1365.2+X,,202(20) ns,389.5(5),
48,75,123Cd,263.867 (20),"(5/2+,
7/2+)",80(15) ns,263.87(2),
48,75,123Cd,144 (4),11/2(),1.82(3) s,,
49,74,123In,327.21 (4),(1/2),47.4(4) s,,
49,74,123In,2078.1 (6),(17/2),1.4(2) μs,31.5(5),(E2)
49,74,123In,2079+X,(21/2),≥ 100 μs,,
50,73,123Sn,24.6 (4),3/2+,40.06(1) min,,
50,73,123Sn,1945.0 (10),19/2+,7.4(26) μs,"19
728",
50,73,123Sn,2153.0 (12),23/2+,6 μs,208,
50,73,123Sn,2713.0 (14),27/2,34 μs,"170
560",
51,72,123Sb,2037.5 (2),15/2,37.3(8) ns,"381.6
949
1007.3","E2+M3
M2
E3"
51,72,123Sb,2237.8 (3),(19/2),214(3) ns,200.4,E2
51,72,123Sb,2613.4 (4),23/2+,65(1) μs,"127.4
375.7","E2(+M3)
M2"
52,71,123Te,247.47 (4),11/2,119.2(1) d,"88.46(3)
247.5(2)",M4
52,71,123Te,489.81 (5),(7/2+),30.7(4) ns,330.78(6),
53,70,123I,2659.9 (4),(21/2+),27.2(15) ns,298.12(10),"(M1, E2)"
54,69,123Xe,185.18 (11),7/2(),5.49(26) μs,4.6?,(E1)
54,69,123Xe,206.24 (12),(9/2),11.8(14) ns,21.1(2),
55,68,123Cs,156.27 (5),11/2,1.64(12) s,61.70(5),E3
55,68,123Cs,231.63+X,(9/2+),114(5) ns,,
56,67,123Ba,92.50 (10),(7/2),~ 40 ns,92.5(1),
56,67,123Ba,120.95 (8),(1/2+),0.83(6) μs,120.9(1),(E2)
46,78,124Pd,62.2+X (17),,> 20 μs,62.2(17),
47,77,124Ag*,"X
Y","(2)
(8)","191(28) ms
144(20) ms",,
47,77,124Ag,155.6 (5)?,(1+),0.14(5) μs,155.6(5)?,
47,77,124Ag,231.1 (7),(1),1.46(20) μs,75.5(5)?,(E1)
49,75,124In,≈ 50,(8),3.67(3) s,,
50,74,124Sn,2204.620 (23),5,0.27(6) μs,"102.91(2)
1072.88(2)",E1
50,74,124Sn,2325.01 (4),7,3.1(5) μs,120.38(3),E2
