Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
28,37,65Ni,1017.01 (10),9/2+,25.6(11) ns,1017.0(1),(M2)
30,35,65Zn,53.928 (10),(1/2),1.59(5) μs,53.93(1),E2
25,41,66Mn,464.5 (4),(5),780(40) μs,169.8(3),(M2)
27,39,66Co,175.0 (3),(3+),1.21(1) μs,175,E2
27,39,66Co,642 (5),(8),> 100 μs,252,
31,35,66Ga,43.812 (16),1+,18.0(9) ns,43.81(3),M1
31,35,66Ga,66.139 (19),(2)+,23.0(14) ns,22.33(5),M1+E2
31,35,66Ga,162.472 (20),(3)+,13(5) ns,"53.39(20)
96.34(2)
118.80(20)","(M1+E2)
E2(+M3)"
31,35,66Ga,1464.33 (15),(7),57.3(14) ns,"113.7(2)
600.9(2)",E2
33,33,66As,1356.63 (17),5+,1.15(4) μs,124.4(2),E2
33,33,66As,3023.8 (3),9+,7.9(3) μs,114.4(2),E2
26,41,67Fe,388+X,,64(14) μs,388(1),(E2)
27,40,67Co,491.54 (10),(1/2),496(33) ms,491.55(11),(M3)
28,39,67Ni,1008.1 (3),9/2+,13.3(2) μs,313.8(2),(M2)
30,37,67Zn,93.312 (5),1/2,9.142(24) μs,93.311(5),E2
30,37,67Zn,604.48 (5),9/2+,333(14) ns,604.48(5),M2+E3
31,36,67Ga,166.98 (3),1/2,42(21) ns,167.01(4),
32,35,67Ge,18.20 (5),5/2,13.7(9) μs,18.20(5),E2
32,35,67Ge,751.70 (6),9/2+,146(4) ns,733.50(3),M2
27,41,68Co,0+X,1+,1.6(3) s,,
27,41,68Co,48.4+Y,,101(10) ns,48.4,
28,40,68Ni,1603.5 (3),0+,268(12) ns,1604,E0
28,40,68Ni,2849.1 (3),5,0.86(5) ms,815.0(2),E3
28,40,68Ni,4210.0 (7),8+,23(1) ns,"209.3
274.7
652.0",E2
29,39,68Cu,721.26 (8),6,3.75(5) min,"110.74(6)
637.14(6)","E3
M4"
31,37,68Ga,1229.87 (4),7,62.0(14) ns,"126.35(3)
733.76(34)","E2
(E3+M4)"
33,35,68As,425.1 (2),1+,107(+2316) ns,"72.6(5)
111.4(2)
265.0(3)
426.1(4)","E2
E2"
