"Z","Ebind","Occ","Element","subshell","CCp","Eic","Vi_q0","nmax","nh","shell_colours","multiplier","Jat"
11,1.465134502,2,"Sodium","K",3.4e-06,1998.93,1.06999999999994,2,1,"rgb(123,104,238)",0.684642290654246,0.5
11,0.299856,3,"Sodium","L1",2.04e-07,1999.94,0.059999999999945,2,2,"rgb(25,25,112)",4.99760000000455,0.5
11,0.264192,4,"Sodium","L1",2.04e-07,1999.94,0.059999999999945,2,1,"rgb(25,25,112)",2.201600000002,0.5
11,0.208504,5,"Sodium","L2",8.11e-11,1999.97,0.029999999999973,2,2,"rgb(0,0,139)",6.95013333333965,1.5
11,0.17223,6,"Sodium","L2",8.11e-11,1999.97,0.029999999999973,2,1,"rgb(0,0,139)",2.87050000000261,1.5
11,0.138404,7,"Sodium","L3",1.632e-10,1999.97,0.029999999999973,4,4,"rgb(0,0,205)",4.61346666667086,1.5
11,0.098936,8,"Sodium","L3",1.632e-10,1999.97,0.029999999999973,4,3,"rgb(0,0,205)",2.47340000000225,1.5
11,0.07162,9,"Sodium","L3",1.632e-10,1999.97,0.029999999999973,4,2,"rgb(0,0,205)",1.19366666666775,1.5
11,0.04728636,10,"Sodium","L3",1.632e-10,1999.97,0.029999999999973,4,1,"rgb(0,0,205)",0.394053000000358,1.5
11,0.00513907696,11,"Sodium","M1",4.56e-09,2000,0.00513907696,2,2,"rgb(0,0,255)",1,0.5
12,1.96266366,1,"Magnesium","K",4.39e-06,1998.7,1.29999999999995,2,2,"rgb(123,104,238)",1.50974127692313,0.5
12,1.76180488,2,"Magnesium","K",4.39e-06,1998.7,1.29999999999995,2,1,"rgb(123,104,238)",0.677617261538485,0.5
12,0.367489,3,"Magnesium","L1",2.82e-07,1999.91,0.089999999999918,2,2,"rgb(25,25,112)",4.08321111111483,0.5
12,0.32799,4,"Magnesium","L1",2.82e-07,1999.91,0.089999999999918,2,1,"rgb(25,25,112)",1.82216666666832,0.5
12,0.265924,5,"Magnesium","L2",1.452e-10,1999.95,0.049999999999955,2,2,"rgb(0,0,139)",5.31848000000484,1.5
12,0.22502,6,"Magnesium","L2",1.452e-10,1999.95,0.049999999999955,2,1,"rgb(0,0,139)",2.25020000000205,1.5
12,0.18676,7,"Magnesium","L3",2.87e-10,1999.95,0.049999999999955,4,4,"rgb(0,0,205)",3.7352000000034,1.5
12,0.14133,8,"Magnesium","L3",2.87e-10,1999.95,0.049999999999955,4,3,"rgb(0,0,205)",2.11995000000193,1.5
12,0.1092654,9,"Magnesium","L3",2.87e-10,1999.95,0.049999999999955,4,2,"rgb(0,0,205)",1.09265400000099,1.5
12,0.0801436,10,"Magnesium","L3",2.87e-10,1999.95,0.049999999999955,4,1,"rgb(0,0,205)",0.400718000000364,1.5
12,0.015035271,11,"Magnesium","M1",1.045e-08,2000,0.015035271,2,2,"rgb(0,0,255)",1,0.5
12,0.007646236,12,"Magnesium","M1",1.045e-08,2000,0.007646236,2,2,"rgb(0,0,255)",1,0.5
13,2.30414007,1,"Aluminum","K",5.55e-06,1998.44,1.55999999999995,2,2,"rgb(123,104,238)",1.47701286538467,0.5
13,2.08597702,2,"Aluminum","K",5.55e-06,1998.44,1.55999999999995,2,1,"rgb(123,104,238)",0.668582378205152,0.5
13,0.442005,3,"Aluminum","L1",3.77e-07,1999.88,0.119999999999891,2,2,"rgb(25,25,112)",3.68337500000335,0.5
13,0.39865,4,"Aluminum","L1",3.77e-07,1999.88,0.119999999999891,2,1,"rgb(25,25,112)",1.66104166666818,0.5
13,0.33021,5,"Aluminum","L2",2.45e-10,1999.93,0.069999999999936,2,2,"rgb(0,0,139)",4.71728571429,1.5
13,0.28464,6,"Aluminum","L2",2.45e-10,1999.93,0.069999999999936,2,1,"rgb(0,0,139)",2.03314285714471,1.5
13,0.24176,7,"Aluminum","L3",4.75e-10,1999.93,0.069999999999936,4,4,"rgb(0,0,205)",3.45371428571743,1.5
13,0.19049,8,"Aluminum","L3",4.75e-10,1999.93,0.069999999999936,4,3,"rgb(0,0,205)",2.04096428571614,1.5
13,0.1538252,9,"Aluminum","L3",4.75e-10,1999.93,0.069999999999936,4,2,"rgb(0,0,205)",1.09875142857243,1.5
13,0.1199924,10,"Aluminum","L3",4.75e-10,1999.93,0.069999999999936,4,1,"rgb(0,0,205)",0.428544285714675,1.5
13,0.028447642,11,"Aluminum","M1",2.01e-08,2000,0.028447642,2,2,"rgb(0,0,255)",1,0.5
13,0.01882855,12,"Aluminum","M1",2.01e-08,2000,0.01882855,2,1,"rgb(0,0,255)",0.5,0.5
13,0.005985769,13,"Aluminum","M2",7.76e-12,1999.99,0.009999999999991,2,2,"rgb(65,105,225)",0.598576900000544,1.5
14,2.67317755,1,"Silicon","K",6.89e-06,1998.16,1.83999999999992,2,2,"rgb(123,104,238)",1.45281388586963,0.5
14,2.43765815,2,"Silicon","K",6.89e-06,1998.16,1.83999999999992,2,1,"rgb(123,104,238)",0.66240710597829,0.5
14,0.523415,3,"Silicon","L1",4.91e-07,1999.85,0.150000000000091,2,2,"rgb(25,25,112)",3.48943333333122,0.5
14,0.476273,4,"Silicon","L1",4.91e-07,1999.85,0.150000000000091,2,1,"rgb(25,25,112)",1.5875766666657,0.5
14,0.40138,5,"Silicon","L2",3.93e-10,1999.9,0.099999999999909,2,2,"rgb(0,0,139)",4.01380000000365,1.5
14,0.35128,6,"Silicon","L2",3.93e-10,1999.9,0.099999999999909,2,1,"rgb(0,0,139)",1.7564000000016,1.5
14,0.30359,7,"Silicon","L3",7.46e-10,1999.9,0.099999999999909,4,4,"rgb(0,0,205)",3.03590000000276,1.5
14,0.24657,8,"Silicon","L3",7.46e-10,1999.9,0.099999999999909,4,3,"rgb(0,0,205)",1.84927500000168,1.5
14,0.205279,9,"Silicon","L3",7.46e-10,1999.9,0.099999999999909,4,2,"rgb(0,0,205)",1.02639500000093,1.5
14,0.166767,10,"Silicon","L3",7.46e-10,1999.9,0.099999999999909,4,1,"rgb(0,0,205)",0.416917500000379,1.5
14,0.04514179,11,"Silicon","M1",3.24e-08,1999.99,0.009999999999991,2,2,"rgb(0,0,255)",4.51417900000411,0.5
14,0.033493,12,"Silicon","M1",3.24e-08,1999.99,0.009999999999991,2,1,"rgb(0,0,255)",1.67465000000152,0.5
14,0.01634585,13,"Silicon","M2",1.709e-11,2000,0.01634585,2,2,"rgb(65,105,225)",1,1.5
14,0.00815168,14,"Silicon","M2",1.709e-11,2000,0.00815168,2,2,"rgb(65,105,225)",1,1.5
15,3.0698416,1,"Phosphorus","K",8.43e-06,1997.85,2.15000000000009,2,2,"rgb(123,104,238)",1.42783330232552,0.5
15,2.81690879,2,"Phosphorus","K",8.43e-06,1997.85,2.15000000000009,2,1,"rgb(123,104,238)",0.655095067441833,0.5
15,0.611741,3,"Phosphorus","L1",6.25e-07,1999.81,0.190000000000055,2,2,"rgb(25,25,112)",3.21968947368329,0.5
15,0.56062,4,"Phosphorus","L1",6.25e-07,1999.81,0.190000000000055,2,1,"rgb(25,25,112)",1.47531578947326,0.5
15,0.47944,5,"Phosphorus","L2",6.03e-10,1999.86,0.1400000000001,2,2,"rgb(0,0,139)",3.42457142856898,1.5
15,0.4244,6,"Phosphorus","L2",6.03e-10,1999.86,0.1400000000001,2,1,"rgb(0,0,139)",1.5157142857132,1.5
15,0.37231,7,"Phosphorus","L3",1.126e-09,1999.86,0.1400000000001,4,4,"rgb(0,0,205)",2.65935714285524,1.5
15,0.3096,8,"Phosphorus","L3",1.126e-09,1999.86,0.1400000000001,4,3,"rgb(0,0,205)",1.65857142857024,1.5
15,0.26357,9,"Phosphorus","L3",1.126e-09,1999.86,0.1400000000001,4,2,"rgb(0,0,205)",0.941321428570756,1.5
15,0.22043,10,"Phosphorus","L3",1.126e-09,1999.86,0.1400000000001,4,1,"rgb(0,0,205)",0.393624999999719,1.5
15,0.06502511,11,"Phosphorus","M1",4.75e-08,1999.98,0.019999999999982,2,2,"rgb(0,0,255)",3.25125550000296,0.5
15,0.05144387,12,"Phosphorus","M1",4.75e-08,1999.98,0.019999999999982,2,1,"rgb(0,0,255)",1.28609675000117,0.5
15,0.03020264,13,"Phosphorus","M2",3.26e-11,1999.99,0.009999999999991,2,2,"rgb(65,105,225)",3.02026400000275,1.5
15,0.01976949,14,"Phosphorus","M2",3.26e-11,1999.99,0.009999999999991,2,1,"rgb(65,105,225)",0.988474500000899,1.5
15,0.010486686,15,"Phosphorus","M3",6.25e-11,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",0.524334300000477,1.5
16,3.4941879,1,"Sulfur","K",1.016e-05,1997.53,2.47000000000003,2,2,"rgb(123,104,238)",1.4146509716599,0.5
16,3.2237807,2,"Sulfur","K",1.016e-05,1997.53,2.47000000000003,2,1,"rgb(123,104,238)",0.652587186234811,0.5
16,0.706994,3,"Sulfur","L1",7.81e-07,1999.77,0.230000000000018,2,2,"rgb(25,25,112)",3.0738869565215,0.5
16,0.65196,4,"Sulfur","L1",7.81e-07,1999.77,0.230000000000018,2,1,"rgb(25,25,112)",1.41730434782597,0.5
16,0.56441,5,"Sulfur","L2",8.95e-10,1999.83,0.170000000000073,2,2,"rgb(0,0,139)",3.32005882352799,1.5
16,0.50455,6,"Sulfur","L2",8.95e-10,1999.83,0.170000000000073,2,1,"rgb(0,0,139)",1.48397058823466,1.5
16,0.4477,7,"Sulfur","L3",1.644e-09,1999.84,0.160000000000082,4,4,"rgb(0,0,205)",2.79812499999857,1.5
16,0.37984,8,"Sulfur","L3",1.644e-09,1999.84,0.160000000000082,4,3,"rgb(0,0,205)",1.78049999999909,1.5
16,0.328794,9,"Sulfur","L3",1.644e-09,1999.84,0.160000000000082,4,2,"rgb(0,0,205)",1.02748124999947,1.5
16,0.280954,10,"Sulfur","L3",1.644e-09,1999.84,0.160000000000082,4,1,"rgb(0,0,205)",0.438990624999775,1.5
16,0.0880529,11,"Sulfur","M1",6.59e-08,1999.98,0.019999999999982,2,2,"rgb(0,0,255)",4.402645000004,0.5
16,0.0725945,12,"Sulfur","M1",6.59e-08,1999.98,0.019999999999982,2,1,"rgb(0,0,255)",1.81486250000165,0.5
16,0.047222,13,"Sulfur","M2",5.66e-11,1999.99,0.009999999999991,2,2,"rgb(65,105,225)",4.7222000000043,1.5
16,0.03486,14,"Sulfur","M2",5.66e-11,1999.99,0.009999999999991,2,1,"rgb(65,105,225)",1.74300000000159,1.5
16,0.02333788,15,"Sulfur","M3",1.054e-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",1.16689400000106,1.5
16,0.01036001,16,"Sulfur","M3",1.054e-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",0.518000500000471,1.5
17,3.9462909,1,"Chlorine","K",1.211e-05,1997.18,2.81999999999994,2,2,"rgb(123,104,238)",1.39939393617024,0.5
17,3.6583438,2,"Chlorine","K",1.211e-05,1997.18,2.81999999999994,2,1,"rgb(123,104,238)",0.648642517730511,0.5
17,0.809198,3,"Chlorine","L1",9.59e-07,1999.73,0.269999999999982,2,2,"rgb(25,25,112)",2.99702962962983,0.5
17,0.75023,4,"Chlorine","L1",9.59e-07,1999.73,0.269999999999982,2,1,"rgb(25,25,112)",1.38931481481491,0.5
17,0.6563,5,"Chlorine","L2",1.289e-09,1999.8,0.200000000000045,2,2,"rgb(0,0,139)",3.28149999999925,1.5
17,0.59158,6,"Chlorine","L2",1.289e-09,1999.8,0.200000000000045,2,1,"rgb(0,0,139)",1.47894999999966,1.5
17,0.53,7,"Chlorine","L3",2.33e-09,1999.8,0.200000000000045,4,4,"rgb(0,0,205)",2.6499999999994,1.5
17,0.4567,8,"Chlorine","L3",2.33e-09,1999.8,0.200000000000045,4,3,"rgb(0,0,205)",1.71262499999961,1.5
17,0.400851,9,"Chlorine","L3",2.33e-09,1999.8,0.200000000000045,4,2,"rgb(0,0,205)",1.00212749999977,1.5
17,0.348306,10,"Chlorine","L3",2.33e-09,1999.8,0.200000000000045,4,1,"rgb(0,0,205)",0.435382499999901,1.5
17,0.1142013,11,"Chlorine","M1",8.78e-08,1999.98,0.019999999999982,2,2,"rgb(0,0,255)",5.71006500000519,0.5
17,0.09694,12,"Chlorine","M1",8.78e-08,1999.98,0.019999999999982,2,1,"rgb(0,0,255)",2.4235000000022,0.5
17,0.06768,13,"Chlorine","M2",9.17e-11,1999.99,0.009999999999991,2,2,"rgb(65,105,225)",6.76800000000616,1.5
17,0.05324,14,"Chlorine","M2",9.17e-11,1999.99,0.009999999999991,2,1,"rgb(65,105,225)",2.66200000000242,1.5
17,0.0398,15,"Chlorine","M3",1.665e-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",1.99000000000181,1.5
17,0.02381364,16,"Chlorine","M3",1.665e-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",1.19068200000108,1.5
17,0.012967633,17,"Chlorine","M3",1.665e-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",0.64838165000059,1.5
18,4.4262229,1,"Argon","K",1.429e-05,1996.8,3.20000000000005,2,2,"rgb(123,104,238)",1.38319465624998,0.5
18,4.1206657,2,"Argon","K",1.429e-05,1996.8,3.20000000000005,2,1,"rgb(123,104,238)",0.643854015624991,0.5
18,0.918375,3,"Argon","L1",1.162e-06,1999.67,0.329999999999927,2,2,"rgb(25,25,112)",2.78295454545516,0.5
18,0.8555,4,"Argon","L1",1.162e-06,1999.67,0.329999999999927,2,1,"rgb(25,25,112)",1.29621212121241,0.5
18,0.75513,5,"Argon","L2",1.81e-09,1999.75,0.25,2,2,"rgb(0,0,139)",3.02052,1.5
18,0.6855,6,"Argon","L2",1.81e-09,1999.75,0.25,2,1,"rgb(0,0,139)",1.371,1.5
18,0.619,7,"Argon","L3",3.22e-09,1999.75,0.25,4,4,"rgb(0,0,205)",2.476,1.5
18,0.5404,8,"Argon","L3",3.22e-09,1999.75,0.25,4,3,"rgb(0,0,205)",1.6212,1.5
18,0.47976,9,"Argon","L3",3.22e-09,1999.75,0.25,4,2,"rgb(0,0,205)",0.95952,1.5
18,0.4226,10,"Argon","L3",3.22e-09,1999.75,0.25,4,1,"rgb(0,0,205)",0.4226,1.5
18,0.1434567,11,"Argon","M1",1.135e-07,1999.97,0.029999999999973,2,2,"rgb(0,0,255)",4.78189000000435,0.5
18,0.12441,12,"Argon","M1",1.135e-07,1999.97,0.029999999999973,2,1,"rgb(0,0,255)",2.07350000000189,0.5
18,0.09129,13,"Argon","M2",1.414e-10,1999.98,0.019999999999982,2,2,"rgb(65,105,225)",4.56450000000415,1.5
18,0.07484,14,"Argon","M2",1.414e-10,1999.98,0.019999999999982,2,1,"rgb(65,105,225)",1.8710000000017,1.5
18,0.05958,15,"Argon","M3",2.51e-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",1.48950000000135,1.5
18,0.040735,16,"Argon","M3",2.51e-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",1.01837500000093,1.5
18,0.02762967,17,"Argon","M3",2.51e-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",0.690741750000628,1.5
18,0.0157596119,18,"Argon","M3",2.51e-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",0.393990297500358,1.5
19,4.9340484,1,"Potassium","K",1.671e-05,1996.39,3.6099999999999,2,2,"rgb(123,104,238)",1.36677240997234,0.5
19,4.61087018,2,"Potassium","K",1.671e-05,1996.39,3.6099999999999,2,1,"rgb(123,104,238)",0.638624678670378,0.5
19,1.034542,3,"Potassium","L1",1.393e-06,1999.62,0.380000000000109,2,2,"rgb(25,25,112)",2.72247894736764,0.5
19,0.9677,4,"Potassium","L1",1.393e-06,1999.62,0.380000000000109,2,1,"rgb(25,25,112)",1.27328947368384,0.5
19,0.86092,5,"Potassium","L2",2.5e-09,1999.7,0.299999999999955,2,2,"rgb(0,0,139)",2.86973333333377,1.5
19,0.7863,6,"Potassium","L2",2.5e-09,1999.7,0.299999999999955,2,1,"rgb(0,0,139)",1.3105000000002,1.5
19,0.7147,7,"Potassium","L3",4.35e-09,1999.71,0.289999999999964,4,4,"rgb(0,0,205)",2.464482758621,1.5
19,0.6311,8,"Potassium","L3",4.35e-09,1999.71,0.289999999999964,4,3,"rgb(0,0,205)",1.632155172414,1.5
19,0.5656,9,"Potassium","L3",4.35e-09,1999.71,0.289999999999964,4,2,"rgb(0,0,205)",0.975172413793226,1.5
19,0.50367,10,"Potassium","L3",4.35e-09,1999.71,0.289999999999964,4,1,"rgb(0,0,205)",0.434198275862123,1.5
19,0.1758174,11,"Potassium","M1",1.512e-07,1999.97,0.029999999999973,2,2,"rgb(0,0,255)",5.86058000000533,0.5
19,0.15487,12,"Potassium","M1",1.512e-07,1999.97,0.029999999999973,2,1,"rgb(0,0,255)",2.58116666666901,0.5
19,0.11756,13,"Potassium","M2",2.32e-10,1999.98,0.019999999999982,2,2,"rgb(65,105,225)",5.87800000000535,1.5
19,0.09944,14,"Potassium","M2",2.32e-10,1999.98,0.019999999999982,2,1,"rgb(65,105,225)",2.48600000000226,1.5
19,0.08266,15,"Potassium","M3",4.03e-10,1999.98,0.019999999999982,4,4,"rgb(70,130,180)",4.13300000000376,1.5
19,0.060917,16,"Potassium","M3",4.03e-10,1999.98,0.019999999999982,4,3,"rgb(70,130,180)",2.28438750000208,1.5
19,0.0458031,17,"Potassium","M3",4.03e-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",1.14507750000104,1.5
19,0.031625,18,"Potassium","M3",4.03e-10,1999.98,0.019999999999982,4,1,"rgb(70,130,180)",0.39531250000036,1.5
19,0.00434066373,19,"Potassium","N1",5.6e-09,2000,0.00434066373,2,2,"rgb(0,128,128)",1,0.5
20,5.4698616,1,"Calcium","K",1.94e-05,1995.96,4.03999999999996,2,2,"rgb(123,104,238)",1.35392613861387,0.5
20,5.1288578,2,"Calcium","K",1.94e-05,1995.96,4.03999999999996,2,1,"rgb(123,104,238)",0.634759628712877,0.5
20,1.157726,3,"Calcium","L1",1.651e-06,1999.56,0.440000000000055,2,2,"rgb(25,25,112)",2.63119545454513,0.5
20,1.0868,4,"Calcium","L1",1.651e-06,1999.56,0.440000000000055,2,1,"rgb(25,25,112)",1.23499999999985,0.5
20,0.9737,5,"Calcium","L2",3.38e-09,1999.65,0.349999999999909,2,2,"rgb(0,0,139)",2.78200000000072,1.5
20,0.894,6,"Calcium","L2",3.38e-09,1999.65,0.349999999999909,2,1,"rgb(0,0,139)",1.27714285714319,1.5
20,0.8172,7,"Calcium","L3",5.77e-09,1999.65,0.349999999999909,4,4,"rgb(0,0,205)",2.33485714285775,1.5
20,0.7286,8,"Calcium","L3",5.77e-09,1999.65,0.349999999999909,4,3,"rgb(0,0,205)",1.56128571428612,1.5
20,0.6582,9,"Calcium","L3",5.77e-09,1999.65,0.349999999999909,4,2,"rgb(0,0,205)",0.940285714285959,1.5
20,0.5916,10,"Calcium","L3",5.77e-09,1999.65,0.349999999999909,4,1,"rgb(0,0,205)",0.422571428571538,1.5
20,0.211275,11,"Calcium","M1",1.96e-07,1999.96,0.039999999999964,2,2,"rgb(0,0,255)",5.2818750000048,0.5
20,0.18854,12,"Calcium","M1",1.96e-07,1999.96,0.039999999999964,2,1,"rgb(0,0,255)",2.35675000000214,0.5
20,0.14724,13,"Calcium","M2",3.58e-10,1999.97,0.029999999999973,2,2,"rgb(65,105,225)",4.90800000000446,1.5
20,0.12721,14,"Calcium","M2",3.58e-10,1999.97,0.029999999999973,2,1,"rgb(65,105,225)",2.12016666666859,1.5
20,0.10878,15,"Calcium","M3",6.11e-10,1999.97,0.029999999999973,4,4,"rgb(70,130,180)",3.6260000000033,1.5
20,0.08434,16,"Calcium","M3",6.11e-10,1999.97,0.029999999999973,4,3,"rgb(70,130,180)",2.10850000000192,1.5
20,0.0672732,17,"Calcium","M3",6.11e-10,1999.97,0.029999999999973,4,2,"rgb(70,130,180)",1.12122000000102,1.5
20,0.05091316,18,"Calcium","M3",6.11e-10,1999.97,0.029999999999973,4,1,"rgb(70,130,180)",0.424276333333719,1.5
20,0.011871719,19,"Calcium","N1",1.121e-08,2000,0.011871719,2,2,"rgb(0,128,128)",1,0.5
20,0.00611315547,20,"Calcium","N1",1.121e-08,2000,0.00611315547,2,2,"rgb(0,128,128)",1,0.5
21,6.0337542,1,"Scandium","K",2.23e-05,1995.51,4.49000000000001,2,2,"rgb(123,104,238)",1.34382053452116,0.5
21,5.6749037,2,"Scandium","K",2.23e-05,1995.51,4.49000000000001,2,1,"rgb(123,104,238)",0.631949187082404,0.5
21,1.287957,3,"Scandium","L1",1.94e-06,1999.5,0.5,2,2,"rgb(25,25,112)",2.575914,0.5
21,1.2131,4,"Scandium","L1",1.94e-06,1999.5,0.5,2,1,"rgb(25,25,112)",1.2131,0.5
21,1.0935,5,"Scandium","L2",4.5e-09,1999.59,0.410000000000082,2,2,"rgb(0,0,139)",2.66707317073117,1.5
21,1.0086,6,"Scandium","L2",4.5e-09,1999.59,0.410000000000082,2,1,"rgb(0,0,139)",1.22999999999975,1.5
21,0.9265,7,"Scandium","L3",7.54e-09,1999.6,0.400000000000091,4,4,"rgb(0,0,205)",2.31624999999947,1.5
21,0.8332,8,"Scandium","L3",7.54e-09,1999.6,0.400000000000091,4,3,"rgb(0,0,205)",1.56224999999964,1.5
21,0.7577,9,"Scandium","L3",7.54e-09,1999.6,0.400000000000091,4,2,"rgb(0,0,205)",0.947124999999785,1.5
21,0.68736,10,"Scandium","L3",7.54e-09,1999.6,0.400000000000091,4,1,"rgb(0,0,205)",0.429599999999902,1.5
21,0.249798,11,"Scandium","M1",2.41e-07,1999.95,0.049999999999955,2,2,"rgb(0,0,255)",4.99596000000454,0.5
21,0.22518,12,"Scandium","M1",2.41e-07,1999.95,0.049999999999955,2,1,"rgb(0,0,255)",2.25180000000205,0.5
21,0.18003,13,"Scandium","M2",5.07e-10,1999.97,0.029999999999973,2,2,"rgb(65,105,225)",6.00100000000546,1.5
21,0.15808,14,"Scandium","M2",5.07e-10,1999.97,0.029999999999973,2,1,"rgb(65,105,225)",2.63466666666906,1.5
21,0.13799,15,"Scandium","M3",8.49e-10,1999.97,0.029999999999973,4,4,"rgb(70,130,180)",4.59966666667085,1.5
