"AX","M","Z","E","J","Thalf","Eγ.keV.","λ","TF","Key"
"59TI",59,22,109,"(1/2)","0.587(+5751) μs","109","E2",TRUE,"109;(1/2);0.587(+5751) μs"
"59CR",59,24,503,"(9/2+)","96(20) μs","193(1)",NA,TRUE,"503;(9/2+);96(20) μs"
"60CO",60,27,58.59,"2+","10.467(6) min","58.603(7)","M3+(E4)",TRUE,"58.59;2+;10.467(6) min"
"61FE",61,26,861.6,"(9/2+)","238(5) ns","654.7(1)","M2",TRUE,"861.6;(9/2+);238(5) ns"
"62CO",62,27,22,"(5)+","13.86(9) min",NA,NA,TRUE,"22;(5)+;13.86(9) min"
"62CU",62,29,390.12,"4+","11(1) ns","146.81(10)
349.25(10)","E2
E2",TRUE,"390.12;4+;11(1) ns"
"63NI",63,28,87.15,"5/2","1.67(3) μs","87.13(11)",NA,TRUE,"87.15;5/2;1.67(3) μs"
"63GA",63,31,75.32,"5/2","~ 25 ns","75.2(2)","M1+E2",TRUE,"75.32;5/2;~ 25 ns"
"64V",64,23,81,NA,"> 100 ns *","81.0 (7)?",NA,TRUE,"81;NA;> 100 ns *"
"64MN",64,25,175.5,"(4+)","400(40) μs","135.3(5)","(M2)",TRUE,"175.5;(4+);400(40) μs"
"64CU",64,29,1594.23,"6","20.4(6) ns","1019.59(3)",NA,TRUE,"1594.23;6;20.4(6) ns"
"64GA",64,31,42.85,"(2+)","21.9(7) μs","42.89(10)","(E2)",TRUE,"42.85;(2+);21.9(7) μs"
"65FE",65,26,393.7,"(9/2+)","1.12(15) s","393.7?",NA,TRUE,"393.7;(9/2+);1.12(15) s"
"65FE",65,26,397.56,"(5/2+)","437(55) ns","33.9(2)","(E1)",TRUE,"397.56;(5/2+);437(55) ns"
"65NI",65,28,63.37,"1/2","69(3) μs","63.36(5)","(E2)",TRUE,"63.37;1/2;69(3) μs"
"65NI",65,28,1017.01,"9/2+","25.6(11) ns","1017.0(1)","(M2)",TRUE,"1017.01;9/2+;25.6(11) ns"
"65ZN",65,30,53.928,"(1/2)","1.59(5) μs","53.93(1)","E2",TRUE,"53.928;(1/2);1.59(5) μs"
"66MN",66,25,464.5,"(5)","780(40) μs","169.8(3)","(M2)",TRUE,"464.5;(5);780(40) μs"
"66CO",66,27,175,"(3+)","1.21(1) μs","175","E2",TRUE,"175;(3+);1.21(1) μs"
"66CO",66,27,642,"(8)","> 100 μs","252",NA,TRUE,"642;(8);> 100 μs"
"66GA",66,31,43.812,"1+","18.0(9) ns","43.81(3)","M1",TRUE,"43.812;1+;18.0(9) ns"
"66GA",66,31,66.139,"(2)+","23.0(14) ns","22.33(5)","M1+E2",TRUE,"66.139;(2)+;23.0(14) ns"
"66GA",66,31,162.472,"(3)+","13(5) ns","53.39(20)
96.34(2)
118.80(20)","(M1+E2)
E2(+M3)",TRUE,"162.472;(3)+;13(5) ns"
"66GA",66,31,1464.33,"(7)","57.3(14) ns","113.7(2)
600.9(2)","E2",TRUE,"1464.33;(7);57.3(14) ns"
"66AS",66,33,1356.63,"5+","1.15(4) μs","124.4(2)","E2",TRUE,"1356.63;5+;1.15(4) μs"
"66AS",66,33,3023.8,"9+","7.9(3) μs","114.4(2)","E2",TRUE,"3023.8;9+;7.9(3) μs"
"67CO",67,27,491.54,"(1/2)","496(33) ms","491.55(11)","(M3)",TRUE,"491.54;(1/2);496(33) ms"
"67NI",67,28,1008.1,"9/2+","13.3(2) μs","313.8(2)","(M2)",TRUE,"1008.1;9/2+;13.3(2) μs"
"67ZN",67,30,93.312,"1/2","9.142(24) μs","93.311(5)","E2",TRUE,"93.312;1/2;9.142(24) μs"
"67ZN",67,30,604.48,"9/2+","333(14) ns","604.48(5)","M2+E3",TRUE,"604.48;9/2+;333(14) ns"
"67GA",67,31,166.98,"1/2","42(21) ns","167.01(4)",NA,TRUE,"166.98;1/2;42(21) ns"
"67GE",67,32,18.2,"5/2","13.7(9) μs","18.20(5)","E2",TRUE,"18.2;5/2;13.7(9) μs"
"67GE",67,32,751.7,"9/2+","146(4) ns","733.50(3)","M2",TRUE,"751.7;9/2+;146(4) ns"
"68NI",68,28,1603.5,"0+","268(12) ns","1604","E0",TRUE,"1603.5;0+;268(12) ns"
"68NI",68,28,2849.1,"5","0.86(5) ms","815.0(2)","E3",TRUE,"2849.1;5;0.86(5) ms"
"68NI",68,28,4210,"8+","23(1) ns","209.3
274.7
652.0","E2",TRUE,"4210;8+;23(1) ns"
"68CU",68,29,721.26,"6","3.75(5) min","110.74(6)
637.14(6)","E3
M4",TRUE,"721.26;6;3.75(5) min"
"68GA",68,31,1229.87,"7","62.0(14) ns","126.35(3)
733.76(34)","E2
(E3+M4)",TRUE,"1229.87;7;62.0(14) ns"
"68AS",68,33,425.1,"1+","107(+2316) ns","72.6(5)
111.4(2)
265.0(3)
426.1(4)","E2
E2",TRUE,"425.1;1+;107(+2316) ns"
"68AS",68,33,1571.2,"(6)","19(3) ns","248.4(2)
266.6(5)",NA,TRUE,"1571.2;(6);19(3) ns"
"68AS",68,33,2157.8,"9(+)","36(2) ns","63.9(1)
854.2(3)
943.6(5)?","M2",TRUE,"2157.8;9(+);36(2) ns"
"69NI",69,28,321,"(1/2)","3.5(4) s",NA,NA,TRUE,"321;(1/2);3.5(4) s"
"69NI",69,28,2700,"(17/2)","0.439(3) μs","148",NA,TRUE,"2700;(17/2);0.439(3) μs"
"69CU",69,29,2742,"(13/2+)","357(2) ns","74
189.9",NA,TRUE,"2742;(13/2+);357(2) ns"
"69CU",69,29,3692,"(19/2)","22(1) ns","208.8",NA,TRUE,"3692;(19/2);22(1) ns"
"69CU",69,29,3828,"(17/2+)","39(6) ns","613.6
1085.8",NA,TRUE,"3828;(17/2+);39(6) ns"
"69ZN",69,30,438.636,"9/2+","13.756(18) h","438.634(18)","M4",TRUE,"438.636;9/2+;13.756(18) h"
"69GE",69,32,86.76,"1/2","5.1(2) μs","86.78(2)","E2",TRUE,"86.76;1/2;5.1(2) μs"
"69GE",69,32,397.94,"9/2+","2.81(5) μs","397.95(2)","M2",TRUE,"397.94;9/2+;2.81(5) μs"
"69SE",69,34,38.85,"5/2","2.0(2) μs","39.4","E2",TRUE,"38.85;5/2;2.0(2) μs"
"69SE",69,34,574,"9/2+","960(23) ns","534.8(8)","M2",TRUE,"574;9/2+;960(23) ns"
"70NI",70,28,2860,"(8+)","0.232(1) μs","183(1)","(E2)",TRUE,"2860;(8+);0.232(1) μs"
"70CU",70,29,101.1,"3","33(2) s","101.1(3)","(M3)",TRUE,"101.1;3;33(2) s"
"70CU",70,29,242.6,"1+","6.6(2) s","141.3",NA,TRUE,"242.6;1+;6.6(2) s"
"70GA",70,31,879.1,"4","22.7(5) ns","188.1(1)","E2(+M3)",TRUE,"879.1;4;22.7(5) ns"
"70AS",70,33,32.008,"2+","96(3) μs","32.05(3)","E2",TRUE,"32.008;2+;96(3) μs"
"70BR",70,35,2292.3,"9+","2.2(2) s",NA,NA,TRUE,"2292.3;9+;2.2(2) s"
"71NI",71,28,498.5,"(1/2)","2.3(3) s",NA,NA,TRUE,"498.5;(1/2);2.3(3) s"
"71CU",71,29,2755.7,"(19/2","0.271(14) μs","133.0(3)",NA,TRUE,"2755.7;(19/2;0.271(14) μs"
"71ZN",71,30,157.7,"9/2+","4.125(7) h","386
487
620",NA,TRUE,"157.7;9/2+;4.125(7) h"
"71GE",71,32,174.943,"5/2","79(2) ns","174.956(9)","E2",TRUE,"174.943;5/2;79(2) ns"
"71GE",71,32,198.354,"9/2+","20.41(18) ms","23.438(15)","M2",TRUE,"198.354;9/2+;20.41(18) ms"
"71AS",71,33,143.5,"(1/2)","59(10) ns","143.2(3)","E2",TRUE,"143.5;(1/2);59(10) ns"
"71AS",71,33,1000.31,"9/2+","19.8(3) ns","1000.26(14)","(M2)",TRUE,"1000.31;9/2+;19.8(3) ns"
"71SE",71,34,48.79,"1/2","5.6(7) μs","48.78(5)","E2",TRUE,"48.79;1/2;5.6(7) μs"
"71SE",71,34,260.48,"9/2+","19.0(5) μs","260.5(1)",NA,TRUE,"260.48;9/2+;19.0(5) μs"
"71BR",71,35,759.06,"(9/2+)","32.5(25) ns","89.3(4)
759.1(3)","(E2)
(M2)",TRUE,"759.06;(9/2+);32.5(25) ns"
"72CU",72,29,270.3,"(6)","1.76(3) μs","51","E2",TRUE,"270.3;(6);1.76(3) μs"
"72GA",72,31,16.44,"2","39.2(7) ns","16.4(3)","(M1)",TRUE,"16.44;2;39.2(7) ns"
"72GA",72,31,119.66,"(0+)","39.68(13) ms","103.14(17)","(M2)",TRUE,"119.66;(0+);39.68(13) ms"
"72GE",72,32,691.43,"0+","444.2(8) ns","689.6(5)","E0",TRUE,"691.43;0+;444.2(8) ns"
"72AS",72,33,46.025,"1+","10.7(3) ns","45.89(4)","E1",TRUE,"46.025;1+;10.7(3) ns"
"72AS",72,33,213.563,"3+","85(5) ns","166.77(5)
213.68(4)","E2
E1",TRUE,"213.563;3+;85(5) ns"
"72AS",72,33,309.741,"4","27(5) ns","96.09(5)
309.77(3)","E1
E2",TRUE,"309.741;4;27(5) ns"
"72AS",72,33,318.19,"4+","27(1) ns","104.58(11)
318.39(25)","(M1)",TRUE,"318.19;4+;27(1) ns"
"72AS",72,33,562.85,"7","87.9(17) ns","200.02(9)","E2",TRUE,"562.85;7;87.9(17) ns"
"72SE",72,34,937.22,"0+","17.5(17) ns","75(2)
937","E0",TRUE,"937.22;0+;17.5(17) ns"
"72BR",72,35,101.3,"(3)","10.6(3) s","101.3(3)","(M2)",TRUE,"101.3;(3);10.6(3) s"
"72KR",72,36,671,"0+","26.3(21) ns","671","E0",TRUE,"671;0+;26.3(21) ns"
"73ZN",73,30,195.5,"(5/2+)","13.0(2) ms","195.5(2)",NA,TRUE,"195.5;(5/2+);13.0(2) ms"
"73GE",73,32,13.2845,"5/2+","2.92(3) μs","13.2845(15)","E2",TRUE,"13.2845;5/2+;2.92(3) μs"
"73GE",73,32,66.726,"1/2","0.499(11) s","53.440(9)","M2",TRUE,"66.726;1/2;0.499(11) s"
"73AS",73,33,427.906,"9/2+","5.7(2) μs","360.86(2)
428.3(3)","M2+E3",TRUE,"427.906;9/2+;5.7(2) μs"
"73SE",73,34,25.71,"3/2","39.8(13) min","25.71(4)","E3",TRUE,"25.71;3/2;39.8(13) min"
"73BR",73,35,240.5,"(3/2
5/2)","35.0(14) ns","62.4(1)
213.5(2)","M1
E2",TRUE,"240.5;(3/2
5/2);35.0(14) ns"
"73KR",73,36,433.66,"(9/2+)","107(10) ns","40.8
65.8",NA,TRUE,"433.66;(9/2+);107(10) ns"
"74GA",74,31,56.55,"(2)","31(5) ns","56.559(10)",NA,TRUE,"56.55;(2);31(5) ns"
"74GA",74,31,59.571,"(0)","9.5(10) s","3.2(2)",NA,TRUE,"59.571;(0);9.5(10) s"
"74AS",74,33,259.187,"4+","26.8(5) ns","76.13(1)
259.2(3)?",NA,TRUE,"259.187;4+;26.8(5) ns"
"74BR",74,35,13.58,"4(+)","46(2) min",NA,NA,TRUE,"13.58;4(+);46(2) min"
"74BR",74,35,85.71,"(3)","13.3(4) ns","72.1(1)",NA,TRUE,"85.71;(3);13.3(4) ns"
"74KR",74,36,509.25,"0+","14.2(10) ns","53.23(14)
509.40(17)","E2
E0",TRUE,"509.25;0+;14.2(10) ns"
"75CU",75,29,61.7,"(1/2
3/2)","310(8) ns","61.7(4)",NA,TRUE,"61.7;(1/2
3/2);310(8) ns"
"75CU",75,29,66.2,"(1/2
3/2)","149(6) ns","66.2(4)",NA,TRUE,"66.2;(1/2
3/2);149(6) ns"
"75GE",75,32,192.19,"5/2+","216(5) ns","52.5(1)","M1+E2",TRUE,"192.19;5/2+;216(5) ns"
"75AS",75,33,303.9243,"9/2+","17.62(23) ms","24.38
303.9236(10)","M2(+E3)
E3",TRUE,"303.9243;9/2+;17.62(23) ms"
"75SE",75,34,293.106,"1/2","30.0(4) ns","6.5(1)",NA,TRUE,"293.106;1/2;30.0(4) ns"
"75BR",75,35,220.8,"(9/2)+","31.7(3) ns","88.29(6)","E2",TRUE,"220.8;(9/2)+;31.7(3) ns"
"76NI",76,28,2418.7,"(8+)","480(72) ns","142.7(5)","E2",TRUE,"2418.7;(8+);480(72) ns"
"76AS",76,33,44.425,"(1)+","1.84(6) μs","44.425(1)","(E1)",TRUE,"44.425;(1)+;1.84(6) μs"
"76BR",76,35,102.2,"4+","1.31(2) s","57.11(2)
102.6?","M2",TRUE,"102.2;4+;1.31(2) s"
"76RB",76,37,316.93,"4(+)","3.20(10) μs","70.55(5)
317.0(3)?",NA,TRUE,"316.93;4(+);3.20(10) μs"
"77ZN",77,30,772.44,"(1/2)","1.05(10) s","772.43(2)",NA,TRUE,"772.44;(1/2);1.05(10) s"
"77GE",77,32,159.71,"1/2","53.7 (6) s","159.66(10)","(E3)",TRUE,"159.71;1/2;53.7 (6) s"
"77AS",77,33,475.48,"9/2+","114.0(25) μs","211.03(4)
475.46(10)","(M2+E3)",TRUE,"475.48;9/2+;114.0(25) μs"
"77SE",77,34,161.9223,"7/2+","17.36(5) s","161.9224(11)","E3",TRUE,"161.9223;7/2+;17.36(5) s"
"77BR",77,35,105.86,"9/2+","4.28(10) min","105.87(10)","E3",TRUE,"105.86;9/2+;4.28(10) min"
"77KR",77,36,66.5,"3/2","118(12) ns","66.52(5)","(E1)",TRUE,"66.5;3/2;118(12) ns"
"78ZN",78,30,2675.3,"(8+)","0.320(+98) μs","144.7(5)","(E2)",TRUE,"2675.3;(8+);0.320(+98) μs"
"78GA",78,31,498.9,NA,"110(3) ns","498.9",NA,TRUE,"498.9;NA;110(3) ns"
"78BR",78,35,32.32,"(2)","11.3(30) ns","32.3(1)",NA,TRUE,"32.32;(2);11.3(30) ns"
"78BR",78,35,180.89,"(4+)","119.4(10) μs","148.55(10)",NA,TRUE,"180.89;(4+);119.4(10) μs"
"78BR",78,35,227.67,"(5+)","84(8) ns","46.8(2)","(M1+E2)",TRUE,"227.67;(5+);84(8) ns"
"78BR",78,35,242.82,"(2, 3)","17(2) ns","46.3(5)
242.85(2)",NA,TRUE,"242.82;(2, 3);17(2) ns"
"78RB",78,37,46.84,"(1)","0.91(4) μs","46.8(2)","(E1)",TRUE,"46.84;(1);0.91(4) μs"
"78RB",78,37,111.19,"4()","5.74(3) min","8.6
64.4","(M3)",TRUE,"111.19;4();5.74(3) min"
"79GE",79,32,185.95,"(7/2+)","39.0(10) s","186.02(7)",NA,TRUE,"185.95;(7/2+);39.0(10) s"
"79AS",79,33,772.81,"(9/2)+","1.18(4) μs","542.27(7)",NA,TRUE,"772.81;(9/2)+;1.18(4) μs"
"79SE",79,34,95.77,"1/2","3.92(1) min","95.73(3)","E3",TRUE,"95.77;1/2;3.92(1) min"
"79BR",79,35,207.2,"9/2+","5.1(4) s","207.2(4)","E3",TRUE,"207.2;9/2+;5.1(4) s"
"79KR",79,36,129.77,"7/2+","50(3) s","129.76(10)","E3",TRUE,"129.77;7/2+;50(3) s"
"79KR",79,36,147.06,"5/2","78.7(10) ns","17.3(1)
147.08(10)","E2",TRUE,"147.06;5/2;78.7(10) ns"
"79RB",79,37,39.37,"(3/2)","20.5(25) ns","39.41(7)","(E1)",TRUE,"39.37;(3/2);20.5(25) ns"
"79RB",79,37,96.76,"9/2+","18.6(5) ns","96.7(1)",NA,TRUE,"96.76;9/2+;18.6(5) ns"
"79SR",79,38,177.3,"5/2+","20(1) ns","177.30(6)",NA,TRUE,"177.3;5/2+;20(1) ns"
"80GA",80,31,22.45,"3(","1.3(2) s",NA,NA,TRUE,"22.45;3(;1.3(2) s"
"80GA",80,31,707.9,"(1+)","18.3(5) ns","685.4 (1)","(M2)",TRUE,"707.9;(1+);18.3(5) ns"
"80BR",80,35,85.843,"5","4.4205(8) h","48.786(5)","M3",TRUE,"85.843;5;4.4205(8) h"
"80RB",80,37,493.9,"6+","1.63(4) μs","8.0?
21.4?",NA,TRUE,"493.9;6+;1.63(4) μs"
"80RB",80,37,650.7,"(8+)","13.9(14) ns","156.8",NA,TRUE,"650.7;(8+);13.9(14) ns"
"80Y",80,39,228.5,"(1)","4.8(3) s","228.5(1)","M3(+E4)",TRUE,"228.5;(1);4.8(3) s"
"80Y",80,39,312.6,"(2+)","4.7(3) μs","84",NA,TRUE,"312.6;(2+);4.7(3) μs"
"81GE",81,32,679.14,"(1/2+)","7.6(6) s",NA,NA,TRUE,"679.14;(1/2+);7.6(6) s"
"81SE",81,34,102.966,"7/2+","57.28(2) min","102.966 (10)","E3(+M4)",TRUE,"102.966;7/2+;57.28(2) min"
"81BR",81,35,536.2,"9/2+","34.6(28) μs","260.21(9)","M2",TRUE,"536.2;9/2+;34.6(28) μs"
"81KR",81,36,190.64,"1/2","13.10(3) s","190.46(16)","E3",TRUE,"190.64;1/2;13.10(3) s"
"81RB",81,37,86.31,"9/2+","30.5(3) min","86.26(19)","E3",TRUE,"86.31;9/2+;30.5(3) min"
"81SR",81,38,79.23,"(5/2)","0.39(5) μs","79.23(4)","(E2)",TRUE,"79.23;(5/2);0.39(5) μs"
"81SR",81,38,89.05,"(7/2+)","6.4(5) μs",NA,"(E1)",TRUE,"89.05;(7/2+);6.4(5) μs"
"81SR",81,38,119.76,"(1/2+)","24(4) ns","119.76(4)","(E1)",TRUE,"119.76;(1/2+);24(4) ns"
"82GA",82,31,141,"(2)","0.098(+109) μs","141.0(5)","E2",TRUE,"141;(2);0.098(+109) μs"
"82BR",82,35,45.9492,"2","6.13(5) min","45.949(1)","M3",TRUE,"45.9492;2;6.13(5) min"
"82RB",82,37,69,"5","6.472(6) h",NA,NA,TRUE,"69;5;6.472(6) h"
"82RB",82,37,192.2,"6+","12.3(6) ns","123.2(3)","E1",TRUE,"192.2;6+;12.3(6) ns"
"82Y",82,39,401.1,"4+","11(3) ns","64.3(3)
87.5(1)
258.7(1)",NA,TRUE,"401.1;4+;11(3) ns"
"82Y",82,39,402.63,"4","268(25) ns","65.7(2)
88.9(2)",NA,TRUE,"402.63;4;268(25) ns"
"82Y",82,39,405.76,"4","35.3(21) ns","68.2(3)",NA,TRUE,"405.76;4;35.3(21) ns"
"82Y",82,39,507.5,"6+","147(7) ns","106.4(1)","E2",TRUE,"507.5;6+;147(7) ns"
"82NB",82,41,1180,"(5+)","93(20) ns","124","(M1,E1 or
E2)",TRUE,"1180;(5+);93(20) ns"
"83SE",83,34,228.5,"1/2","70.1(4) s",NA,NA,TRUE,"228.5;1/2;70.1(4) s"
"83BR",83,35,3068.8,"(19/2)","0.7(1) μs","303.4(4)","(E1+M2)",TRUE,"3068.8;(19/2);0.7(1) μs"
"83KR",83,36,9.4053,"7/2+","156.94(34) ns","9.4051(8)","M1+E2",TRUE,"9.4053;7/2+;156.94(34) ns"
"83KR",83,36,41.5569,"1/2","1.85(3) h","32.1498(8)","E3",TRUE,"41.5569;1/2;1.85(3) h"
"83RB",83,37,5.26,"3/2","71.5(8) ns","5.23(9)","M1",TRUE,"5.26;3/2;71.5(8) ns"
"83RB",83,37,42.11,"9/2+","≥ 0.3 ms *","42.33(15)","M2",TRUE,"42.11;9/2+;≥ 0.3 ms *"
"83SR",83,38,259.15,"1/2","4.95(12) s","259.10(10)","E3",TRUE,"259.15;1/2;4.95(12) s"
"83Y",83,39,61.98,"3/2","2.85(2) min",NA,"E3",TRUE,"61.98;3/2;2.85(2) min"
"83ZR",83,40,52.72,"(5/2)","0.53(12) μs","52.70(5)","E2",TRUE,"52.72;(5/2);0.53(12) μs"
"83ZR",83,40,77.04,"(7/2+)","132(55) ns","24.30(5)","E1",TRUE,"77.04;(7/2+);132(55) ns"
"84BR",84,35,320,"(6)","6.0(2) min",NA,NA,TRUE,"320;(6);6.0(2) min"
"84KR",84,36,3236.07,"8+","1.83(4) μs","63.5(1)","E2",TRUE,"3236.07;8+;1.83(4) μs"
"84KR",84,36,5373.4,"12+","43.7(21) ns","169.3","E2",TRUE,"5373.4;12+;43.7(21) ns"
"84RB",84,37,463.59,"6","20.26(4) min","215.61(10)
463.62(10)","M3+E4
E4",TRUE,"463.59;6;20.26(4) min"
"84RB",84,37,543.28,"(5+)","11(1) ns","70.7(2)
76.4(2)
79.8(1)",NA,TRUE,"543.28;(5+);11(1) ns"
