Symb,Z,K 1s,L1 2s,L2 2p1/2,L3 2p3/2,M1 3s,M2 3p1/2,M3 3p3/2,M4 3d3/2,M5 3d5/2,N1 4s,N2 4p1/2,N3 4p3/2,N4 4d3/2,N5 4d5/2,N6 4f5/2,N7 4f7/2,O1 5s,O2 5p1/2,O3 5p3/2,O4 5d3/2,O5 5d5/2,P1 6s,P2 6p1/2,P3 6p3/2,,,,
H,1,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
He,2,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li,3,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be,4,111.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,5,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,6,284.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,7,409.9,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,
O,8,543.1,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,
F,9,696.7,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Ne,10,870.2,48.5,21.7,21.6,,,,,,,,,,,,,,,,,,,,,,,,
Na,11,1070.8,63.5,30.65,30.81,,,,,,,,,,,,,,,,,,,,,,,,
Mg,12,1303,88.7,49.78,49.5,,,,,,,,,,,,,,,,,,,,,,,,
Al,13,1559.6,117.8,72.95,72.55,,,,,,,,,,,,,,,,,,,,,,,,
Si,14,1839,149.7,99.82,99.42,,,,,,,,,,,,,,,,,,,,,,,,
P,15,2145.5,189,136,135,,,,,,,,,,,,,,,,,,,,,,,,
S,16,2472,230.9,163.6,162.5,,,,,,,,,,,,,,,,,,,,,,,,
Cl,17,2822.4,270,202,200,,,,,,,,,,,,,,,,,,,,,,,,
Ar,18,3205.9,326.3,250.6,248.4,29.3,15.9,15.7,,,,,,,,,,,,,,,,,,,,,
K,19,3608.4,378.6,297.3,294.6,34.8,18.3,18.3,,,,,,,,,,,,,,,,,,,,,
Ca,20,4038.5,438.4,349.7,346.2,44.3,25.4,25.4,,,,,,,,,,,,,,,,,,,,,
Sc,21,4492,498,403.6,398.7,51.1,28.3,28.3,,,,,,,,,,,,,,,,,,,,,
Ti,22,4966,560.9,460.2,453.8,58.7,32.6,32.6,,,,,,,,,,,,,,,,,,,,,
V,23,5465,626.7,519.8,512.1,66.3,37.2,37.2,,,,,,,,,,,,,,,,,,,,,
Cr,24,5989,696,583.8,574.1,74.1,42.2,42.2,,,,,,,,,,,,,,,,,,,,,
Mn,25,6539,769.1,649.9,638.7,82.3,47.2,47.2,,,,,,,,,,,,,,,,,,,,,
Fe,26,7112,844.6,719.9,706.8,91.3,52.7,52.7,,,,,,,,,,,,,,,,,,,,,
Co,27,7709,925.1,793.2,778.1,101,58.9,59.9,,,,,,,,,,,,,,,,,,,,,
Ni,28,8333,1008.6,870,852.7,110.8,68,66.2,,,,,,,,,,,,,,,,,,,,,
Cu,29,8979,1096.7,952.3,932.7,122.5,77.3,75.1,,,,,,,,,,,,,,,,,,,,,
Zn,30,9659,1196.2,1044.9,1021.8,139.8,91.4,88.6,10.2,10.1,,,,,,,,,,,,,,,,,,,
Ga,31,10367,1299,1143.2,1116.4,159.5,103.5,100,18.7,18.7,,,,,,,,,,,,,,,,,,,
Ge,32,11103,1414.6,1248.1,1217,180.1,124.9,120.8,29.8,29.2,,,,,,,,,,,,,,,,,,,
As,33,11867,1527,1359.1,1323.6,204.7,146.2,141.2,41.7,41.7,,,,,,,,,,,,,,,,,,,
Se,34,12658,1652,1474.3,1433.9,229.6,166.5,160.7,55.5,54.6,,,,,,,,,,,,,,,,,,,
Br,35,13474,1782,1596,1550,257,189,182,70,69,,,,,,,,,,,,,,,,,,,
Kr,36,14326,1921,1730.9,1678.4,292.8,222.2,214.4,95,93.8,27.5,14.1,14.1,,,,,,,,,,,,,,,,
Rb,37,15200,2065,1864,1804,326.7,248.7,239.1,113,112,30.5,16.3,15.3,,,,,,,,,,,,,,,,
Sr,38,16105,2216,2007,1940,358.7,280.3,270,136,134.2,38.9,21.3,20.1,,,,,,,,,,,,,,,,
Y,39,17038,2373,2156,2080,392,310.6,298.8,157.7,155.8,43.8,24.4,23.1,,,,,,,,,,,,,,,,
Zr,40,17998,2532,2307,2223,430.3,343.5,329.8,181.1,178.8,50.6,28.5,27.1,,,,,,,,,,,,,,,,
Nb,41,18986,2698,2465,2371,466.6,376.1,360.6,205,202.3,56.4,32.6,30.8,,,,,,,,,,,,,,,,
Mo,42,20000,2866,2625,2520,506.3,411.6,394,231.1,227.9,63.2,37.6,35.5,,,,,,,,,,,,,,,,
Tc,43,21044,3043,2793,2677,544,447.6,417.7,257.6,253.9,69.5,42.3,39.9,,,,,,,,,,,,,,,,
Ru,44,22117,3224,2967,2838,586.1,483.5,461.4,284.2,280,75,46.3,43.2,,,,,,,,,,,,,,,,
Rh,45,23220,3412,3146,3004,628.1,521.3,496.5,311.9,307.2,81.4,50.5,47.3,,,,,,,,,,,,,,,,
Pd,46,24350,3604,3330,3173,671.6,559.9,532.3,340.5,335.2,87.1,55.7,50.9,,,,,,,,,,,,,,,,
Ag,47,25514,3806,3524,3351,719,603.8,573,374,368.3,97,63.7,58.3,,,,,,,,,,,,,,,,
Cd,48,26711,4018,3727,3538,772,652.6,618.4,411.9,405.2,109.8,63.9,63.9,11.7,10.7,,,,,,,,,,,,,,
In,49,27940,4238,3938,3730,827.2,703.2,665.3,451.4,443.9,122.9,73.5,73.5,17.7,16.9,,,,,,,,,,,,,,
Sn,50,29200,4465,4156,3929,884.7,756.5,714.6,493.2,484.9,137.1,83.6,83.6,24.9,23.9,,,,,,,,,,,,,,
Sb,51,30491,4698,4380,4132,946,812.7,766.4,537.5,528.2,153.2,95.6,95.6,33.3,32.1,,,,,,,,,,,,,,
Te,52,31814,4939,4612,4341,1006,870.8,820,583.4,573,169.4,103.3,103.3,41.9,40.4,,,,,,,,,,,,,,
I,53,33169,5188,4852,4557,1072,931,875,630.8,619.3,186,123,123,50.6,48.9,,,,,,,,,,,,,,
Xe,54,34561,5453,5107,4786,1148.7,1002.1,940.6,689,676.4,213.2,146.7,145.5,69.5,67.5,NA,NA,23.3,13.4,12.1,,,,,,,,,
Cs,55,35985,5714,5359,5012,1211,1071,1003,740.5,726.6,232.3,172.4,161.3,79.8,77.5,NA,NA,22.7,14.2,12.1,,,,,,,,,
Ba,56,37441,5989,5624,5247,1293,1137,1063,795.7,780.5,253.5,192,178.6,92.6,89.9,NA,NA,30.3,17,14.8,,,,,,,,,
La,57,38925,6266,5891,5483,1362,1209,1128,853,836,274.7,205.8,196,105.3,102.5,NA,NA,34.3,19.3,16.8,,,,,,,,,
Ce,58,40443,6549,6164,5723,1436,1274,1187,902.4,883.8,291,223.2,206.5,109,NA,0.1,0.1,37.8,19.8,17,,,,,,,,,
Pr,59,41991,6835,6440,5964,1511,1337,1242,948.3,928.8,304.5,236.3,217.6,115.1,115.1,2,2,37.4,22.3,22.3,,,,,,,,,
Nd,60,43569,7126,6722,6208,1575,1403,1297,1003.3,980.4,319.2,243.3,224.6,120.5,120.5,1.5,1.5,37.5,21.1,21.1,,,,,,,,,
Pm,61,45184,7428,7013,6459,NA,1471,1357,1052,1027,NA,242,242,120,120,NA,NA,NA,NA,NA,,,,,,,,,
Sm,62,46834,7737,7312,6716,1723,1541,1420,1110.9,1083.4,347.2,265.6,247.4,129,129,5.2,5.2,37.4,21.3,21.3,,,,,,,,,
Eu,63,48519,8052,7617,6977,1800,1614,1481,1158.6,1127.5,360,284,257,133,127.7,0,0,32,22,22,,,,,,,,,
Gd,64,50239,8376,7930,7243,1881,1688,1544,1221.9,1189.6,378.6,286,271,NA,142.6,8.6,8.6,36,28,21,,,,,,,,,
Tb,65,51996,8708,8252,7514,1968,1768,1611,1276.9,1241.1,396,322.4,284.1,150.5,150.5,7.7,2.4,45.6,28.7,22.6,,,,,,,,,
Dy,66,53789,9046,8581,7790,2047,1842,1676,1333,1292.6,414.2,333.5,293.2,153.6,153.6,8,4.3,49.9,26.3,26.3,,,,,,,,,
