"AX","Egam","DE","RI","DRI","TI","Mult","MR","DMR","CC","DCC","E_feed","Continuation","Delete","Braw","Btype","B","B2raw","B2type","B2","FLraw","FL","Mult_Clean","Mult_Cleaner","M"
"6LI",2186,NA,NA,NA,NA,"E2",NA,NA,NA,NA,2186,0,FALSE,"BE2W=16.5","BE2W",16.5,"BE2W=16.5","BE2W=",16.5,NA,0,"E2","E2",6
"6LI",3561.75,NA,NA,NA,NA,"M1",NA,NA,NA,NA,3562.88,0,FALSE,"BM1W=8.62","BM1W",8.62,"BM1W=8.62","BM1W=",8.62,NA,0,"M1","M1",6
"6LI",4310,NA,NA,NA,NA,"E2",NA,NA,NA,NA,4312,0,FALSE,"BE2W=6.8","BE2W",6.8,"BE2W=6.8","BE2W=",6.8,NA,0,"E2","E2",6
"6LI",5363,NA,NA,NA,NA,"M1",NA,NA,NA,NA,5366,0,FALSE,"BM1W=8.3E-2","BM1W",0.083,"BM1W=8.3E-2","BM1W=",0.083,NA,0,"M1","M1",6
"7LI",477.595,NA,NA,NA,NA,"M1(+E2)",NA,NA,NA,NA,477.612,0,FALSE,"BM1W=2.75","BM1W",2.75,"BE2W=19.7","BE2W=",19.7,NA,0,"M1+E2","M1+E2",7
"7LI",4628,NA,NA,NA,NA,"E2",NA,NA,NA,NA,4630,0,FALSE,"BE2W=4.3","BE2W",4.3,"BE2W=4.3","BE2W=",4.3,NA,0,"E2","E2",7
"7BE",429.07,NA,NA,NA,NA,"M1",NA,NA,NA,NA,429.08,0,FALSE,"BM1W=2.07","BM1W",2.07,"BM1W=2.07","BM1W=",2.07,NA,0,"M1","M1",7
"8LI",980.7,NA,NA,NA,NA,"M1",NA,NA,NA,NA,980.8,0,FALSE,"BM1W=2.8","BM1W",2.8,"BM1W=2.8","BM1W=",2.8,NA,0,"M1","M1",8
"8LI",2255,NA,NA,NA,NA,"M1",NA,NA,NA,NA,2255,0,FALSE,"BM1W=0.29","BM1W",0.29,"BM1W=0.29","BM1W=",0.29,NA,0,"M1","M1",8
"8BE",16607,NA,NA,NA,NA,"E2",NA,NA,NA,NA,16626,0,FALSE,"BE2W=7.1E-2","BE2W",0.071,"BE2W=7.1E-2","BE2W=",0.071,NA,0,"E2","E2",8
"8BE",16903,NA,NA,NA,NA,"E2",NA,NA,NA,NA,16922,0,FALSE,"BE2W=7.8E-2","BE2W",0.078,"BE2W=7.8E-2","BE2W=",0.078,NA,0,"E2","E2",8
"8BE",718,NA,NA,NA,NA,"M1",NA,NA,NA,NA,17640,0,FALSE,"BM1W=0.17","BM1W",0.17,"BM1W=0.17","BM1W=",0.17,NA,0,"M1","M1",8
"8BE",1014,NA,NA,NA,NA,"M1+E2",-0.014,13,NA,NA,17640,0,FALSE,"BM1W=1.5","BM1W",1.5,"BM1W=1.5","BM1W=",1.5,NA,0,"M1+E2","M1+E2",8
"8BE",14586,NA,NA,NA,NA,"M1+E2",0.21,4,NA,NA,17640,0,FALSE,"BM1W=0.10","BM1W",0.1,"BE2W=0.23","BE2W=",0.23,NA,0,"M1+E2","M1+E2",8
"8BE",17619,NA,NA,NA,NA,"M1",NA,NA,NA,NA,17640,0,FALSE,"BM1W=0.13","BM1W",0.13,"BM1W=0.13","BM1W=",0.13,NA,0,"M1","M1",8
"8BE",1228,NA,NA,NA,NA,"M1",NA,NA,NA,NA,18150,0,FALSE,"BM1W=1.6","BM1W",1.6,"BM1W=1.6","BM1W=",1.6,NA,0,"M1","M1",8
"8BE",1524,NA,NA,NA,NA,"M1",NA,NA,NA,NA,18150,0,FALSE,"BM1W=1.0","BM1W",1,"BM1W=1.0","BM1W=",1,NA,0,"M1","M1",8
"8BE",15095,NA,NA,NA,NA,"M1",NA,NA,NA,NA,18150,0,FALSE,"BM1W=5.9E-2","BM1W",0.059,"BM1W=5.9E-2","BM1W=",0.059,NA,0,"M1","M1",8
"8BE",18128,NA,NA,NA,NA,"M1",NA,NA,NA,NA,18150,0,FALSE,"BM1W=1.5E-2","BM1W",0.015,"BM1W=1.5E-2","BM1W=",0.015,NA,0,"M1","M1",8
"8BE",1988,NA,NA,NA,NA,"E1",NA,NA,NA,NA,18910,0,FALSE,"BE1W=4.6E-2","BE1W",0.046,"BE1W=4.6E-2","BE1W=",0.046,NA,0,"E1","E1",8
"8BE",2284,NA,NA,NA,NA,"E1",NA,NA,NA,NA,18910,0,FALSE,"BE1W=5.3E-2","BE1W",0.053,"BE1W=5.3E-2","BE1W=",0.053,NA,0,"E1","E1",8
"8BE",16013,NA,NA,NA,NA,"M1",NA,NA,NA,NA,19069,0,FALSE,"BM1W=0.122","BM1W",0.122,"BM1W=0.122","BM1W=",0.122,NA,0,"M1","M1",8
"8BE",9847.6,NA,NA,NA,NA,"M1",NA,NA,NA,NA,27494.1,0,FALSE,"BM1W=1.10","BM1W",1.1,"BM1W=1.10","BM1W=",1.1,NA,0,"M1","M1",8
"8B",769.5,24,NA,NA,NA,"M1",NA,NA,NA,NA,769.5,0,FALSE,"BM1W=2.63","BM1W",2.63,"BM1W=2.63","BM1W=",2.63,NA,0,"M1","M1",8
"8B",2320,30,NA,NA,NA,"M1",NA,NA,NA,NA,2320,0,FALSE,"BM1W=0.38","BM1W",0.38,"BM1W=0.38","BM1W=",0.38,NA,0,"M1","M1",8
"9BE",1684,20,100,NA,NA,"E1",NA,NA,NA,NA,1684,0,FALSE,"BE1W=0.21","BE1W",0.21,"BE1W=0.21","BE1W=",0.21,NA,0,"E1","E1",9
"9BE",2429,13,100,NA,NA,"M1+E2",NA,NA,NA,NA,2429.4,0,FALSE,"BM1W=0.30","BM1W",0.3,"BE2W=24.4","BE2W=",24.4,NA,0,"M1+E2","M1+E2",9
"9BE",3048,9,NA,NA,NA,"E1",NA,NA,NA,NA,3049,0,FALSE,"BE1W=3.6E-2","BE1W",0.036,"BE1W=3.6E-2","BE1W=",0.036,NA,0,"E1","E1",9
"9BE",6378,60,NA,NA,NA,"E2",NA,NA,NA,NA,6380,0,FALSE,"BE2W=8.5","BE2W",8.5,"BE2W=8.5","BE2W=",8.5,NA,0,"E2","E2",9
"9BE",9683,25,11.2,24,NA,"E1",NA,NA,NA,NA,14392.2,0,FALSE,"BE1W=3.1E-3","BE1W",0.0031,"BE1W=3.1E-3","BE1W=",0.0031,NA,0,"E1","E1",9
"9BE",11336,9,16.1,34,NA,"E1",NA,NA,NA,NA,14392.2,0,FALSE,"BE1W=2.8E-3","BE1W",0.0028,"BE1W=2.8E-3","BE1W=",0.0028,NA,0,"E1","E1",9
"9BE",11954.3,22,100,5,NA,"M1",NA,NA,NA,NA,14392.2,0,FALSE,"BM1W=0.208","BM1W",0.208,"BM1W=0.208","BM1W=",0.208,NA,0,"M1","M1",9
"9BE",14380,18,88.3,44,NA,"M1",NA,NA,NA,NA,14392.2,0,FALSE,"BM1W=0.106","BM1W",0.106,"BM1W=0.106","BM1W=",0.106,NA,0,"M1","M1",9
"9BE",12264,25,12.9,13,NA,"E1",NA,NA,NA,NA,16977.1,0,FALSE,"BE1W=4.0E-3","BE1W",0.004,"BE1W=4.0E-3","BE1W=",0.004,NA,0,"E1","E1",9
"9BE",14190,12,13.3,42,NA,"M1",NA,NA,NA,NA,16977.1,0,FALSE,"BM1W=3.7E-2","BM1W",0.037,"BM1W=3.7E-2","BM1W=",0.037,NA,0,"M1","M1",9
"9BE",14535.1,14,3.3,7,NA,"E2",NA,NA,NA,NA,16977.1,0,FALSE,"BE2W=0.94","BE2W",0.94,"BE2W=0.94","BE2W=",0.94,NA,0,"E2","E2",9
"9BE",15279,20,11.8,6,NA,"E1",NA,NA,NA,NA,16977.1,0,FALSE,"BE1W=1.9E-3","BE1W",0.0019,"BE1W=1.9E-3","BE1W=",0.0019,NA,0,"E1","E1",9
"9BE",16959.9,5,100,6,NA,"M1",NA,NA,NA,NA,16977.1,0,FALSE,"BM1W=0.165","BM1W",0.165,"BM1W=0.165","BM1W=",0.165,NA,0,"M1","M1",9
"9BE",12264,25,12.9,13,NA,"E1",NA,NA,NA,NA,16977.1,0,FALSE,"BE1W=4.0E-3","BE1W",0.004,"BE1W=4.0E-3","BE1W=",0.004,NA,0,"E1","E1",9
"9BE",14190,12,13.3,42,NA,"M1",NA,NA,NA,NA,16977.1,0,FALSE,"BM1W=3.7E-2","BM1W",0.037,"BM1W=3.7E-2","BM1W=",0.037,NA,0,"M1","M1",9
"9BE",14535.1,14,3.3,7,NA,"E2",NA,NA,NA,NA,16977.1,0,FALSE,"BE2W=0.94","BE2W",0.94,"BE2W=0.94","BE2W=",0.94,NA,0,"E2","E2",9
"9BE",15279,20,11.8,6,NA,"E1",NA,NA,NA,NA,16977.1,0,FALSE,"BE1W=1.9E-3","BE1W",0.0019,"BE1W=1.9E-3","BE1W=",0.0019,NA,0,"E1","E1",9
"9BE",16959.9,5,100,6,NA,"M1",NA,NA,NA,NA,16977.1,0,FALSE,"BM1W=0.165","BM1W",0.165,"BM1W=0.165","BM1W=",0.165,NA,0,"M1","M1",9
"9BE",9683,25,11.2,24,NA,"E1",NA,NA,NA,NA,14396,0,FALSE,"BE1W=3.1E-3","BE1W",0.0031,"BE1W=3.1E-3","BE1W=",0.0031,NA,0,"E1","E1",9
"9BE",11336,9,16.1,34,NA,"E1",NA,NA,NA,NA,14396,0,FALSE,"BE1W=2.8E-3","BE1W",0.0028,"BE1W=2.8E-3","BE1W=",0.0028,NA,0,"E1","E1",9
"9BE",11954.3,22,100,5,NA,"M1",NA,NA,NA,NA,14396,0,FALSE,"BM1W=0.208","BM1W",0.208,"BM1W=0.208","BM1W=",0.208,NA,0,"M1","M1",9
"9BE",14380,18,88.3,44,NA,"M1",NA,NA,NA,NA,14396,0,FALSE,"BM1W=0.106","BM1W",0.106,"BM1W=0.106","BM1W=",0.106,NA,0,"M1","M1",9
"9B",11870,16,16,93,NA,"M1",NA,NA,NA,NA,14655,0,FALSE,"BM1W=0.033","BM1W",0.033,"BM1W=0.033","BM1W=",0.033,"FL=2.78E3",2780,"M1","M1",9
"9B",12301,11,100,11,NA,"M1",NA,NA,NA,NA,14655,0,FALSE,"BM1W=0.186","BM1W",0.186,"BM1W=0.186","BM1W=",0.186,NA,0,"M1","M1",9
"9B",14642.2,25,95.9,88,NA,"M1",NA,NA,NA,NA,14655,0,FALSE,"BM1W=0.105","BM1W",0.105,"BM1W=0.105","BM1W=",0.105,NA,0,"M1","M1",9
"9B",11870,16,16,93,NA,"M1",NA,NA,NA,NA,14660,0,FALSE,"BM1W=0.033","BM1W",0.033,"BM1W=0.033","BM1W=",0.033,NA,0,"M1","M1",9
"9B",12301,11,100,11,NA,"M1",NA,NA,NA,NA,14660,0,FALSE,"BM1W=0.186","BM1W",0.186,"BM1W=0.186","BM1W=",0.186,NA,0,"M1","M1",9
"9B",14642.2,25,95.9,88,NA,"M1",NA,NA,NA,NA,14660,0,FALSE,"BM1W=0.105","BM1W",0.105,"BM1W=0.105","BM1W=",0.105,NA,0,"M1","M1",9
"10BE",3367.415,30,100,NA,NA,"E2",NA,NA,NA,NA,3368.03,0,FALSE,"BE2W=8.00","BE2W",8,"BE2W=8.00","BE2W=",8,NA,0,"E2","E2",10
"10BE",219.4,3,24,2,NA,"E1",NA,NA,NA,NA,6179.3,0,FALSE,"BE1W=4.3E-2","BE1W",0.043,"BE1W=4.3E-2","BE1W=",0.043,"FL=5959.9",5959.9,"E1","E1",10
"10BE",2811,7,76,2,NA,"E2",NA,NA,NA,NA,6179.3,0,FALSE,"BE2W=2.5","BE2W",2.5,"BE2W=2.5","BE2W=",2.5,NA,0,"E2","E2",10
"10BE",1412,NA,15,11,NA,"E1",NA,NA,NA,NA,7371,0,FALSE,"BE2W=1.2E-1","BE2W",0.12,"BE2W=1.2E-1","BE2W=",0.12,"FL=5958.39",5958.39,"E1","E1",10
"10BE",4002,NA,85,8,NA,"E1",NA,NA,NA,NA,7371,0,FALSE,"BE2W=3.1E-2","BE2W",0.031,"BE2W=3.1E-2","BE2W=",0.031,NA,0,"E1","E1",10
"10B",718.353,19,100,NA,NA,"E2",NA,NA,NA,NA,718.38,0,FALSE,"BE2W=3.240","BE2W",3.24,"BE2W=3.240","BE2W=",3.24,NA,0,"E2","E2",10
"10B",1021.7,NA,100,NA,NA,"M1",NA,NA,NA,NA,1740.05,0,FALSE,"BM1W=4.2","BM1W",4.2,"BM1W=4.2","BM1W=",4.2,NA,0,"M1","M1",10
"10B",414.1,NA,51.6,16,NA,"M1",NA,NA,NA,NA,2154.27,0,FALSE,"BM1W=0.107","BM1W",0.107,"BM1W=0.107","BM1W=",0.107,NA,0,"M1","M1",10
"10B",1435.8,NA,27.3,9,NA,"M1+E2",-3.75,55,NA,NA,2154.27,0,FALSE,"BM1W=9.1E-5","BM1W",9.1e-05,"BE2W=12.2","BE2W=",12.2,NA,0,"M1+E2","M1+E2",10
"10B",2154.1,NA,21.1,16,NA,"E2",NA,NA,NA,NA,2154.27,0,FALSE,"BE2W=1.33","BE2W",1.33,"BE2W=1.33","BE2W=",1.33,NA,0,"E2","E2",10
"10B",1432.7,NA,14,2,NA,"M1+E2",-0.38,9,NA,NA,3587.13,0,FALSE,"BM1W=8.5E-3","BM1W",0.0085,"BM1W=8.5E-3","BM1W=",0.0085,NA,0,"M1+E2","M1+E2",10
"10B",2868.3,NA,67,3,NA,"M1+E2",9.09,8,NA,NA,3587.13,0,FALSE,"BE2W=13.9","BE2W",13.9,"BE2W=13.9","BE2W=",13.9,NA,0,"M1+E2","M1+E2",10
"10B",3586.4,NA,19,3,NA,"M1+E2",1.5,6,NA,NA,3587.13,0,FALSE,"BM1W=2.6E-4","BM1W",0.00026,"BE2W=0.90","BE2W=",0.9,NA,0,"M1+E2","M1+E2",10
"10B",4054.8,NA,99.5,1,NA,"E2",NA,NA,NA,NA,4774,0,FALSE,"BE2W=15.4","BE2W",15.4,"BE2W=15.4","BE2W=",15.4,NA,0,"E2","E2",10
"10B",4390.9,NA,31,7,NA,"E1",NA,NA,NA,NA,5110.3,0,FALSE,"BE1W=3.7E-4","BE1W",0.00037,"BE1W=3.7E-4","BE1W=",0.00037,NA,0,"E1","E1",10
"10B",5108.9,NA,64,7,NA,"E1",NA,NA,NA,NA,5110.3,0,FALSE,"BE1W=5.0E-4","BE1W",5e-04,"BE1W=5.0E-4","BE1W=",5e-04,NA,0,"E1","E1",10
"10B",1576.7,NA,7.8,3,NA,"M1",NA,NA,NA,NA,5163.9,0,FALSE,"BM1W=1.41","BM1W",1.41,"BM1W=1.41","BM1W=",1.41,NA,0,"M1","M1",10
"10B",3009.1,NA,65.3,9,NA,"M1",NA,NA,NA,NA,5163.9,0,FALSE,"BM1W=1.71","BM1W",1.71,"BM1W=1.71","BM1W=",1.71,NA,0,"M1","M1",10
"10B",4444.4,NA,22.6,6,NA,"M1",NA,NA,NA,NA,5163.9,0,FALSE,"BM1W=0.18","BM1W",0.18,"BM1W=0.18","BM1W=",0.18,NA,0,"M1","M1",10
"10B",5162.5,NA,4.4,4,NA,"M1+E2",0.12,5,NA,NA,5163.9,0,FALSE,"BM1W=2.3E-2","BM1W",0.023,"BE2W",NA,NA,NA,0,"M1+E2","M1+E2",10
"10B",3439.2,NA,100,NA,NA,"M1",NA,NA,NA,NA,5182,0,FALSE,"BM1W=7.0E-2","BM1W",0.07,"BM1W=7.0E-2","BM1W=",0.07,NA,0,"M1","M1",10
"10B",5199.7,NA,18,5,NA,"M1",NA,NA,NA,NA,5919.5,0,FALSE,"BM1W=8.6E-3","BM1W",0.0086,"BM1W=8.6E-3","BM1W=",0.0086,NA,0,"M1","M1",10
"10B",5917.6,NA,82,5,NA,"M1",NA,NA,NA,NA,5919.5,0,FALSE,"BM1W=2.6E-2","BM1W",0.026,"BM1W=2.6E-2","BM1W=",0.026,NA,0,"M1","M1",10
"10B",6023.1,NA,100,NA,NA,"M1+E2",-3.16,12,NA,NA,6024.9,0,FALSE,"BM1W=2.3E-2","BM1W",0.023,"BE2W=12.4","BE2W=",12.4,NA,0,"M1+E2","M1+E2",10
"10B",953.5,NA,3.5,10,NA,"E1",NA,NA,NA,NA,6875,0,FALSE,"BE1W=0.20","BE1W",0.2,"BE1W=0.20","BE1W=",0.2,NA,0,"E1","E1",10
"10B",1708.9,NA,3,1,NA,"E1",NA,NA,NA,NA,6875,0,FALSE,"BE1W=2.9E-2","BE1W",0.029,"BE1W=2.9E-2","BE1W=",0.029,NA,0,"E1","E1",10
"10B",1762.5,NA,4,1,NA,"M1",NA,NA,NA,NA,6875,0,FALSE,"BM1W=0.054","BM1W",0.054,"BM1W=0.054","BM1W=",0.054,NA,0,"M1","M1",10
"10B",4717.5,NA,13,1,NA,"E1",NA,NA,NA,NA,6875,0,FALSE,"BE1W=6.0E-3","BE1W",0.006,"BE1W=6.0E-3","BE1W=",0.006,NA,0,"E1","E1",10
"10B",5131.4,NA,53,2,NA,"E1",NA,NA,NA,NA,6875,0,FALSE,"BE1W=1.9E-2","BE1W",0.019,"BE1W=1.9E-2","BE1W=",0.019,NA,0,"E1","E1",10
"10B",6152.6,NA,20,2,NA,"E1",NA,NA,NA,NA,6875,0,FALSE,"BE1W=4.2E-3","BE1W",0.0042,"BE1W=4.2E-3","BE1W=",0.0042,NA,0,"E1","E1",10
"10B",2317,NA,32,NA,NA,"M1",NA,NA,NA,NA,7428,0,FALSE,"BM1W=5.8","BM1W",5.8,"BM1W=5.8","BM1W=",5.8,NA,0,"M1","M1",10
"10B",5272,NA,22,NA,NA,"E1",NA,NA,NA,NA,7428,0,FALSE,"BE1W=2.2E-2","BE1W",0.022,"BE1W=2.2E-2","BE1W=",0.022,NA,0,"E1","E1",10
"10B",6707,NA,46,NA,NA,"E1",NA,NA,NA,NA,7428,0,FALSE,"BE1W=2.3E-2","BE1W",0.023,"BE1W=2.3E-2","BE1W=",0.023,NA,0,"E1","E1",10
"10B",2380,NA,14,2,NA,"M1",NA,NA,NA,NA,7559.9,0,FALSE,"BM1W=3.1","BM1W",3.1,"BM1W=3.1","BM1W=",3.1,NA,0,"M1","M1",10
"10B",5404,NA,9,2,NA,"M1",NA,NA,NA,NA,7559.9,0,FALSE,"BM1W=0.10","BM1W",0.1,"BM1W=0.10","BM1W=",0.1,NA,0,"M1","M1",10
"10B",6839.1,NA,77,5,NA,"M1",NA,NA,NA,NA,7559.9,0,FALSE,"BM1W=0.72","BM1W",0.72,"BM1W=0.72","BM1W=",0.72,NA,0,"M1","M1",10
"10B",2639,NA,4.8,NA,NA,"M1",NA,NA,NA,NA,7750,0,FALSE,"BM1W=0.70","BM1W",0.7,"BM1W=0.70","BM1W=",0.7,NA,0,"M1","M1",10
"10B",4162,NA,3.4,NA,NA,"E1",NA,NA,NA,NA,7750,0,FALSE,"BE1W=8.3E-3","BE1W",0.0083,"BE1W=8.3E-3","BE1W=",0.0083,NA,0,"E1","E1",10
"10B",5594,NA,3.7,NA,NA,"E1",NA,NA,NA,NA,7750,0,FALSE,"BE1W=3.8","BE1W",3.8,"BE1W=3.8","BE1W=",3.8,NA,0,"E1","E1",10
"10B",7028,NA,11,NA,NA,"E1",NA,NA,NA,NA,7750,0,FALSE,"BE1W=5.8E-3","BE1W",0.0058,"BE1W=5.8E-3","BE1W=",0.0058,NA,0,"E1","E1",10
"10B",7746,NA,77,NA,NA,"E1",NA,NA,NA,NA,7750,0,FALSE,"BE1W=2.9E-2","BE1W",0.029,"BE1W=2.9E-2","BE1W=",0.029,NA,0,"E1","E1",10
"10B",8890,NA,NA,NA,NA,"E2",NA,NA,NA,NA,8895,0,FALSE,"BE2W=8.5","BE2W",8.5,"BE2W=8.5","BE2W=",8.5,NA,0,"E2","E2",10
"10C",3353.6,NA,100,NA,NA,"E2",NA,NA,NA,NA,3353.7,0,FALSE,"BE2W=9.5","BE2W",9.5,"BE2W=9.5","BE2W=",9.5,NA,0,"E2","E2",10
"11BE",320.04,10,100,NA,NA,"E1",NA,NA,NA,NA,320.04,0,FALSE,"BE1W=0.360","BE1W",0.36,"BE1W=0.360","BE1W=",0.36,NA,0,"E1","E1",11
"11B",2124.473,27,100,NA,NA,"M1",NA,NA,NA,NA,2124.693,0,FALSE,"BM1W=0.58","BM1W",0.58,"BM1W=0.58","BM1W=",0.58,NA,0,"M1","M1",11
"11B",4444.03,8,100,NA,NA,"M1+E2",0.158,NA,NA,NA,4444.98,0,FALSE,"BM1W=0.29","BM1W",0.29,"BE2W=6.1","BE2W=",6.1,NA,0,"M1+E2","M1+E2",11
"11B",2895.3,40,14.4,6,NA,"M1+E2",0.19,NA,NA,NA,5020.3,0,FALSE,"BM1W=0.54","BM1W",0.54,"BE2W=40","BE2W=",40,NA,0,"M1+E2","M1+E2",11
"11B",5018.98,40,85.6,6,NA,"M1+E2",-0.036,13,NA,NA,5020.3,0,FALSE,"BM1W=0.63","BM1W",0.63,"BE2W=0.57","BE2W=",0.57,NA,0,"M1+E2","M1+E2",11
"11B",2296.63,13,30,2,NA,"M1",NA,NA,NA,NA,6741.85,0,FALSE,"BM1W=3.5E-2","BM1W",0.035,"BM1W=3.5E-2","BM1W=",0.035,NA,0,"M1","M1",11
"11B",6739.53,16,70,2,NA,"E2",NA,NA,NA,NA,6741.85,0,FALSE,"BE2W=1.26","BE2W",1.26,"BE2W=1.26","BE2W=",1.26,NA,0,"E2","E2",11
"11B",1771.31,30,4,3,NA,"E1",NA,NA,NA,NA,6791.8,0,FALSE,"BE1W=8.3E-3","BE1W",0.0083,"BE1W=8.3E-3","BE1W=",0.0083,"FL=5020.30",5020.3,"E1","E1",11
"11B",4665.9,40,28.5,11,NA,"E1",NA,NA,NA,NA,6791.8,0,FALSE,"BE1W=3.25E-3","BE1W",0.00325,"BE1W=3.25E-3","BE1W=",0.00325,NA,0,"E1","E1",11
"11B",6789.81,50,67.5,11,NA,"E1",NA,NA,NA,NA,6791.8,0,FALSE,"BE1W=2.5E-3","BE1W",0.0025,"BE1W=2.5E-3","BE1W=",0.0025,NA,0,"E1","E1",11
"11B",2264.9,NA,7.5,10,NA,"E1+M2",0.028,NA,NA,NA,7285.51,0,FALSE,"BE1W=2.2E-2","BE1W",0.022,"BM2W",NA,NA,NA,0,"E1+M2","E1+M2",11
"11B",2840.23,NA,5.5,10,NA,"E1+M2",-0.08,NA,NA,NA,7285.51,0,FALSE,"BE1W=8.1E-3","BE1W",0.0081,"BM2W",NA,NA,NA,0,"E1+M2","E1+M2",11
"11B",7282.92,NA,87,20,NA,"E1+M2",1e-04,NA,NA,NA,7285.51,0,FALSE,"BE1W=7.6E-3","BE1W",0.0076,"BM2W",NA,NA,NA,0,"E1+M2","E1+M2",11
"11B",692.31,10,0.85,4,NA,"M1",NA,NA,NA,NA,7977.84,0,FALSE,"BM1W=1.4","BM1W",1.4,"BM1W=1.4","BM1W=",1.4,NA,0,"M1","M1",11
"11B",5851.47,42,53.2,12,NA,"E1",NA,NA,NA,NA,7977.84,0,FALSE,"BE1W=9.1E-3","BE1W",0.0091,"BE1W=9.1E-3","BE1W=",0.0091,NA,0,"E1","E1",11
"11B",7974.73,NA,46.2,11,NA,"E1",NA,NA,NA,NA,7977.84,0,FALSE,"BE1W=3.1E-3","BE1W",0.0031,"BE1W=3.1E-3","BE1W=",0.0031,NA,0,"E1","E1",11
"11B",3539.38,NA,9,1,NA,"M1",NA,NA,NA,NA,8560.1,0,FALSE,"BM1W=9.7E-2","BM1W",0.097,"BM1W=9.7E-2","BM1W=",0.097,NA,0,"M1","M1",11
"11B",4114.6,NA,5,1,NA,"M1",NA,NA,NA,NA,8560.1,0,FALSE,"BM1W=3.4E-2","BM1W",0.034,"BM1W=3.4E-2","BM1W=",0.034,NA,0,"M1","M1",11
"11B",6433.6,NA,30,2,NA,"M1",NA,NA,NA,NA,8560.1,0,FALSE,"BM1W=5.4E-2","BM1W",0.054,"BM1W=5.4E-2","BM1W=",0.054,NA,0,"M1","M1",11
"11B",8556.7,NA,56,2,NA,"M1",NA,NA,NA,NA,8560.1,0,FALSE,"BM1W=4.3E-2","BM1W",0.043,"BM1W=4.3E-2","BM1W=",0.043,NA,0,"M1","M1",11
"11B",4474.5,3,4.5,5,NA,"M1+E2",-0.061,NA,NA,NA,8920.47,0,FALSE,"BM1W=0.10","BM1W",0.1,"BE2W=0.34","BE2W=",0.34,NA,0,"M1+E2","M1+E2",11
"11B",8916.67,16,95,1,NA,"M1+E2",0,14,NA,NA,8920.47,0,FALSE,"BM1W=0.28","BM1W",0.28,"BE2W",NA,NA,NA,0,"M1+E2","M1+E2",11
"11B",2441.8,NA,12.5,11,NA,"E1",NA,NA,NA,NA,9183.5,0,FALSE,"BE1W=4.3E-3","BE1W",0.0043,"BE1W=4.3E-3","BE1W=",0.0043,NA,0,"E1","E1",11
"11B",4739,NA,86.6,23,NA,"E1",NA,NA,NA,NA,9183.5,0,FALSE,"BE1W=4.1E-3","BE1W",0.0041,"BE1W=4.1E-3","BE1W=",0.0041,NA,0,"E1","E1",11
"11B",9180.9,NA,0.9,3,NA,"M2",NA,NA,NA,NA,9183.5,0,FALSE,"BM2W=0.32","BM2W",0.32,"BM2W=0.32","BM2W=",0.32,NA,0,"M2","M2",11
"11C",2000,NA,100,NA,NA,"M1",NA,NA,NA,NA,2000,0,FALSE,"BM1W=0.38","BM1W",0.38,"BM1W=0.38","BM1W=",0.38,NA,0,"M1","M1",11
"11C",6104.5,NA,26,5,NA,"M1",NA,NA,NA,NA,8104.5,0,FALSE,"BM1W=1.9E-2","BM1W",0.019,"BM1W=1.9E-2","BM1W=",0.019,NA,0,"M1","M1",11
"11C",8104.5,NA,74,12,NA,"M1",NA,NA,NA,NA,8104.5,0,FALSE,"BM1W=2.3E-2","BM1W",0.023,"BM1W=2.3E-2","BM1W=",0.023,NA,0,"M1","M1",11
"11C",8420,NA,100,NA,NA,"M1",NA,NA,NA,NA,8420,0,FALSE,"BM1W=0.25","BM1W",0.25,"BM1W=0.25","BM1W=",0.25,NA,0,"M1","M1",11
"12BE",2109,1,100,NA,NA,"E2",NA,NA,NA,NA,2109,0,FALSE,"BE2W=8.5","BE2W",8.5,"BE2W=8.5","BE2W=",8.5,NA,0,"E2","E2",12
"12BE",142,2,17.7,NA,NA,"E2",NA,NA,NA,NA,2251,0,FALSE,"BE2W=4.21","BE2W",4.21,"BE2W=4.21","BE2W=",4.21,NA,0,"E2","E2",12
"12BE",2715,2,100,NA,NA,"E1",NA,NA,NA,NA,2715,0,FALSE,"BE1W=4.9E-3","BE1W",0.0049,"BE1W=4.9E-3","BE1W=",0.0049,NA,0,"E1","E1",12
"12BE",144,1,21.5,18,NA,"E2",NA,NA,NA,NA,2251,0,FALSE,"BE2W=4.3","BE2W",4.3,NA,NA,NA,NA,0,"E2","E2",12
"12B",953.1,NA,100,NA,NA,"M1",NA,NA,NA,NA,953.14,0,FALSE,"BM1W=0.14","BM1W",0.14,"BM1W=0.14","BM1W=",0.14,NA,0,"M1","M1",12
"12C",4438.94,NA,100,NA,NA,"E2",NA,NA,NA,NA,4439.82,0,FALSE,"BE2W=4.65","BE2W",4.65,"BE2W=4.65","BE2W=",4.65,NA,0,"E2","E2",12
"12C",3213.79,NA,100,NA,NA,"E2",NA,NA,NA,NA,7654.07,0,FALSE,"BE2W=8.26","BE2W",8.26,"BE2W=8.26","BE2W=",8.26,"FL=4439.82",4439.82,"E2","E2",12
"12C",9637,NA,100,NA,NA,"E3",NA,NA,NA,NA,9641,0,FALSE,"BE3W=12","BE3W",12,"BE3W=12","BE3W=",12,"FL=0",0,"E3","E3",12
"12C",8267,NA,15,3,NA,"M1",NA,NA,NA,NA,12710,0,FALSE,"BM1W=4.5E-3","BM1W",0.0045,"BM1W=4.5E-3","BM1W=",0.0045,"FL=4439.82",4439.82,"M1","M1",12
