SpinOrbit_Pair,jat,,,,,,,,,,,,,,,,,,,,,,,,,
1s,0.5,,0.5,0.5,0.5,1.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5,1.5,2.5,2.5,3.5,0.5,0.5,1.5,1.5,2.5,0.5,0.5,1.5
2s,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2p1/2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2p3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
3s,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3p1/2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3p3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
3d3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
3d5/2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
4s,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
4p1/2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
4p3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
4d3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
4d5/2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
4f5/2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
4f7/2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
5s,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
5p1/2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
5p3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
5d3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
5d5/2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
6s,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
6p1/2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
6p3/2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
