AX,Z,El,A,Q,Vi,Vi_q0,Ee,Ji,Jd,Jat,nlj,Occ,Div,NEECX,Type,tau_SI,Gamma_eV,oneoveroneplusalpha,AroverGamma,B_wu,B_wu_2,Yneec_th_SI,Yneec_calc_SI,Ar_SI,Ar_AU,IC_P,IC_tot,pi2_p2,pi2_p2_th,Sth,Ref,Sth_Check,Spdb_P,Spdb_tot,Ratio_P,Rneec
156GD,64,GD,156,88.966,14.224,,74.742,0,2,0.5,2s 1/2,2,1,FALSE,E2,NA,1.21E-07,0.204918032786885,0.34957595582748,189,945,33500000,,64263024.3967112,1.5544482245456E-09,0.895,3.88,NA,,0.000709,Pthesis,0.03032853005795,0.520703804475286,0.796443531376659,734.420034520855,NA
156GD,64,GD,156,88.966,14.07,,74.896,0,2,0.5,2p 1/2,2,1,TRUE,E2,NA,1.32E-07,0.204918032786885,0.320444626175189,189,945,116000000,,64263024.3967112,1.5544482245456E-09,0.895,3.88,NA,,0.00225,Pthesis,0.104586764059508,0.518564679693507,0.796443531376659,230.473190974892,NA
156GD,64,GD,156,88.966,13.286,,75.68,0,2,1.5,2p 3/2,2,1,TRUE,E2,NA,1.27E-07,0.204918032786885,0.333060556339567,189,945,159000000,,64263024.3967112,1.5544482245456E-09,0.895,3.88,NA,,0.00317,Pthesis,0.140401213643406,1.01575256891021,1.59288706275332,320.426677889658,NA
162DY,66,DY,162,80.66,15.228,,65.432,0,2,0.5,2s 1/2,2,1,FALSE,E2,NA,9.39E-08,0.140056022408964,0.313223507297174,204,1020,28100000,,44684219.5703211,1.08085958338192E-09,0.08215,6.14,NA,,0.000625,Pthesis,0.033194177647494,0.043362802145847,1.06614517382395,69.3804834333556,NA
162DY,66,DY,162,80.66,15.066,,65.594,0,2,0.5,2p 1/2,2,1,TRUE,E2,NA,1.11E-07,0.140056022408964,0.264970156173015,204,1020,159000000,,44684219.5703211,1.08085958338192E-09,0.766,6.14,NA,,0.00298,Pthesis,0.186898096257348,0.402337673393444,1.06614517382395,135.012642078337,NA
162DY,66,DY,162,80.66,14.168,,66.492,0,2,1.5,2p 3/2,2,1,TRUE,E2,NA,1.04E-07,0.140056022408964,0.282804685915429,204,1020,215000000,,44684219.5703211,1.08085958338192E-09,0.766,6.14,NA,,0.0424,Pthesis,0.245943671430079,0.783087216589974,2.13229034764791,18.469038127122,NA
163DY,66,DY,163,73.44,15.228,,58.212,2.5,3.5,0.5,2s 1/2,2,1,FALSE,E2,NA,1.06E-07,0.108108108108108,6.95031731172617E-07,286,0.00108,9180000,,111.929543986742,2.70744619565859E-15,0.099,8.25,NA,,0.000209,Pthesis,0.013701042838496,4.41021339806875E-08,1.15428303091758E-06,0.000211014995123,NA
163DY,66,DY,163,73.44,15.066,,58.374,2.5,3.5,0.5,2p 1/2,2,1,TRUE,E2,NA,1.36E-07,0.108108108108108,5.41715908119834E-07,286,0.00108,69300000,,111.929543986742,2.70744619565859E-15,1.19,8.25,NA,,0.00123,Pthesis,0.10285616117305,5.27178275225716E-07,1.15428303091758E-06,0.000428600223761,NA
163DY,66,DY,163,73.44,14.168,,59.272,2.5,3.5,1.5,2p 3/2,2,1,TRUE,E2,NA,1.25E-07,0.108108108108108,5.8938690803438E-07,286,0.00108,94400000,,111.929543986742,2.70744619565859E-15,1.29,8.25,NA,,0.00179,Pthesis,0.135896670051951,1.10858754110841E-06,2.30856606183517E-06,0.000619322648664,NA
236U,92,U,236,45.242,32.838,,12.404,0,2,0.5,2s 1/2,2,1,FALSE,E2,NA,1.76E-08,0.001694915254237,0.187757655583665,250,1250,106000000,,5020472.10484174,1.21439412835219E-10,3.85,589,NA,,0.00847,Pthesis,3.48432241267011,6.35356909309224,36.5246863045541,750.126221144303,NA
236U,92,U,236,45.242,32.544,,12.698,0,2,0.5,2p 1/2,2,1,TRUE,E2,NA,4.01E-07,0.001694915254237,0.008240735008161,250,1250,3020000000,,5020472.10484174,1.21439412835219E-10,112.5,589,NA,,0.0102,Pthesis,94.7266724784899,177.158673462941,36.5246863045541,17368.4973983275,NA
236U,92,U,236,45.242,28.371,,16.871,0,2,1.5,2p 3/2,2,1,TRUE,E2,NA,2.07E-07,0.001694915254237,0.015963935933684,250,1250,3100000000,,5020472.10484174,1.21439412835219E-10,98.5,589,NA,,0.0152,Pthesis,55.0828023978275,175.737772775084,73.0493726091082,11561.6955773082,NA
238U,92,U,236,44.91,32.837,,12.073,0,2,0.5,2s 1/2,2,1,FALSE,E2,NA,1.81E-08,0.001636661211129,0.175969761359141,250,1250,111000000,,4838946.90233012,1.17048528163926E-10,3.98,610,NA,,0.0088,Pthesis,3.85148811361141,6.68250837633788,35.7264836815816,759.375951856577,NA
238U,92,U,236,44.91,32.554,,12.356,0,2,0.5,2p 1/2,2,1,TRUE,E2,NA,4.17E-07,0.001636661211129,0.007638016020625,250,1250,3140000000,,4838946.90233012,1.17048528163926E-10,116.5,610,NA,,0.0106,Pthesis,104.018319515108,186.748433321258,35.7264836815816,17617.7767284206,NA
238U,92,U,236,44.91,28.376,,16.534,0,2,1.5,2p 3/2,2,1,TRUE,E2,NA,2.16E-07,0.001636661211129,0.014745614262039,250,1250,3230000000,,4838946.90233012,1.17048528163926E-10,102,610,NA,,0.0156,Pthesis,59.7561543140157,182.625383881874,71.4529673631632,11706.7553770432,NA
248CM,96,CM,248,43.38,36.492,,6.888,0,2,0.5,2s 1/2,2,1,FALSE,E2,NA,3.25E-08,0.000999000999001,0.114101221579813,324,1620,218000000,,5633883.88284931,1.36277134187282E-10,7.285,1000,NA,,0.0178,Pthesis,23.2383988325827,43.7509165186663,75.6900912267863,2457.91665835204,NA
248CM,96,CM,248,43.38,36.19,,7.19,0,2,0.5,2p 1/2,2,1,TRUE,E2,NA,7.24E-07,0.000999000999001,0.005121947101304,324,1620,5470000000,,5633883.88284931,1.36277134187282E-10,144,1000,NA,,0.0191,Pthesis,535.137678068419,793.685758133108,75.6900912267863,41554.2281745083,NA
248CM,96,CM,248,43.38,31.024,,12.356,0,2,1.5,2p 3/2,2,1,TRUE,E2,NA,3.54E-07,0.000999000999001,0.010475394636565,324,1620,5330000000,,5633883.88284931,1.36277134187282E-10,161.5,1000,NA,,0.022,Pthesis,176.566128348894,602.824089902637,151.380182453573,27401.0949955744,NA
