"q","Occ_after","Occ_equiv","fq","n","kappa","J_final","subshell","Capture_Config","Eres_eV","Vi_keV","GS","ICC","ICC_sum","Y_neec_SI","Ypdb","Ar","S_neec_beV","Spdb","Ratio","R_neec_p","sigma_b","shell","Gamma_neec_p"
40,3,21,0,5,2,1.5,"M4","3d3/2",3975.4446743,0.8745553257,FALSE,971.645652173837,0,58.637653033,457.110610610799,0.287497167847221,7.2726386379e-08,5.67043015421863e-07,7.79693648556693,0,0.356146581090121,"M",1.3e-07
40,3,22,0,5,-3,2.5,"M4","3d3/2",3977.9618804,0.8720381196,FALSE,453.706521739095,0,79.15544667,320.169289173881,0.287497167847221,9.8111580664e-08,3.96915817268693e-07,4.04555521970438,0,0.480459785761071,"M",1.3e-07
40,3,23,0,5,3,2.5,"M5","3d5/2",3978.0672328,0.8719327672,FALSE,2277.94782608678,0,6.9701609765,1607.4905281454,0.287497167847221,8.6391456471e-09,1.99276281462702e-06,230.666653397139,0,0.0423065456562091,"M",1.3e-07
40,3,24,0,5,4,3.5,"M5","3d5/2",3979.3159712,0.8706840288,FALSE,1735.7101449274,0,0.60069905497,1633.12936648467,0.287497167847221,7.4430015149e-10,2.02390881302888e-06,2719.21053485917,0,0.00364489379242092,"M",1.3e-07
40,3,25,0,5,-4,3.5,"M5","3d5/2",3979.3161844,0.8706838156,FALSE,1285.98260869555,0,8.9014952517,1209.98080767519,0.287497167847221,1.1029456044e-08,1.49950808478067e-06,135.954853874811,0,0.054012075354381,"M",1.3e-07
40,3,26,0,5,-5,4.5,"M5","3d5/2",3980.06249,0.86993751,FALSE,887.547826086889,0,0.73020986568,1043.86698952747,0.287497167847221,9.0460101993e-10,1.29340261719076e-06,1429.804509054,0,0.00442989919531783,"M",1.3e-07
38,5,7,0,3,-1,0.5,"L3","2p3/2",2533.2630344,2.3167369656,FALSE,462857.142857147,0,34.239011432,108875.550836689,0.287497167847221,6.673489266e-08,0.000212246889290027,3180.44850047755,0,0.326805785955263,"L",1.3e-07
38,5,8,0,3,1,0.5,"L3","2p3/2",2569.5651103,2.2804348897,FALSE,333980.357142859,0,5561.9194148,78560.514650598,0.287497167847221,1.0686778025e-05,0.000150980396409728,14.1277750933474,0,52.3339553355259,"L",1.3e-07
38,5,9,0,3,-2,1.5,"L3","2p3/2",2604.0230205,2.2459769795,FALSE,213589.285714287,0,10074.747808,100483.060459694,0.287497167847221,1.9101078882e-05,0.000190550151716418,9.97588423636028,0,93.5394191525697,"L",1.3e-07
38,5,10,0,3,2,1.5,"L3","2p3/2",2630.4542261,2.2195457739,FALSE,102672.321428572,0,188.65529087,48302.1844805684,0.287497167847221,3.5408613121e-07,9.06746912712559e-05,256.080889023803,0,1.73398640191868,"L",1.3e-07
38,5,11,0,3,-3,2.5,"M1","3s",2640.3800517,2.2096199483,FALSE,644.7348,0,258.27279063,454.973143939881,0.287497167847221,4.8292390443e-07,8.50873845746108e-07,1.76192115971232,0,2.36491466237762,"M",1.3e-07
38,5,12,0,4,-1,0.5,"M1","3s",3570.9814872,1.2790185128,FALSE,311.418,0,9.9955623541,73.2532851954375,0.287497167847221,1.3806769445e-08,1.01202478463836e-07,7.32991731823884,0,0.0676127878554429,"M",1.3e-07
38,5,13,0,4,1,0.5,"M2","3p1/2",3587.7084603,1.2622915397,FALSE,95219.999999981,0,2370.0534434,22398.1202637875,0.287497167847221,3.2583668464e-06,3.07991680867717e-05,9.45233288289811,0,15.9564673849634,"M",1.3e-07
38,5,14,0,4,-2,1.5,"M2","3p1/2",3602.1113216,1.2478886784,FALSE,46109.9999999907,0,4324.538999,21692.4453972535,0.287497167847221,5.9215599889e-06,2.9709123749177e-05,5.01711099859951,0,28.9983244014961,"M",1.3e-07
38,5,15,0,4,2,1.5,"M3","3p3/2",3614.854902,1.235145098,FALSE,162319.487179446,0,91.849020386,76363.1883008245,0.287497167847221,1.2532491602e-07,0.000104214043658706,831.550875662069,0,0.613725534681836,"M",1.3e-07
38,5,16,0,4,-3,2.5,"M3","3p3/2",3619.1244938,1.2308755062,FALSE,115336.211538432,0,125.30680405,81389.8656839301,0.287497167847221,1.7077452943e-07,0.000110942530085846,649.643307208296,0,0.836295708091596,"M",1.3e-07
38,5,17,0,4,3,2.5,"M3","3p3/2",3626.3892867,1.2236107133,FALSE,73254.7179486993,0,8.135673871,51694.0133114406,0.287497167847221,1.1065425121e-08,7.03224524577378e-05,6355.15144594667,0,0.0541882186283195,"M",1.3e-07
38,5,18,0,4,-4,3.5,"M3","3p3/2",3628.3848831,1.2216151169,FALSE,35056.3461538372,0,10.423125726,32984.5098577091,0.287497167847221,1.4168790486e-08,4.48460319470138e-05,3165.12774970634,0,0.0693856321070867,"M",1.3e-07
38,5,19,0,5,-1,0.5,"M4","3d3/2",4042.2134268,0.8077865732,FALSE,2206.33913043461,0,4.315843785,518.986023799459,0.287497167847221,5.2640429637e-09,6.33123712916848e-07,120.273279926241,0,0.0257784141021836,"M",1.3e-07
38,5,20,0,5,1,0.5,"M4","3d3/2",4050.6111182,0.7993888818,FALSE,1558.40543478249,0,1215.2101316,366.575849065376,0.287497167847221,1.4790980224e-06,4.46264049724058e-07,0.30171364099314,0,7.2432542025356,"M",1.3e-07
38,5,21,0,5,-2,1.5,"M4","3d3/2",4057.926817,0.792073183,FALSE,971.645652173837,0,2226.3365803,457.110610610799,0.287497167847221,2.704891915e-06,5.55472546392096e-07,0.205358500024241,0,13.2460590400478,"M",1.3e-07
38,5,22,0,5,2,1.5,"M4","3d3/2",4064.260379,0.785739621,FALSE,453.706521739095,0,49.921028896,213.446192782587,0.287497167847221,6.0557169222e-08,2.58970154645973e-07,4.27645740336044,0,0.29655300988719,"M",1.3e-07
38,5,23,0,5,-3,2.5,"M5","3d5/2",4066.4473556,0.7835526444,FALSE,2277.94782608678,0,67.992259824,1607.4905281454,0.287497167847221,8.2434111894e-08,1.94928423143754e-06,23.646572840429,0,0.403686042686785,"M",1.3e-07
38,5,24,0,5,3,2.5,"M5","3d5/2",4069.9731296,0.7800268704,FALSE,1735.7101449274,0,5.5259254874,1224.84702486351,0.287497167847221,6.6938301494e-09,1.48398912651679e-06,221.695067456979,0,0.0327801894306022,"M",1.3e-07
38,5,25,0,5,-4,3.5,"M5","3d5/2",4070.9983348,0.7790016652,FALSE,1285.98260869555,0,7.0691663973,1209.98080767519,0.287497167847221,8.5610700709e-09,1.46560700557773e-06,171.194370965317,0,0.0419242036904559,"M",1.3e-07
