Z,Ebind,Occ,Element,subshell,CCp,Eic,Vi_q0,nmax,nh,shell_colours,multiplier
12,1.76180488,2,Magnesium,K,4.39E-06,1998.7,1.29999999999995,2,1,"rgb(123,104,238)",0.677617261538485
12,0.367489,3,Magnesium,L1,2.82E-07,1999.91,0.089999999999918,2,2,"rgb(25,25,112)",4.08321111111483
12,0.32799,4,Magnesium,L1,2.82E-07,1999.91,0.089999999999918,2,1,"rgb(25,25,112)",1.82216666666832
12,0.265924,5,Magnesium,L2,1.452E-10,1999.95,0.049999999999955,2,2,"rgb(0,0,139)",5.31848000000484
12,0.22502,6,Magnesium,L2,1.452E-10,1999.95,0.049999999999955,2,1,"rgb(0,0,139)",2.25020000000205
12,0.18676,7,Magnesium,L3,2.87E-10,1999.95,0.049999999999955,4,4,"rgb(0,0,205)",3.7352000000034
12,0.14133,8,Magnesium,L3,2.87E-10,1999.95,0.049999999999955,4,3,"rgb(0,0,205)",2.11995000000193
12,0.1092654,9,Magnesium,L3,2.87E-10,1999.95,0.049999999999955,4,2,"rgb(0,0,205)",1.09265400000099
12,0.0801436,10,Magnesium,L3,2.87E-10,1999.95,0.049999999999955,4,1,"rgb(0,0,205)",0.400718000000364
12,0.015035271,11,Magnesium,M1,1.045E-08,2000,0.015035271,2,2,"rgb(0,0,255)",1
12,0.007646236,12,Magnesium,M1,1.045E-08,2000,0.007646236,2,2,"rgb(0,0,255)",1
13,2.30414007,1,Aluminum,K,5.55E-06,1998.44,1.55999999999995,2,2,"rgb(123,104,238)",1.47701286538467
13,2.08597702,2,Aluminum,K,5.55E-06,1998.44,1.55999999999995,2,1,"rgb(123,104,238)",0.668582378205152
13,0.442005,3,Aluminum,L1,3.77E-07,1999.88,0.119999999999891,2,2,"rgb(25,25,112)",3.68337500000335
13,0.39865,4,Aluminum,L1,3.77E-07,1999.88,0.119999999999891,2,1,"rgb(25,25,112)",1.66104166666818
13,0.33021,5,Aluminum,L2,2.45E-10,1999.93,0.069999999999936,2,2,"rgb(0,0,139)",4.71728571429
13,0.28464,6,Aluminum,L2,2.45E-10,1999.93,0.069999999999936,2,1,"rgb(0,0,139)",2.03314285714471
13,0.24176,7,Aluminum,L3,4.75E-10,1999.93,0.069999999999936,4,4,"rgb(0,0,205)",3.45371428571743
13,0.19049,8,Aluminum,L3,4.75E-10,1999.93,0.069999999999936,4,3,"rgb(0,0,205)",2.04096428571614
13,0.1538252,9,Aluminum,L3,4.75E-10,1999.93,0.069999999999936,4,2,"rgb(0,0,205)",1.09875142857243
13,0.1199924,10,Aluminum,L3,4.75E-10,1999.93,0.069999999999936,4,1,"rgb(0,0,205)",0.428544285714675
13,0.028447642,11,Aluminum,M1,2.01E-08,2000,0.028447642,2,2,"rgb(0,0,255)",1
13,0.01882855,12,Aluminum,M1,2.01E-08,2000,0.01882855,2,1,"rgb(0,0,255)",0.5
13,0.005985769,13,Aluminum,M2,7.76E-12,1999.99,0.009999999999991,2,2,"rgb(65,105,225)",0.598576900000544
14,2.67317755,1,Silicon,K,6.89E-06,1998.16,1.83999999999992,2,2,"rgb(123,104,238)",1.45281388586963
14,2.43765815,2,Silicon,K,6.89E-06,1998.16,1.83999999999992,2,1,"rgb(123,104,238)",0.66240710597829
14,0.523415,3,Silicon,L1,4.91E-07,1999.85,0.150000000000091,2,2,"rgb(25,25,112)",3.48943333333122
14,0.476273,4,Silicon,L1,4.91E-07,1999.85,0.150000000000091,2,1,"rgb(25,25,112)",1.5875766666657
14,0.40138,5,Silicon,L2,3.93E-10,1999.9,0.099999999999909,2,2,"rgb(0,0,139)",4.01380000000365
14,0.35128,6,Silicon,L2,3.93E-10,1999.9,0.099999999999909,2,1,"rgb(0,0,139)",1.7564000000016
14,0.30359,7,Silicon,L3,7.46E-10,1999.9,0.099999999999909,4,4,"rgb(0,0,205)",3.03590000000276
14,0.24657,8,Silicon,L3,7.46E-10,1999.9,0.099999999999909,4,3,"rgb(0,0,205)",1.84927500000168
14,0.205279,9,Silicon,L3,7.46E-10,1999.9,0.099999999999909,4,2,"rgb(0,0,205)",1.02639500000093
14,0.166767,10,Silicon,L3,7.46E-10,1999.9,0.099999999999909,4,1,"rgb(0,0,205)",0.416917500000379
14,0.04514179,11,Silicon,M1,3.24E-08,1999.99,0.009999999999991,2,2,"rgb(0,0,255)",4.51417900000411
14,0.033493,12,Silicon,M1,3.24E-08,1999.99,0.009999999999991,2,1,"rgb(0,0,255)",1.67465000000152
14,0.01634585,13,Silicon,M2,1.709E-11,2000,0.01634585,2,2,"rgb(65,105,225)",1
14,0.00815168,14,Silicon,M2,1.709E-11,2000,0.00815168,2,2,"rgb(65,105,225)",1
15,3.0698416,1,Phosphorus,K,8.43E-06,1997.85,2.15000000000009,2,2,"rgb(123,104,238)",1.42783330232552
15,2.81690879,2,Phosphorus,K,8.43E-06,1997.85,2.15000000000009,2,1,"rgb(123,104,238)",0.655095067441833
15,0.611741,3,Phosphorus,L1,6.25E-07,1999.81,0.190000000000055,2,2,"rgb(25,25,112)",3.21968947368329
15,0.56062,4,Phosphorus,L1,6.25E-07,1999.81,0.190000000000055,2,1,"rgb(25,25,112)",1.47531578947326
15,0.47944,5,Phosphorus,L2,6.03E-10,1999.86,0.1400000000001,2,2,"rgb(0,0,139)",3.42457142856898
15,0.4244,6,Phosphorus,L2,6.03E-10,1999.86,0.1400000000001,2,1,"rgb(0,0,139)",1.5157142857132
15,0.37231,7,Phosphorus,L3,1.126E-09,1999.86,0.1400000000001,4,4,"rgb(0,0,205)",2.65935714285524
15,0.3096,8,Phosphorus,L3,1.126E-09,1999.86,0.1400000000001,4,3,"rgb(0,0,205)",1.65857142857024
15,0.26357,9,Phosphorus,L3,1.126E-09,1999.86,0.1400000000001,4,2,"rgb(0,0,205)",0.941321428570756
15,0.22043,10,Phosphorus,L3,1.126E-09,1999.86,0.1400000000001,4,1,"rgb(0,0,205)",0.393624999999719
15,0.06502511,11,Phosphorus,M1,4.75E-08,1999.98,0.019999999999982,2,2,"rgb(0,0,255)",3.25125550000296
15,0.05144387,12,Phosphorus,M1,4.75E-08,1999.98,0.019999999999982,2,1,"rgb(0,0,255)",1.28609675000117
15,0.03020264,13,Phosphorus,M2,3.26E-11,1999.99,0.009999999999991,2,2,"rgb(65,105,225)",3.02026400000275
15,0.01976949,14,Phosphorus,M2,3.26E-11,1999.99,0.009999999999991,2,1,"rgb(65,105,225)",0.988474500000899
15,0.010486686,15,Phosphorus,M3,6.25E-11,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",0.524334300000477
16,3.4941879,1,Sulfur,K,1.016E-05,1997.53,2.47000000000003,2,2,"rgb(123,104,238)",1.4146509716599
16,3.2237807,2,Sulfur,K,1.016E-05,1997.53,2.47000000000003,2,1,"rgb(123,104,238)",0.652587186234811
16,0.706994,3,Sulfur,L1,7.81E-07,1999.77,0.230000000000018,2,2,"rgb(25,25,112)",3.0738869565215
16,0.65196,4,Sulfur,L1,7.81E-07,1999.77,0.230000000000018,2,1,"rgb(25,25,112)",1.41730434782597
16,0.56441,5,Sulfur,L2,8.95E-10,1999.83,0.170000000000073,2,2,"rgb(0,0,139)",3.32005882352799
16,0.50455,6,Sulfur,L2,8.95E-10,1999.83,0.170000000000073,2,1,"rgb(0,0,139)",1.48397058823466
16,0.4477,7,Sulfur,L3,1.644E-09,1999.84,0.160000000000082,4,4,"rgb(0,0,205)",2.79812499999857
16,0.37984,8,Sulfur,L3,1.644E-09,1999.84,0.160000000000082,4,3,"rgb(0,0,205)",1.78049999999909
16,0.328794,9,Sulfur,L3,1.644E-09,1999.84,0.160000000000082,4,2,"rgb(0,0,205)",1.02748124999947
16,0.280954,10,Sulfur,L3,1.644E-09,1999.84,0.160000000000082,4,1,"rgb(0,0,205)",0.438990624999775
16,0.0880529,11,Sulfur,M1,6.59E-08,1999.98,0.019999999999982,2,2,"rgb(0,0,255)",4.402645000004
16,0.0725945,12,Sulfur,M1,6.59E-08,1999.98,0.019999999999982,2,1,"rgb(0,0,255)",1.81486250000165
16,0.047222,13,Sulfur,M2,5.66E-11,1999.99,0.009999999999991,2,2,"rgb(65,105,225)",4.7222000000043
16,0.03486,14,Sulfur,M2,5.66E-11,1999.99,0.009999999999991,2,1,"rgb(65,105,225)",1.74300000000159
16,0.02333788,15,Sulfur,M3,1.054E-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",1.16689400000106
16,0.01036001,16,Sulfur,M3,1.054E-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",0.518000500000471
17,3.9462909,1,Chlorine,K,1.211E-05,1997.18,2.81999999999994,2,2,"rgb(123,104,238)",1.39939393617024
17,3.6583438,2,Chlorine,K,1.211E-05,1997.18,2.81999999999994,2,1,"rgb(123,104,238)",0.648642517730511
17,0.809198,3,Chlorine,L1,9.59E-07,1999.73,0.269999999999982,2,2,"rgb(25,25,112)",2.99702962962983
17,0.75023,4,Chlorine,L1,9.59E-07,1999.73,0.269999999999982,2,1,"rgb(25,25,112)",1.38931481481491
17,0.6563,5,Chlorine,L2,1.289E-09,1999.8,0.200000000000045,2,2,"rgb(0,0,139)",3.28149999999925
17,0.59158,6,Chlorine,L2,1.289E-09,1999.8,0.200000000000045,2,1,"rgb(0,0,139)",1.47894999999966
