"Z","Species","CS","Occ","Element","Iso_elec","Ground_Shells","Ground_Config","Ground_Level","Ionized_Level","IE","IE_uncertainty","References"
10,"Ne VI",5,5,"Neon","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.157934,5e-06,"L9340"
10,"Ne VII",6,4,"Neon","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.207271,1.2e-05,"L9089"
10,"Ne VIII",7,3,"Neon","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.239097,1.9e-06,"L9090"
10,"Ne IX",8,2,"Neon","He","1s2","1s2","1S0","1s 2S1/2",1.19580784,1.5e-07,"L10054"
10,"Ne X",9,1,"Neon","H","1s","1s","2S1/2",NA,1.36219916,9e-08,"L7188"
11,"Na I",0,11,"Sodium","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.00513907696,2.5e-10,"L10921,L9648"
11,"Na II",1,10,"Sodium","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.04728636,2.5e-07,"L914"
11,"Na III",2,9,"Sodium","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.07162,1.2e-06,"L5793,L2720"
11,"Na IV",3,8,"Sodium","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.098936,1.2e-05,"L11770"
11,"Na V",4,7,"Sodium","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.138404,1.2e-05,"L7482"
11,"Na VI",5,6,"Sodium","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.17223,5e-05,"L11770"
11,"Na VII",6,5,"Sodium","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.208504,1.2e-05,"L11770"
11,"Na VIII",7,4,"Sodium","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.264192,2.2e-05,"L11770"
11,"Na IX",8,3,"Sodium","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.299856,7e-06,"L16264c99"
11,"Na X",9,2,"Sodium","He","1s2","1s2","1S0","1s 2S1/2",1.465134502,2.5e-08,"L13237"
11,"Na XI",10,1,"Sodium","H","1s","1s","2S1/2",NA,1.6487022,1.2e-07,"L7188"
12,"Mg I",0,12,"Magnesium","Mg","Ne3s2","2p63s2","1S0","3s 2S1/2",0.007646236,4e-09,"L10635,L6969"
12,"Mg II",1,11,"Magnesium","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.015035271,6e-09,"L10635"
12,"Mg III",2,10,"Magnesium","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.0801436,6e-07,"L4995,L1434"
12,"Mg IV",3,9,"Magnesium","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.1092654,1.2e-06,"L4995,L2720"
12,"Mg V",4,8,"Magnesium","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.14133,3e-05,"L11770"
