"Z","Species","CS","Occ","Element","Iso_elec","Ground_Shells","Ground_Config","Ground_Level","Ionized_Level","IE","IE_uncertainty","References"
58,"Ce XIX",18,40,"Cerium","Zr","Kr4d4","4d4","5D0","4d3 4F3/2",0.509,0.003,"L8672c99"
58,"Ce XX",19,39,"Cerium","Y","Kr4d3","4d3","4F3/2","4d2 3F2",0.543,0.004,"L8672c99"
58,"Ce XXI",20,38,"Cerium","Sr","Kr4d2","4d2","3F2","4d 2D3/2",0.579,0.004,"L8672c99"
58,"Ce XXII",21,37,"Cerium","Rb","Kr4d","4d","2D3/2","4p6 1S0",0.613,0.004,"L8672c99"
58,"Ce XXIII",22,36,"Cerium","Kr","Ar3d104s24p6","4p6","1S0","4p5 2P°3/2",0.749,0.004,"L8672c99"
58,"Ce XXIV",23,35,"Cerium","Br","Ar3d104s24p5","4p5","2P°3/2","4p4 3P2",0.785,0.004,"L8672c99"
58,"Ce XXV",24,34,"Cerium","Se","Ar3d104s24p4","4p4","3P2","4p3 4S°3/2",0.824,0.004,"L8672c99"
58,"Ce XXVI",25,33,"Cerium","As","Ar3d104s24p3","4p3","4S°3/2","4p2 3P0",0.862,0.004,"L8672c99"
58,"Ce XXVII",26,32,"Cerium","Ge","Ar3d104s24p2","4p2","3P0","4p 2P°1/2",0.924,0.004,"L8672c99"
58,"Ce XXVIII",27,31,"Cerium","Ga","Ar3d104s24p","4p","2P°1/2","4s2 1S0",0.965,0.004,"L8672c99"
58,"Ce XXIX",28,30,"Cerium","Zn","Ar3d104s2","4s2","1S0","4s 2S1/2",1.06,0.004,"L8672c99"
58,"Ce XXX",29,29,"Cerium","Cu","Ar3d104s","4s","2S1/2","3d10 1S0",1.1035,5e-04,"L10278"
58,"Ce XXXI",30,28,"Cerium","Ni","Ar3d10","3d10","1S0","3d9 2D5/2",1.908,0.004,"L8672c99"
58,"Ce XXXII",31,27,"Cerium","Co","Ar3d9","3d9","2D5/2","3d8 3F4",1.994,0.004,"L8672c99"
58,"Ce XXXIII",32,26,"Cerium","Fe","Ar3d8","3d8","3F4","3d7 4F9/2",2.087,0.004,"L8672c99"
58,"Ce XXXIV",33,25,"Cerium","Mn","Ar3d7","3d7","4F9/2","3d6 4",2.185,0.005,"L8672c99"
58,"Ce XXXV",34,24,"Cerium","Cr","Ar3d6","3d6","4","3d5 5/2",2.28,0.005,"L8672c99"
58,"Ce XXXVI",35,23,"Cerium","V","Ar3d5","3d5","5/2","3d4 5D0",2.378,0.005,"L8672c99"
58,"Ce XXXVII",36,22,"Cerium","Ti","Ar3d4","3d4","5D0","3d3 4F3/2",2.5,0.005,"L8672c99"
58,"Ce XXXVIII",37,21,"Cerium","Sc","Ar3d3","3d3","4F3/2","3d2 3F2",2.6,0.004,"L8672c99"
58,"Ce XXXIX",38,20,"Cerium","Ca","Ar3d2","3d2","3F2","3d 2D3/2",2.706,0.004,"L8672c99"
58,"Ce XL",39,19,"Cerium","K","Ar3d","3d","2D3/2","3p6 1S0",2.806,0.004,"L8672c99"
58,"Ce XLI",40,18,"Cerium","Ar","Ne3s23p6","3p6","1S0","3p5 2P°3/2",3.087,0.004,"L8672c99"
58,"Ce XLII",41,17,"Cerium","Cl","Ne3s23p5","3p5","2P°3/2","3p4 3P2",3.176,0.004,"L8672c99"
58,"Ce XLIII",42,16,"Cerium","S","Ne3s23p4","3p4","3P2","3p3 2P°3/2",3.274,0.004,"L8672c99"
58,"Ce XLIV",43,15,"Cerium","P","Ne3s23p3","3p3","2P°3/2","3p2 3P0",3.366,0.004,"L8672c99"
58,"Ce XLV",44,14,"Cerium","Si","Ne3s23p2","3p2","3P0","3p 2P°1/2",3.57,0.004,"L8672c99"
58,"Ce XLVI",45,13,"Cerium","Al","Ne3s23p","3p","2P°1/2","3s2 1S0",3.672,0.004,"L8672c99"
58,"Ce XLVII",46,12,"Cerium","Mg","Ne3s2","3s2","1S0","3s 2S1/2",3.865,0.004,"L8672c99"
58,"Ce XLVIII",47,11,"Cerium","Na","Ne3s","3s","2S1/2","2p6 1S0",3.963,0.004,"L8672c99"
58,"Ce XLIX",48,10,"Cerium","Ne","1s22s22p6","2p6","1S0","2p5 2P°3/2",9.02,0.004,"L8672c99"
58,"Ce L",49,9,"Cerium","F","1s22s22p5","2p5","2P°3/2","2p4 3P2",9.269,0.004,"L8672c99"
58,"Ce LI",50,8,"Cerium","O","1s22s22p4","2p4","3P2","2p21/22p3/2 0,3/2°3/2",9.545,0.004,"L8672c99"
58,"Ce LII",51,7,"Cerium","N","1s22s22p3","2p21/22p3/2","0,3/2°3/2","2p2 3P0",9.803,0.004,"L8672c99"
58,"Ce LIII",52,6,"Cerium","C","1s22s22p2","2p2","3P0","2p 2P°1/2",10.542,0.004,"L8672c99"
58,"Ce LIV",53,5,"Cerium","B","1s22s22p","2p","2P°1/2","2s2 1S0",10.84,0.005,"L8672c99"
58,"Ce LV",54,4,"Cerium","Be","1s22s2","2s2","1S0","2s 2S1/2",11.21,0.005,"L8672c99"
58,"Ce LVI",55,3,"Cerium","Li","1s22s","2s","2S1/2","1s2 1S0",11.45985,6e-05,"L16264c99"
58,"Ce LVII",56,2,"Cerium","He","1s2","1s2","1S0","1s 2S1/2",46.840306,2.4e-05,"L12128"
58,"Ce LVIII",57,1,"Cerium","H","1s","1s","2S1/2",NA,47.96572,6e-05,"L7188"
59,"Pr I",0,59,"Praseodymium","Pr","Xe4f36s2","4f36s2","4I°9/2","4f34I°6s 9/2,1/2°4",0.0054702,4e-07,"L19006"
59,"Pr II",1,58,"Praseodymium","Ce","Xe4f36s","4f34I°9/26s1/2","9/2,1/2°4","4f35s25p6 4I°9/2",0.010631,2e-05,"L19870c180"
59,"Pr III",2,57,"Praseodymium","La","Xe4f3","4f3","4I°9/2","4f25s25p6 3H4",0.0216237,2.5e-06,"L3974,L3420"
59,"Pr IV",3,56,"Praseodymium","Ba","Xe4f2","4f2","3H4","4f5s25p6 2F°5/2",0.038981,2.5e-05,"L3974,L3420"
59,"Pr V",4,55,"Praseodymium","Cs","Xe4f","5p64f","2F°5/2","5s25p6 1S0",0.05753,5e-05,"L3974,L4095"
59,"Pr VI",5,54,"Praseodymium","Xe","Cd5p6","5s25p6","1S0","4f5s25p4°",0.082,0.004,"L582"
59,"Pr VII",6,53,"Praseodymium","I","Cd4f5p4","4f5s25p4","°","4f5s25p3",0.097,0.005,"L582"
59,"Pr VIII",7,52,"Praseodymium","Te","Cd4f5p3","4f5s25p3",NA,"4f5s25p2°",0.112,0.006,"L582"
59,"Pr IX",8,51,"Praseodymium","Sb","Cd4f5p2","4f5s25p2","°","5s24f2",0.131,0.007,"L582"
59,"Pr X",9,50,"Praseodymium","Sn","Cd4f2","5s24f2",NA,"5s25p 2P°1/2",0.148,0.007,"L582"
59,"Pr XI",10,49,"Praseodymium","In","Cd5p","5s25p","2P°1/2","5s2 1S0",0.162,0.0024,"L8672c99"
59,"Pr XII",11,48,"Praseodymium","Cd","Kr4d105s2","5s2","1S0","5s 2S1/2",0.196,0.0025,"L8672c99"
59,"Pr XIII",12,47,"Praseodymium","Ag","Kr4d105s","5s","2S1/2","4d10 1S0",0.21702,0.00012,"L5532"
59,"Pr XIV",13,46,"Praseodymium","Pd","Kr4d10","4d10","1S0","4d9 2D5/2",0.35,0.003,"L8672c99"
59,"Pr XV",14,45,"Praseodymium","Rh","Kr4d9","4d9","2D5/2","4d8 3F4",0.378,0.003,"L8672c99"
59,"Pr XVI",15,44,"Praseodymium","Ru","Kr4d8","4d8","3F4","4d7 4F9/2",0.412,0.003,"L8672c99"
59,"Pr XVII",16,43,"Praseodymium","Tc","Kr4d7","4d7","4F9/2","4d6 5D4",0.445,0.003,"L8672c99"
59,"Pr XVIII",17,42,"Praseodymium","Mo","Kr4d6","4d6","5D4","4d5 6S5/2",0.478,0.003,"L8672c99"
59,"Pr XIX",18,41,"Praseodymium","Nb","Kr4d5","4d5","6S5/2","4d4 5D0",0.516,0.003,"L8672c99"
59,"Pr XX",19,40,"Praseodymium","Zr","Kr4d4","4d4","5D0","4d3 4F3/2",0.554,0.004,"L8672c99"
59,"Pr XXI",20,39,"Praseodymium","Y","Kr4d3","4d3","4F3/2","4d2 3F2",0.59,0.004,"L8672c99"
59,"Pr XXII",21,38,"Praseodymium","Sr","Kr4d2","4d2","3F2","4d 2D3/2",0.627,0.004,"L8672c99"
59,"Pr XXIII",22,37,"Praseodymium","Rb","Kr4d","4d","2D3/2","4p6 1S0",0.663,0.004,"L8672c99"
59,"Pr XXIV",23,36,"Praseodymium","Kr","Ar3d104s24p6","4p6","1S0","4p5 2P°3/2",0.803,0.004,"L8672c99"
59,"Pr XXV",24,35,"Praseodymium","Br","Ar3d104s24p5","4p5","2P°3/2","4p4 3P2",0.84,0.004,"L8672c99"
59,"Pr XXVI",25,34,"Praseodymium","Se","Ar3d104s24p4","4p4","3P2","4p3 4S°3/2",0.88,0.004,"L8672c99"
59,"Pr XXVII",26,33,"Praseodymium","As","Ar3d104s24p3","4p3","4S°3/2","4p2 3P0",0.92,0.004,"L8672c99"
59,"Pr XXVIII",27,32,"Praseodymium","Ge","Ar3d104s24p2","4p2","3P0","4p 2P°1/2",0.985,0.004,"L8672c99"
59,"Pr XXIX",28,31,"Praseodymium","Ga","Ar3d104s24p","4p","2P°1/2","4s2 1S0",1.028,0.004,"L8672c99"
59,"Pr XXX",29,30,"Praseodymium","Zn","Ar3d104s2","4s2","1S0","4s 2S1/2",1.124,0.004,"L8672c99"
59,"Pr XXXI",30,29,"Praseodymium","Cu","Ar3d104s","4s","2S1/2","3d10 1S0",1.1699,6e-04,"L10278"
59,"Pr XXXII",31,28,"Praseodymium","Ni","Ar3d10","3d10","1S0","3d9 2D5/2",2.019,0.004,"L8672c99"
59,"Pr XXXIII",32,27,"Praseodymium","Co","Ar3d9","3d9","2D5/2","3d8 3F4",2.108,0.004,"L8672c99"
59,"Pr XXXIV",33,26,"Praseodymium","Fe","Ar3d8","3d8","3F4","3d7 4F9/2",2.202,0.005,"L8672c99"
59,"Pr XXXV",34,25,"Praseodymium","Mn","Ar3d7","3d7","4F9/2","3d6 4",2.304,0.005,"L8672c99"
59,"Pr XXXVI",35,24,"Praseodymium","Cr","Ar3d6","3d6","4","3d5 5/2",2.4,0.005,"L8672c99"
59,"Pr XXXVII",36,23,"Praseodymium","V","Ar3d5","3d5","5/2","3d4 5D0",2.501,0.005,"L8672c99"
59,"Pr XXXVIII",37,22,"Praseodymium","Ti","Ar3d4","3d4","5D0","3d3 4F3/2",2.628,0.004,"L8672c99"
59,"Pr XXXIX",38,21,"Praseodymium","Sc","Ar3d3","3d3","4F3/2","3d2 3F2",2.729,0.004,"L8672c99"
59,"Pr XL",39,20,"Praseodymium","Ca","Ar3d2","3d2","3F2","3d 2D3/2",2.838,0.004,"L8672c99"
59,"Pr XLI",40,19,"Praseodymium","K","Ar3d","3d","2D3/2","3p6 1S0",2.941,0.004,"L8672c99"
59,"Pr XLII",41,18,"Praseodymium","Ar","Ne3s23p6","3p6","1S0","3p5 2P°3/2",3.227,0.004,"L8672c99"
59,"Pr XLIII",42,17,"Praseodymium","Cl","Ne3s23p5","3p5","2P°3/2","3p4 3P2",3.319,0.004,"L8672c99"
59,"Pr XLIV",43,16,"Praseodymium","S","Ne3s23p4","3p4","3P2","3p3 2P°3/2",3.419,0.004,"L8672c99"
59,"Pr XLV",44,15,"Praseodymium","P","Ne3s23p3","3p3","2P°3/2","3p2 3P0",3.512,0.004,"L8672c99"
59,"Pr XLVI",45,14,"Praseodymium","Si","Ne3s23p2","3p2","3P0","3p 2P°1/2",3.729,0.004,"L8672c99"
59,"Pr XLVII",46,13,"Praseodymium","Al","Ne3s23p","3p","2P°1/2","3s2 1S0",3.832,0.004,"L8672c99"
59,"Pr XLVIII",47,12,"Praseodymium","Mg","Ne3s2","3s2","1S0","3s 2S1/2",4.03,0.004,"L8672c99"
59,"Pr XLIX",48,11,"Praseodymium","Na","Ne3s","3s","2S1/2","2p6 1S0",4.13,0.004,"L8672c99"
59,"Pr L",49,10,"Praseodymium","Ne","1s22s22p6","2p6","1S0","2p5 2P°3/2",9.378,0.004,"L8672c99"
59,"Pr LI",50,9,"Praseodymium","F","1s22s22p5","2p5","2P°3/2","2p4 3P2",9.632,0.004,"L8672c99"
59,"Pr LII",51,8,"Praseodymium","O","1s22s22p4","2p4","3P2","2p21/22p3/2 0,3/2°3/2",9.913,0.004,"L8672c99"
59,"Pr LIII",52,7,"Praseodymium","N","1s22s22p3","2p21/22p3/2","0,3/2°3/2","2p2 3P0",10.175,0.004,"L8672c99"
59,"Pr LIV",53,6,"Praseodymium","C","1s22s22p2","2p2","3P0","2p 2P°1/2",10.959,0.005,"L8672c99"
59,"Pr LV",54,5,"Praseodymium","B","1s22s22p","2p","2P°1/2","2s2 1S0",11.262,0.005,"L8672c99"
59,"Pr LVI",55,4,"Praseodymium","Be","1s22s2","2s2","1S0","2s 2S1/2",11.641,0.005,"L8672c99"
59,"Pr LVII",56,3,"Praseodymium","Li","1s22s","2s","2S1/2","1s2 1S0",11.89589,6e-05,"L16264c99"
59,"Pr LVIII",57,2,"Praseodymium","He","1s2","1s2","1S0","1s 2S1/2",48.57171,3e-05,"L12128"
59,"Pr LIX",58,1,"Praseodymium","H","1s","1s","2S1/2",NA,49.72225,7e-05,"L7188"
60,"Nd I",0,60,"Neodymium","Nd","Xe4f46s2","4f46s2","5I4","4f45s25p66s 6I°7/2",0.005525,6e-07,"L4277"
60,"Nd II",1,59,"Neodymium","Pr","Xe4f46s","4f45I6s","6I7/2","4f45s25p6 5I4",0.010783,2e-05,"L19870c180"
60,"Nd III",2,58,"Neodymium","Ce","Xe4f4","4f4","5I4","4f35s25p6 4I°9/2",0.02209,4e-05,"L19883c180"
60,"Nd IV",3,57,"Neodymium","La","Xe4f3","4f3","4I°9/2","4f25s25p6 3H4",0.0406,4e-05,"L19883c180"
60,"Nd V",4,56,"Neodymium","Ba","Xe4f2","4f25s25p6","3H4","4f25s25p5°",0.06,3e-04,"L4095"
60,"Nd VI",5,55,"Neodymium","Cs","Cd4f25p5","4f25s25p5","°","4f25s25p4",0.084,0.004,"L582"
60,"Nd VII",6,54,"Neodymium","Xe","Cd4f25p4","4f25s25p4",NA,"4f25s25p3°",0.099,0.005,"L582"
60,"Nd VIII",7,53,"Neodymium","I","Cd4f25p3","4f25s25p3","°","4f25s25p2",0.114,0.006,"L582"
60,"Nd IX",8,52,"Neodymium","Te","Cd4f25p2","4f25s25p2",NA,"4f25s25p°",0.136,0.007,"L582"
60,"Nd X",9,51,"Neodymium","Sb","Cd4f25p","4f25s25p","°","5s24f2",0.152,0.008,"L582"
60,"Nd XI",10,50,"Neodymium","Sn","Cd4f2","5s24f2",NA,"5s24f 2F°5/2",0.168,0.008,"L582"
60,"Nd XII",11,49,"Neodymium","In","Cd4f","5s24f","2F°5/2","5s2 1S0",0.195,0.01,"L582"
60,"Nd XIII",12,48,"Neodymium","Cd","Kr4d105s2","5s2","1S0","5s 2S1/2",0.221,0.003,"L8672c99"
60,"Nd XIV",13,47,"Neodymium","Ag","Kr4d105s","5s","2S1/2","4d10 1S0",0.243,2e-04,"L5532"
60,"Nd XV",14,46,"Neodymium","Pd","Kr4d10","4d10","1S0","4d9 2D5/2",0.389,0.003,"L8672c99"
60,"Nd XVI",15,45,"Neodymium","Rh","Kr4d9","4d9","2D5/2","4d8 3F4",0.42,0.003,"L8672c99"
60,"Nd XVII",16,44,"Neodymium","Ru","Kr4d8","4d8","3F4","4d7 4F9/2",0.453,0.003,"L8672c99"
60,"Nd XVIII",17,43,"Neodymium","Tc","Kr4d7","4d7","4F9/2","4d6 5D4",0.489,0.003,"L8672c99"
60,"Nd XIX",18,42,"Neodymium","Mo","Kr4d6","4d6","5D4","4d5 6S5/2",0.522,0.003,"L8672c99"
60,"Nd XX",19,41,"Neodymium","Nb","Kr4d5","4d5","6S5/2","4d4 5D0",0.562,0.004,"L8672c99"
60,"Nd XXI",20,40,"Neodymium","Zr","Kr4d4","4d4","5D0","4d3 4F3/2",0.602,0.004,"L8672c99"
60,"Nd XXII",21,39,"Neodymium","Y","Kr4d3","4d3","4F3/2","4d2 3F2",0.638,0.004,"L8672c99"
60,"Nd XXIII",22,38,"Neodymium","Sr","Kr4d2","4d2","3F2","4d 2D3/2",0.678,0.004,"L8672c99"
60,"Nd XXIV",23,37,"Neodymium","Rb","Kr4d","4d","2D3/2","4p6 1S0",0.714,0.004,"L8672c99"
60,"Nd XXV",24,36,"Neodymium","Kr","Ar3d104s24p6","4p6","1S0","4p5 2P°3/2",0.859,0.004,"L8672c99"
60,"Nd XXVI",25,35,"Neodymium","Br","Ar3d104s24p5","4p5","2P°3/2","4p4 3P2",0.896,0.004,"L8672c99"
60,"Nd XXVII",26,34,"Neodymium","Se","Ar3d104s24p4","4p4","3P2","4p3 4S°3/2",0.939,0.004,"L8672c99"
60,"Nd XXVIII",27,33,"Neodymium","As","Ar3d104s24p3","4p3","4S°3/2","4p2 3P0",0.978,0.004,"L8672c99"
60,"Nd XXIX",28,32,"Neodymium","Ge","Ar3d104s24p2","4p2","3P0","4p 2P°1/2",1.049,0.004,"L8672c99"
60,"Nd XXX",29,31,"Neodymium","Ga","Ar3d104s24p","4p","2P°1/2","4s2 1S0",1.092,0.004,"L8672c99"
60,"Nd XXXI",30,30,"Neodymium","Zn","Ar3d104s2","4s2","1S0","4s 2S1/2",1.191,0.004,"L8672c99"
60,"Nd XXXII",31,29,"Neodymium","Cu","Ar3d104s","4s","2S1/2","3d10 1S0",1.23842,0.00017,"L5473"
60,"Nd XXXIII",32,28,"Neodymium","Ni","Ar3d10","3d10","1S0","3d9 2D5/2",2.134,0.004,"L8672c99"
60,"Nd XXXIV",33,27,"Neodymium","Co","Ar3d9","3d9","2D5/2","3d8 3F4",2.224,0.005,"L8672c99"
60,"Nd XXXV",34,26,"Neodymium","Fe","Ar3d8","3d8","3F4","3d7 4F9/2",2.321,0.005,"L8672c99"
60,"Nd XXXVI",35,25,"Neodymium","Mn","Ar3d7","3d7","4F9/2","3d6 4",2.425,0.005,"L8672c99"
60,"Nd XXXVII",36,24,"Neodymium","Cr","Ar3d6","3d6","4","3d5 5/2",2.525,0.005,"L8672c99"
60,"Nd XXXVIII",37,23,"Neodymium","V","Ar3d5","3d5","5/2","3d4 5D0",2.627,0.004,"L8672c99"
60,"Nd XXXIX",38,22,"Neodymium","Ti","Ar3d4","3d4","5D0","3d3 4F3/2",2.758,0.004,"L8672c99"
60,"Nd XL",39,21,"Neodymium","Sc","Ar3d3","3d3","4F3/2","3d2 3F2",2.861,0.004,"L8672c99"
60,"Nd XLI",40,20,"Neodymium","Ca","Ar3d2","3d2","3F2","3d 2D3/2",2.974,0.004,"L8672c99"
60,"Nd XLII",41,19,"Neodymium","K","Ar3d","3d","2D3/2","3p6 1S0",3.078,0.004,"L8672c99"
60,"Nd XLIII",42,18,"Neodymium","Ar","Ne3s23p6","3p6","1S0","3p5 2P°3/2",3.371,0.004,"L8672c99"
60,"Nd XLIV",43,17,"Neodymium","Cl","Ne3s23p5","3p5","2P°3/2","3p4 3P2",3.465,0.004,"L8672c99"
60,"Nd XLV",44,16,"Neodymium","S","Ne3s23p4","3p4","3P2","3p3 2P°3/2",3.567,0.004,"L8672c99"
60,"Nd XLVI",45,15,"Neodymium","P","Ne3s23p3","3p3","2P°3/2","3p2 3P0",3.662,0.004,"L8672c99"
60,"Nd XLVII",46,14,"Neodymium","Si","Ne3s23p2","3p2","3P0","3p 2P°1/2",3.891,0.004,"L8672c99"
60,"Nd XLVIII",47,13,"Neodymium","Al","Ne3s23p","3p","2P°1/2","3s2 1S0",3.997,0.004,"L8672c99"
60,"Nd XLIX",48,12,"Neodymium","Mg","Ne3s2","3s2","1S0","3s 2S1/2",4.198,0.004,"L8672c99"
60,"Nd L",49,11,"Neodymium","Na","Ne3s","3s","2S1/2","2p6 1S0",4.302,0.004,"L8672c99"
60,"Nd LI",50,10,"Neodymium","Ne","1s22s22p6","2p6","1S0","2p5 2P°3/2",9.742,0.004,"L8672c99"
60,"Nd LII",51,9,"Neodymium","F","1s22s22p5","2p5","2P°3/2","2p4 3P2",10.002,0.004,"L8672c99"
60,"Nd LIII",52,8,"Neodymium","O","1s22s22p4","2p4","3P2","2p21/22p3/2 0,3/2°3/2",10.288,0.004,"L8672c99"
60,"Nd LIV",53,7,"Neodymium","N","1s22s22p3","2p21/22p3/2","0,3/2°3/2","2p2 3P0",10.555,0.005,"L8672c99"
60,"Nd LV",54,6,"Neodymium","C","1s22s22p2","2p2","3P0","2p 2P°1/2",11.384,0.005,"L8672c99"
60,"Nd LVI",55,5,"Neodymium","B","1s22s22p","2p","2P°1/2","2s2 1S0",11.694,0.005,"L8672c99"
60,"Nd LVII",56,4,"Neodymium","Be","1s22s2","2s2","1S0","2s 2S1/2",12.082,0.005,"L8672c99"
60,"Nd LVIII",57,3,"Neodymium","Li","1s22s","2s","2S1/2","1s2 1S0",12.34166,7e-05,"L16264c99"
60,"Nd LIX",58,2,"Neodymium","He","1s2","1s2","1S0","1s 2S1/2",50.33959,3e-05,"L12128"
60,"Nd LX",59,1,"Neodymium","H","1s","1s","2S1/2",NA,51.51558,7e-05,"L7188"
61,"Pm I",0,61,"Promethium","Pm","Xe4f56s2","4f56s2","6H°5/2","4f55s25p66s 7H°2",0.00558187,4e-08,"L20992"
61,"Pm II",1,60,"Promethium","Nd","Xe4f56s","4f56H°6s","7H°2","4f55s25p6 6H°5/2",0.010938,2e-05,"L19870c180"
61,"Pm III",2,59,"Promethium","Pr","Xe4f5","4f55s25p6","6H°5/2","4f45s25p6 5I4",0.02244,8e-05,"L19883c180"
61,"Pm IV",3,58,"Promethium","Ce","Xe4f4","4f4","5I4","4f35s25p6 4I°9/2",0.04117,9e-05,"L19883c180"
61,"Pm V",4,57,"Promethium","La","Xe4f3","4f35s25p6","4I°9/2","4f35s25p5",0.0617,3e-04,"L4095"
61,"Pm VI",5,56,"Promethium","Ba","Cd4f35p5","4f35s25p5",NA,"4f35s25p4°",0.085,0.004,"L582"
61,"Pm VII",6,55,"Promethium","Cs","Cd4f35p4","4f35s25p4","°","4f35s25p3",0.101,0.005,"L582"
61,"Pm VIII",7,54,"Promethium","Xe","Cd4f35p3","4f35s25p3",NA,"4f35s25p2°",0.116,0.006,"L582"
61,"Pm IX",8,53,"Promethium","I","Cd4f35p2","4f35s25p2","°","4f35s25p",0.138,0.007,"L582"
61,"Pm X",9,52,"Promethium","Te","Cd4f35p","4f35s25p",NA,"4f35s2°",0.155,0.008,"L582"
61,"Pm XI",10,51,"Promethium","Sb","Cd4f3","4f35s2","°","5s24f2",0.174,0.009,"L582"
61,"Pm XII",11,50,"Promethium","Sn","Cd4f2","5s24f2",NA,"5s24f 2F°5/2",0.202,0.01,"L582"
61,"Pm XIII",12,49,"Promethium","In","Cd4f","5s24f","2F°5/2","5s2 1S0",0.229,0.011,"L582"
61,"Pm XIV",13,48,"Promethium","Cd","Kr4d105s2","5s2","1S0","5s 2S1/2",0.248,0.003,"L8672c99"
61,"Pm XV",14,47,"Promethium","Ag","Kr4d105s","5s","2S1/2","4d10 1S0",0.269,0.003,"L8672c99"
61,"Pm XVI",15,46,"Promethium","Pd","Kr4d10","4d10","1S0","4d9 2D5/2",0.43,0.003,"L8672c99"
61,"Pm XVII",16,45,"Promethium","Rh","Kr4d9","4d9","2D5/2","4d8 3F4",0.462,0.003,"L8672c99"
61,"Pm XVIII",17,44,"Promethium","Ru","Kr4d8","4d8","3F4","4d7 4F9/2",0.497,0.003,"L8672c99"
61,"Pm XIX",18,43,"Promethium","Tc","Kr4d7","4d7","4F9/2","4d6 5D4",0.534,0.003,"L8672c99"
61,"Pm XX",19,42,"Promethium","Mo","Kr4d6","4d6","5D4","4d5 6S5/2",0.569,0.004,"L8672c99"
61,"Pm XXI",20,41,"Promethium","Nb","Kr4d5","4d5","6S5/2","4d4 5D0",0.609,0.004,"L8672c99"
61,"Pm XXII",21,40,"Promethium","Zr","Kr4d4","4d4","5D0","4d3 4F3/2",0.651,0.004,"L8672c99"
61,"Pm XXIII",22,39,"Promethium","Y","Kr4d3","4d3","4F3/2","4d2 3F2",0.689,0.004,"L8672c99"
61,"Pm XXIV",23,38,"Promethium","Sr","Kr4d2","4d2","3F2","4d 2D3/2",0.73,0.004,"L8672c99"
61,"Pm XXV",24,37,"Promethium","Rb","Kr4d","4d","2D3/2","4p6 1S0",0.767,0.004,"L8672c99"
61,"Pm XXVI",25,36,"Promethium","Kr","Ar3d104s24p6","4p6","1S0","4p5 2P°3/2",0.916,0.004,"L8672c99"
61,"Pm XXVII",26,35,"Promethium","Br","Ar3d104s24p5","4p5","2P°3/2","4p4 3P2",0.956,0.004,"L8672c99"
61,"Pm XXVIII",27,34,"Promethium","Se","Ar3d104s24p4","4p4","3P2","4p3 4S°3/2",0.998,0.004,"L8672c99"
61,"Pm XXIX",28,33,"Promethium","As","Ar3d104s24p3","4p3","4S°3/2","4p2 3P0",1.04,0.004,"L8672c99"
61,"Pm XXX",29,32,"Promethium","Ge","Ar3d104s24p2","4p2","3P0","4p 2P°1/2",1.113,0.004,"L8672c99"
61,"Pm XXXI",30,31,"Promethium","Ga","Ar3d104s24p","4p","2P°1/2","4s2 1S0",1.158,0.004,"L8672c99"
61,"Pm XXXII",31,30,"Promethium","Zn","Ar3d104s2","4s2","1S0","4s 2S1/2",1.261,0.004,"L8672c99"
61,"Pm XXXIII",32,29,"Promethium","Cu","Ar3d104s","4s","2S1/2","3d10 1S0",1.3087,6e-04,"L10278"
61,"Pm XXXIV",33,28,"Promethium","Ni","Ar3d10","3d10","1S0","3d9 2D5/2",2.251,0.005,"L8672c99"
61,"Pm XXXV",34,27,"Promethium","Co","Ar3d9","3d9","2D5/2","3d8 3F4",2.344,0.005,"L8672c99"
61,"Pm XXXVI",35,26,"Promethium","Fe","Ar3d8","3d8","3F4","3d7 4F9/2",2.443,0.005,"L8672c99"
61,"Pm XXXVII",36,25,"Promethium","Mn","Ar3d7","3d7","4F9/2","3d6 4",2.549,0.005,"L8672c99"
61,"Pm XXXVIII",37,24,"Promethium","Cr","Ar3d6","3d6","4","3d5 5/2",2.652,0.004,"L8672c99"
61,"Pm XXXIX",38,23,"Promethium","V","Ar3d5","3d5","5/2","3d4 5D0",2.755,0.004,"L8672c99"
61,"Pm XL",39,22,"Promethium","Ti","Ar3d4","3d4","5D0","3d3 4F3/2",2.892,0.004,"L8672c99"
61,"Pm XLI",40,21,"Promethium","Sc","Ar3d3","3d3","4F3/2","3d2 3F2",2.997,0.004,"L8672c99"
61,"Pm XLII",41,20,"Promethium","Ca","Ar3d2","3d2","3F2","3d 2D3/2",3.112,0.004,"L8672c99"
61,"Pm XLIII",42,19,"Promethium","K","Ar3d","3d","2D3/2","3p6 1S0",3.219,0.004,"L8672c99"
61,"Pm XLIV",43,18,"Promethium","Ar","Ne3s23p6","3p6","1S0","3p5 2P°3/2",3.519,0.004,"L8672c99"
61,"Pm XLV",44,17,"Promethium","Cl","Ne3s23p5","3p5","2P°3/2","3p4 3P2",3.613,0.004,"L8672c99"
61,"Pm XLVI",45,16,"Promethium","S","Ne3s23p4","3p4","3P2","3p3 2P°3/2",3.718,0.004,"L8672c99"
61,"Pm XLVII",46,15,"Promethium","P","Ne3s23p3","3p3","2P°3/2","3p2 3P0",3.816,0.004,"L8672c99"
61,"Pm XLVIII",47,14,"Promethium","Si","Ne3s23p2","3p2","3P0","3p 2P°1/2",4.056,0.004,"L8672c99"
61,"Pm XLIX",48,13,"Promethium","Al","Ne3s23p","3p","2P°1/2","3s2 1S0",4.166,0.004,"L8672c99"
