"At. Num. "," Sp.  Name. "," Ion  Charge "," El.  name "," Isoel.  Seq. "," Ground  Shells "," Ground  Config. "," Ground  Level "," Ionized  Level "," Ionization  Energy 
 (eV) ","Uncertainty
 (eV) "," References "
9,"F VIII ",7,"Fluorine ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  [953.89805]             ",0.0001," L10054 "
9,"F IX ",8,"Fluorine ","H ","1s ","1s "," 2S1/2 "," ","  (1 103.11748)             ",5E-05," L7188 "
10,"Ne I ",0,"Neon ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ",21.564541,7E-06," L8826,L1407 "
10,"Ne II ",1,"Neon ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ",40.96297,4E-05," L1406 "
10,"Ne III ",2,"Neon ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ",63.4233,0.0003," L9091 "
10,"Ne IV ",3,"Neon ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2s22p2 3P0 ","  [97.1900]               ",0.0025," L11782 "
10,"Ne V ",4,"Neon ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ",126.247,0.012," L11744 "
10,"Ne VI ",5,"Neon ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ",157.934,0.005," L9340 "
10,"Ne VII ",6,"Neon ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ",207.271,0.012," L9089 "
10,"Ne VIII ",7,"Neon ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  [239.0970]               ",0.0019," L9090 "
10,"Ne IX ",8,"Neon ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  [1 195.80784]              ",0.00015," L10054 "
10,"Ne X ",9,"Neon ","H ","1s ","1s "," 2S1/2 "," ","  (1 362.19916)              ",9E-05," L7188 "
11,"Na I ",0,"Sodium ","Na ","[Ne]3s ","2p63s "," 2S1/2 ","2p6 1S0 ",5.13907696,2.5E-07," L10921,L9648 "
11,"Na II ",1,"Sodium ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ",47.28636,0.00025," L914 "
