42  2  -1.0  0.50  -1.3325667470E+03  0.0000000000E+00  0.0000000000E+00
42  2  1.0  0.50  -1.3354896759E+03  0.0000000000E+00  0.0000000000E+00
42  2  -2.0  1.50  -1.1854852600E+03  0.0000000000E+00  0.0000000000E+00
42  3  -1.0  0.50  2.1185741943E+03  2.5508434816E+01  5.9474117956E-08
42  3  1.0  0.50  2.1176975733E+03  7.4614602864E+03  1.7403126763E-05
42  3  -2.0  1.50  2.1622272497E+03  1.3647414765E+04  3.1174489520E-05
42  3  2.0  1.50  2.1621398441E+03  2.7252573154E+02  6.2257664597E-07
42  3  -3.0  2.50  2.1763193201E+03  3.6673758909E+02  8.3233072399E-07
42  4  -1.0  0.50  3.3204870009E+03  6.7261047267E+00  9.9940237372E-09
42  4  1.0  0.50  3.3201170250E+03  3.2229761439E+03  4.7893146496E-06
42  4  -2.0  1.50  3.3388643259E+03  5.9398717790E+03  8.7768916768E-06
42  4  2.0  1.50  3.3388277911E+03  1.3300920053E+02  1.9654330878E-07
42  4  -3.0  2.50  3.3448215124E+03  1.7779260648E+02  2.6224597448E-07
42  4  3.0  2.50  3.3448110688E+03  1.3376124421E+01  1.9729993744E-08
42  4  -4.0  3.50  3.3477755630E+03  1.7068120935E+01  2.5153380517E-08
42  5  -1.0  0.50  3.8742269139E+03  2.7739031061E+00  3.5306144603E-09
42  5  1.0  0.50  3.8740374279E+03  1.6645205359E+03  2.1186773656E-06
42  5  -2.0  1.50  3.8836150107E+03  3.0812141289E+03  3.9122039226E-06
42  5  2.0  1.50  3.8835964033E+03  7.2587453466E+01  9.2165306664E-08
42  5  -3.0  2.50  3.8866659070E+03  9.6785032320E+01  1.2279189523E-07
42  5  3.0  2.50  3.8866605161E+03  8.8401328883E+00  1.1215560529E-08
42  5  -4.0  3.50  3.8881800324E+03  1.1259146705E+01  1.4278982715E-08
42  5  4.0  3.50  3.8881772127E+03  8.3059718315E-01  1.0533739337E-09
42  5  -5.0  4.50  3.8890849704E+03  1.0087064129E+00  1.2789546043E-09
41  1  -1.0  0.00  4.8500000000E+03  0.0000000000E+00  0.0000000000E+00
40  2  -1.0  0.50  -8.6160488429E+02  0.0000000000E+00  0.0000000000E+00
40  2  1.0  0.50  -7.7564897676E+02  0.0000000000E+00  0.0000000000E+00
40  2  -2.0  1.50  -6.4928972788E+02  0.0000000000E+00  0.0000000000E+00
40  3  -1.0  0.50  2.3454321880E+03  2.8087573566E+01  5.9140231676E-08
40  3  1.0  0.50  2.3692341033E+03  6.2538408997E+03  1.3034776316E-05
40  3  -2.0  1.50  2.4066595666E+03  1.1401113856E+04  2.3392841720E-05
40  3  2.0  1.50  2.4150579107E+03  2.1910740502E+02  4.4801385681E-07
40  3  -3.0  2.50  2.4266939955E+03  2.9798872049E+02  6.0637577824E-07
40  4  -1.0  0.50  3.4526141858E+03  7.7706959652E+00  1.1102849138E-08
40  4  1.0  0.50  3.4623349944E+03  2.6972708168E+03  3.8429668723E-06
40  4  -2.0  1.50  3.4781474284E+03  4.9513882593E+03  7.0223758788E-06
40  4  2.0  1.50  3.4816471734E+03  1.0740575256E+02  1.5217837297E-07
40  4  -3.0  2.50  3.4865632976E+03  1.4530214908E+02  2.0558080770E-07
40  4  3.0  2.50  3.4867495165E+03  1.0414986882E+01  1.4734863099E-08
40  4  -4.0  3.50  3.4891865214E+03  1.3322088597E+01  1.8834549072E-08
40  5  -1.0  0.50  3.9606800624E+03  3.2655265189E+00  4.0652842422E-09
40  5  1.0  0.50  3.9655366224E+03  1.3915599309E+03  1.7302210789E-06
40  5  -2.0  1.50  3.9736642733E+03  2.5648168430E+03  3.1824653883E-06
40  5  2.0  1.50  3.9754446743E+03  5.8637653033E+01  7.2726386379E-08
40  5  -3.0  2.50  3.9779618804E+03  7.9155446670E+01  9.8111580664E-08
40  5  3.0  2.50  3.9780672328E+03  6.9701609765E+00  8.6391456471E-09
40  5  -4.0  3.50  3.9793161844E+03  8.9014952517E+00  1.1029456044E-08
40  5  4.0  3.50  3.9793159712E+03  6.0069905497E-01  7.4430015149E-10
40  5  -5.0  4.50  3.9800624900E+03  7.3020986568E-01  9.0460101993E-10
39  2  -1.0  0.00  -6.9879098267E+02  0.0000000000E+00  0.0000000000E+00
38  2  1.0  0.50  -4.3699632737E+02  0.0000000000E+00  0.0000000000E+00
38  2  -2.0  1.50  -3.1787895850E+02  0.0000000000E+00  0.0000000000E+00
38  3  -1.0  0.50  2.5332630344E+03  3.4239011432E+01  6.6734892660E-08
38  3  1.0  0.50  2.5695651103E+03  5.5619194148E+03  1.0686778025E-05
38  3  -2.0  1.50  2.6040230205E+03  1.0074747808E+04  1.9101078882E-05
38  3  2.0  1.50  2.6304542261E+03  1.8865529087E+02  3.5408613121E-07
38  3  -3.0  2.50  2.6403800517E+03  2.5827279063E+02  4.8292390443E-07
38  4  -1.0  0.50  3.5709814872E+03  9.9955623541E+00  1.3806769445E-08
38  4  1.0  0.50  3.5877084603E+03  2.3700534434E+03  3.2583668464E-06
38  4  -2.0  1.50  3.6021113216E+03  4.3245389990E+03  5.9215599889E-06
38  4  2.0  1.50  3.6148549020E+03  9.1849020386E+01  1.2532491602E-07
38  4  -3.0  2.50  3.6191244938E+03  1.2530680405E+02  1.7077452943E-07
38  4  3.0  2.50  3.6263892867E+03  8.1356738710E+00  1.1065425121E-08
38  4  -4.0  3.50  3.6283848831E+03  1.0423125726E+01  1.4168790486E-08
38  5  -1.0  0.50  4.0422134268E+03  4.3158437850E+00  5.2640429637E-09
