"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.000582,1951.48,48.52,2,1,2,63,57.12064,"rgb(123,104,238)",1.17725968672712
"K",0.000582,1951.48,48.52,2,2,1,63,55.86592,"rgb(123,104,238)",0.575699917559769
"L1",7.15e-05,1991.95,8.04999999999995,2,3,2,63,13.73858,"rgb(25,25,112)",1.70665590062113
"L1",7.15e-05,1991.95,8.04999999999995,2,4,1,63,13.462,"rgb(25,25,112)",0.836149068322986
"L2",3.23e-06,1992.38,7.61999999999989,2,5,2,63,13.05,"rgb(0,0,139)",1.71259842519688
"L2",3.23e-06,1992.38,7.61999999999989,2,6,1,63,12.718,"rgb(0,0,139)",0.83451443569555
"L3",1.75e-06,1993.02,6.98000000000002,4,7,4,63,11.739,"rgb(0,0,205)",1.68180515759312
"L3",1.75e-06,1993.02,6.98000000000002,4,8,3,63,11.457,"rgb(0,0,205)",1.23105300859599
"L3",1.75e-06,1993.02,6.98000000000002,4,9,2,63,11.153,"rgb(0,0,205)",0.798925501432663
"L3",1.75e-06,1993.02,6.98000000000002,4,10,1,63,10.88,"rgb(0,0,205)",0.389684813753581
"M1",1.518e-05,1998.2,1.79999999999995,2,11,2,63,4.838,"rgb(0,0,255)",2.68777777777785
"M1",1.518e-05,1998.2,1.79999999999995,2,12,1,63,4.729,"rgb(0,0,255)",1.31361111111114
"M2",7.63e-07,1998.39,1.6099999999999,2,13,2,63,4.513,"rgb(65,105,225)",2.80310559006229
"M2",7.63e-07,1998.39,1.6099999999999,2,14,1,63,4.4,"rgb(65,105,225)",1.36645962732928
"M3",4.21e-07,1998.52,1.48000000000002,4,15,4,63,4.131,"rgb(70,130,180)",2.79121621621618
"M3",4.21e-07,1998.52,1.48000000000002,4,16,3,63,4.031,"rgb(70,130,180)",2.04273648648646
"M3",4.21e-07,1998.52,1.48000000000002,4,17,2,63,3.921,"rgb(70,130,180)",1.32466216216215
"M3",4.21e-07,1998.52,1.48000000000002,4,18,1,63,3.823,"rgb(70,130,180)",0.645777027027019
"M4",8.47e-10,1998.84,1.16000000000008,4,19,4,63,3.51,"rgb(100,149,237)",3.0258620689653
"M4",8.47e-10,1998.84,1.16000000000008,4,20,3,63,3.398,"rgb(100,149,237)",2.19698275862053
"M4",8.47e-10,1998.84,1.16000000000008,4,21,2,63,3.279,"rgb(100,149,237)",1.41336206896542
"M4",8.47e-10,1998.84,1.16000000000008,4,22,1,63,3.168,"rgb(100,149,237)",0.682758620689607
"M5",1.657e-09,1998.87,1.13000000000011,6,23,6,63,3.022,"rgb(0,191,255)",2.67433628318558
"M5",1.657e-09,1998.87,1.13000000000011,6,24,5,63,2.914,"rgb(0,191,255)",2.14896755162221
"M5",1.657e-09,1998.87,1.13000000000011,6,25,4,63,2.807,"rgb(0,191,255)",1.65604719763996
"M5",1.657e-09,1998.87,1.13000000000011,6,26,3,63,2.697,"rgb(0,191,255)",1.19336283185829
"M5",1.657e-09,1998.87,1.13000000000011,6,27,2,63,2.591,"rgb(0,191,255)",0.764306784660693
"M5",1.657e-09,1998.87,1.13000000000011,6,28,1,63,2.495,"rgb(0,191,255)",0.36799410029495
"N1",3.48e-06,1999.64,0.3599999999999,2,29,2,63,1.45606,"rgb(0,128,128)",4.04461111111223
"N1",3.48e-06,1999.64,0.3599999999999,2,30,1,63,1.406,"rgb(0,128,128)",1.95277777777832
"N2",1.696e-07,1999.72,0.279999999999973,2,31,2,63,1.296,"rgb(95,158,160)",4.62857142857188
"N2",1.696e-07,1999.72,0.279999999999973,2,32,1,63,1.249,"rgb(95,158,160)",2.23035714285736
"N3",9.33e-08,1999.74,0.259999999999991,4,33,4,63,1.167,"rgb(32,178,170)",4.4884615384617
"N3",9.33e-08,1999.74,0.259999999999991,4,34,3,63,1.124,"rgb(32,178,170)",3.24230769230781
"N3",9.33e-08,1999.74,0.259999999999991,4,35,2,63,1.078,"rgb(32,178,170)",2.073076923077
"N3",9.33e-08,1999.74,0.259999999999991,4,36,1,63,1.037,"rgb(32,178,170)",0.997115384615419
"N4",1.89e-10,1999.86,0.1400000000001,4,37,4,63,0.879,"rgb(0,206,209)",6.27857142856694
"N4",1.89e-10,1999.86,0.1400000000001,4,38,3,63,0.838,"rgb(0,206,209)",4.48928571428251
"N4",1.89e-10,1999.86,0.1400000000001,4,39,2,63,0.795,"rgb(0,206,209)",2.83928571428369
"N4",1.89e-10,1999.86,0.1400000000001,4,40,1,63,0.755,"rgb(0,206,209)",1.34821428571332
"N5",3.63e-10,1999.87,0.130000000000109,6,41,6,63,0.709,"rgb(64,224,208)",5.45384615384157
"N5",3.63e-10,1999.87,0.130000000000109,6,42,5,63,0.667,"rgb(64,224,208)",4.27564102563744
"N5",3.63e-10,1999.87,0.130000000000109,6,43,4,63,0.63,"rgb(64,224,208)",3.23076923076652
"N5",3.63e-10,1999.87,0.130000000000109,6,44,3,63,0.59,"rgb(64,224,208)",2.26923076922886
"N5",3.63e-10,1999.87,0.130000000000109,6,45,2,63,0.553,"rgb(64,224,208)",1.41794871794753
"N5",3.63e-10,1999.87,0.130000000000109,6,46,1,63,0.518,"rgb(64,224,208)",0.664102564102007
"N6",NA,2000,0.3444,6,47,6,63,0.3444,"rgb(102,205,170)",1
"N6",NA,2000,0.311,6,48,5,63,0.311,"rgb(102,205,170)",0.833333333333333
"N6",NA,2000,0.281,6,49,4,63,0.281,"rgb(102,205,170)",0.666666666666667
"N6",NA,2000,0.263,6,50,3,63,0.263,"rgb(102,205,170)",0.5
"N6",NA,2000,0.243,6,51,2,63,0.243,"rgb(102,205,170)",0.333333333333333
"N6",NA,2000,0.213,6,52,1,63,0.213,"rgb(102,205,170)",0.166666666666667
"N7",NA,2000,0.183,8,53,8,63,0.183,"rgb(127,255,212)",1
"N7",NA,2000,0.161,8,54,7,63,0.161,"rgb(127,255,212)",0.875
"N7",NA,2000,0.144,8,55,6,63,0.144,"rgb(127,255,212)",0.75
"N7",NA,2000,0.12,8,56,5,63,0.12,"rgb(127,255,212)",0.625
"N7",NA,2000,0.105,8,57,4,63,0.105,"rgb(127,255,212)",0.5
"N7",NA,2000,0.089,8,58,3,63,0.089,"rgb(127,255,212)",0.375
"N7",NA,2000,0.0632,8,59,2,63,0.0632,"rgb(127,255,212)",0.25
"N7",NA,2000,0.04294,8,60,1,63,0.04294,"rgb(127,255,212)",0.125
"O1",5.59e-07,1999.97,0.0299999999999727,2,61,2,63,0.02484,"rgb(0,255,255)",0.828000000000753
"O1",5.59e-07,1999.97,0.0299999999999727,2,62,1,63,0.01124,"rgb(0,255,255)",0.187333333333504
"O2",2.37e-08,1999.97,0.0299999999999727,2,63,2,63,0.005670385,"rgb(0,250,154)",0.189012833333505
