"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.00202,1896.08,103.92,2,1,2,88,118.9313,"rgb(123,104,238)",1.14445053887606
"K",0.00202,1896.08,103.92,2,2,1,88,116.8487,"rgb(123,104,238)",0.562205061585835
"L1",0.000305,1980.76,19.24,2,3,2,88,29.4798,"rgb(25,25,112)",1.53221413721414
"L1",0.000305,1980.76,19.24,2,4,1,88,29.05,"rgb(25,25,112)",0.75493762993763
"L2",4.33e-05,1981.52,18.48,2,5,2,88,28.37,"rgb(0,0,139)",1.53517316017316
"L2",4.33e-05,1981.52,18.48,2,6,1,88,27.83,"rgb(0,0,139)",0.75297619047619
"L3",8.18e-06,1984.56,15.4400000000001,4,7,4,88,24.16,"rgb(0,0,205)",1.56476683937823
"L3",8.18e-06,1984.56,15.4400000000001,4,8,3,88,23.75,"rgb(0,0,205)",1.15365932642487
"L3",8.18e-06,1984.56,15.4400000000001,4,9,2,88,23.3,"rgb(0,0,205)",0.754533678756474
"L3",8.18e-06,1984.56,15.4400000000001,4,10,1,88,22.9,"rgb(0,0,205)",0.370790155440413
"M1",7.11e-05,1995.18,4.81999999999994,2,11,2,88,10.89,"rgb(0,0,255)",2.25933609958509
"M1",7.11e-05,1995.18,4.81999999999994,2,12,1,88,10.72,"rgb(0,0,255)",1.11203319502076
"M2",1.146e-05,1995.51,4.49000000000001,2,13,2,88,10.36,"rgb(65,105,225)",2.30734966592427
"M2",1.146e-05,1995.51,4.49000000000001,2,14,1,88,10.19,"rgb(65,105,225)",1.13474387527839
"M3",2.26e-06,1996.21,3.78999999999996,4,15,4,88,9.2,"rgb(70,130,180)",2.42744063324541
"M3",2.26e-06,1996.21,3.78999999999996,4,16,3,88,9.04,"rgb(70,130,180)",1.78891820580477
"M3",2.26e-06,1996.21,3.78999999999996,4,17,2,88,8.88,"rgb(70,130,180)",1.17150395778365
"M3",2.26e-06,1996.21,3.78999999999996,4,18,1,88,8.73,"rgb(70,130,180)",0.575857519788924
"M4",1.264e-08,1996.75,3.25,4,19,4,88,8.25,"rgb(100,149,237)",2.53846153846154
"M4",1.264e-08,1996.75,3.25,4,20,3,88,8.08,"rgb(100,149,237)",1.86461538461538
"M4",1.264e-08,1996.75,3.25,4,21,2,88,7.89,"rgb(100,149,237)",1.21384615384615
"M4",1.264e-08,1996.75,3.25,4,22,1,88,7.72,"rgb(100,149,237)",0.593846153846154
"M5",1.636e-08,1996.9,3.09999999999991,6,23,6,88,7.38,"rgb(0,191,255)",2.38064516129039
"M5",1.636e-08,1996.9,3.09999999999991,6,24,5,88,7.222,"rgb(0,191,255)",1.94139784946242
"M5",1.636e-08,1996.9,3.09999999999991,6,25,4,88,7.056,"rgb(0,191,255)",1.51741935483875
"M5",1.636e-08,1996.9,3.09999999999991,6,26,3,88,6.881,"rgb(0,191,255)",1.10983870967745
"M5",1.636e-08,1996.9,3.09999999999991,6,27,2,88,6.718,"rgb(0,191,255)",0.722365591397871
"M5",1.636e-08,1996.9,3.09999999999991,6,28,1,88,6.565,"rgb(0,191,255)",0.352956989247322
"N1",1.87e-05,1998.79,1.21000000000004,2,29,2,88,4.04,"rgb(0,128,128)",3.33884297520651
"N1",1.87e-05,1998.79,1.21000000000004,2,30,1,88,3.959,"rgb(0,128,128)",1.63595041322309
"N2",3.01e-06,1998.94,1.05999999999995,2,31,2,88,3.762,"rgb(95,158,160)",3.54905660377377
"N2",3.01e-06,1998.94,1.05999999999995,2,32,1,88,3.682,"rgb(95,158,160)",1.73679245283028
"N3",5.99e-07,1999.12,0.880000000000109,4,33,4,88,3.368,"rgb(32,178,170)",3.82727272727225
"N3",5.99e-07,1999.12,0.880000000000109,4,34,3,88,3.298,"rgb(32,178,170)",2.81079545454511
"N3",5.99e-07,1999.12,0.880000000000109,4,35,2,88,3.224,"rgb(32,178,170)",1.83181818181795
"N3",5.99e-07,1999.12,0.880000000000109,4,36,1,88,3.155,"rgb(32,178,170)",0.896306818181707
"N4",3.75e-09,1999.36,0.6400000000001,4,37,4,88,2.876,"rgb(0,206,209)",4.4937499999993
"N4",3.75e-09,1999.36,0.6400000000001,4,38,3,88,2.806,"rgb(0,206,209)",3.28828124999949
"N4",3.75e-09,1999.36,0.6400000000001,4,39,2,88,2.731,"rgb(0,206,209)",2.13359374999967
"N4",3.75e-09,1999.36,0.6400000000001,4,40,1,88,2.662,"rgb(0,206,209)",1.03984374999984
"N5",4.82e-09,1999.4,0.599999999999909,6,41,6,88,2.544,"rgb(64,224,208)",4.24000000000064
"N5",4.82e-09,1999.4,0.599999999999909,6,42,5,88,2.477,"rgb(64,224,208)",3.4402777777783
"N5",4.82e-09,1999.4,0.599999999999909,6,43,4,88,2.409,"rgb(64,224,208)",2.67666666666707
"N5",4.82e-09,1999.4,0.599999999999909,6,44,3,88,2.338,"rgb(64,224,208)",1.94833333333363
"N5",4.82e-09,1999.4,0.599999999999909,6,45,2,88,2.271,"rgb(64,224,208)",1.26166666666686
"N5",4.82e-09,1999.4,0.599999999999909,6,46,1,88,2.208,"rgb(64,224,208)",0.613333333333426
"N6",1.83e-12,1999.71,0.289999999999964,6,47,6,88,1.88,"rgb(102,205,170)",6.48275862069047
"N6",1.83e-12,1999.71,0.289999999999964,6,48,5,88,1.82,"rgb(102,205,170)",5.22988505747192
"N6",1.83e-12,1999.71,0.289999999999964,6,49,4,88,1.75,"rgb(102,205,170)",4.02298850574763
"N6",1.83e-12,1999.71,0.289999999999964,6,50,3,88,1.68,"rgb(102,205,170)",2.89655172413829
"N6",1.83e-12,1999.71,0.289999999999964,6,51,2,88,1.61,"rgb(102,205,170)",1.85057471264391
"N6",1.83e-12,1999.71,0.289999999999964,6,52,1,88,1.53,"rgb(102,205,170)",0.879310344827697
"N7",7.31e-12,1999.72,0.279999999999973,8,53,8,88,1.46,"rgb(127,255,212)",5.21428571428622
"N7",7.31e-12,1999.72,0.279999999999973,8,54,7,88,1.39,"rgb(127,255,212)",4.34375000000042
"N7",7.31e-12,1999.72,0.279999999999973,8,55,6,88,1.32,"rgb(127,255,212)",3.53571428571463
"N7",7.31e-12,1999.72,0.279999999999973,8,56,5,88,1.25,"rgb(127,255,212)",2.79017857142884
"N7",7.31e-12,1999.72,0.279999999999973,8,57,4,88,1.18,"rgb(127,255,212)",2.10714285714306
"N7",7.31e-12,1999.72,0.279999999999973,8,58,3,88,1.11,"rgb(127,255,212)",1.48660714285729
"N7",7.31e-12,1999.72,0.279999999999973,8,59,2,88,1.04,"rgb(127,255,212)",0.928571428571519
"N7",7.31e-12,1999.72,0.279999999999973,8,60,1,88,0.97,"rgb(127,255,212)",0.433035714285756
"O1",4.3e-06,1999.75,0.25,2,61,2,88,0.9,"rgb(0,255,255)",3.6
"O1",4.3e-06,1999.75,0.25,2,62,1,88,0.86,"rgb(0,255,255)",1.72
