"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.0001546,1981.01,18.99,2,1,2,41,23.388801,"rgb(123,104,238)",1.23163775671406
"K",0.0001546,1981.01,18.99,2,2,1,41,22.648046,"rgb(123,104,238)",0.596315060558188
"L1",1.647e-05,1997.3,2.70000000000005,2,3,2,41,5.426066,"rgb(25,25,112)",2.00965407407404
"L1",1.647e-05,1997.3,2.70000000000005,2,4,1,41,5.265,"rgb(25,25,112)",0.974999999999984
"L2",2.17e-07,1997.54,2.46000000000004,2,5,2,41,5.011,"rgb(0,0,139)",2.03699186991867
"L2",2.17e-07,1997.54,2.46000000000004,2,6,1,41,4.815,"rgb(0,0,139)",0.978658536585352
"L3",2.3e-07,1997.63,2.36999999999989,4,7,4,41,4.54,"rgb(0,0,205)",1.91561181434608
"L3",2.3e-07,1997.63,2.36999999999989,4,8,3,41,4.369,"rgb(0,0,205)",1.38259493670892
"L3",2.3e-07,1997.63,2.36999999999989,4,9,2,41,4.187,"rgb(0,0,205)",0.883333333333374
"L3",2.3e-07,1997.63,2.36999999999989,4,10,1,41,4.0201,"rgb(0,0,205)",0.424061181434619
"M1",2.89e-06,1999.53,0.470000000000027,2,11,2,41,1.68497,"rgb(0,0,255)",3.58504255319128
"M1",2.89e-06,1999.53,0.470000000000027,2,12,1,41,1.6259,"rgb(0,0,255)",1.72968085106373
"M2",4.02e-08,1999.62,0.380000000000109,2,13,2,41,1.488,"rgb(65,105,225)",3.91578947368309
"M2",4.02e-08,1999.62,0.380000000000109,2,14,1,41,1.439,"rgb(65,105,225)",1.89342105263104
"M3",4.27e-08,1999.64,0.3599999999999,4,15,4,41,1.368,"rgb(70,130,180)",3.80000000000106
"M3",4.27e-08,1999.64,0.3599999999999,4,16,3,41,1.2937,"rgb(70,130,180)",2.69520833333408
"M3",4.27e-08,1999.64,0.3599999999999,4,17,2,41,1.2306,"rgb(70,130,180)",1.70916666666714
"M3",4.27e-08,1999.64,0.3599999999999,4,18,1,41,1.176,"rgb(70,130,180)",0.816666666666894
"M4",2.2e-11,1999.79,0.210000000000036,4,19,4,41,1,"rgb(100,149,237)",4.76190476190394
"M4",2.2e-11,1999.79,0.210000000000036,4,20,3,41,0.94,"rgb(100,149,237)",3.35714285714228
"M4",2.2e-11,1999.79,0.210000000000036,4,21,2,41,0.877,"rgb(100,149,237)",2.08809523809488
"M4",2.2e-11,1999.79,0.210000000000036,4,22,1,41,0.816,"rgb(100,149,237)",0.971428571428403
"M5",5.65e-11,1999.8,0.200000000000045,6,23,6,41,0.758,"rgb(0,191,255)",3.78999999999914
"M5",5.65e-11,1999.8,0.200000000000045,6,24,5,41,0.688,"rgb(0,191,255)",2.86666666666601
"M5",5.65e-11,1999.8,0.200000000000045,6,25,4,41,0.636,"rgb(0,191,255)",2.11999999999952
"M5",5.65e-11,1999.8,0.200000000000045,6,26,3,41,0.581,"rgb(0,191,255)",1.45249999999967
"M5",5.65e-11,1999.8,0.200000000000045,6,27,2,41,0.53,"rgb(0,191,255)",0.883333333333133
"M5",5.65e-11,1999.8,0.200000000000045,6,28,1,41,0.4825,"rgb(0,191,255)",0.402083333333242
"N1",4.26e-07,1999.94,0.0599999999999454,2,29,2,41,0.26859,"rgb(0,128,128)",4.47650000000407
"N1",4.26e-07,1999.94,0.0599999999999454,2,30,1,41,0.2461,"rgb(0,128,128)",2.0508333333352
"N2",4.98e-09,1999.96,0.0399999999999636,2,31,2,41,0.20028,"rgb(95,158,160)",5.00700000000455
"N2",4.98e-09,1999.96,0.0399999999999636,2,32,1,41,0.18,"rgb(95,158,160)",2.25000000000205
"N3",5.4e-09,1999.97,0.0299999999999727,4,33,4,41,0.1592,"rgb(32,178,170)",5.30666666667149
"N3",5.4e-09,1999.97,0.0299999999999727,4,34,3,41,0.136,"rgb(32,178,170)",3.40000000000309
"N3",5.4e-09,1999.97,0.0299999999999727,4,35,2,41,0.1191,"rgb(32,178,170)",1.98500000000181
"N3",5.4e-09,1999.97,0.0299999999999727,4,36,1,41,0.102069,"rgb(32,178,170)",0.850575000000774
"N4",1.289e-12,2000,0.0505728,4,37,4,41,0.0505728,"rgb(0,206,209)",1
"N4",1.289e-12,2000,0.037611,4,38,3,41,0.037611,"rgb(0,206,209)",0.75
"N4",1.289e-12,2000,0.02504,4,39,2,41,0.02504,"rgb(0,206,209)",0.5
"N4",1.289e-12,2000,0.01432,4,40,1,41,0.01432,"rgb(0,206,209)",0.25
"O1",2.57e-08,1999.99,0.00999999999999091,2,41,2,41,0.00675885,"rgb(0,255,255)",0.675885000000615
