"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",9.73e-05,1986.53,13.47,2,1,2,35,16.937127,"rgb(123,104,238)",1.25739621380846
"K",9.73e-05,1986.53,13.47,2,2,1,35,16.317011,"rgb(123,104,238)",0.605679695619895
"L1",9.93e-06,1998.22,1.77999999999997,2,3,2,35,3.868986,"rgb(25,25,112)",2.17358764044947
"L1",9.93e-06,1998.22,1.77999999999997,2,4,1,35,3.735,"rgb(25,25,112)",1.0491573033708
"L2",8.6e-08,1998.4,1.59999999999991,2,5,2,35,3.5231,"rgb(0,0,139)",2.20193750000012
"L2",8.6e-08,1998.4,1.59999999999991,2,6,1,35,3.361,"rgb(0,0,139)",1.05031250000006
"L3",1.058e-07,1998.45,1.54999999999995,4,7,4,35,3.169,"rgb(0,0,205)",2.04451612903232
"L3",1.058e-07,1998.45,1.54999999999995,4,8,3,35,3.021,"rgb(0,0,205)",1.46177419354843
"L3",1.058e-07,1998.45,1.54999999999995,4,9,2,35,2.869,"rgb(0,0,205)",0.925483870967769
"L3",1.058e-07,1998.45,1.54999999999995,4,10,1,35,2.7314,"rgb(0,0,205)",0.440548387096787
"M1",1.575e-06,1999.74,0.259999999999991,2,11,2,35,1.11917,"rgb(0,0,255)",4.30450000000015
"M1",1.575e-06,1999.74,0.259999999999991,2,12,1,35,1.0706,"rgb(0,0,255)",2.05884615384623
"M2",1.395e-08,1999.81,0.190000000000055,2,13,2,35,0.963,"rgb(65,105,225)",5.06842105263012
"M2",1.395e-08,1999.81,0.190000000000055,2,14,1,35,0.9208,"rgb(65,105,225)",2.42315789473615
"M3",1.715e-08,1999.82,0.180000000000064,4,15,4,35,0.87,"rgb(70,130,180)",4.83333333333162
"M3",1.715e-08,1999.82,0.180000000000064,4,16,3,35,0.8098,"rgb(70,130,180)",3.37416666666547
"M3",1.715e-08,1999.82,0.180000000000064,4,17,2,35,0.761,"rgb(70,130,180)",2.11388888888814
"M3",1.715e-08,1999.82,0.180000000000064,4,18,1,35,0.7163,"rgb(70,130,180)",0.994861111110759
"M4",4.88e-12,1999.93,0.0699999999999363,4,19,4,35,0.577,"rgb(100,149,237)",8.24285714286464
"M4",4.88e-12,1999.93,0.0699999999999363,4,20,3,35,0.53,"rgb(100,149,237)",5.67857142857659
"M4",4.88e-12,1999.93,0.0699999999999363,4,21,2,35,0.481,"rgb(100,149,237)",3.43571428571741
"M4",4.88e-12,1999.93,0.0699999999999363,4,22,1,35,0.436,"rgb(100,149,237)",1.55714285714427
"M5",1.337e-11,1999.93,0.0699999999999363,6,23,6,35,0.393,"rgb(0,191,255)",5.61428571429082
"M5",1.337e-11,1999.93,0.0699999999999363,6,24,5,35,0.338,"rgb(0,191,255)",4.02380952381318
"M5",1.337e-11,1999.93,0.0699999999999363,6,25,4,35,0.301,"rgb(0,191,255)",2.86666666666927
"M5",1.337e-11,1999.93,0.0699999999999363,6,26,3,35,0.261,"rgb(0,191,255)",1.86428571428741
"M5",1.337e-11,1999.93,0.0699999999999363,6,27,2,35,0.224,"rgb(0,191,255)",1.06666666666764
"M5",1.337e-11,1999.93,0.0699999999999363,6,28,1,35,0.19261,"rgb(0,191,255)",0.458595238095655
"N1",1.488e-07,1999.97,0.0299999999999727,2,29,2,35,0.10303,"rgb(0,128,128)",3.43433333333646
"N1",1.488e-07,1999.97,0.0299999999999727,2,30,1,35,0.08739,"rgb(0,128,128)",1.45650000000132
"N2",9.25e-10,1999.99,0.00999999999999091,2,31,2,35,0.059595,"rgb(95,158,160)",5.95950000000542
"N2",9.25e-10,1999.99,0.00999999999999091,2,32,1,35,0.047782,"rgb(95,158,160)",2.38910000000217
"N3",1.126e-09,2000,0.034871,4,33,2,35,0.034871,"rgb(32,178,170)",0.5
"N3",1.126e-09,2000,0.021591,4,34,2,35,0.021591,"rgb(32,178,170)",0.5
"N3",1.126e-09,2000,0.01181381,4,35,2,35,0.01181381,"rgb(32,178,170)",0.5
