"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.0001144,1984.8,15.2,2,1,2,37,18.965516,"rgb(123,104,238)",1.24773131578947
"K",0.0001144,1984.8,15.2,2,2,1,37,18.305884,"rgb(123,104,238)",0.602167236842103
"L1",1.185e-05,1997.93,2.06999999999994,2,3,2,37,4.356865,"rgb(25,25,112)",2.10476570048316
"L1",1.185e-05,1997.93,2.06999999999994,2,4,1,37,4.214,"rgb(25,25,112)",1.0178743961353
"L2",1.188e-07,1998.14,1.8599999999999,2,5,2,37,3.988,"rgb(0,0,139)",2.14408602150549
"L2",1.188e-07,1998.14,1.8599999999999,2,6,1,37,3.815,"rgb(0,0,139)",1.02553763440866
"L3",1.392e-07,1998.2,1.79999999999995,4,7,4,37,3.6,"rgb(0,0,205)",2.00000000000005
"L3",1.392e-07,1998.2,1.79999999999995,4,8,3,37,3.443,"rgb(0,0,205)",1.43458333333337
"L3",1.392e-07,1998.2,1.79999999999995,4,9,2,37,3.281,"rgb(0,0,205)",0.911388888888912
"L3",1.392e-07,1998.2,1.79999999999995,4,10,1,37,3.1333,"rgb(0,0,205)",0.435180555555567
"M1",1.95e-06,1999.68,0.319999999999936,2,11,2,37,1.29457,"rgb(0,0,255)",4.0455312500008
"M1",1.95e-06,1999.68,0.319999999999936,2,12,1,37,1.2425,"rgb(0,0,255)",1.94140625000039
"M2",2.02e-08,1999.75,0.25,2,13,2,37,1.125,"rgb(65,105,225)",4.5
"M2",2.02e-08,1999.75,0.25,2,14,1,37,1.08,"rgb(65,105,225)",2.16
"M3",2.37e-08,1999.76,0.240000000000009,4,15,4,37,1.024,"rgb(70,130,180)",4.2666666666665
"M3",2.37e-08,1999.76,0.240000000000009,4,16,3,37,0.9589,"rgb(70,130,180)",2.99656249999989
"M3",2.37e-08,1999.76,0.240000000000009,4,17,2,37,0.9053,"rgb(70,130,180)",1.8860416666666
"M3",2.37e-08,1999.76,0.240000000000009,4,18,1,37,0.857,"rgb(70,130,180)",0.892708333333299
"M4",8.38e-12,1999.89,0.1099999999999,4,19,4,37,0.706,"rgb(100,149,237)",6.41818181818766
"M4",8.38e-12,1999.89,0.1099999999999,4,20,3,37,0.654,"rgb(100,149,237)",4.45909090909497
"M4",8.38e-12,1999.89,0.1099999999999,4,21,2,37,0.601,"rgb(100,149,237)",2.73181818182067
"M4",8.38e-12,1999.89,0.1099999999999,4,22,1,37,0.55,"rgb(100,149,237)",1.25000000000114
"M5",2.26e-11,1999.89,0.1099999999999,6,23,6,37,0.502,"rgb(0,191,255)",4.56363636364051
"M5",2.26e-11,1999.89,0.1099999999999,6,24,5,37,0.443,"rgb(0,191,255)",3.35606060606366
"M5",2.26e-11,1999.89,0.1099999999999,6,25,4,37,0.4,"rgb(0,191,255)",2.42424242424463
"M5",2.26e-11,1999.89,0.1099999999999,6,26,3,37,0.356,"rgb(0,191,255)",1.61818181818329
"M5",2.26e-11,1999.89,0.1099999999999,6,27,2,37,0.3131,"rgb(0,191,255)",0.948787878788742
"M5",2.26e-11,1999.89,0.1099999999999,6,28,1,37,0.27712,"rgb(0,191,255)",0.41987878787917
"N1",2.23e-07,1999.97,0.0299999999999727,2,29,2,37,0.150628,"rgb(0,128,128)",5.0209333333379
"N1",2.23e-07,1999.97,0.0299999999999727,2,30,1,37,0.13279,"rgb(0,128,128)",2.21316666666868
"N2",1.81e-09,1999.99,0.00999999999999091,2,31,2,37,0.09867,"rgb(95,158,160)",9.86700000000897
"N2",1.81e-09,1999.99,0.00999999999999091,2,32,1,37,0.0829,"rgb(95,158,160)",4.14500000000377
"N3",2.1e-09,1999.99,0.00999999999999091,4,33,4,37,0.06844,"rgb(32,178,170)",6.84400000000622
"N3",2.1e-09,1999.99,0.00999999999999091,4,34,3,37,0.0522,"rgb(32,178,170)",3.91500000000356
"N3",2.1e-09,1999.99,0.00999999999999091,4,35,2,37,0.039247,"rgb(32,178,170)",1.96235000000178
"N3",2.1e-09,1999.99,0.00999999999999091,4,36,1,37,0.02728954,"rgb(32,178,170)",0.68223850000062
"O1",9.94e-09,2000,0.0041771281,2,37,2,37,0.0041771281,"rgb(0,255,255)",1
