"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.000613,1949.76,50.24,2,1,2,64,59.06553,"rgb(123,104,238)",1.17566739649682
"K",0.000613,1949.76,50.24,2,2,1,64,57.7839,"rgb(123,104,238)",0.575078622611465
"L1",7.58e-05,1991.62,8.38000000000011,2,3,2,64,14.22457,"rgb(25,25,112)",1.6974427207637
"L1",7.58e-05,1991.62,8.38000000000011,2,4,1,64,13.943,"rgb(25,25,112)",0.831921241050108
"L2",3.6e-06,1992.07,7.93000000000006,2,5,2,64,13.521,"rgb(0,0,139)",1.70504413619166
"L2",3.6e-06,1992.07,7.93000000000006,2,6,1,64,13.183,"rgb(0,0,139)",0.831210592685996
"L3",1.88e-06,1992.76,7.24000000000001,4,7,4,64,12.147,"rgb(0,0,205)",1.67776243093922
"L3",1.88e-06,1992.76,7.24000000000001,4,8,3,64,11.861,"rgb(0,0,205)",1.22869475138121
"L3",1.88e-06,1992.76,7.24000000000001,4,9,2,64,11.552,"rgb(0,0,205)",0.797790055248618
"L3",1.88e-06,1992.76,7.24000000000001,4,10,1,64,11.273,"rgb(0,0,205)",0.389261049723756
"M1",1.618e-05,1998.12,1.88000000000011,2,11,2,64,5.025,"rgb(0,0,255)",2.67287234042538
"M1",1.618e-05,1998.12,1.88000000000011,2,12,1,64,4.914,"rgb(0,0,255)",1.30691489361695
"M2",8.56e-07,1998.31,1.69000000000005,2,13,2,64,4.693,"rgb(65,105,225)",2.77692307692299
"M2",8.56e-07,1998.31,1.69000000000005,2,14,1,64,4.578,"rgb(65,105,225)",1.35443786982244
"M3",4.56e-07,1998.46,1.53999999999996,4,15,4,64,4.294,"rgb(70,130,180)",2.78831168831175
"M3",4.56e-07,1998.46,1.53999999999996,4,16,3,64,4.191,"rgb(70,130,180)",2.04107142857148
"M3",4.56e-07,1998.46,1.53999999999996,4,17,2,64,4.08,"rgb(70,130,180)",1.32467532467536
"M3",4.56e-07,1998.46,1.53999999999996,4,18,1,64,3.98,"rgb(70,130,180)",0.646103896103911
"M4",9.63e-10,1998.78,1.22000000000003,4,19,4,64,3.66,"rgb(100,149,237)",2.99999999999993
"M4",9.63e-10,1998.78,1.22000000000003,4,20,3,64,3.546,"rgb(100,149,237)",2.17991803278684
"M4",9.63e-10,1998.78,1.22000000000003,4,21,2,64,3.424,"rgb(100,149,237)",1.40327868852456
"M4",9.63e-10,1998.78,1.22000000000003,4,22,1,64,3.312,"rgb(100,149,237)",0.678688524590149
"M5",1.86e-09,1998.81,1.19000000000005,6,23,6,64,3.16,"rgb(0,191,255)",2.65546218487383
"M5",1.86e-09,1998.81,1.19000000000005,6,24,5,64,3.05,"rgb(0,191,255)",2.1358543417366
"M5",1.86e-09,1998.81,1.19000000000005,6,25,4,64,2.941,"rgb(0,191,255)",1.64761904761897
"M5",1.86e-09,1998.81,1.19000000000005,6,26,3,64,2.827,"rgb(0,191,255)",1.18781512605037
"M5",1.86e-09,1998.81,1.19000000000005,6,27,2,64,2.72,"rgb(0,191,255)",0.761904761904727
"M5",1.86e-09,1998.81,1.19000000000005,6,28,1,64,2.621,"rgb(0,191,255)",0.367086834733877
"N1",3.73e-06,1999.62,0.380000000000109,2,29,2,64,1.5323,"rgb(0,128,128)",4.03236842105147
"N1",3.73e-06,1999.62,0.380000000000109,2,30,1,64,1.481,"rgb(0,128,128)",1.94868421052576
"N2",1.91e-07,1999.71,0.289999999999964,2,31,2,64,1.368,"rgb(95,158,160)",4.71724137931094
"N2",1.91e-07,1999.71,0.289999999999964,2,32,1,64,1.321,"rgb(95,158,160)",2.27758620689684
"N3",1.017e-07,1999.73,0.269999999999982,4,33,4,64,1.233,"rgb(32,178,170)",4.56666666666697
"N3",1.017e-07,1999.73,0.269999999999982,4,34,3,64,1.189,"rgb(32,178,170)",3.302777777778
"N3",1.017e-07,1999.73,0.269999999999982,4,35,2,64,1.142,"rgb(32,178,170)",2.11481481481496
"N3",1.017e-07,1999.73,0.269999999999982,4,36,1,64,1.1,"rgb(32,178,170)",1.01851851851859
"N4",2.18e-10,1999.85,0.150000000000091,4,37,4,64,0.937,"rgb(0,206,209)",6.24666666666288
"N4",2.18e-10,1999.85,0.150000000000091,4,38,3,64,0.895,"rgb(0,206,209)",4.47499999999729
"N4",2.18e-10,1999.85,0.150000000000091,4,39,2,64,0.851,"rgb(0,206,209)",2.83666666666495
"N4",2.18e-10,1999.85,0.150000000000091,4,40,1,64,0.81,"rgb(0,206,209)",1.34999999999918
"N5",4.11e-10,1999.87,0.130000000000109,6,41,6,64,0.761,"rgb(64,224,208)",5.85384615384124
"N5",4.11e-10,1999.87,0.130000000000109,6,42,5,64,0.719,"rgb(64,224,208)",4.60897435897049
"N5",4.11e-10,1999.87,0.130000000000109,6,43,4,64,0.68,"rgb(64,224,208)",3.48717948717656
"N5",4.11e-10,1999.87,0.130000000000109,6,44,3,64,0.639,"rgb(64,224,208)",2.45769230769024
"N5",4.11e-10,1999.87,0.130000000000109,6,45,2,64,0.601,"rgb(64,224,208)",1.54102564102435
"N5",4.11e-10,1999.87,0.130000000000109,6,46,1,64,0.565,"rgb(64,224,208)",0.724358974358366
"N6",NA,2000,0.3844,6,47,6,64,0.3844,"rgb(102,205,170)",1
"N6",NA,2000,0.352,6,48,5,64,0.352,"rgb(102,205,170)",0.833333333333333
"N6",NA,2000,0.319,6,49,4,64,0.319,"rgb(102,205,170)",0.666666666666667
"N6",NA,2000,0.288,6,50,3,64,0.288,"rgb(102,205,170)",0.5
"N6",NA,2000,0.268,6,51,2,64,0.268,"rgb(102,205,170)",0.333333333333333
"N6",NA,2000,0.246,6,52,1,64,0.246,"rgb(102,205,170)",0.166666666666667
"N7",NA,2000,0.213,8,53,8,64,0.213,"rgb(127,255,212)",1
"N7",NA,2000,0.183,8,54,7,64,0.183,"rgb(127,255,212)",0.875
"N7",NA,2000,0.165,8,55,6,64,0.165,"rgb(127,255,212)",0.75
"N7",NA,2000,0.144,8,56,5,64,0.144,"rgb(127,255,212)",0.625
"N7",NA,2000,0.123,8,57,4,64,0.123,"rgb(127,255,212)",0.5
"N7",NA,2000,0.106,8,58,3,64,0.106,"rgb(127,255,212)",0.375
"N7",NA,2000,0.089,8,59,2,64,0.089,"rgb(127,255,212)",0.25
"N7",NA,2000,0.0648,8,60,1,64,0.0648,"rgb(127,255,212)",0.125
"O1",5.87e-07,1999.96,0.0399999999999636,2,61,2,64,0.04444,"rgb(0,255,255)",1.11100000000101
"O1",5.87e-07,1999.96,0.0399999999999636,2,62,1,64,0.02054,"rgb(0,255,255)",0.256750000000234
"O2",2.56e-08,1999.98,0.0199999999999818,2,63,2,64,0.012076,"rgb(0,250,154)",0.603800000000549
"O2",2.56e-08,1999.98,0.0199999999999818,2,64,2,64,0.0061498,"rgb(0,250,154)",0.30749000000028
