"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.00439,1847,153,2,1,2,103,172.93,"rgb(123,104,238)",1.1302614379085
"K",0.00439,1847,153,2,2,1,103,NA,"rgb(123,104,238)",NA
"L1",0.000792,1969.92,30.0799999999999,2,3,2,103,43.759,"rgb(25,25,112)",1.45475398936171
"L1",0.000792,1969.92,30.0799999999999,2,4,1,103,43.2,"rgb(25,25,112)",0.718085106382981
"L2",0.000212,1970.87,29.1300000000001,2,5,2,103,42.3,"rgb(0,0,139)",1.45211122554067
"L2",0.000212,1970.87,29.1300000000001,2,6,1,103,41.6,"rgb(0,0,139)",0.714040508067282
"L3",1.719e-05,1977.65,22.3499999999999,4,7,4,103,33.9,"rgb(0,0,205)",1.51677852348994
"L3",1.719e-05,1977.65,22.3499999999999,4,8,3,103,33.4,"rgb(0,0,205)",1.12080536912752
"L3",1.719e-05,1977.65,22.3499999999999,4,9,2,103,32.9,"rgb(0,0,205)",0.736017897091726
"L3",1.719e-05,1977.65,22.3499999999999,4,10,1,103,32.4,"rgb(0,0,205)",0.362416107382552
"M1",0.000192,1992.08,7.92000000000007,2,11,2,103,16.2,"rgb(0,0,255)",2.04545454545453
"M1",0.000192,1992.08,7.92000000000007,2,12,1,103,16,"rgb(0,0,255)",1.010101010101
"M2",5.84e-05,1992.53,7.47000000000003,2,13,2,103,15.6,"rgb(65,105,225)",2.08835341365461
"M2",5.84e-05,1992.53,7.47000000000003,2,14,1,103,15.3,"rgb(65,105,225)",1.02409638554216
"M3",5.09e-06,1994.11,5.8900000000001,4,15,4,103,13.3,"rgb(70,130,180)",2.25806451612899
"M3",5.09e-06,1994.11,5.8900000000001,4,16,3,103,13.09,"rgb(70,130,180)",1.66680814940574
"M3",5.09e-06,1994.11,5.8900000000001,4,17,2,103,12.89,"rgb(70,130,180)",1.09422750424446
"M3",5.09e-06,1994.11,5.8900000000001,4,18,1,103,12.71,"rgb(70,130,180)",0.539473684210517
"M4",4.71e-08,1994.8,5.20000000000005,4,19,4,103,12.12,"rgb(100,149,237)",2.33076923076921
"M4",4.71e-08,1994.8,5.20000000000005,4,20,3,103,11.91,"rgb(100,149,237)",1.71778846153845
"M4",4.71e-08,1994.8,5.20000000000005,4,21,2,103,11.68,"rgb(100,149,237)",1.12307692307691
"M4",4.71e-08,1994.8,5.20000000000005,4,22,1,103,11.47,"rgb(100,149,237)",0.551442307692303
"M5",4.46e-08,1995.1,4.90000000000009,6,23,6,103,10.92,"rgb(0,191,255)",2.22857142857139
"M5",4.46e-08,1995.1,4.90000000000009,6,24,5,103,10.72,"rgb(0,191,255)",1.82312925170065
"M5",4.46e-08,1995.1,4.90000000000009,6,25,4,103,10.52,"rgb(0,191,255)",1.43129251700678
"M5",4.46e-08,1995.1,4.90000000000009,6,26,3,103,10.31,"rgb(0,191,255)",1.05204081632651
"M5",4.46e-08,1995.1,4.90000000000009,6,27,2,103,10.11,"rgb(0,191,255)",0.687755102040803
"M5",4.46e-08,1995.1,4.90000000000009,6,28,1,103,9.92,"rgb(0,191,255)",0.337414965986388
"N1",5.39e-05,1997.85,2.15000000000009,2,29,2,103,6.39,"rgb(0,128,128)",2.97209302325569
"N1",5.39e-05,1997.85,2.15000000000009,2,30,1,103,6.29,"rgb(0,128,128)",1.46279069767436
"N2",1.656e-05,1998.05,1.95000000000005,2,31,2,103,6.03,"rgb(95,158,160)",3.09230769230762
"N2",1.656e-05,1998.05,1.95000000000005,2,32,1,103,5.92,"rgb(95,158,160)",1.51794871794868
"N3",1.479e-06,1998.5,1.5,4,33,4,103,5.25,"rgb(32,178,170)",3.5
"N3",1.479e-06,1998.5,1.5,4,34,3,103,5.16,"rgb(32,178,170)",2.58
"N3",1.479e-06,1998.5,1.5,4,35,2,103,5.07,"rgb(32,178,170)",1.69
