"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",4.39e-06,1998.7,1.29999999999995,2,1,2,12,1.96266366,"rgb(123,104,238)",1.50974127692313
"K",4.39e-06,1998.7,1.29999999999995,2,2,1,12,1.76180488,"rgb(123,104,238)",0.677617261538485
"L1",2.82e-07,1999.91,0.0899999999999181,2,3,2,12,0.367489,"rgb(25,25,112)",4.08321111111483
"L1",2.82e-07,1999.91,0.0899999999999181,2,4,1,12,0.32799,"rgb(25,25,112)",1.82216666666832
"L2",1.452e-10,1999.95,0.0499999999999545,2,5,2,12,0.265924,"rgb(0,0,139)",5.31848000000484
"L2",1.452e-10,1999.95,0.0499999999999545,2,6,1,12,0.22502,"rgb(0,0,139)",2.25020000000205
"L3",2.87e-10,1999.95,0.0499999999999545,4,7,4,12,0.18676,"rgb(0,0,205)",3.7352000000034
"L3",2.87e-10,1999.95,0.0499999999999545,4,8,3,12,0.14133,"rgb(0,0,205)",2.11995000000193
"L3",2.87e-10,1999.95,0.0499999999999545,4,9,2,12,0.1092654,"rgb(0,0,205)",1.09265400000099
"L3",2.87e-10,1999.95,0.0499999999999545,4,10,1,12,0.0801436,"rgb(0,0,205)",0.400718000000364
"M1",1.045e-08,2000,0.015035271,2,11,2,12,0.015035271,"rgb(0,0,255)",1
"M1",1.045e-08,2000,0.007646236,2,12,2,12,0.007646236,"rgb(0,0,255)",1
