"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.00193,1898.87,101.13,2,1,2,87,115.859,"rgb(123,104,238)",1.14564422031049
"K",0.00193,1898.87,101.13,2,2,1,87,113.8172,"rgb(123,104,238)",0.562727182833975
"L1",0.000288,1981.37,18.6300000000001,2,3,2,87,28.6834,"rgb(25,25,112)",1.53963499731615
"L1",0.000288,1981.37,18.6300000000001,2,4,1,87,28.26,"rgb(25,25,112)",0.758454106280189
"L2",3.91e-05,1982.1,17.9000000000001,2,5,2,87,27.59,"rgb(0,0,139)",1.5413407821229
"L2",3.91e-05,1982.1,17.9000000000001,2,6,1,87,27.06,"rgb(0,0,139)",0.755865921787706
"L3",7.76e-06,1984.97,15.03,4,7,4,87,23.57,"rgb(0,0,205)",1.56819693945443
"L3",7.76e-06,1984.97,15.03,4,8,3,87,23.17,"rgb(0,0,205)",1.1561876247505
"L3",7.76e-06,1984.97,15.03,4,9,2,87,22.73,"rgb(0,0,205)",0.756154357950767
"L3",7.76e-06,1984.97,15.03,4,10,1,87,22.33,"rgb(0,0,205)",0.37142381902861
"M1",6.68e-05,1995.35,4.65000000000009,2,11,2,87,10.59,"rgb(0,0,255)",2.27741935483867
"M1",6.68e-05,1995.35,4.65000000000009,2,12,1,87,10.42,"rgb(0,0,255)",1.12043010752686
"M2",1.031e-05,1995.68,4.31999999999994,2,13,2,87,10.07,"rgb(65,105,225)",2.33101851851855
"M2",1.031e-05,1995.68,4.31999999999994,2,14,1,87,9.89,"rgb(65,105,225)",1.14467592592594
"M3",2.14e-06,1996.34,3.66000000000008,4,15,4,87,8.95,"rgb(70,130,180)",2.44535519125678
"M3",2.14e-06,1996.34,3.66000000000008,4,16,3,87,8.8,"rgb(70,130,180)",1.80327868852455
"M3",2.14e-06,1996.34,3.66000000000008,4,17,2,87,8.64,"rgb(70,130,180)",1.18032786885243
"M3",2.14e-06,1996.34,3.66000000000008,4,18,1,87,8.5,"rgb(70,130,180)",0.580601092896162
"M4",1.151e-08,1996.87,3.13000000000011,4,19,4,87,8.02,"rgb(100,149,237)",2.56230031948873
"M4",1.151e-08,1996.87,3.13000000000011,4,20,3,87,7.85,"rgb(100,149,237)",1.8809904153354
"M4",1.151e-08,1996.87,3.13000000000011,4,21,2,87,7.67,"rgb(100,149,237)",1.22523961661338
"M4",1.151e-08,1996.87,3.13000000000011,4,22,1,87,7.5,"rgb(100,149,237)",0.599041533546305
"M5",1.519e-08,1997.01,2.99000000000001,6,23,6,87,7.172,"rgb(0,191,255)",2.39866220735785
"M5",1.519e-08,1997.01,2.99000000000001,6,24,5,87,7.013,"rgb(0,191,255)",1.95457079152731
"M5",1.519e-08,1997.01,2.99000000000001,6,25,4,87,6.849,"rgb(0,191,255)",1.52709030100334
"M5",1.519e-08,1997.01,2.99000000000001,6,26,3,87,6.678,"rgb(0,191,255)",1.11672240802675
"M5",1.519e-08,1997.01,2.99000000000001,6,27,2,87,6.516,"rgb(0,191,255)",0.726421404682272
"M5",1.519e-08,1997.01,2.99000000000001,6,28,1,87,6.365,"rgb(0,191,255)",0.354793756967669
"N1",1.746e-05,1998.85,1.15000000000009,2,29,2,87,3.907,"rgb(0,128,128)",3.39739130434756
"N1",1.746e-05,1998.85,1.15000000000009,2,30,1,87,3.828,"rgb(0,128,128)",1.66434782608682
"N2",2.69e-06,1999,1,2,31,2,87,3.635,"rgb(95,158,160)",3.635
"N2",2.69e-06,1999,1,2,32,1,87,3.556,"rgb(95,158,160)",1.778
"N3",5.61e-07,1999.16,0.839999999999918,4,33,4,87,3.257,"rgb(32,178,170)",3.87738095238133
"N3",5.61e-07,1999.16,0.839999999999918,4,34,3,87,3.19,"rgb(32,178,170)",2.84821428571456
"N3",5.61e-07,1999.16,0.839999999999918,4,35,2,87,3.115,"rgb(32,178,170)",1.85416666666685
"N3",5.61e-07,1999.16,0.839999999999918,4,36,1,87,3.049,"rgb(32,178,170)",0.907440476190565
"N4",3.38e-09,1999.4,0.599999999999909,4,37,4,87,2.774,"rgb(0,206,209)",4.62333333333403
"N4",3.38e-09,1999.4,0.599999999999909,4,38,3,87,2.706,"rgb(0,206,209)",3.38250000000051
"N4",3.38e-09,1999.4,0.599999999999909,4,39,2,87,2.631,"rgb(0,206,209)",2.19250000000033
"N4",3.38e-09,1999.4,0.599999999999909,4,40,1,87,2.564,"rgb(0,206,209)",1.0683333333335
"N5",4.42e-09,1999.43,0.569999999999936,6,41,6,87,2.45,"rgb(64,224,208)",4.29824561403557
"N5",4.42e-09,1999.43,0.569999999999936,6,42,5,87,2.384,"rgb(64,224,208)",3.48538011695945
"N5",4.42e-09,1999.43,0.569999999999936,6,43,4,87,2.317,"rgb(64,224,208)",2.70994152046814
"N5",4.42e-09,1999.43,0.569999999999936,6,44,3,87,2.247,"rgb(64,224,208)",1.97105263157917
"N5",4.42e-09,1999.43,0.569999999999936,6,45,2,87,2.182,"rgb(64,224,208)",1.27602339181301
"N5",4.42e-09,1999.43,0.569999999999936,6,46,1,87,2.119,"rgb(64,224,208)",0.619590643274923
"N6",1.596e-12,1999.74,0.259999999999991,6,47,6,87,1.81,"rgb(102,205,170)",6.96153846153871
"N6",1.596e-12,1999.74,0.259999999999991,6,48,5,87,1.74,"rgb(102,205,170)",5.57692307692327
"N6",1.596e-12,1999.74,0.259999999999991,6,49,4,87,1.67,"rgb(102,205,170)",4.28205128205143
"N6",1.596e-12,1999.74,0.259999999999991,6,50,3,87,1.6,"rgb(102,205,170)",3.07692307692318
"N6",1.596e-12,1999.74,0.259999999999991,6,51,2,87,1.53,"rgb(102,205,170)",1.96153846153853
"N6",1.596e-12,1999.74,0.259999999999991,6,52,1,87,1.46,"rgb(102,205,170)",0.935897435897469
"N7",6.42e-12,1999.75,0.25,8,53,8,87,1.38,"rgb(127,255,212)",5.52
"N7",6.42e-12,1999.75,0.25,8,54,7,87,1.32,"rgb(127,255,212)",4.62
"N7",6.42e-12,1999.75,0.25,8,55,6,87,1.25,"rgb(127,255,212)",3.75
"N7",6.42e-12,1999.75,0.25,8,56,5,87,1.18,"rgb(127,255,212)",2.95
"N7",6.42e-12,1999.75,0.25,8,57,4,87,1.11,"rgb(127,255,212)",2.22
"N7",6.42e-12,1999.75,0.25,8,58,3,87,1.04,"rgb(127,255,212)",1.56
"N7",6.42e-12,1999.75,0.25,8,59,2,87,0.98,"rgb(127,255,212)",0.98
"N7",6.42e-12,1999.75,0.25,8,60,1,87,0.91,"rgb(127,255,212)",0.455
"O1",3.93e-06,1999.77,0.230000000000018,2,61,2,87,0.85,"rgb(0,255,255)",3.69565217391275
"O1",3.93e-06,1999.77,0.230000000000018,2,62,1,87,0.81,"rgb(0,255,255)",1.76086956521725
"O2",5.63e-07,1999.82,0.180000000000064,2,63,2,87,0.72,"rgb(0,250,154)",3.99999999999859
"O2",5.63e-07,1999.82,0.180000000000064,2,64,1,87,0.69,"rgb(0,250,154)",1.91666666666599
"O3",1.146e-07,1999.86,0.1400000000001,4,65,4,87,0.62,"rgb(0,255,127)",4.42857142856826
"O3",1.146e-07,1999.86,0.1400000000001,4,66,3,87,0.59,"rgb(0,255,127)",3.16071428571203
"O3",1.146e-07,1999.86,0.1400000000001,4,67,2,87,0.56,"rgb(0,255,127)",1.99999999999857
"O3",1.146e-07,1999.86,0.1400000000001,4,68,1,87,0.53,"rgb(0,255,127)",0.946428571427895
"O4",5.51e-10,1999.94,0.0599999999999454,4,69,4,87,0.4,"rgb(173,255,47)",6.66666666667273
"O4",5.51e-10,1999.94,0.0599999999999454,4,70,3,87,0.375,"rgb(173,255,47)",4.68750000000426
"O4",5.51e-10,1999.94,0.0599999999999454,4,71,2,87,0.349,"rgb(173,255,47)",2.90833333333598
"O4",5.51e-10,1999.94,0.0599999999999454,4,72,1,87,0.324,"rgb(173,255,47)",1.35000000000123
"O5",7.06e-10,1999.94,0.0599999999999454,6,73,6,87,0.293,"rgb(107,142,35)",4.88333333333777
"O5",7.06e-10,1999.94,0.0599999999999454,6,74,5,87,0.269,"rgb(107,142,35)",3.73611111111451
"O5",7.06e-10,1999.94,0.0599999999999454,6,75,4,87,0.245,"rgb(107,142,35)",2.7222222222247
"O5",7.06e-10,1999.94,0.0599999999999454,6,76,3,87,0.2221,"rgb(107,142,35)",1.85083333333502
"O5",7.06e-10,1999.94,0.0599999999999454,6,77,2,87,0.2,"rgb(107,142,35)",1.11111111111212
"O5",7.06e-10,1999.94,0.0599999999999454,6,78,1,87,0.179,"rgb(107,142,35)",0.497222222222674
"P1",6.44e-07,1999.97,0.0299999999999727,2,79,2,87,0.12,"rgb(189,183,107)",4.00000000000364
"P1",6.44e-07,1999.97,0.0299999999999727,2,80,1,87,0.106,"rgb(189,183,107)",1.76666666666827
"P2",7.6e-08,1999.99,0.00999999999999091,2,81,2,87,0.08,"rgb(255,255,0)",8.00000000000728
"P2",7.6e-08,1999.99,0.00999999999999091,2,82,1,87,0.067,"rgb(255,255,0)",3.35000000000305
"P3",1.378e-08,1999.99,0.00999999999999091,4,83,4,87,0.05,"rgb(255,228,181)",5.00000000000455
"P3",1.378e-08,1999.99,0.00999999999999091,4,84,3,87,0.0391,"rgb(255,228,181)",2.93250000000267
"P3",1.378e-08,1999.99,0.00999999999999091,4,85,2,87,0.0335,"rgb(255,228,181)",1.67500000000152
"P3",1.378e-08,1999.99,0.00999999999999091,4,86,1,87,0.0224,"rgb(255,228,181)",0.560000000000509
"Q1",3.96e-08,2000,0.0040727411,2,87,2,87,0.0040727411,"rgb(255,140,0)",1
