"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"N7",NA,1999.98,0.0199999999999818,8,58,3,72,0.334,"rgb(127,255,212)",6.2625000000057
"N7",NA,1999.98,0.0199999999999818,8,59,2,72,0.31,"rgb(127,255,212)",3.87500000000352
"N7",NA,1999.98,0.0199999999999818,8,60,1,72,0.27,"rgb(127,255,212)",1.68750000000153
"O1",9.91e-07,1999.94,0.0599999999999454,2,61,2,72,0.23,"rgb(0,255,255)",3.83333333333682
"O1",9.91e-07,1999.94,0.0599999999999454,2,62,1,72,0.209,"rgb(0,255,255)",1.74166666666825
"O2",6.25e-08,1999.96,0.0399999999999636,2,63,2,72,0.187,"rgb(0,250,154)",4.67500000000425
"O2",6.25e-08,1999.96,0.0399999999999636,2,64,1,72,0.157,"rgb(0,250,154)",1.96250000000178
"O3",2.36e-08,1999.97,0.0299999999999727,4,65,4,72,0.137,"rgb(0,255,127)",4.56666666667082
"O3",2.36e-08,1999.97,0.0299999999999727,4,66,3,72,0.118,"rgb(0,255,127)",2.95000000000268
"O3",2.36e-08,1999.97,0.0299999999999727,4,67,2,72,0.098,"rgb(0,255,127)",1.63333333333482
"O3",2.36e-08,1999.97,0.0299999999999727,4,68,1,72,0.06837,"rgb(0,255,127)",0.569750000000518
"O4",2.7e-11,1999.99,0.00999999999999091,4,69,2,72,0.03337,"rgb(173,255,47)",1.66850000000152
"O4",2.7e-11,1999.99,0.00999999999999091,4,70,2,72,0.02255,"rgb(173,255,47)",1.12750000000103
"O4",2.7e-11,1999.99,0.00999999999999091,4,71,2,72,0.01461,"rgb(173,255,47)",0.730500000000664
"O4",2.7e-11,1999.99,0.00999999999999091,4,72,2,72,0.00682507,"rgb(173,255,47)",0.34125350000031
