"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.001068,1928.32,71.6800000000001,2,1,2,75,83.1623,"rgb(123,104,238)",1.16018833705357
"K",0.001068,1928.32,71.6800000000001,2,2,1,75,81.5569,"rgb(123,104,238)",0.568895786830357
"L1",0.0001434,1987.47,12.53,2,3,2,75,20.2974,"rgb(25,25,112)",1.61990422984837
"L1",0.0001434,1987.47,12.53,2,4,1,75,19.95,"rgb(25,25,112)",0.796089385474862
"L2",1.145e-05,1988.04,11.96,2,5,2,75,19.42,"rgb(0,0,139)",1.62374581939799
"L2",1.145e-05,1988.04,11.96,2,6,1,75,19,"rgb(0,0,139)",0.794314381270901
"L3",3.91e-06,1989.46,10.54,4,7,4,75,17.12,"rgb(0,0,205)",1.62428842504744
"L3",3.91e-06,1989.46,10.54,4,8,3,75,16.78,"rgb(0,0,205)",1.19402277039849
"L3",3.91e-06,1989.46,10.54,4,9,2,75,16.41,"rgb(0,0,205)",0.778462998102469
"L3",3.91e-06,1989.46,10.54,4,10,1,75,16.08,"rgb(0,0,205)",0.381404174573056
"M1",3.21e-05,1997.07,2.93000000000006,2,11,2,75,7.366,"rgb(0,0,255)",2.51399317406138
"M1",3.21e-05,1997.07,2.93000000000006,2,12,1,75,7.23,"rgb(0,0,255)",1.23378839590441
"M2",2.89e-06,1997.32,2.68000000000006,2,13,2,75,6.952,"rgb(65,105,225)",2.59402985074621
"M2",2.89e-06,1997.32,2.68000000000006,2,14,1,75,6.81,"rgb(65,105,225)",1.27052238805967
"M3",1.016e-06,1997.63,2.36999999999989,4,15,4,75,6.3,"rgb(70,130,180)",2.65822784810139
"M3",1.016e-06,1997.63,2.36999999999989,4,16,3,75,6.176,"rgb(70,130,180)",1.95443037974693
"M3",1.016e-06,1997.63,2.36999999999989,4,17,2,75,6.042,"rgb(70,130,180)",1.27468354430386
