"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.000552,1953.17,46.8299999999999,2,1,2,62,55.21423,"rgb(123,104,238)",1.1790354473628
"K",0.000552,1953.17,46.8299999999999,2,2,1,62,53.98612,"rgb(123,104,238)",0.576405295750588
"L1",6.73e-05,1992.26,7.74000000000001,2,3,2,62,13.26285,"rgb(25,25,112)",1.7135465116279
"L1",6.73e-05,1992.26,7.74000000000001,2,4,1,62,12.992,"rgb(25,25,112)",0.839276485788113
"L2",2.9e-06,1992.69,7.30999999999995,2,5,2,62,12.588,"rgb(0,0,139)",1.72202462380302
"L2",2.9e-06,1992.69,7.30999999999995,2,6,1,62,12.264,"rgb(0,0,139)",0.838850889192893
"L3",1.625e-06,1993.28,6.72000000000003,4,7,4,62,11.337,"rgb(0,0,205)",1.68705357142856
"L3",1.625e-06,1993.28,6.72000000000003,4,8,3,62,11.06,"rgb(0,0,205)",1.234375
"L3",1.625e-06,1993.28,6.72000000000003,4,9,2,62,10.762,"rgb(0,0,205)",0.800744047619044
"L3",1.625e-06,1993.28,6.72000000000003,4,10,1,62,10.494,"rgb(0,0,205)",0.390401785714284
"M1",1.422e-05,1998.28,1.72000000000003,2,11,2,62,4.655,"rgb(0,0,255)",2.70639534883717
"M1",1.422e-05,1998.28,1.72000000000003,2,12,1,62,4.548,"rgb(0,0,255)",1.32209302325579
"M2",6.8e-07,1998.46,1.53999999999996,2,13,2,62,4.337,"rgb(65,105,225)",2.81623376623383
"M2",6.8e-07,1998.46,1.53999999999996,2,14,1,62,4.227,"rgb(65,105,225)",1.37240259740263
"M3",3.88e-07,1998.58,1.42000000000007,4,15,4,62,3.971,"rgb(70,130,180)",2.79647887323929
"M3",3.88e-07,1998.58,1.42000000000007,4,16,3,62,3.873,"rgb(70,130,180)",2.04559859154919
"M3",3.88e-07,1998.58,1.42000000000007,4,17,2,62,3.766,"rgb(70,130,180)",1.3260563380281
"M3",3.88e-07,1998.58,1.42000000000007,4,18,1,62,3.669,"rgb(70,130,180)",0.645950704225319
"M4",7.43e-10,1998.89,1.1099999999999,4,19,4,62,3.363,"rgb(100,149,237)",3.02972972973
"M4",7.43e-10,1998.89,1.1099999999999,4,20,3,62,3.253,"rgb(100,149,237)",2.19797297297317
"M4",7.43e-10,1998.89,1.1099999999999,4,21,2,62,3.137,"rgb(100,149,237)",1.41306306306319
"M4",7.43e-10,1998.89,1.1099999999999,4,22,1,62,3.028,"rgb(100,149,237)",0.681981981982043
