"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.000496,1956.43,43.5699999999999,2,1,2,60,51.51558,"rgb(123,104,238)",1.18236355290338
"K",0.000496,1956.43,43.5699999999999,2,2,1,60,50.33959,"rgb(123,104,238)",0.577686366766124
"L1",5.97e-05,1992.87,7.13000000000011,2,3,2,60,12.34166,"rgb(25,25,112)",1.73094810659184
"L1",5.97e-05,1992.87,7.13000000000011,2,4,1,60,12.082,"rgb(25,25,112)",0.847265077138837
"L2",2.32e-06,1993.28,6.72000000000003,2,5,2,60,11.694,"rgb(0,0,139)",1.74017857142856
"L2",2.32e-06,1993.28,6.72000000000003,2,6,1,60,11.384,"rgb(0,0,139)",0.847023809523806
"L3",1.395e-06,1993.79,6.21000000000004,4,7,4,60,10.555,"rgb(0,0,205)",1.69967793880836
"L3",1.395e-06,1993.79,6.21000000000004,4,8,3,60,10.288,"rgb(0,0,205)",1.24251207729468
"L3",1.395e-06,1993.79,6.21000000000004,4,9,2,60,10.002,"rgb(0,0,205)",0.805314009661831
"L3",1.395e-06,1993.79,6.21000000000004,4,10,1,60,9.742,"rgb(0,0,205)",0.392190016103057
"M1",1.247e-05,1998.42,1.57999999999993,2,11,2,60,4.302,"rgb(0,0,255)",2.72278481012671
"M1",1.247e-05,1998.42,1.57999999999993,2,12,1,60,4.198,"rgb(0,0,255)",1.32848101265829
"M2",5.37e-07,1998.6,1.40000000000009,2,13,2,60,3.997,"rgb(65,105,225)",2.85499999999981
"M2",5.37e-07,1998.6,1.40000000000009,2,14,1,60,3.891,"rgb(65,105,225)",1.38964285714277
"M3",3.28e-07,1998.7,1.29999999999995,4,15,4,60,3.662,"rgb(70,130,180)",2.81692307692318
"M3",3.28e-07,1998.7,1.29999999999995,4,16,3,60,3.567,"rgb(70,130,180)",2.05788461538469
"M3",3.28e-07,1998.7,1.29999999999995,4,17,2,60,3.465,"rgb(70,130,180)",1.33269230769235
