"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.000645,1948,52,2,1,2,65,61.04965,"rgb(123,104,238)",1.17403173076923
"K",0.000645,1948,52,2,2,1,65,59.7393,"rgb(123,104,238)",0.574416346153846
"L1",8.04e-05,1991.29,8.71000000000004,2,3,2,65,14.72102,"rgb(25,25,112)",1.69012858783007
"L1",8.04e-05,1991.29,8.71000000000004,2,4,1,65,14.434,"rgb(25,25,112)",0.828587830080364
"L2",4.01e-06,1991.75,8.25,2,5,2,65,14.003,"rgb(0,0,139)",1.69733333333333
"L2",4.01e-06,1991.75,8.25,2,6,1,65,13.658,"rgb(0,0,139)",0.827757575757576
"L3",2.02e-06,1992.49,7.50999999999999,4,7,4,65,12.563,"rgb(0,0,205)",1.6728362183755
"L3",2.02e-06,1992.49,7.50999999999999,4,8,3,65,12.272,"rgb(0,0,205)",1.22556591211718
"L3",2.02e-06,1992.49,7.50999999999999,4,9,2,65,11.957,"rgb(0,0,205)",0.796071904127831
"L3",2.02e-06,1992.49,7.50999999999999,4,10,1,65,11.673,"rgb(0,0,205)",0.388581890812251
"M1",1.725e-05,1998.03,1.97000000000003,2,11,2,65,5.217,"rgb(0,0,255)",2.64822335025377
"M1",1.725e-05,1998.03,1.97000000000003,2,12,1,65,5.103,"rgb(0,0,255)",1.2951776649746
"M2",9.6e-07,1998.23,1.76999999999998,2,13,2,65,4.877,"rgb(65,105,225)",2.75536723163845
"M2",9.6e-07,1998.23,1.76999999999998,2,14,1,65,4.76,"rgb(65,105,225)",1.3446327683616
"M3",4.94e-07,1998.39,1.6099999999999,4,15,4,65,4.46,"rgb(70,130,180)",2.7701863354039
"M3",4.94e-07,1998.39,1.6099999999999,4,16,3,65,4.355,"rgb(70,130,180)",2.02872670807466
"M3",4.94e-07,1998.39,1.6099999999999,4,17,2,65,4.242,"rgb(70,130,180)",1.31739130434791
"M3",4.94e-07,1998.39,1.6099999999999,4,18,1,65,4.139,"rgb(70,130,180)",0.642701863354077
"M4",1.093e-09,1998.73,1.26999999999998,4,19,4,65,3.814,"rgb(100,149,237)",3.00314960629926
"M4",1.093e-09,1998.73,1.26999999999998,4,20,3,65,3.698,"rgb(100,149,237)",2.18385826771657
"M4",1.093e-09,1998.73,1.26999999999998,4,21,2,65,3.573,"rgb(100,149,237)",1.40669291338585
