"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.00047,1958.01,41.99,2,1,2,59,49.72225,"rgb(123,104,238)",1.18414503453203
"K",0.00047,1958.01,41.99,2,2,1,59,48.57171,"rgb(123,104,238)",0.578372350559657
"L1",5.62e-05,1993.17,6.82999999999993,2,3,2,59,11.89589,"rgb(25,25,112)",1.74171156661788
"L1",5.62e-05,1993.17,6.82999999999993,2,4,1,59,11.641,"rgb(25,25,112)",0.852196193265016
"L2",2.08e-06,1993.56,6.44000000000005,2,5,2,59,11.262,"rgb(0,0,139)",1.74875776397514
"L2",2.08e-06,1993.56,6.44000000000005,2,6,1,59,10.959,"rgb(0,0,139)",0.850854037267074
"L3",1.289e-06,1994.04,5.96000000000004,4,7,4,59,10.175,"rgb(0,0,205)",1.70721476510066
"L3",1.289e-06,1994.04,5.96000000000004,4,8,3,59,9.913,"rgb(0,0,205)",1.24744127516778
"L3",1.289e-06,1994.04,5.96000000000004,4,9,2,59,9.632,"rgb(0,0,205)",0.808053691275163
"L3",1.289e-06,1994.04,5.96000000000004,4,10,1,59,9.378,"rgb(0,0,205)",0.393372483221474
"M1",1.166e-05,1998.49,1.50999999999999,2,11,2,59,4.13,"rgb(0,0,255)",2.73509933774836
"M1",1.166e-05,1998.49,1.50999999999999,2,12,1,59,4.03,"rgb(0,0,255)",1.33443708609272
"M2",4.77e-07,1998.66,1.33999999999992,2,13,2,59,3.832,"rgb(65,105,225)",2.85970149253749
"M2",4.77e-07,1998.66,1.33999999999992,2,14,1,59,3.729,"rgb(65,105,225)",1.39141791044785
"M3",3e-07,1998.76,1.24000000000001,4,15,4,59,3.512,"rgb(70,130,180)",2.83225806451611
"M3",3e-07,1998.76,1.24000000000001,4,16,3,59,3.419,"rgb(70,130,180)",2.06794354838708
"M3",3e-07,1998.76,1.24000000000001,4,17,2,59,3.319,"rgb(70,130,180)",1.33830645161289
"M3",3e-07,1998.76,1.24000000000001,4,18,1,59,3.227,"rgb(70,130,180)",0.650604838709673
"M4",4.95e-10,1999.05,0.950000000000045,4,19,4,59,2.941,"rgb(100,149,237)",3.09578947368406
"M4",4.95e-10,1999.05,0.950000000000045,4,20,3,59,2.838,"rgb(100,149,237)",2.24052631578937
"M4",4.95e-10,1999.05,0.950000000000045,4,21,2,59,2.729,"rgb(100,149,237)",1.43631578947362
"M4",4.95e-10,1999.05,0.950000000000045,4,22,1,59,2.628,"rgb(100,149,237)",0.691578947368388
"M5",1.022e-09,1999.07,0.930000000000064,6,23,6,59,2.501,"rgb(0,191,255)",2.68924731182777
"M5",1.022e-09,1999.07,0.930000000000064,6,24,5,59,2.4,"rgb(0,191,255)",2.15053763440846
"M5",1.022e-09,1999.07,0.930000000000064,6,25,4,59,2.304,"rgb(0,191,255)",1.65161290322569
"M5",1.022e-09,1999.07,0.930000000000064,6,26,3,59,2.202,"rgb(0,191,255)",1.18387096774185
"M5",1.022e-09,1999.07,0.930000000000064,6,27,2,59,2.108,"rgb(0,191,255)",0.755555555555504
"M5",1.022e-09,1999.07,0.930000000000064,6,28,1,59,2.019,"rgb(0,191,255)",0.361827956989223
"N1",2.61e-06,1999.7,0.299999999999955,2,29,2,59,1.1699,"rgb(0,128,128)",3.89966666666726
"N1",2.61e-06,1999.7,0.299999999999955,2,30,1,59,1.124,"rgb(0,128,128)",1.87333333333362
"N2",1.028e-07,1999.76,0.240000000000009,2,31,2,59,1.028,"rgb(95,158,160)",4.28333333333317
"N2",1.028e-07,1999.76,0.240000000000009,2,32,1,59,0.985,"rgb(95,158,160)",2.05208333333326
"N3",6.49e-08,1999.78,0.220000000000027,4,33,4,59,0.92,"rgb(32,178,170)",4.18181818181766
"N3",6.49e-08,1999.78,0.220000000000027,4,34,3,59,0.88,"rgb(32,178,170)",2.99999999999963
"N3",6.49e-08,1999.78,0.220000000000027,4,35,2,59,0.84,"rgb(32,178,170)",1.90909090909067
"N3",6.49e-08,1999.78,0.220000000000027,4,36,1,59,0.803,"rgb(32,178,170)",0.912499999999887
"N4",1.049e-10,1999.88,0.119999999999891,4,37,4,59,0.663,"rgb(0,206,209)",5.52500000000503
"N4",1.049e-10,1999.88,0.119999999999891,4,38,3,59,0.627,"rgb(0,206,209)",3.91875000000356
"N4",1.049e-10,1999.88,0.119999999999891,4,39,2,59,0.59,"rgb(0,206,209)",2.45833333333557
"N4",1.049e-10,1999.88,0.119999999999891,4,40,1,59,0.554,"rgb(0,206,209)",1.15416666666772
"N5",2.15e-10,1999.89,0.1099999999999,6,41,6,59,0.516,"rgb(64,224,208)",4.69090909091336
"N5",2.15e-10,1999.89,0.1099999999999,6,42,5,59,0.478,"rgb(64,224,208)",3.62121212121541
"N5",2.15e-10,1999.89,0.1099999999999,6,43,4,59,0.445,"rgb(64,224,208)",2.69696969697215
"N5",2.15e-10,1999.89,0.1099999999999,6,44,3,59,0.412,"rgb(64,224,208)",1.87272727272898
"N5",2.15e-10,1999.89,0.1099999999999,6,45,2,59,0.378,"rgb(64,224,208)",1.14545454545559
"N5",2.15e-10,1999.89,0.1099999999999,6,46,1,59,0.35,"rgb(64,224,208)",0.530303030303513
"N6",NA,2000,0.21702,6,47,6,59,0.21702,"rgb(102,205,170)",1
"N6",NA,2000,0.196,6,48,5,59,0.196,"rgb(102,205,170)",0.833333333333333
"N6",NA,2000,0.162,6,49,4,59,0.162,"rgb(102,205,170)",0.666666666666667
"N6",NA,2000,0.148,6,50,3,59,0.148,"rgb(102,205,170)",0.5
"N6",NA,2000,0.131,6,51,2,59,0.131,"rgb(102,205,170)",0.333333333333333
"N6",NA,2000,0.112,6,52,1,59,0.112,"rgb(102,205,170)",0.166666666666667
"O1",4.26e-07,1999.96,0.0399999999999636,2,53,2,59,0.097,"rgb(0,255,255)",2.42500000000221
"O1",4.26e-07,1999.96,0.0399999999999636,2,54,1,59,0.082,"rgb(0,255,255)",1.02500000000093
"O2",1.429e-08,1999.98,0.0199999999999818,2,55,2,59,0.05753,"rgb(0,250,154)",2.87650000000262
"O2",1.429e-08,1999.98,0.0199999999999818,2,56,1,59,0.038981,"rgb(0,250,154)",0.974525000000886
"O3",8.73e-09,1999.98,0.0199999999999818,4,57,2,59,0.0216237,"rgb(0,255,127)",0.540592500000492
"O3",8.73e-09,1999.98,0.0199999999999818,4,58,2,59,0.010631,"rgb(0,255,127)",0.265775000000242
"O3",8.73e-09,1999.98,0.0199999999999818,4,59,2,59,0.0054702,"rgb(0,255,127)",0.136755000000124
