"Z","ne_cm3","Te_eV","q","frac"
30,1e+12,0.5,0,0.99909
30,1e+12,0.5,1,0.00091098
30,1e+12,0.5,2,2.1707e-15
30,1e+12,0.5,3,1.4013e-45
30,1e+12,0.5,4,0
30,1e+12,0.5,5,0
30,1e+12,0.5,6,0
30,1e+12,0.5,7,0
30,1e+12,0.5,8,0
30,1e+12,0.5,9,0
30,1e+12,0.5,10,0
30,1e+12,0.5,11,0
30,1e+12,0.5,12,0
30,1e+12,0.5,13,0
30,1e+12,0.5,14,0
30,1e+12,0.5,15,0
30,1e+12,0.5,16,0
30,1e+12,0.5,17,0
30,1e+12,0.5,18,0
30,1e+12,0.5,19,0
30,1e+12,0.5,20,0
30,1e+12,0.5,21,0
30,1e+12,0.5,22,0
30,1e+12,0.5,23,0
30,1e+12,0.5,24,0
30,1e+12,0.5,25,0
30,1e+12,0.5,26,0
30,1e+12,0.5,27,0
30,1e+12,0.5,28,0
30,1e+12,0.5,29,0
30,1e+12,0.5,30,0
30,1e+12,1,0,0.055644
30,1e+12,1,1,0.94418
30,1e+12,1,2,0.0001712
30,1e+12,1,3,2.4769e-17
30,1e+12,1,4,4.5567e-40
30,1e+12,1,5,0
30,1e+12,1,6,0
30,1e+12,1,7,0
30,1e+12,1,8,0
30,1e+12,1,9,0
30,1e+12,1,10,0
30,1e+12,1,11,0
30,1e+12,1,12,0
30,1e+12,1,13,0
30,1e+12,1,14,0
30,1e+12,1,15,0
30,1e+12,1,16,0
30,1e+12,1,17,0
30,1e+12,1,18,0
30,1e+12,1,19,0
30,1e+12,1,20,0
30,1e+12,1,21,0
30,1e+12,1,22,0
30,1e+12,1,23,0
30,1e+12,1,24,0
30,1e+12,1,25,0
30,1e+12,1,26,0
30,1e+12,1,27,0
30,1e+12,1,28,0
30,1e+12,1,29,0
30,1e+12,1,30,0
30,1e+12,1.5,0,0.0016161
30,1e+12,1.5,1,0.91283
30,1e+12,1.5,2,0.085552
30,1e+12,1.5,3,6.4141e-09
30,1e+12,1.5,4,9.6669e-23
30,1e+12,1.5,5,5.32493e-44
30,1e+12,1.5,6,0
30,1e+12,1.5,7,0
30,1e+12,1.5,8,0
30,1e+12,1.5,9,0
30,1e+12,1.5,10,0
30,1e+12,1.5,11,0
30,1e+12,1.5,12,0
30,1e+12,1.5,13,0
30,1e+12,1.5,14,0
30,1e+12,1.5,15,0
30,1e+12,1.5,16,0
30,1e+12,1.5,17,0
30,1e+12,1.5,18,0
30,1e+12,1.5,19,0
30,1e+12,1.5,20,0
30,1e+12,1.5,21,0
30,1e+12,1.5,22,0
30,1e+12,1.5,23,0
30,1e+12,1.5,24,0
30,1e+12,1.5,25,0
30,1e+12,1.5,26,0
30,1e+12,1.5,27,0
30,1e+12,1.5,28,0
30,1e+12,1.5,29,0
30,1e+12,1.5,30,0
30,1e+12,2,0,0.00012286
30,1e+12,2,1,0.30577
30,1e+12,2,2,0.69407
30,1e+12,2,3,3.2639e-05
30,1e+12,2,4,1.4219e-14
30,1e+12,2,5,1.3306e-29
30,1e+12,2,6,0
30,1e+12,2,7,0
30,1e+12,2,8,0
30,1e+12,2,9,0
30,1e+12,2,10,0
30,1e+12,2,11,0
30,1e+12,2,12,0
30,1e+12,2,13,0
30,1e+12,2,14,0
30,1e+12,2,15,0
30,1e+12,2,16,0
30,1e+12,2,17,0
30,1e+12,2,18,0
30,1e+12,2,19,0
30,1e+12,2,20,0
30,1e+12,2,21,0
30,1e+12,2,22,0
30,1e+12,2,23,0
30,1e+12,2,24,0
30,1e+12,2,25,0
30,1e+12,2,26,0
30,1e+12,2,27,0
30,1e+12,2,28,0
30,1e+12,2,29,0
30,1e+12,2,30,0
30,1e+12,5,0,4.0218e-08
30,1e+12,5,1,0.00034128
30,1e+12,5,2,0.20951
30,1e+12,5,3,0.77186
30,1e+12,5,4,0.01829
30,1e+12,5,5,1.7744e-06
30,1e+12,5,6,4.5753e-13
30,1e+12,5,7,2.0695e-22
30,1e+12,5,8,1.1946e-34
30,1e+12,5,9,0
30,1e+12,5,10,0
30,1e+12,5,11,0
30,1e+12,5,12,0
30,1e+12,5,13,0
30,1e+12,5,14,0
30,1e+12,5,15,0
30,1e+12,5,16,0
30,1e+12,5,17,0
30,1e+12,5,18,0
30,1e+12,5,19,0
30,1e+12,5,20,0
30,1e+12,5,21,0
