"Z","ne_cm3","Te_eV","q","frac"
51,1e+12,0.5,0,0.99424
51,1e+12,0.5,1,0.0057586
51,1e+12,0.5,2,1.9668e-12
51,1e+12,0.5,3,3.1153e-29
51,1e+12,0.5,4,0
51,1e+12,0.5,5,0
51,1e+12,0.5,6,0
51,1e+12,0.5,7,0
51,1e+12,0.5,8,0
51,1e+12,0.5,9,0
51,1e+12,0.5,10,0
51,1e+12,0.5,11,0
51,1e+12,0.5,12,0
51,1e+12,0.5,13,0
51,1e+12,0.5,14,0
51,1e+12,0.5,15,0
51,1e+12,0.5,16,0
51,1e+12,0.5,17,0
51,1e+12,0.5,18,0
51,1e+12,0.5,19,0
51,1e+12,0.5,20,0
51,1e+12,0.5,21,0
51,1e+12,0.5,22,0
51,1e+12,0.5,23,0
51,1e+12,0.5,24,0
51,1e+12,0.5,25,0
51,1e+12,0.5,26,0
51,1e+12,0.5,27,0
51,1e+12,0.5,28,0
51,1e+12,0.5,29,0
51,1e+12,0.5,30,0
51,1e+12,0.5,31,0
51,1e+12,0.5,32,0
51,1e+12,0.5,33,0
51,1e+12,0.5,34,0
51,1e+12,0.5,35,0
51,1e+12,0.5,36,0
51,1e+12,0.5,37,0
51,1e+12,0.5,38,0
51,1e+12,0.5,39,0
51,1e+12,0.5,40,0
51,1e+12,0.5,41,0
51,1e+12,0.5,42,0
51,1e+12,0.5,43,0
51,1e+12,0.5,44,0
51,1e+12,0.5,45,0
51,1e+12,0.5,46,0
51,1e+12,0.5,47,0
51,1e+12,0.5,48,0
51,1e+12,0.5,49,0
51,1e+12,0.5,50,0
51,1e+12,0.5,51,0
51,1e+12,1,0,0.12902
51,1e+12,1,1,0.87018
51,1e+12,1,2,0.00079992
51,1e+12,1,3,2.3205e-10
51,1e+12,1,4,1.993e-26
51,1e+12,1,5,0
51,1e+12,1,6,0
51,1e+12,1,7,0
51,1e+12,1,8,0
51,1e+12,1,9,0
51,1e+12,1,10,0
51,1e+12,1,11,0
51,1e+12,1,12,0
51,1e+12,1,13,0
51,1e+12,1,14,0
51,1e+12,1,15,0
51,1e+12,1,16,0
51,1e+12,1,17,0
51,1e+12,1,18,0
51,1e+12,1,19,0
51,1e+12,1,20,0
51,1e+12,1,21,0
51,1e+12,1,22,0
51,1e+12,1,23,0
51,1e+12,1,24,0
51,1e+12,1,25,0
51,1e+12,1,26,0
51,1e+12,1,27,0
51,1e+12,1,28,0
51,1e+12,1,29,0
51,1e+12,1,30,0
51,1e+12,1,31,0
51,1e+12,1,32,0
51,1e+12,1,33,0
51,1e+12,1,34,0
51,1e+12,1,35,0
51,1e+12,1,36,0
51,1e+12,1,37,0
51,1e+12,1,38,0
51,1e+12,1,39,0
51,1e+12,1,40,0
51,1e+12,1,41,0
51,1e+12,1,42,0
51,1e+12,1,43,0
51,1e+12,1,44,0
51,1e+12,1,45,0
51,1e+12,1,46,0
51,1e+12,1,47,0
51,1e+12,1,48,0
51,1e+12,1,49,0
51,1e+12,1,50,0
51,1e+12,1,51,0
51,1e+12,1.5,0,0.0095865
51,1e+12,1.5,1,0.86599
51,1e+12,1.5,2,0.12437
51,1e+12,1.5,3,4.9996e-05
51,1e+12,1.5,4,4.9194e-15
51,1e+12,1.5,5,2.591e-27
51,1e+12,1.5,6,0
51,1e+12,1.5,7,0
51,1e+12,1.5,8,0
51,1e+12,1.5,9,0
51,1e+12,1.5,10,0
51,1e+12,1.5,11,0
51,1e+12,1.5,12,0
51,1e+12,1.5,13,0
51,1e+12,1.5,14,0
51,1e+12,1.5,15,0
51,1e+12,1.5,16,0
51,1e+12,1.5,17,0
51,1e+12,1.5,18,0
51,1e+12,1.5,19,0
51,1e+12,1.5,20,0
51,1e+12,1.5,21,0
51,1e+12,1.5,22,0
51,1e+12,1.5,23,0
51,1e+12,1.5,24,0
51,1e+12,1.5,25,0
51,1e+12,1.5,26,0
51,1e+12,1.5,27,0
51,1e+12,1.5,28,0
51,1e+12,1.5,29,0
51,1e+12,1.5,30,0
51,1e+12,1.5,31,0
51,1e+12,1.5,32,0
51,1e+12,1.5,33,0
51,1e+12,1.5,34,0
51,1e+12,1.5,35,0
51,1e+12,1.5,36,0
51,1e+12,1.5,37,0
51,1e+12,1.5,38,0
51,1e+12,1.5,39,0
51,1e+12,1.5,40,0
51,1e+12,1.5,41,0
51,1e+12,1.5,42,0
51,1e+12,1.5,43,0
51,1e+12,1.5,44,0
51,1e+12,1.5,45,0
51,1e+12,1.5,46,0
51,1e+12,1.5,47,0
51,1e+12,1.5,48,0
51,1e+12,1.5,49,0
51,1e+12,1.5,50,0
51,1e+12,1.5,51,0
51,1e+12,2,0,0.00092415
51,1e+12,2,1,0.34632
51,1e+12,2,2,0.64286
51,1e+12,2,3,0.0098926
51,1e+12,2,4,1.1798e-09
51,1e+12,2,5,8.138e-18
51,1e+12,2,6,2.7054e-36
51,1e+12,2,7,0
51,1e+12,2,8,0
51,1e+12,2,9,0
51,1e+12,2,10,0
51,1e+12,2,11,0
51,1e+12,2,12,0
51,1e+12,2,13,0
51,1e+12,2,14,0
51,1e+12,2,15,0
51,1e+12,2,16,0
51,1e+12,2,17,0
51,1e+12,2,18,0
51,1e+12,2,19,0
51,1e+12,2,20,0
51,1e+12,2,21,0
51,1e+12,2,22,0
51,1e+12,2,23,0
51,1e+12,2,24,0
51,1e+12,2,25,0
51,1e+12,2,26,0
51,1e+12,2,27,0
51,1e+12,2,28,0
51,1e+12,2,29,0
51,1e+12,2,30,0
51,1e+12,2,31,0
51,1e+12,2,32,0
51,1e+12,2,33,0
51,1e+12,2,34,0
51,1e+12,2,35,0
51,1e+12,2,36,0
51,1e+12,2,37,0
51,1e+12,2,38,0
51,1e+12,2,39,0
51,1e+12,2,40,0
51,1e+12,2,41,0
51,1e+12,2,42,0
51,1e+12,2,43,0
51,1e+12,2,44,0
51,1e+12,2,45,0
51,1e+12,2,46,0
51,1e+12,2,47,0
51,1e+12,2,48,0
51,1e+12,2,49,0
51,1e+12,2,50,0
51,1e+12,2,51,0
51,1e+12,5,0,3.5714e-08
51,1e+12,5,1,0.00031921
51,1e+12,5,2,0.081578
51,1e+12,5,3,0.86577
51,1e+12,5,4,0.045076
51,1e+12,5,5,0.0072532
51,1e+12,5,6,5.1107e-08
51,1e+12,5,7,2.7733e-15
51,1e+12,5,8,9.9058e-25
51,1e+12,5,9,2.0731e-36
51,1e+12,5,10,0
51,1e+12,5,11,0
51,1e+12,5,12,0
51,1e+12,5,13,0
51,1e+12,5,14,0
51,1e+12,5,15,0
51,1e+12,5,16,0
51,1e+12,5,17,0
51,1e+12,5,18,0
51,1e+12,5,19,0
51,1e+12,5,20,0
51,1e+12,5,21,0
51,1e+12,5,22,0
51,1e+12,5,23,0
51,1e+12,5,24,0
51,1e+12,5,25,0
51,1e+12,5,26,0
51,1e+12,5,27,0
51,1e+12,5,28,0
51,1e+12,5,29,0
51,1e+12,5,30,0
51,1e+12,5,31,0
51,1e+12,5,32,0
51,1e+12,5,33,0
51,1e+12,5,34,0
51,1e+12,5,35,0
51,1e+12,5,36,0
51,1e+12,5,37,0
51,1e+12,5,38,0
51,1e+12,5,39,0
51,1e+12,5,40,0
51,1e+12,5,41,0
51,1e+12,5,42,0
51,1e+12,5,43,0
51,1e+12,5,44,0
51,1e+12,5,45,0
51,1e+12,5,46,0
51,1e+12,5,47,0
51,1e+12,5,48,0
51,1e+12,5,49,0
51,1e+12,5,50,0
51,1e+12,5,51,0
51,1e+12,7,0,6.2755e-10
51,1e+12,7,1,1.3088e-05
51,1e+12,7,2,0.010413
51,1e+12,7,3,0.39827
51,1e+12,7,4,0.24481
51,1e+12,7,5,0.34602
51,1e+12,7,6,0.0004783
51,1e+12,7,7,2.3201e-08
51,1e+12,7,8,3.0396e-14
51,1e+12,7,9,9.2037e-22
51,1e+12,7,10,5.7199e-31
51,1e+12,7,11,6.80891e-42
51,1e+12,7,12,0
51,1e+12,7,13,0
51,1e+12,7,14,0
51,1e+12,7,15,0
51,1e+12,7,16,0
51,1e+12,7,17,0
51,1e+12,7,18,0
51,1e+12,7,19,0
51,1e+12,7,20,0
51,1e+12,7,21,0
51,1e+12,7,22,0
51,1e+12,7,23,0
51,1e+12,7,24,0
51,1e+12,7,25,0
51,1e+12,7,26,0
51,1e+12,7,27,0
51,1e+12,7,28,0
51,1e+12,7,29,0
51,1e+12,7,30,0
51,1e+12,7,31,0
51,1e+12,7,32,0
51,1e+12,7,33,0
51,1e+12,7,34,0
51,1e+12,7,35,0
51,1e+12,7,36,0
51,1e+12,7,37,0
51,1e+12,7,38,0
51,1e+12,7,39,0
51,1e+12,7,40,0
51,1e+12,7,41,0
51,1e+12,7,42,0
51,1e+12,7,43,0
51,1e+12,7,44,0
51,1e+12,7,45,0
51,1e+12,7,46,0
51,1e+12,7,47,0
51,1e+12,7,48,0
51,1e+12,7,49,0
51,1e+12,7,50,0
51,1e+12,7,51,0
51,1e+12,10,0,3.3065e-12
51,1e+12,10,1,1.5191e-07
51,1e+12,10,2,0.00032876
51,1e+12,10,3,0.036899
51,1e+12,10,4,0.15558
51,1e+12,10,5,0.77871
51,1e+12,10,6,0.028367
51,1e+12,10,7,0.00010892
51,1e+12,10,8,3.5455e-08
51,1e+12,10,9,8.1808e-13
51,1e+12,10,10,1.1605e-18
51,1e+12,10,11,9.6662e-26
51,1e+12,10,12,3.1913e-34
51,1e+12,10,13,4.34403e-44
51,1e+12,10,14,0
51,1e+12,10,15,0
51,1e+12,10,16,0
51,1e+12,10,17,0
51,1e+12,10,18,0
51,1e+12,10,19,0
51,1e+12,10,20,0
51,1e+12,10,21,0
51,1e+12,10,22,0
51,1e+12,10,23,0
51,1e+12,10,24,0
51,1e+12,10,25,0
51,1e+12,10,26,0
51,1e+12,10,27,0
51,1e+12,10,28,0
51,1e+12,10,29,0
51,1e+12,10,30,0
51,1e+12,10,31,0
51,1e+12,10,32,0
51,1e+12,10,33,0
51,1e+12,10,34,0
51,1e+12,10,35,0
51,1e+12,10,36,0
51,1e+12,10,37,0
51,1e+12,10,38,0
51,1e+12,10,39,0
51,1e+12,10,40,0
51,1e+12,10,41,0
51,1e+12,10,42,0
