"Z","ne_cm3","Te_eV","q","frac"
72,1e+12,1.5,44,0
72,1e+12,1.5,45,0
72,1e+12,1.5,46,0
72,1e+12,1.5,47,0
72,1e+12,1.5,48,0
72,1e+12,1.5,49,0
72,1e+12,1.5,50,0
72,1e+12,1.5,51,0
72,1e+12,1.5,52,0
72,1e+12,1.5,53,0
72,1e+12,1.5,54,0
72,1e+12,1.5,55,0
72,1e+12,1.5,56,0
72,1e+12,1.5,57,0
72,1e+12,1.5,58,0
72,1e+12,1.5,59,0
72,1e+12,1.5,60,0
72,1e+12,1.5,61,0
72,1e+12,1.5,62,0
72,1e+12,1.5,63,0
72,1e+12,1.5,64,0
72,1e+12,1.5,65,0
72,1e+12,1.5,66,0
72,1e+12,1.5,67,0
72,1e+12,1.5,68,0
72,1e+12,1.5,69,0
72,1e+12,1.5,70,0
72,1e+12,1.5,71,0
72,1e+12,1.5,72,0
72,1e+12,2,0,9.7486e-07
72,1e+12,2,1,0.31689
72,1e+12,2,2,0.66739
72,1e+12,2,3,0.015703
72,1e+12,2,4,1.8863e-05
72,1e+12,2,5,3.9012e-20
72,1e+12,2,6,7.6168e-34
72,1e+12,2,7,0
72,1e+12,2,8,0
72,1e+12,2,9,0
72,1e+12,2,10,0
72,1e+12,2,11,0
72,1e+12,2,12,0
72,1e+12,2,13,0
72,1e+12,2,14,0
72,1e+12,2,15,0
72,1e+12,2,16,0
72,1e+12,2,17,0
72,1e+12,2,18,0
72,1e+12,2,19,0
72,1e+12,2,20,0
72,1e+12,2,21,0
72,1e+12,2,22,0
72,1e+12,2,23,0
72,1e+12,2,24,0
72,1e+12,2,25,0
72,1e+12,2,26,0
72,1e+12,2,27,0
72,1e+12,2,28,0
72,1e+12,2,29,0
72,1e+12,2,30,0
72,1e+12,2,31,0
72,1e+12,2,32,0
72,1e+12,2,33,0
72,1e+12,2,34,0
72,1e+12,2,35,0
72,1e+12,2,36,0
72,1e+12,2,37,0
72,1e+12,2,38,0
72,1e+12,2,39,0
72,1e+12,2,40,0
72,1e+12,2,41,0
72,1e+12,2,42,0
72,1e+12,2,43,0
72,1e+12,2,44,0
72,1e+12,2,45,0
72,1e+12,2,46,0
72,1e+12,2,47,0
72,1e+12,2,48,0
72,1e+12,2,49,0
72,1e+12,2,50,0
72,1e+12,2,51,0
72,1e+12,2,52,0
72,1e+12,2,53,0
72,1e+12,2,54,0
72,1e+12,2,55,0
72,1e+12,2,56,0
72,1e+12,2,57,0
72,1e+12,2,58,0
72,1e+12,2,59,0
72,1e+12,2,60,0
72,1e+12,2,61,0
72,1e+12,2,62,0
72,1e+12,2,63,0
72,1e+12,2,64,0
72,1e+12,2,65,0
72,1e+12,2,66,0
72,1e+12,2,67,0
72,1e+12,2,68,0
72,1e+12,2,69,0
72,1e+12,2,70,0
72,1e+12,2,71,0
72,1e+12,2,72,0
72,1e+12,5,0,5.324e-12
72,1e+12,5,1,3.4776e-05
72,1e+12,5,2,0.0097654
72,1e+12,5,3,0.2204
72,1e+12,5,4,0.76969
72,1e+12,5,5,0.00011012
72,1e+12,5,6,1.4904e-07
72,1e+12,5,7,3.2425e-10
72,1e+12,5,8,1.0794e-12
72,1e+12,5,9,3.3404e-15
72,1e+12,5,10,9.73e-18
72,1e+12,5,11,3.4134e-19
72,1e+12,5,12,3.10402e-41
72,1e+12,5,13,0
72,1e+12,5,14,0
72,1e+12,5,15,0
72,1e+12,5,16,0
72,1e+12,5,17,0
72,1e+12,5,18,0
72,1e+12,5,19,0
72,1e+12,5,20,0
72,1e+12,5,21,0
72,1e+12,5,22,0
72,1e+12,5,23,0
72,1e+12,5,24,0
72,1e+12,5,25,0
72,1e+12,5,26,0
72,1e+12,5,27,0
72,1e+12,5,28,0
72,1e+12,5,29,0
72,1e+12,5,30,0
72,1e+12,5,31,0
72,1e+12,5,32,0
72,1e+12,5,33,0
72,1e+12,5,34,0
72,1e+12,5,35,0
72,1e+12,5,36,0
72,1e+12,5,37,0
72,1e+12,5,38,0
72,1e+12,5,39,0
72,1e+12,5,40,0
72,1e+12,5,41,0
72,1e+12,5,42,0
72,1e+12,5,43,0
72,1e+12,5,44,0
72,1e+12,5,45,0
72,1e+12,5,46,0
72,1e+12,5,47,0
72,1e+12,5,48,0
72,1e+12,5,49,0
72,1e+12,5,50,0
72,1e+12,5,51,0
72,1e+12,5,52,0
72,1e+12,5,53,0
72,1e+12,5,54,0
72,1e+12,5,55,0
72,1e+12,5,56,0
72,1e+12,5,57,0
72,1e+12,5,58,0
72,1e+12,5,59,0
72,1e+12,5,60,0
72,1e+12,5,61,0
72,1e+12,5,62,0
72,1e+12,5,63,0
72,1e+12,5,64,0
72,1e+12,5,65,0
72,1e+12,5,66,0
72,1e+12,5,67,0
72,1e+12,5,68,0
72,1e+12,5,69,0
72,1e+12,5,70,0
72,1e+12,5,71,0
72,1e+12,5,72,0
72,1e+12,7,0,1.1717e-13
72,1e+12,7,1,1.5958e-06
72,1e+12,7,2,0.0013987
72,1e+12,7,3,0.15153
72,1e+12,7,4,0.83704
72,1e+12,7,5,0.008829
72,1e+12,7,6,0.00099095
72,1e+12,7,7,0.00017052
72,1e+12,7,8,3.5555e-05
72,1e+12,7,9,4.4319e-06
72,1e+12,7,10,4.4667e-07
72,1e+12,7,11,6.8074e-07
72,1e+12,7,12,1.3765e-22
72,1e+12,7,13,1.5316e-37
72,1e+12,7,14,0
72,1e+12,7,15,0
72,1e+12,7,16,0
72,1e+12,7,17,0
72,1e+12,7,18,0
72,1e+12,7,19,0
72,1e+12,7,20,0
72,1e+12,7,21,0
72,1e+12,7,22,0
72,1e+12,7,23,0
72,1e+12,7,24,0
72,1e+12,7,25,0
72,1e+12,7,26,0
72,1e+12,7,27,0
72,1e+12,7,28,0
72,1e+12,7,29,0
72,1e+12,7,30,0
72,1e+12,7,31,0
72,1e+12,7,32,0
72,1e+12,7,33,0
72,1e+12,7,34,0
72,1e+12,7,35,0
72,1e+12,7,36,0
72,1e+12,7,37,0
72,1e+12,7,38,0
72,1e+12,7,39,0
72,1e+12,7,40,0
72,1e+12,7,41,0
72,1e+12,7,42,0
72,1e+12,7,43,0
72,1e+12,7,44,0
72,1e+12,7,45,0
72,1e+12,7,46,0
72,1e+12,7,47,0
72,1e+12,7,48,0
72,1e+12,7,49,0
72,1e+12,7,50,0
72,1e+12,7,51,0
72,1e+12,7,52,0
72,1e+12,7,53,0
72,1e+12,7,54,0
72,1e+12,7,55,0
72,1e+12,7,56,0
72,1e+12,7,57,0
72,1e+12,7,58,0
72,1e+12,7,59,0
72,1e+12,7,60,0
72,1e+12,7,61,0
72,1e+12,7,62,0
72,1e+12,7,63,0
72,1e+12,7,64,0
72,1e+12,7,65,0
72,1e+12,7,66,0
72,1e+12,7,67,0
72,1e+12,7,68,0
72,1e+12,7,69,0
72,1e+12,7,70,0
72,1e+12,7,71,0
72,1e+12,7,72,0
72,1e+12,10,0,5.146e-17
72,1e+12,10,1,1.3478e-09
72,1e+12,10,2,3.1855e-06
72,1e+12,10,3,0.0013285
72,1e+12,10,4,0.011475
72,1e+12,10,5,0.0019173
72,1e+12,10,6,0.0025977
72,1e+12,10,7,0.0056827
72,1e+12,10,8,0.015342
72,1e+12,10,9,0.0246
72,1e+12,10,10,0.034502
72,1e+12,10,11,0.90255
72,1e+12,10,12,1.1788e-11
72,1e+12,10,13,4.4564e-22
72,1e+12,10,14,8.8764e-34
72,1e+12,10,15,0
72,1e+12,10,16,0
72,1e+12,10,17,0
72,1e+12,10,18,0
72,1e+12,10,19,0
72,1e+12,10,20,0
72,1e+12,10,21,0
72,1e+12,10,22,0
72,1e+12,10,23,0
72,1e+12,10,24,0
72,1e+12,10,25,0
72,1e+12,10,26,0
72,1e+12,10,27,0
72,1e+12,10,28,0
72,1e+12,10,29,0
72,1e+12,10,30,0
72,1e+12,10,31,0
72,1e+12,10,32,0
72,1e+12,10,33,0
72,1e+12,10,34,0
72,1e+12,10,35,0
72,1e+12,10,36,0
72,1e+12,10,37,0
72,1e+12,10,38,0
72,1e+12,10,39,0
72,1e+12,10,40,0
72,1e+12,10,41,0
72,1e+12,10,42,0
72,1e+12,10,43,0
72,1e+12,10,44,0
72,1e+12,10,45,0
72,1e+12,10,46,0
72,1e+12,10,47,0
72,1e+12,10,48,0
72,1e+12,10,49,0
72,1e+12,10,50,0
72,1e+12,10,51,0
72,1e+12,10,52,0
72,1e+12,10,53,0
72,1e+12,10,54,0
72,1e+12,10,55,0
72,1e+12,10,56,0
72,1e+12,10,57,0
72,1e+12,10,58,0
72,1e+12,10,59,0
72,1e+12,10,60,0
72,1e+12,10,61,0
72,1e+12,10,62,0
72,1e+12,10,63,0
72,1e+12,10,64,0
72,1e+12,10,65,0
72,1e+12,10,66,0
72,1e+12,10,67,0
72,1e+12,10,68,0
72,1e+12,10,69,0
72,1e+12,10,70,0
72,1e+12,10,71,0
72,1e+12,10,72,0
72,1e+12,15,0,6.8007e-24
72,1e+12,15,1,3.3719e-16
72,1e+12,15,2,2.0442e-12
72,1e+12,15,3,2.9857e-09
72,1e+12,15,4,4.417e-08
72,1e+12,15,5,5.8415e-08
72,1e+12,15,6,3.5907e-07
72,1e+12,15,7,3.3019e-06
72,1e+12,15,8,4.2035e-05
72,1e+12,15,9,0.00042074
72,1e+12,15,10,0.0043558
72,1e+12,15,11,0.99518
72,1e+12,15,12,8.2851e-08
72,1e+12,15,13,1.2939e-14
72,1e+12,15,14,2.706e-22
72,1e+12,15,15,6.335e-31
72,1e+12,15,16,1.4301e-40
72,1e+12,15,17,0
72,1e+12,15,18,0
72,1e+12,15,19,0
72,1e+12,15,20,0
72,1e+12,15,21,0
72,1e+12,15,22,0
72,1e+12,15,23,0
72,1e+12,15,24,0
72,1e+12,15,25,0
72,1e+12,15,26,0
72,1e+12,15,27,0
72,1e+12,15,28,0
72,1e+12,15,29,0
72,1e+12,15,30,0
72,1e+12,15,31,0
72,1e+12,15,32,0
72,1e+12,15,33,0
72,1e+12,15,34,0
72,1e+12,15,35,0
72,1e+12,15,36,0
72,1e+12,15,37,0
72,1e+12,15,38,0
72,1e+12,15,39,0
72,1e+12,15,40,0
72,1e+12,15,41,0
72,1e+12,15,42,0
72,1e+12,15,43,0
72,1e+12,15,44,0
72,1e+12,15,45,0
72,1e+12,15,46,0
72,1e+12,15,47,0
72,1e+12,15,48,0
72,1e+12,15,49,0
72,1e+12,15,50,0
72,1e+12,15,51,0
72,1e+12,15,52,0
72,1e+12,15,53,0
72,1e+12,15,54,0
72,1e+12,15,55,0
72,1e+12,15,56,0
72,1e+12,15,57,0
72,1e+12,15,58,0
72,1e+12,15,59,0
72,1e+12,15,60,0
72,1e+12,15,61,0
72,1e+12,15,62,0
72,1e+12,15,63,0
72,1e+12,15,64,0
72,1e+12,15,65,0
72,1e+12,15,66,0
72,1e+12,15,67,0
72,1e+12,15,68,0
72,1e+12,15,69,0
72,1e+12,15,70,0
72,1e+12,15,71,0
72,1e+12,15,72,0
72,1e+12,23,0,8.8877e-29
72,1e+12,23,1,7.9738e-21
72,1e+12,23,2,1.129e-16
72,1e+12,23,3,4.9402e-13
72,1e+12,23,4,1.3512e-11
72,1e+12,23,5,8.5093e-11
72,1e+12,23,6,1.5494e-09
72,1e+12,23,7,3.7514e-08
72,1e+12,23,8,1.2458e-06
72,1e+12,23,9,4.1387e-05
72,1e+12,23,10,0.0016954
72,1e+12,23,11,0.99822
72,1e+12,23,12,4.3509e-05
72,1e+12,23,13,2.7788e-09
72,1e+12,23,14,4.5046e-14
72,1e+12,23,15,1.6161e-19
72,1e+12,23,16,1.1528e-25
72,1e+12,23,17,1.4988e-32
72,1e+12,23,18,3.26461e-40
72,1e+12,23,19,0
72,1e+12,23,20,0
72,1e+12,23,21,0
72,1e+12,23,22,0
72,1e+12,23,23,0
72,1e+12,23,24,0
72,1e+12,23,25,0
72,1e+12,23,26,0
72,1e+12,23,27,0
72,1e+12,23,28,0
72,1e+12,23,29,0
72,1e+12,23,30,0
72,1e+12,23,31,0
72,1e+12,23,32,0
72,1e+12,23,33,0
72,1e+12,23,34,0
72,1e+12,23,35,0
72,1e+12,23,36,0
72,1e+12,23,37,0
72,1e+12,23,38,0
72,1e+12,23,39,0
72,1e+12,23,40,0
72,1e+12,23,41,0
72,1e+12,23,42,0
72,1e+12,23,43,0
72,1e+12,23,44,0
72,1e+12,23,45,0
72,1e+12,23,46,0
72,1e+12,23,47,0
72,1e+12,23,48,0
72,1e+12,23,49,0
72,1e+12,23,50,0
72,1e+12,23,51,0
72,1e+12,23,52,0
72,1e+12,23,53,0
72,1e+12,23,54,0
72,1e+12,23,55,0
72,1e+12,23,56,0
72,1e+12,23,57,0
72,1e+12,23,58,0
72,1e+12,23,59,0
72,1e+12,23,60,0
72,1e+12,23,61,0
72,1e+12,23,62,0
72,1e+12,23,63,0
72,1e+12,23,64,0
72,1e+12,23,65,0
72,1e+12,23,66,0
72,1e+12,23,67,0
72,1e+12,23,68,0
72,1e+12,23,69,0
72,1e+12,23,70,0
72,1e+12,23,71,0
72,1e+12,23,72,0
72,1e+12,32,0,1.6037e-31
72,1e+12,32,1,2.1946e-23
72,1e+12,32,2,5.5627e-19
72,1e+12,32,3,5.0371e-15
72,1e+12,32,4,2.2862e-13
72,1e+12,32,5,3.7478e-12
72,1e+12,32,6,1.3589e-10
72,1e+12,32,7,6.0328e-09
72,1e+12,32,8,3.4691e-07
72,1e+12,32,9,2.1967e-05
72,1e+12,32,10,0.0018872
72,1e+12,32,11,0.99676
72,1e+12,32,12,0.0013317
72,1e+12,32,13,2.3688e-06
72,1e+12,32,14,1.4839e-09
72,1e+12,32,15,2.9221e-13
72,1e+12,32,16,1.6625e-17
72,1e+12,32,17,2.5664e-22
72,1e+12,32,18,1.0148e-27
72,1e+12,32,19,9.8101e-34
72,1e+12,32,20,2.3941e-40
72,1e+12,32,21,0
72,1e+12,32,22,0
72,1e+12,32,23,0
72,1e+12,32,24,0
72,1e+12,32,25,0
72,1e+12,32,26,0
72,1e+12,32,27,0
72,1e+12,32,28,0
72,1e+12,32,29,0
72,1e+12,32,30,0
72,1e+12,32,31,0
72,1e+12,32,32,0
72,1e+12,32,33,0
72,1e+12,32,34,0
72,1e+12,32,35,0
72,1e+12,32,36,0
72,1e+12,32,37,0
72,1e+12,32,38,0
72,1e+12,32,39,0
72,1e+12,32,40,0
72,1e+12,32,41,0
72,1e+12,32,42,0
72,1e+12,32,43,0
72,1e+12,32,44,0
72,1e+12,32,45,0
72,1e+12,32,46,0
72,1e+12,32,47,0
72,1e+12,32,48,0
72,1e+12,32,49,0
72,1e+12,32,50,0
72,1e+12,32,51,0
72,1e+12,32,52,0
72,1e+12,32,53,0
72,1e+12,32,54,0
72,1e+12,32,55,0
72,1e+12,32,56,0
72,1e+12,32,57,0
72,1e+12,32,58,0
72,1e+12,32,59,0
72,1e+12,32,60,0
72,1e+12,32,61,0
72,1e+12,32,62,0
72,1e+12,32,63,0
