"Z","ne_cm3","Te_eV","q","frac"
21,1e+12,0.5,0,0.98982
21,1e+12,0.5,1,0.010182
21,1e+12,0.5,2,5.0061e-09
21,1e+12,0.5,3,1.3245e-26
21,1e+12,0.5,4,0
21,1e+12,0.5,5,0
21,1e+12,0.5,6,0
21,1e+12,0.5,7,0
21,1e+12,0.5,8,0
21,1e+12,0.5,9,0
21,1e+12,0.5,10,0
21,1e+12,0.5,11,0
21,1e+12,0.5,12,0
21,1e+12,0.5,13,0
21,1e+12,0.5,14,0
21,1e+12,0.5,15,0
21,1e+12,0.5,16,0
21,1e+12,0.5,17,0
21,1e+12,0.5,18,0
21,1e+12,0.5,19,0
21,1e+12,0.5,20,0
21,1e+12,0.5,21,0
21,1e+12,1,0,0.04865
21,1e+12,1,1,0.87472
21,1e+12,1,2,0.076626
21,1e+12,1,3,2.4373e-08
21,1e+12,1,4,3.1169e-37
21,1e+12,1,5,0
21,1e+12,1,6,0
21,1e+12,1,7,0
21,1e+12,1,8,0
21,1e+12,1,9,0
21,1e+12,1,10,0
21,1e+12,1,11,0
21,1e+12,1,12,0
21,1e+12,1,13,0
21,1e+12,1,14,0
21,1e+12,1,15,0
21,1e+12,1,16,0
21,1e+12,1,17,0
21,1e+12,1,18,0
21,1e+12,1,19,0
21,1e+12,1,20,0
21,1e+12,1,21,0
21,1e+12,1.5,0,0.0006833
21,1e+12,1.5,1,0.19686
21,1e+12,1.5,2,0.80092
21,1e+12,1.5,3,0.0015391
21,1e+12,1.5,4,1.3362e-21
21,1e+12,1.5,5,2.8026e-45
21,1e+12,1.5,6,0
21,1e+12,1.5,7,0
21,1e+12,1.5,8,0
21,1e+12,1.5,9,0
21,1e+12,1.5,10,0
21,1e+12,1.5,11,0
21,1e+12,1.5,12,0
21,1e+12,1.5,13,0
21,1e+12,1.5,14,0
21,1e+12,1.5,15,0
21,1e+12,1.5,16,0
21,1e+12,1.5,17,0
21,1e+12,1.5,18,0
21,1e+12,1.5,19,0
21,1e+12,1.5,20,0
21,1e+12,1.5,21,0
21,1e+12,2,0,2.1885e-05
21,1e+12,2,1,0.028904
21,1e+12,2,2,0.8334
21,1e+12,2,3,0.13768
21,1e+12,2,4,3.4436e-14
21,1e+12,2,5,3.4223e-31
21,1e+12,2,6,0
21,1e+12,2,7,0
21,1e+12,2,8,0
21,1e+12,2,9,0
21,1e+12,2,10,0
21,1e+12,2,11,0
21,1e+12,2,12,0
21,1e+12,2,13,0
21,1e+12,2,14,0
21,1e+12,2,15,0
21,1e+12,2,16,0
21,1e+12,2,17,0
21,1e+12,2,18,0
21,1e+12,2,19,0
21,1e+12,2,20,0
21,1e+12,2,21,0
21,1e+12,5,0,3.0667e-11
21,1e+12,5,1,1.1468e-06
21,1e+12,5,2,0.0016343
21,1e+12,5,3,0.99594
21,1e+12,5,4,0.0024207
21,1e+12,5,5,5.5551e-08
21,1e+12,5,6,1.0719e-14
21,1e+12,5,7,4.4651e-24
21,1e+12,5,8,1.0129e-35
21,1e+12,5,9,0
21,1e+12,5,10,0
21,1e+12,5,11,0
21,1e+12,5,12,0
21,1e+12,5,13,0
21,1e+12,5,14,0
21,1e+12,5,15,0
21,1e+12,5,16,0
21,1e+12,5,17,0
21,1e+12,5,18,0
21,1e+12,5,19,0
21,1e+12,5,20,0
21,1e+12,5,21,0
21,1e+12,7,0,2.2119e-12
21,1e+12,7,1,1.9749e-07
21,1e+12,7,2,0.00072904
21,1e+12,7,3,0.89004
21,1e+12,7,4,0.10878
21,1e+12,7,5,0.0004462
21,1e+12,7,6,5.7415e-08
21,1e+12,7,7,6.8559e-14
21,1e+12,7,8,1.4099e-21
21,1e+12,7,9,9.0851e-31
21,1e+12,7,10,2.21405e-43
21,1e+12,7,11,0
21,1e+12,7,12,0
21,1e+12,7,13,0
21,1e+12,7,14,0
21,1e+12,7,15,0
21,1e+12,7,16,0
21,1e+12,7,17,0
21,1e+12,7,18,0
21,1e+12,7,19,0
21,1e+12,7,20,0
21,1e+12,7,21,0
21,1e+12,10,0,2.0621e-13
21,1e+12,10,1,4.0989e-08
21,1e+12,10,2,0.00036068
21,1e+12,10,3,0.44341
21,1e+12,10,4,0.50339
21,1e+12,10,5,0.052299
21,1e+12,10,6,0.00054037
21,1e+12,10,7,1.793e-07
21,1e+12,10,8,2.7945e-12
21,1e+12,10,9,4.6278e-18
21,1e+12,10,10,2.1787e-26
21,1e+12,10,11,3.9529e-36
21,1e+12,10,12,0
21,1e+12,10,13,0
21,1e+12,10,14,0
21,1e+12,10,15,0
21,1e+12,10,16,0
21,1e+12,10,17,0
21,1e+12,10,18,0
21,1e+12,10,19,0
21,1e+12,10,20,0
21,1e+12,10,21,0
21,1e+12,15,0,6.6155e-15
21,1e+12,15,1,2.9111e-09
21,1e+12,15,2,6.0591e-05
21,1e+12,15,3,0.078142
21,1e+12,15,4,0.4377
21,1e+12,15,5,0.40718
21,1e+12,15,6,0.075617
21,1e+12,15,7,0.0012974
21,1e+12,15,8,2.7642e-06
21,1e+12,15,9,1.5605e-09
21,1e+12,15,10,1.4975e-14
21,1e+12,15,11,1.7324e-20
21,1e+12,15,12,4.2675e-39
21,1e+12,15,13,0
21,1e+12,15,14,0
21,1e+12,15,15,0
21,1e+12,15,16,0
21,1e+12,15,17,0
21,1e+12,15,18,0
21,1e+12,15,19,0
21,1e+12,15,20,0
21,1e+12,15,21,0
21,1e+12,23,0,5.303e-17
21,1e+12,23,1,4.8463e-11
21,1e+12,23,2,2.2614e-06
21,1e+12,23,3,0.0036693
21,1e+12,23,4,0.074337
21,1e+12,23,5,0.35018
21,1e+12,23,6,0.45958
21,1e+12,23,7,0.1062
21,1e+12,23,8,0.0058952
21,1e+12,23,9,0.00013764
21,1e+12,23,10,2.2799e-07
21,1e+12,23,11,1.3598e-10
21,1e+12,23,12,4.2994e-22
21,1e+12,23,13,3.9832e-35
21,1e+12,23,14,0
21,1e+12,23,15,0
21,1e+12,23,16,0
21,1e+12,23,17,0
21,1e+12,23,18,0
21,1e+12,23,19,0
21,1e+12,23,20,0
21,1e+12,23,21,0
21,1e+12,32,0,5.7812e-19
21,1e+12,32,1,8.639e-13
21,1e+12,32,2,7.0935e-08
21,1e+12,32,3,0.00015189
21,1e+12,32,4,0.0071379
21,1e+12,32,5,0.092054
21,1e+12,32,6,0.38224
21,1e+12,32,7,0.3779
21,1e+12,32,8,0.12144
21,1e+12,32,9,0.018643
21,1e+12,32,10,0.00043055
21,1e+12,32,11,7.1098e-06
21,1e+12,32,12,1.2614e-13
21,1e+12,32,13,1.5353e-22
21,1e+12,32,14,1.1565e-32
21,1e+12,32,15,2.38221e-44
21,1e+12,32,16,0
21,1e+12,32,17,0
21,1e+12,32,18,0
21,1e+12,32,19,0
21,1e+12,32,20,0
21,1e+12,32,21,0
21,1e+12,52,0,1.5172e-22
21,1e+12,52,1,4.1366e-16
21,1e+12,52,2,7.2402e-11
21,1e+12,52,3,2.5775e-07
21,1e+12,52,4,3.5883e-05
21,1e+12,52,5,0.0016094
21,1e+12,52,6,0.026567
21,1e+12,52,7,0.13841
21,1e+12,52,8,0.30974
