"Z","ne_cm3","Te_eV","q","frac"
17,1e+12,0.5,0,1
17,1e+12,0.5,1,1.3784e-07
17,1e+12,0.5,2,6.1499e-24
17,1e+12,0.5,3,0
17,1e+12,0.5,4,0
17,1e+12,0.5,5,0
17,1e+12,0.5,6,0
17,1e+12,0.5,7,0
17,1e+12,0.5,8,0
17,1e+12,0.5,9,0
17,1e+12,0.5,10,0
17,1e+12,0.5,11,0
17,1e+12,0.5,12,0
17,1e+12,0.5,13,0
17,1e+12,0.5,14,0
17,1e+12,0.5,15,0
17,1e+12,0.5,16,0
17,1e+12,0.5,17,0
17,1e+12,1,0,0.83926
17,1e+12,1,1,0.16074
17,1e+12,1,2,3.1046e-07
17,1e+12,1,3,8.6048e-21
17,1e+12,1,4,5.33586e-41
17,1e+12,1,5,0
17,1e+12,1,6,0
17,1e+12,1,7,0
17,1e+12,1,8,0
17,1e+12,1,9,0
17,1e+12,1,10,0
17,1e+12,1,11,0
17,1e+12,1,12,0
17,1e+12,1,13,0
17,1e+12,1,14,0
17,1e+12,1,15,0
17,1e+12,1,16,0
17,1e+12,1,17,0
17,1e+12,1.5,0,0.034409
17,1e+12,1.5,1,0.95772
17,1e+12,1.5,2,0.007875
17,1e+12,1.5,3,1.8628e-10
17,1e+12,1.5,4,9.9714e-23
17,1e+12,1.5,5,1.0977e-39
17,1e+12,1.5,6,0
17,1e+12,1.5,7,0
17,1e+12,1.5,8,0
17,1e+12,1.5,9,0
17,1e+12,1.5,10,0
17,1e+12,1.5,11,0
17,1e+12,1.5,12,0
17,1e+12,1.5,13,0
17,1e+12,1.5,14,0
17,1e+12,1.5,15,0
17,1e+12,1.5,16,0
17,1e+12,1.5,17,0
17,1e+12,2,0,0.0023542
17,1e+12,2,1,0.63239
17,1e+12,2,2,0.36524
17,1e+12,2,3,8.8124e-06
17,1e+12,2,4,4.806e-14
17,1e+12,2,5,5.887e-26
17,1e+12,2,6,5.60519e-45
17,1e+12,2,7,0
17,1e+12,2,8,0
17,1e+12,2,9,0
17,1e+12,2,10,0
17,1e+12,2,11,0
17,1e+12,2,12,0
17,1e+12,2,13,0
17,1e+12,2,14,0
17,1e+12,2,15,0
17,1e+12,2,16,0
17,1e+12,2,17,0
17,1e+12,5,0,1.1488e-06
17,1e+12,5,1,0.0022773
17,1e+12,5,2,0.31242
17,1e+12,5,3,0.6508
17,1e+12,5,4,0.034425
17,1e+12,5,5,6.9448e-05
17,1e+12,5,6,6.8121e-11
17,1e+12,5,7,6.3965e-19
17,1e+12,5,8,0
17,1e+12,5,9,0
17,1e+12,5,10,0
17,1e+12,5,11,0
17,1e+12,5,12,0
17,1e+12,5,13,0
17,1e+12,5,14,0
17,1e+12,5,15,0
17,1e+12,5,16,0
17,1e+12,5,17,0
17,1e+12,7,0,8.3153e-08
17,1e+12,7,1,0.00025524
17,1e+12,7,2,0.063559
17,1e+12,7,3,0.56669
17,1e+12,7,4,0.3402
17,1e+12,7,5,0.029283
17,1e+12,7,6,8.602e-06
17,1e+12,7,7,7.9133e-11
17,1e+12,7,8,1.3852e-30
17,1e+12,7,9,0
17,1e+12,7,10,0
17,1e+12,7,11,0
17,1e+12,7,12,0
17,1e+12,7,13,0
17,1e+12,7,14,0
17,1e+12,7,15,0
17,1e+12,7,16,0
17,1e+12,7,17,0
17,1e+12,10,0,2.1561e-09
17,1e+12,10,1,1.0689e-05
17,1e+12,10,2,0.004792
17,1e+12,10,3,0.13387
17,1e+12,10,4,0.45414
17,1e+12,10,5,0.40044
17,1e+12,10,6,0.0067333
17,1e+12,10,7,1.2186e-05
17,1e+12,10,8,9.7026e-19
17,1e+12,10,9,2.2429e-34
17,1e+12,10,10,0
17,1e+12,10,11,0
17,1e+12,10,12,0
17,1e+12,10,13,0
17,1e+12,10,14,0
17,1e+12,10,15,0
17,1e+12,10,16,0
17,1e+12,10,17,0
17,1e+12,15,0,7.2169e-12
17,1e+12,15,1,1.3753e-07
17,1e+12,15,2,0.00011858
17,1e+12,15,3,0.0096254
17,1e+12,15,4,0.14165
17,1e+12,15,5,0.63325
17,1e+12,15,6,0.19165
17,1e+12,15,7,0.023709
17,1e+12,15,8,3.2335e-10
17,1e+12,15,9,7.1475e-20
