"Z","ne_cm3","Te_eV","q","frac"
67,1e+12,0.5,0,0.97714
67,1e+12,0.5,1,0.02286
67,1e+12,0.5,2,8.815e-08
67,1e+12,0.5,3,7.25873e-43
67,1e+12,0.5,4,0
67,1e+12,0.5,5,0
67,1e+12,0.5,6,0
67,1e+12,0.5,7,0
67,1e+12,0.5,8,0
67,1e+12,0.5,9,0
67,1e+12,0.5,10,0
67,1e+12,0.5,11,0
67,1e+12,0.5,12,0
67,1e+12,0.5,13,0
67,1e+12,0.5,14,0
67,1e+12,0.5,15,0
67,1e+12,0.5,16,0
67,1e+12,0.5,17,0
67,1e+12,0.5,18,0
67,1e+12,0.5,19,0
67,1e+12,0.5,20,0
67,1e+12,0.5,21,0
67,1e+12,0.5,22,0
67,1e+12,0.5,23,0
67,1e+12,0.5,24,0
67,1e+12,0.5,25,0
67,1e+12,0.5,26,0
67,1e+12,0.5,27,0
67,1e+12,0.5,28,0
67,1e+12,0.5,29,0
67,1e+12,0.5,30,0
67,1e+12,0.5,31,0
67,1e+12,0.5,32,0
67,1e+12,0.5,33,0
67,1e+12,0.5,34,0
67,1e+12,0.5,35,0
67,1e+12,0.5,36,0
67,1e+12,0.5,37,0
67,1e+12,0.5,38,0
67,1e+12,0.5,39,0
67,1e+12,0.5,40,0
67,1e+12,0.5,41,0
67,1e+12,0.5,42,0
67,1e+12,0.5,43,0
67,1e+12,0.5,44,0
67,1e+12,0.5,45,0
67,1e+12,0.5,46,0
67,1e+12,0.5,47,0
67,1e+12,0.5,48,0
67,1e+12,0.5,49,0
67,1e+12,0.5,50,0
67,1e+12,0.5,51,0
67,1e+12,0.5,52,0
67,1e+12,0.5,53,0
67,1e+12,0.5,54,0
67,1e+12,0.5,55,0
67,1e+12,0.5,56,0
67,1e+12,0.5,57,0
67,1e+12,0.5,58,0
67,1e+12,0.5,59,0
67,1e+12,0.5,60,0
67,1e+12,0.5,61,0
67,1e+12,0.5,62,0
67,1e+12,0.5,63,0
67,1e+12,0.5,64,0
67,1e+12,0.5,65,0
67,1e+12,0.5,66,0
67,1e+12,0.5,67,0
67,1e+12,1,0,0.045206
67,1e+12,1,1,0.55296
67,1e+12,1,2,0.40183
67,1e+12,1,3,5.8637e-17
67,1e+12,1,4,9.7877e-34
67,1e+12,1,5,0
67,1e+12,1,6,0
67,1e+12,1,7,0
67,1e+12,1,8,0
67,1e+12,1,9,0
67,1e+12,1,10,0
67,1e+12,1,11,0
67,1e+12,1,12,0
67,1e+12,1,13,0
67,1e+12,1,14,0
67,1e+12,1,15,0
67,1e+12,1,16,0
67,1e+12,1,17,0
67,1e+12,1,18,0
67,1e+12,1,19,0
67,1e+12,1,20,0
67,1e+12,1,21,0
67,1e+12,1,22,0
67,1e+12,1,23,0
67,1e+12,1,24,0
67,1e+12,1,25,0
67,1e+12,1,26,0
67,1e+12,1,27,0
67,1e+12,1,28,0
67,1e+12,1,29,0
67,1e+12,1,30,0
67,1e+12,1,31,0
67,1e+12,1,32,0
67,1e+12,1,33,0
67,1e+12,1,34,0
67,1e+12,1,35,0
67,1e+12,1,36,0
67,1e+12,1,37,0
67,1e+12,1,38,0
67,1e+12,1,39,0
67,1e+12,1,40,0
67,1e+12,1,41,0
