"Z","ne_cm3","Te_eV","q","frac"
66,1e+12,0.5,0,0.74631
66,1e+12,0.5,1,0.25369
66,1e+12,0.5,2,1.2844e-06
66,1e+12,0.5,3,3.44775e-41
66,1e+12,0.5,4,0
66,1e+12,0.5,5,0
66,1e+12,0.5,6,0
66,1e+12,0.5,7,0
66,1e+12,0.5,8,0
66,1e+12,0.5,9,0
66,1e+12,0.5,10,0
66,1e+12,0.5,11,0
66,1e+12,0.5,12,0
66,1e+12,0.5,13,0
66,1e+12,0.5,14,0
66,1e+12,0.5,15,0
66,1e+12,0.5,16,0
66,1e+12,0.5,17,0
66,1e+12,0.5,18,0
66,1e+12,0.5,19,0
66,1e+12,0.5,20,0
66,1e+12,0.5,21,0
66,1e+12,0.5,22,0
66,1e+12,0.5,23,0
66,1e+12,0.5,24,0
66,1e+12,0.5,25,0
66,1e+12,0.5,26,0
66,1e+12,0.5,27,0
66,1e+12,0.5,28,0
66,1e+12,0.5,29,0
66,1e+12,0.5,30,0
66,1e+12,0.5,31,0
66,1e+12,0.5,32,0
66,1e+12,0.5,33,0
66,1e+12,0.5,34,0
66,1e+12,0.5,35,0
66,1e+12,0.5,36,0
66,1e+12,0.5,37,0
66,1e+12,0.5,38,0
66,1e+12,0.5,39,0
66,1e+12,0.5,40,0
66,1e+12,0.5,41,0
66,1e+12,0.5,42,0
66,1e+12,0.5,43,0
66,1e+12,0.5,44,0
66,1e+12,0.5,45,0
66,1e+12,0.5,46,0
66,1e+12,0.5,47,0
66,1e+12,0.5,48,0
66,1e+12,0.5,49,0
66,1e+12,0.5,50,0
66,1e+12,0.5,51,0
66,1e+12,0.5,52,0
66,1e+12,0.5,53,0
66,1e+12,0.5,54,0
66,1e+12,0.5,55,0
66,1e+12,0.5,56,0
66,1e+12,0.5,57,0
66,1e+12,0.5,58,0
66,1e+12,0.5,59,0
66,1e+12,0.5,60,0
66,1e+12,0.5,61,0
66,1e+12,0.5,62,0
66,1e+12,0.5,63,0
66,1e+12,0.5,64,0
66,1e+12,0.5,65,0
66,1e+12,0.5,66,0
66,1e+12,1,0,0.0047157
66,1e+12,1,1,0.5475
66,1e+12,1,2,0.44778
66,1e+12,1,3,1.0578e-16
66,1e+12,1,4,3.7862e-30
66,1e+12,1,5,2.55457e-42
66,1e+12,1,6,0
66,1e+12,1,7,0
66,1e+12,1,8,0
66,1e+12,1,9,0
66,1e+12,1,10,0
66,1e+12,1,11,0
66,1e+12,1,12,0
66,1e+12,1,13,0
66,1e+12,1,14,0
66,1e+12,1,15,0
66,1e+12,1,16,0
66,1e+12,1,17,0
66,1e+12,1,18,0
66,1e+12,1,19,0
66,1e+12,1,20,0
66,1e+12,1,21,0
66,1e+12,1,22,0
66,1e+12,1,23,0
66,1e+12,1,24,0
66,1e+12,1,25,0
66,1e+12,1,26,0
66,1e+12,1,27,0
66,1e+12,1,28,0
66,1e+12,1,29,0
66,1e+12,1,30,0
66,1e+12,1,31,0
66,1e+12,1,32,0
66,1e+12,1,33,0
66,1e+12,1,34,0
66,1e+12,1,35,0
66,1e+12,1,36,0
66,1e+12,1,37,0
66,1e+12,1,38,0
66,1e+12,1,39,0
66,1e+12,1,40,0
66,1e+12,1,41,0
66,1e+12,1,42,0
66,1e+12,1,43,0
66,1e+12,1,44,0
66,1e+12,1,45,0
66,1e+12,1,46,0
66,1e+12,1,47,0
66,1e+12,1,48,0
66,1e+12,1,49,0
66,1e+12,1,50,0
66,1e+12,1,51,0
66,1e+12,1,52,0
66,1e+12,1,53,0
66,1e+12,1,54,0
66,1e+12,1,55,0
66,1e+12,1,56,0
66,1e+12,1,57,0
66,1e+12,1,58,0
66,1e+12,1,59,0
66,1e+12,1,60,0
66,1e+12,1,61,0
66,1e+12,1,62,0
66,1e+12,1,63,0
66,1e+12,1,64,0
66,1e+12,1,65,0
66,1e+12,1,66,0
66,1e+12,1.5,0,1.6932e-05
66,1e+12,1.5,1,0.018579
