"Z","ne_cm3","Te_eV","q","frac"
23,1e+12,0.5,0,0.99239
23,1e+12,0.5,1,0.0076094
23,1e+12,0.5,2,2.0643e-11
23,1e+12,0.5,3,4.9496e-33
23,1e+12,0.5,4,0
23,1e+12,0.5,5,0
23,1e+12,0.5,6,0
23,1e+12,0.5,7,0
23,1e+12,0.5,8,0
23,1e+12,0.5,9,0
23,1e+12,0.5,10,0
23,1e+12,0.5,11,0
23,1e+12,0.5,12,0
23,1e+12,0.5,13,0
23,1e+12,0.5,14,0
23,1e+12,0.5,15,0
23,1e+12,0.5,16,0
23,1e+12,0.5,17,0
23,1e+12,0.5,18,0
23,1e+12,0.5,19,0
23,1e+12,0.5,20,0
23,1e+12,0.5,21,0
23,1e+12,0.5,22,0
23,1e+12,0.5,23,0
23,1e+12,1,0,0.080443
23,1e+12,1,1,0.9118
23,1e+12,1,2,0.0077609
23,1e+12,1,3,1.3328e-11
23,1e+12,1,4,1.8989e-28
23,1e+12,1,5,0
23,1e+12,1,6,0
23,1e+12,1,7,0
23,1e+12,1,8,0
23,1e+12,1,9,0
23,1e+12,1,10,0
23,1e+12,1,11,0
23,1e+12,1,12,0
23,1e+12,1,13,0
23,1e+12,1,14,0
23,1e+12,1,15,0
23,1e+12,1,16,0
23,1e+12,1,17,0
23,1e+12,1,18,0
23,1e+12,1,19,0
23,1e+12,1,20,0
23,1e+12,1,21,0
23,1e+12,1,22,0
23,1e+12,1,23,0
23,1e+12,1.5,0,0.0023253
23,1e+12,1.5,1,0.39539
23,1e+12,1.5,2,0.60226
23,1e+12,1.5,3,1.5967e-05
23,1e+12,1.5,4,1.0931e-15
23,1e+12,1.5,5,1.1026e-28
23,1e+12,1.5,6,0
23,1e+12,1.5,7,0
23,1e+12,1.5,8,0
23,1e+12,1.5,9,0
23,1e+12,1.5,10,0
23,1e+12,1.5,11,0
23,1e+12,1.5,12,0
23,1e+12,1.5,13,0
23,1e+12,1.5,14,0
23,1e+12,1.5,15,0
23,1e+12,1.5,16,0
23,1e+12,1.5,17,0
23,1e+12,1.5,18,0
23,1e+12,1.5,19,0
23,1e+12,1.5,20,0
23,1e+12,1.5,21,0
23,1e+12,1.5,22,0
23,1e+12,1.5,23,0
23,1e+12,2,0,6.2655e-05
23,1e+12,2,1,0.046811
23,1e+12,2,2,0.94997
23,1e+12,2,3,0.0031524
23,1e+12,2,4,3.6251e-10
23,1e+12,2,5,5.8878e-19
23,1e+12,2,6,2.8026e-44
23,1e+12,2,7,0
23,1e+12,2,8,0
23,1e+12,2,9,0
23,1e+12,2,10,0
23,1e+12,2,11,0
23,1e+12,2,12,0
23,1e+12,2,13,0
23,1e+12,2,14,0
23,1e+12,2,15,0
23,1e+12,2,16,0
23,1e+12,2,17,0
23,1e+12,2,18,0
23,1e+12,2,19,0
23,1e+12,2,20,0
23,1e+12,2,21,0
23,1e+12,2,22,0
23,1e+12,2,23,0
23,1e+12,5,0,1.8886e-09
23,1e+12,5,1,3.6643e-05
23,1e+12,5,2,0.055388
23,1e+12,5,3,0.8762
23,1e+12,5,4,0.062386
23,1e+12,5,5,0.005989
23,1e+12,5,6,3.8875e-11
23,1e+12,5,7,1.4064e-21
23,1e+12,5,8,2.23e-34
23,1e+12,5,9,0
23,1e+12,5,10,0
23,1e+12,5,11,0
23,1e+12,5,12,0
23,1e+12,5,13,0
23,1e+12,5,14,0
23,1e+12,5,15,0
23,1e+12,5,16,0
23,1e+12,5,17,0
23,1e+12,5,18,0
23,1e+12,5,19,0
23,1e+12,5,20,0
23,1e+12,5,21,0
23,1e+12,5,22,0
23,1e+12,5,23,0
23,1e+12,7,0,5.5627e-12
23,1e+12,7,1,7.3991e-07
23,1e+12,7,2,0.0027333
23,1e+12,7,3,0.19578
23,1e+12,7,4,0.19515
23,1e+12,7,5,0.60632
23,1e+12,7,6,7.8963e-06
23,1e+12,7,7,2.0005e-12
23,1e+12,7,8,8.7439e-21
23,1e+12,7,9,2.2241e-31
23,1e+12,7,10,5.74532e-44
23,1e+12,7,11,0
23,1e+12,7,12,0
23,1e+12,7,13,0
23,1e+12,7,14,0
23,1e+12,7,15,0
23,1e+12,7,16,0
23,1e+12,7,17,0
23,1e+12,7,18,0
23,1e+12,7,19,0
23,1e+12,7,20,0
23,1e+12,7,21,0
23,1e+12,7,22,0
23,1e+12,7,23,0
23,1e+12,10,0,2.1634e-15
23,1e+12,10,1,2.4494e-09
23,1e+12,10,2,2.0297e-05
23,1e+12,10,3,0.0049111
23,1e+12,10,4,0.039859
23,1e+12,10,5,0.9527
23,1e+12,10,6,0.002506
23,1e+12,10,7,3.6049e-07
23,1e+12,10,8,2.7751e-12
23,1e+12,10,9,4.3707e-19
23,1e+12,10,10,1.998e-27
23,1e+12,10,11,6.6147e-37
23,1e+12,10,12,0
23,1e+12,10,13,0
23,1e+12,10,14,0
23,1e+12,10,15,0
23,1e+12,10,16,0
23,1e+12,10,17,0
23,1e+12,10,18,0
23,1e+12,10,19,0
23,1e+12,10,20,0
23,1e+12,10,21,0
23,1e+12,10,22,0
23,1e+12,10,23,0
23,1e+12,15,0,6.3052e-18
23,1e+12,15,1,2.477e-11
23,1e+12,15,2,4.6315e-07
23,1e+12,15,3,0.00034289
23,1e+12,15,4,0.01708
23,1e+12,15,5,0.91102
23,1e+12,15,6,0.070783
23,1e+12,15,7,0.00077128
23,1e+12,15,8,1.1884e-06
23,1e+12,15,9,1.1924e-10
23,1e+12,15,10,9.6221e-16
23,1e+12,15,11,1.5481e-21
23,1e+12,15,12,2.337e-29
23,1e+12,15,13,3.2939e-38
23,1e+12,15,14,0
23,1e+12,15,15,0
23,1e+12,15,16,0
23,1e+12,15,17,0
23,1e+12,15,18,0
23,1e+12,15,19,0
23,1e+12,15,20,0
23,1e+12,15,21,0
23,1e+12,15,22,0
23,1e+12,15,23,0
23,1e+12,23,0,3.6623e-20
23,1e+12,23,1,3.5456e-13
23,1e+12,23,2,1.4377e-08
23,1e+12,23,3,2.8849e-05
23,1e+12,23,4,0.0063641
23,1e+12,23,5,0.55331
23,1e+12,23,6,0.37426
23,1e+12,23,7,0.063355
23,1e+12,23,8,0.0026601
23,1e+12,23,9,1.7717e-05
23,1e+12,23,10,2.2274e-08
23,1e+12,23,11,1.0421e-11
23,1e+12,23,12,2.1697e-16
23,1e+12,23,13,1.1747e-21
23,1e+12,23,14,1.7258e-37
23,1e+12,23,15,0
23,1e+12,23,16,0
23,1e+12,23,17,0
23,1e+12,23,18,0
23,1e+12,23,19,0
23,1e+12,23,20,0
23,1e+12,23,21,0
23,1e+12,23,22,0
23,1e+12,23,23,0
23,1e+12,32,0,5.0443e-22
23,1e+12,32,1,8.7563e-15
23,1e+12,32,2,6.1829e-10
23,1e+12,32,3,2.4548e-06
23,1e+12,32,4,0.001398
23,1e+12,32,5,0.1787
23,1e+12,32,6,0.41975
23,1e+12,32,7,0.32008
23,1e+12,32,8,0.075661
23,1e+12,32,9,0.0043391
23,1e+12,32,10,7.2434e-05
23,1e+12,32,11,5.7947e-07
23,1e+12,32,12,5.0807e-10
23,1e+12,32,13,2.3388e-13
23,1e+12,32,14,2.7143e-24
23,1e+12,32,15,1.7167e-36
23,1e+12,32,16,0
23,1e+12,32,17,0
23,1e+12,32,18,0
23,1e+12,32,19,0
23,1e+12,32,20,0
23,1e+12,32,21,0
23,1e+12,32,22,0
23,1e+12,32,23,0
23,1e+12,52,0,2.4789e-25
23,1e+12,52,1,9.2453e-18
23,1e+12,52,2,1.3864e-12
23,1e+12,52,3,1.3631e-08
23,1e+12,52,4,2.5237e-05
23,1e+12,52,5,0.0059929
23,1e+12,52,6,0.061169
23,1e+12,52,7,0.25623
23,1e+12,52,8,0.39959
23,1e+12,52,9,0.21908
23,1e+12,52,10,0.051049
23,1e+12,52,11,0.0066183
23,1e+12,52,12,0.00023521
23,1e+12,52,13,7.8392e-06
23,1e+12,52,14,4.7414e-12
23,1e+12,52,15,4.1173e-19
23,1e+12,52,16,5.0234e-27
23,1e+12,52,17,4.699e-36
23,1e+12,52,18,0
23,1e+12,52,19,0
23,1e+12,52,20,0
23,1e+12,52,21,0
23,1e+12,52,22,0
23,1e+12,52,23,0
23,1e+12,74,0,2.8997e-28
23,1e+12,74,1,1.7875e-20
23,1e+12,74,2,4.4153e-15
23,1e+12,74,3,7.8993e-11
23,1e+12,74,4,3.0536e-07
23,1e+12,74,5,0.00011721
23,1e+12,74,6,0.002925
23,1e+12,74,7,0.033432
23,1e+12,74,8,0.15435
23,1e+12,74,9,0.29806
23,1e+12,74,10,0.29118
23,1e+12,74,11,0.16825
23,1e+12,74,12,0.042604
23,1e+12,74,13,0.0090791
23,1e+12,74,14,6.5588e-07
23,1e+12,74,15,1.1568e-11
23,1e+12,74,16,5.1318e-17
23,1e+12,74,17,3.4869e-23
23,1e+12,74,18,4.3134e-30
23,1e+12,74,19,1.0624e-37
23,1e+12,74,20,0
23,1e+12,74,21,0
23,1e+12,74,22,0
23,1e+12,74,23,0
23,1e+12,100,0,2.5699e-31
23,1e+12,100,1,2.3504e-23
23,1e+12,100,2,8.6714e-18
23,1e+12,100,3,2.5188e-13
23,1e+12,100,4,1.7204e-09
23,1e+12,100,5,1.004e-06
23,1e+12,100,6,4.9708e-05
23,1e+12,100,7,0.0012092
23,1e+12,100,8,0.012549
23,1e+12,100,9,0.060884
23,1e+12,100,10,0.16852
23,1e+12,100,11,0.28903
23,1e+12,100,12,0.28751
23,1e+12,100,13,0.18005
23,1e+12,100,14,0.00020404
23,1e+12,100,15,7.9831e-08
23,1e+12,100,16,1.1242e-11
23,1e+12,100,17,3.8538e-16
23,1e+12,100,18,3.6624e-21
23,1e+12,100,19,1.0644e-26
23,1e+12,100,20,1.6459e-33
23,1e+12,100,21,1.8534e-40
23,1e+12,100,22,0
23,1e+12,100,23,0
23,1e+12,165,0,6.9448e-37
23,1e+12,165,1,1.1328e-28
23,1e+12,165,2,7.2064e-23
23,1e+12,165,3,4.2922e-18
23,1e+12,165,4,6.8166e-14
23,1e+12,165,5,8.051e-11
23,1e+12,165,6,1.109e-08
23,1e+12,165,7,8.2125e-07
23,1e+12,165,8,2.794e-05
23,1e+12,165,9,0.00051249
23,1e+12,165,10,0.0062088
23,1e+12,165,11,0.049528
23,1e+12,165,12,0.29001
23,1e+12,165,13,0.6383
23,1e+12,165,14,0.015228
23,1e+12,165,15,0.00017787
23,1e+12,165,16,1.063e-06
23,1e+12,165,17,2.5875e-09
23,1e+12,165,18,2.84e-12
23,1e+12,165,19,1.5513e-15
23,1e+12,165,20,1.2566e-19
23,1e+12,165,21,1.1986e-23
23,1e+12,165,22,9.90718e-43
23,1e+12,165,23,0
23,1e+12,235,0,1.499e-40
23,1e+12,235,1,3.4821e-32
23,1e+12,235,2,3.0971e-26
23,1e+12,235,3,2.9829e-21
23,1e+12,235,4,7.9784e-17
23,1e+12,235,5,1.5469e-13
23,1e+12,235,6,4.1298e-11
23,1e+12,235,7,6.2064e-09
23,1e+12,235,8,4.4718e-07
23,1e+12,235,9,1.8675e-05
23,1e+12,235,10,0.00055136
23,1e+12,235,11,0.010947
23,1e+12,235,12,0.16792
23,1e+12,235,13,0.73556
23,1e+12,235,14,0.079964
23,1e+12,235,15,0.0048617
23,1e+12,235,16,0.00017215
23,1e+12,235,17,3.0534e-06
23,1e+12,235,18,2.9815e-08
23,1e+12,235,19,1.7628e-10
23,1e+12,235,20,2.5671e-13
23,1e+12,235,21,6.1997e-16
23,1e+12,235,22,1.8025e-29
23,1e+12,235,23,3.08286e-44
23,1e+12,310,0,3.11088e-43
23,1e+12,310,1,9.3227e-35
23,1e+12,310,2,1.0486e-28
23,1e+12,310,3,1.382e-23
23,1e+12,310,4,5.4168e-19
23,1e+12,310,5,1.5364e-15
23,1e+12,310,6,6.7001e-13
23,1e+12,310,7,1.6902e-10
23,1e+12,310,8,2.0989e-08
23,1e+12,310,9,1.5808e-06
23,1e+12,310,10,8.7216e-05
23,1e+12,310,11,0.003262
23,1e+12,310,12,0.09481
23,1e+12,310,13,0.67163
23,1e+12,310,14,0.19309
23,1e+12,310,15,0.03333
23,1e+12,310,16,0.0035667
23,1e+12,310,17,0.00021323
23,1e+12,310,18,7.7701e-06
23,1e+12,310,19,1.8808e-07
23,1e+12,310,20,1.4818e-09
