"Z","ne_cm3","Te_eV","q","frac"
15,1e+12,0.5,0,0.99997
15,1e+12,0.5,1,3.2316e-05
15,1e+12,0.5,2,6.1743e-18
15,1e+12,0.5,3,8.5915e-41
15,1e+12,0.5,4,0
15,1e+12,0.5,5,0
15,1e+12,0.5,6,0
15,1e+12,0.5,7,0
15,1e+12,0.5,8,0
15,1e+12,0.5,9,0
15,1e+12,0.5,10,0
15,1e+12,0.5,11,0
15,1e+12,0.5,12,0
15,1e+12,0.5,13,0
15,1e+12,0.5,14,0
15,1e+12,0.5,15,0
15,1e+12,1,0,0.19153
15,1e+12,1,1,0.80836
15,1e+12,1,2,0.00010833
15,1e+12,1,3,4.0363e-14
15,1e+12,1,4,8.4559e-34
15,1e+12,1,5,0
15,1e+12,1,6,0
15,1e+12,1,7,0
15,1e+12,1,8,0
15,1e+12,1,9,0
15,1e+12,1,10,0
15,1e+12,1,11,0
15,1e+12,1,12,0
15,1e+12,1,13,0
15,1e+12,1,14,0
15,1e+12,1,15,0
15,1e+12,1.5,0,0.0039172
15,1e+12,1.5,1,0.87978
15,1e+12,1.5,2,0.1163
15,1e+12,1.5,3,1.5942e-06
15,1e+12,1.5,4,1.4193e-18
15,1e+12,1.5,5,2.9985e-35
15,1e+12,1.5,6,0
15,1e+12,1.5,7,0
15,1e+12,1.5,8,0
15,1e+12,1.5,9,0
15,1e+12,1.5,10,0
15,1e+12,1.5,11,0
15,1e+12,1.5,12,0
15,1e+12,1.5,13,0
15,1e+12,1.5,14,0
15,1e+12,1.5,15,0
15,1e+12,2,0,0.00025163
15,1e+12,2,1,0.23795
15,1e+12,2,2,0.7596
15,1e+12,2,3,0.0022013
15,1e+12,2,4,1.4019e-11
15,1e+12,2,5,2.0351e-23
15,1e+12,2,6,0
15,1e+12,2,7,0
15,1e+12,2,8,0
15,1e+12,2,9,0
15,1e+12,2,10,0
15,1e+12,2,11,0
15,1e+12,2,12,0
15,1e+12,2,13,0
15,1e+12,2,14,0
15,1e+12,2,15,0
15,1e+12,5,0,6.6952e-08
15,1e+12,5,1,0.00033437
15,1e+12,5,2,0.049682
15,1e+12,5,3,0.89969
15,1e+12,5,4,0.050237
15,1e+12,5,5,5.8203e-05
15,1e+12,5,6,9.4026e-22
15,1e+12,5,7,1.292e-42
15,1e+12,5,8,0
15,1e+12,5,9,0
15,1e+12,5,10,0
15,1e+12,5,11,0
15,1e+12,5,12,0
15,1e+12,5,13,0
15,1e+12,5,14,0
15,1e+12,5,15,0
15,1e+12,7,0,4.5055e-09
15,1e+12,7,1,3.6609e-05
15,1e+12,7,2,0.011657
15,1e+12,7,3,0.54626
15,1e+12,7,4,0.41348
15,1e+12,7,5,0.028572
15,1e+12,7,6,2.0052e-13
15,1e+12,7,7,1.3723e-27
15,1e+12,7,8,5.60519e-45
15,1e+12,7,9,0
15,1e+12,7,10,0
15,1e+12,7,11,0
15,1e+12,7,12,0
15,1e+12,7,13,0
15,1e+12,7,14,0
15,1e+12,7,15,0
15,1e+12,10,0,8.8151e-11
15,1e+12,10,1,1.1969e-06
15,1e+12,10,2,0.00078899
15,1e+12,10,3,0.07799
15,1e+12,10,4,0.34988
15,1e+12,10,5,0.57134
15,1e+12,10,6,7.6199e-08
15,1e+12,10,7,6.1583e-17
15,1e+12,10,8,2.2886e-28
15,1e+12,10,9,7.32879e-43
15,1e+12,10,10,0
15,1e+12,10,11,0
15,1e+12,10,12,0
15,1e+12,10,13,0
15,1e+12,10,14,0
15,1e+12,10,15,0
15,1e+12,15,0,4.2517e-13
15,1e+12,15,1,1.0268e-08
15,1e+12,15,2,1.4564e-05
15,1e+12,15,3,0.0030604
15,1e+12,15,4,0.059086
15,1e+12,15,5,0.93758
15,1e+12,15,6,0.00025795
15,1e+12,15,7,1.8837e-09
15,1e+12,15,8,3.1508e-16
15,1e+12,15,9,3.554e-25
15,1e+12,15,10,5.6653e-36
15,1e+12,15,11,0
15,1e+12,15,12,0
15,1e+12,15,13,0
15,1e+12,15,14,0
15,1e+12,15,15,0
15,1e+12,23,0,7.317e-15
15,1e+12,23,1,3.2182e-10
15,1e+12,23,2,9.6909e-07
15,1e+12,23,3,0.00043054
15,1e+12,23,4,0.028406
15,1e+12,23,5,0.9459
15,1e+12,23,6,0.0252
15,1e+12,23,7,6.3792e-05
15,1e+12,23,8,1.4799e-08
15,1e+12,23,9,1.068e-13
15,1e+12,23,10,3.8801e-20
15,1e+12,23,11,7.063e-28
15,1e+12,23,12,2.3585e-38
15,1e+12,23,13,0
15,1e+12,23,14,0
15,1e+12,23,15,0
15,1e+12,32,0,4.6324e-16
15,1e+12,32,1,3.1794e-11
15,1e+12,32,2,1.6629e-07
15,1e+12,32,3,0.0001293
15,1e+12,32,4,0.019553
