"Z","ne_cm3","Te_eV","q","frac"
6,1e+12,1925,2,5.197e-18
6,1e+12,1925,3,4.8541e-13
6,1e+12,1925,4,7.4432e-08
6,1e+12,1925,5,0.00062965
6,1e+12,1925,6,0.99937
6,1e+12,2454,0,8.6915e-33
6,1e+12,2454,1,1.9909e-24
6,1e+12,2454,2,1.4733e-18
6,1e+12,2454,3,1.8754e-13
6,1e+12,2454,4,3.9024e-08
6,1e+12,2454,5,0.00045505
6,1e+12,2454,6,0.99954
6,1e+12,3030,0,1.845e-33
6,1e+12,3030,1,5.3132e-25
6,1e+12,3030,2,5.0725e-19
6,1e+12,3030,3,8.4225e-14
6,1e+12,3030,4,2.282e-08
6,1e+12,3030,5,0.00035038
6,1e+12,3030,6,0.99965
6,1e+12,3655,0,4.8602e-34
6,1e+12,3655,1,1.7124e-25
6,1e+12,3655,2,2.0485e-19
6,1e+12,3655,3,4.2991e-14
6,1e+12,3655,4,1.4539e-08
6,1e+12,3655,5,0.0002766
6,1e+12,3655,6,0.99972
6,1e+12,4331,0,1.4827e-34
6,1e+12,4331,1,6.2593e-26
6,1e+12,4331,2,9.1764e-20
6,1e+12,4331,3,2.3799e-14
6,1e+12,4331,4,9.8837e-09
6,1e+12,4331,5,0.00023075
6,1e+12,4331,6,0.99977
6,1e+12,5060,0,4.9842e-35
6,1e+12,5060,1,2.4802e-26
6,1e+12,5060,2,4.3777e-20
6,1e+12,5060,3,1.3772e-14
6,1e+12,5060,4,6.9001e-09
6,1e+12,5060,5,0.00019619
6,1e+12,5060,6,0.9998
6,1e+12,5844,0,1.6729e-35
6,1e+12,5844,1,9.7836e-27
6,1e+12,5844,2,2.0919e-20
6,1e+12,5844,3,7.9984e-15
6,1e+12,5844,4,4.8202e-09
6,1e+12,5844,5,0.00016395
6,1e+12,5844,6,0.99984
6,1e+12,6685,0,6.4044e-36
6,1e+12,6685,1,4.3141e-27
6,1e+12,6685,2,1.0847e-20
6,1e+12,6685,3,4.9082e-15
6,1e+12,6685,4,3.4843e-09
6,1e+12,6685,5,0.00013939
6,1e+12,6685,6,0.99986
6,1e+12,7585,0,2.6222e-36
6,1e+12,7585,1,2.0158e-27
6,1e+12,7585,2,5.9005e-21
6,1e+12,7585,3,3.1268e-15
6,1e+12,7585,4,2.5889e-09
6,1e+12,7585,5,0.0001202
6,1e+12,7585,6,0.99988
6,1e+12,8546,0,1.1369e-36
6,1e+12,8546,1,9.8944e-28
6,1e+12,8546,2,3.343e-21
6,1e+12,8546,3,2.056e-15
6,1e+12,8546,4,1.9688e-09
6,1e+12,8546,5,0.0001049
6,1e+12,8546,6,0.9999
6,1e+12,10000,0,3.8211e-37
6,1e+12,10000,1,3.9127e-28
6,1e+12,10000,2,1.5968e-21
6,1e+12,10000,3,1.1945e-15
6,1e+12,10000,4,1.3857e-09
6,1e+12,10000,5,8.8156e-05
6,1e+12,10000,6,0.99991
6,1e+12,20000,0,3.3304e-39
6,1e+12,20000,1,6.912e-30
6,1e+12,20000,2,6.4971e-23
6,1e+12,20000,3,1.1515e-16
6,1e+12,20000,4,3.0735e-10
6,1e+12,20000,5,4.2566e-05
6,1e+12,20000,6,0.99996
6,1e+12,50000,0,5.2871e-42
6,1e+12,50000,1,2.7426e-32
6,1e+12,50000,2,7.9143e-25
6,1e+12,50000,3,4.4403e-18
6,1e+12,50000,4,3.596e-11
6,1e+12,50000,5,1.4812e-05
6,1e+12,50000,6,0.99999
6,1e+12,1e+05,0,3.36312e-44
6,1e+12,1e+05,1,3.4337e-34
6,1e+12,1e+05,2,2.4013e-26
6,1e+12,1e+05,3,3.3246e-19
6,1e+12,1e+05,4,6.3965e-12
6,1e+12,1e+05,5,6.2869e-06
6,1e+12,1e+05,6,0.99999
6,1e+13,0.5,0,1
6,1e+13,0.5,1,4.1558e-06
6,1e+13,0.5,2,4.6653e-23
6,1e+13,0.5,3,0
6,1e+13,0.5,4,0
6,1e+13,0.5,5,0
6,1e+13,0.5,6,0
6,1e+13,1,0,0.42044
6,1e+13,1,1,0.57956
6,1e+13,1,2,4.8032e-07
6,1e+13,1,3,7.8385e-26
6,1e+13,1,4,0
6,1e+13,1,5,0
6,1e+13,1,6,0
6,1e+13,1.5,0,0.007555
6,1e+13,1.5,1,0.98846
6,1e+13,1.5,2,0.0039899
6,1e+13,1.5,3,7.195e-15
6,1e+13,1.5,4,2.331e-31
6,1e+13,1.5,5,0
6,1e+13,1.5,6,0
6,1e+13,2,0,0.00058287
6,1e+13,2,1,0.76939
6,1e+13,2,2,0.23002
6,1e+13,2,3,1.4955e-09
6,1e+13,2,4,3.0857e-21
6,1e+13,2,5,0
6,1e+13,2,6,0
6,1e+13,5,0,5.3063e-08
6,1e+13,5,1,0.0027385
6,1e+13,5,2,0.97063
6,1e+13,5,3,0.026598
6,1e+13,5,4,3.8677e-05
6,1e+13,5,5,3.3931e-37
6,1e+13,5,6,0
6,1e+13,7,0,9.1708e-09
6,1e+13,7,1,0.00095361
6,1e+13,7,2,0.65498
6,1e+13,7,3,0.31709
6,1e+13,7,4,0.026975
6,1e+13,7,5,1.5073e-24
6,1e+13,7,6,0
6,1e+13,10,0,3.9606e-10
6,1e+13,10,1,7.5719e-05
6,1e+13,10,2,0.082395
6,1e+13,10,3,0.30237
6,1e+13,10,4,0.61516
6,1e+13,10,5,8.2762e-16
6,1e+13,10,6,2.2106e-36
6,1e+13,15,0,1.8724e-12
6,1e+13,15,1,1.0535e-06
6,1e+13,15,2,0.0018779
6,1e+13,15,3,0.034537
6,1e+13,15,4,0.96358
6,1e+13,15,5,7.4703e-10
6,1e+13,15,6,3.9676e-23
6,1e+13,23,0,1.9197e-14
6,1e+13,23,1,2.3506e-08
6,1e+13,23,2,7.1902e-05
6,1e+13,23,3,0.0048724
6,1e+13,23,4,0.99505
6,1e+13,23,5,8.1952e-06
6,1e+13,23,6,6.1836e-14
6,1e+13,32,0,1.0545e-15
6,1e+13,32,1,2.0585e-09
6,1e+13,32,2,9.6817e-06
6,1e+13,32,3,0.0015294
6,1e+13,32,4,0.99729
6,1e+13,32,5,0.0011704
6,1e+13,32,6,5.2081e-09
6,1e+13,52,0,2.6488e-17
6,1e+13,52,1,9.477e-11
6,1e+13,52,2,8.4371e-07
6,1e+13,52,3,0.00038985
6,1e+13,52,4,0.84715
6,1e+13,52,5,0.15203
6,1e+13,52,6,0.0004328
6,1e+13,74,0,1.1762e-18
6,1e+13,74,1,6.3516e-12
6,1e+13,74,2,8.9469e-08
6,1e+13,74,3,8.2071e-05
6,1e+13,74,4,0.2995
6,1e+13,74,5,0.65406
6,1e+13,74,6,0.046352
6,1e+13,100,0,4.643e-20
6,1e+13,100,1,3.5222e-13
6,1e+13,100,2,7.3017e-09
6,1e+13,100,3,1.137e-05
6,1e+13,100,4,0.056169
6,1e+13,100,5,0.60378
6,1e+13,100,6,0.34004
6,1e+13,165,0,1.2189e-22
6,1e+13,165,1,1.6095e-15
6,1e+13,165,2,6.32e-11
6,1e+13,165,3,2.1896e-07
6,1e+13,165,4,0.0017123
6,1e+13,165,5,0.12568
6,1e+13,165,6,0.87261
6,1e+13,235,0,2.4914e-24
6,1e+13,235,1,4.8545e-17
6,1e+13,235,2,2.8796e-12
6,1e+13,235,3,1.6785e-08
6,1e+13,235,4,0.00018972
6,1e+13,235,5,0.03812
6,1e+13,235,6,0.96169
6,1e+13,310,0,1.5123e-25
6,1e+13,310,1,4.0044e-18
6,1e+13,310,2,3.2972e-13
6,1e+13,310,3,2.8272e-09
6,1e+13,310,4,4.3945e-05
6,1e+13,310,5,0.017209
6,1e+13,310,6,0.98275
6,1e+13,390,0,1.6811e-26
6,1e+13,390,1,5.749e-19
6,1e+13,390,2,6.2193e-14
6,1e+13,390,3,7.4181e-10
6,1e+13,390,4,1.5155e-05
6,1e+13,390,5,0.0096665
6,1e+13,390,6,0.99032
6,1e+13,475,0,2.7936e-27
6,1e+13,475,1,1.1915e-19
6,1e+13,475,2,1.6281e-14
6,1e+13,475,3,2.5127e-10
6,1e+13,475,4,6.6089e-06
6,1e+13,475,5,0.0062214
6,1e+13,475,6,0.99377
6,1e+13,655,0,1.772e-28
6,1e+13,655,1,1.0853e-20
6,1e+13,655,2,2.1669e-15
6,1e+13,655,3,5.0528e-11
6,1e+13,655,4,1.9573e-06
6,1e+13,655,5,0.003293
6,1e+13,655,6,0.99671
6,1e+13,845,0,2.1477e-29
6,1e+13,845,1,1.7542e-21
6,1e+13,845,2,4.7256e-16
6,1e+13,845,3,1.5381e-11
6,1e+13,845,4,8.2681e-07
6,1e+13,845,5,0.0021037
6,1e+13,845,6,0.9979
6,1e+13,1000,0,5.5271e-30
6,1e+13,1000,1,5.4629e-22
6,1e+13,1000,2,1.7928e-16
6,1e+13,1000,3,7.2638e-12
6,1e+13,1000,4,4.8502e-07
6,1e+13,1000,5,0.0016053
6,1e+13,1000,6,0.99839
6,1e+13,1441,0,3.1588e-31
6,1e+13,1441,1,4.7216e-23
6,1e+13,1441,2,2.3741e-17
6,1e+13,1441,3,1.5406e-12
6,1e+13,1441,4,1.6373e-07
6,1e+13,1441,5,0.00093169
6,1e+13,1441,6,0.99907
6,1e+13,1925,0,3.5197e-32
6,1e+13,1925,1,7.2976e-24
6,1e+13,1925,2,5.1363e-18
6,1e+13,1925,3,4.8257e-13
6,1e+13,1925,4,7.3808e-08
6,1e+13,1925,5,0.00062924
6,1e+13,1925,6,0.99937
6,1e+13,2454,0,5.7398e-33
6,1e+13,2454,1,1.5644e-24
6,1e+13,2454,2,1.4582e-18
6,1e+13,2454,3,1.866e-13
6,1e+13,2454,4,3.8719e-08
6,1e+13,2454,5,0.00045478
6,1e+13,2454,6,0.99955
6,1e+13,3030,0,1.2254e-33
6,1e+13,3030,1,4.2319e-25
6,1e+13,3030,2,5.0264e-19
6,1e+13,3030,3,8.3865e-14
6,1e+13,3030,4,2.2652e-08
6,1e+13,3030,5,0.00035019
6,1e+13,3030,6,0.99965
6,1e+13,3655,0,3.239e-34
6,1e+13,3655,1,1.3796e-25
6,1e+13,3655,2,2.0318e-19
6,1e+13,3655,3,4.2831e-14
6,1e+13,3655,4,1.4436e-08
6,1e+13,3655,5,0.00027646
6,1e+13,3655,6,0.99972
6,1e+13,4331,0,9.8959e-35
6,1e+13,4331,1,5.0932e-26
6,1e+13,4331,2,9.1068e-20
6,1e+13,4331,3,2.3717e-14
6,1e+13,4331,4,9.8162e-09
6,1e+13,4331,5,0.00023064
6,1e+13,4331,6,0.99977
6,1e+13,5060,0,3.3277e-35
6,1e+13,5060,1,2.0359e-26
6,1e+13,5060,2,4.3469e-20
6,1e+13,5060,3,1.3729e-14
6,1e+13,5060,4,6.8547e-09
6,1e+13,5060,5,0.0001961
6,1e+13,5060,6,0.9998
6,1e+13,5844,0,1.1147e-35
6,1e+13,5844,1,8.081e-27
6,1e+13,5844,2,2.078e-20
6,1e+13,5844,3,7.9748e-15
6,1e+13,5844,4,4.7891e-09
6,1e+13,5844,5,0.00016388
6,1e+13,5844,6,0.99984
6,1e+13,6685,0,4.2614e-36
6,1e+13,6685,1,3.5885e-27
6,1e+13,6685,2,1.078e-20
6,1e+13,6685,3,4.895e-15
6,1e+13,6685,4,3.4625e-09
6,1e+13,6685,5,0.00013933
6,1e+13,6685,6,0.99986
6,1e+13,7585,0,1.7414e-36
6,1e+13,7585,1,1.6875e-27
6,1e+13,7585,2,5.8664e-21
6,1e+13,7585,3,3.1191e-15
6,1e+13,7585,4,2.5731e-09
6,1e+13,7585,5,0.00012015
6,1e+13,7585,6,0.99988
6,1e+13,8546,0,7.5318e-37
6,1e+13,8546,1,8.3321e-28
6,1e+13,8546,2,3.325e-21
6,1e+13,8546,3,2.0514e-15
6,1e+13,8546,4,1.9571e-09
6,1e+13,8546,5,0.00010487
6,1e+13,8546,6,0.9999
6,1e+13,10000,0,2.5215e-37
6,1e+13,10000,1,3.3199e-28
6,1e+13,10000,2,1.589e-21
6,1e+13,10000,3,1.1922e-15
6,1e+13,10000,4,1.3777e-09
6,1e+13,10000,5,8.8124e-05
6,1e+13,10000,6,0.99991
6,1e+13,20000,0,2.1357e-39
6,1e+13,20000,1,6.0422e-30
6,1e+13,20000,2,6.4772e-23
6,1e+13,20000,3,1.1506e-16
6,1e+13,20000,4,3.0578e-10
6,1e+13,20000,5,4.2554e-05
6,1e+13,20000,6,0.99996
6,1e+13,50000,0,3.17955e-42
6,1e+13,50000,1,2.4726e-32
6,1e+13,50000,2,7.9025e-25
6,1e+13,50000,3,4.4408e-18
6,1e+13,50000,4,3.5791e-11
6,1e+13,50000,5,1.4809e-05
6,1e+13,50000,6,0.99999
6,1e+13,1e+05,0,1.82169e-44
6,1e+13,1e+05,1,3.1488e-34
6,1e+13,1e+05,2,2.3999e-26
6,1e+13,1e+05,3,3.3269e-19
6,1e+13,1e+05,4,6.3664e-12
6,1e+13,1e+05,5,6.286e-06
6,1e+13,1e+05,6,0.99999
6,1e+14,0.5,0,0.99999
6,1e+14,0.5,1,6.0511e-06
6,1e+14,0.5,2,1.2688e-22
6,1e+14,0.5,3,0
