"Te","ne","CS"
845,1e+18,23.138
1000,1e+18,24.574
1441,1e+18,28.394
1925,1e+18,33.057
2454,1e+18,35.343
3030,1e+18,36.116
3655,1e+18,36.557
4331,1e+18,36.936
5060,1e+18,37.36
5844,1e+18,37.906
6685,1e+18,38.621
7585,1e+18,39.483
8546,1e+18,40.383
10000,1e+18,41.498
20000,1e+18,44.049
50000,1e+18,45.104
1e+05,1e+18,45.645
0.5,1e+19,0.00064653
1,1e+19,0.15806
1.5,1e+19,0.51051
2,1e+19,0.71551
5,1e+19,2.9561
7,1e+19,4.1878
10,1e+19,5.5297
15,1e+19,7.9969
23,1e+19,10.329
32,1e+19,11.126
52,1e+19,12.997
74,1e+19,15.048
100,1e+19,16.734
165,1e+19,18.319
235,1e+19,19.03
310,1e+19,19.738
390,1e+19,20.454
475,1e+19,21.177
655,1e+19,22.639
845,1e+19,24.132
1000,1e+19,25.332
1441,1e+19,28.702
1925,1e+19,33.154
2454,1e+19,35.358
3030,1e+19,36.121
3655,1e+19,36.56
4331,1e+19,36.939
5060,1e+19,37.364
5844,1e+19,37.91
6685,1e+19,38.624
7585,1e+19,39.484
8546,1e+19,40.376
10000,1e+19,41.474
20000,1e+19,44.004
50000,1e+19,45.097
1e+05,1e+19,45.645
0.5,1e+20,0.00034077
1,1e+20,0.040373
1.5,1e+20,0.15802
2,1e+20,0.2538
5,1e+20,1.807
7,1e+20,3.0724
10,1e+20,4.6299
15,1e+20,6.8884
23,1e+20,9.6856
32,1e+20,11.059
52,1e+20,14.235
74,1e+20,16.206
100,1e+20,17.44
165,1e+20,19.531
235,1e+20,20.945
310,1e+20,22.073
390,1e+20,23.055
475,1e+20,23.923
655,1e+20,25.412
845,1e+20,26.68
1000,1e+20,27.55
1441,1e+20,30.147
1925,1e+20,33.735
2454,1e+20,35.465
3030,1e+20,36.155
3655,1e+20,36.58
4331,1e+20,36.957
5060,1e+20,37.385
5844,1e+20,37.937
6685,1e+20,38.654
7585,1e+20,39.505
8546,1e+20,40.375
10000,1e+20,41.422
20000,1e+20,43.853
50000,1e+20,45.068
1e+05,1e+20,45.641
0.5,1e+21,0.0013849
1,1e+21,0.02691
1.5,1e+21,0.067847
2,1e+21,0.091033
5,1e+21,0.56616
7,1e+21,1.5754
10,1e+21,3.0611
15,1e+21,5.1613
23,1e+21,7.8923
32,1e+21,9.9323
52,1e+21,13.317
74,1e+21,15.928
100,1e+21,18.603
165,1e+21,22
235,1e+21,23.859
310,1e+21,25.342
390,1e+21,26.562
475,1e+21,27.489
655,1e+21,28.757
845,1e+21,29.907
1000,1e+21,30.893
1441,1e+21,33.485
1925,1e+21,35.096
2454,1e+21,35.886
3030,1e+21,36.355
3655,1e+21,36.726
4331,1e+21,37.105
5060,1e+21,37.563
5844,1e+21,38.16
6685,1e+21,38.911
7585,1e+21,39.758
8546,1e+21,40.579
10000,1e+21,41.53
20000,1e+21,43.762
50000,1e+21,45.045
1e+05,1e+21,45.64
0.5,1e+22,1
1,1e+22,1.0001
1.5,1e+22,1.0028
2,1e+22,1.0189
5,1e+22,1.548
7,1e+22,2.2207
10,1e+22,3.2443
15,1e+22,4.1932
23,1e+22,6.0457
32,1e+22,8.1438
52,1e+22,10.813
74,1e+22,13.981
100,1e+22,16.586
165,1e+22,23.443
235,1e+22,26.568
310,1e+22,28.297
390,1e+22,29.577
475,1e+22,30.86
655,1e+22,32.834
845,1e+22,34.058
1000,1e+22,34.691
1441,1e+22,35.666
1925,1e+22,36.2
2454,1e+22,36.603
3030,1e+22,36.999
3655,1e+22,37.459
4331,1e+22,38.029
5060,1e+22,38.724
5844,1e+22,39.506
6685,1e+22,40.284
7585,1e+22,40.978
8546,1e+22,41.552
10000,1e+22,42.171
20000,1e+22,43.847
50000,1e+22,45.058
1e+05,1e+22,45.652
0.5,1e+23,2.0012
1,1e+23,2.0136
1.5,1e+23,2.0386
2,1e+23,2.0725
5,1e+23,2.3627
7,1e+23,2.6174
10,1e+23,3.0869
15,1e+23,4.0282
23,1e+23,5.6237
32,1e+23,7.4123
52,1e+23,9.803
74,1e+23,11.244
100,1e+23,13.896
165,1e+23,21.632
235,1e+23,25.689
310,1e+23,28.42
390,1e+23,30.82
475,1e+23,32.628
655,1e+23,34.454
845,1e+23,35.329
1000,1e+23,35.79
1441,1e+23,36.744
1925,1e+23,37.591
2454,1e+23,38.433
3030,1e+23,39.278
3655,1e+23,40.089
4331,1e+23,40.818
5060,1e+23,41.432
5844,1e+23,41.925
6685,1e+23,42.316
7585,1e+23,42.631
8546,1e+23,42.892
10000,1e+23,43.2
20000,1e+23,44.266
50000,1e+23,45.16
1e+05,1e+23,45.702
0.5,1e+24,9
1,1e+24,9
1.5,1e+24,9.0001
2,1e+24,9.0004
5,1e+24,9.0089
7,1e+24,9.0203
10,1e+24,9.0439
15,1e+24,9.0974
23,1e+24,9.2135
32,1e+24,9.3807
52,1e+24,9.8482
74,1e+24,10.52
100,1e+24,11.663
165,1e+24,15.453
235,1e+24,22.897
310,1e+24,25.994
390,1e+24,28.116
475,1e+24,30.184
655,1e+24,33.202
845,1e+24,34.953
1000,1e+24,36.09
1441,1e+24,38.362
1925,1e+24,39.837
2454,1e+24,40.941
3030,1e+24,41.773
3655,1e+24,42.384
4331,1e+24,42.832
5060,1e+24,43.169
5844,1e+24,43.455
6685,1e+24,43.692
7585,1e+24,43.886
8546,1e+24,44.048
10000,1e+24,44.232
20000,1e+24,44.776
50000,1e+24,45.321
1e+05,1e+24,45.805
