"Te","ne","CS"
0.5,1e+12,0.98022
1,1e+12,1.3912
1.5,1e+12,1.9797
2,1e+12,1.9973
5,1e+12,2.1206
7,1e+12,8.941
10,1e+12,8.9962
15,1e+12,8.9991
23,1e+12,8.9997
32,1e+12,9.008
52,1e+12,9.3201
74,1e+12,11.578
100,1e+12,13.731
165,1e+12,16.892
235,1e+12,19.252
310,1e+12,21.215
390,1e+12,22.617
475,1e+12,23.609
655,1e+12,26.218
845,1e+12,32.687
1000,1e+12,38.091
1441,1e+12,40.923
1925,1e+12,41.408
2454,1e+12,41.769
3030,1e+12,42.189
3655,1e+12,42.817
4331,1e+12,43.896
5060,1e+12,45.728
5844,1e+12,48.308
6685,1e+12,51.151
7585,1e+12,53.696
8546,1e+12,55.567
10000,1e+12,57.177
20000,1e+12,60.466
50000,1e+12,64.907
1e+05,1e+12,66.438
0.5,1e+13,0.97996
1,1e+13,1.4841
1.5,1e+13,1.9821
2,1e+13,1.9974
5,1e+13,2.1262
7,1e+13,8.9412
10,1e+13,8.9962
15,1e+13,8.9991
23,1e+13,8.9997
32,1e+13,9.008
52,1e+13,9.3211
74,1e+13,11.581
100,1e+13,13.731
165,1e+13,16.892
235,1e+13,19.252
310,1e+13,21.215
390,1e+13,22.617
475,1e+13,23.609
655,1e+13,26.218
845,1e+13,32.687
1000,1e+13,38.091
1441,1e+13,40.923
1925,1e+13,41.408
2454,1e+13,41.769
3030,1e+13,42.189
3655,1e+13,42.817
4331,1e+13,43.896
5060,1e+13,45.728
5844,1e+13,48.308
6685,1e+13,51.151
7585,1e+13,53.696
8546,1e+13,55.567
10000,1e+13,57.177
20000,1e+13,60.466
50000,1e+13,64.907
1e+05,1e+13,66.438
0.5,1e+14,0.97189
1,1e+14,1.7357
1.5,1e+14,1.9922
2,1e+14,1.9988
5,1e+14,2.1761
7,1e+14,8.9419
10,1e+14,8.9962
15,1e+14,8.9991
23,1e+14,8.9997
32,1e+14,9.0081
52,1e+14,9.3312
74,1e+14,11.609
100,1e+14,13.737
165,1e+14,16.893
235,1e+14,19.252
310,1e+14,21.215
390,1e+14,22.617
475,1e+14,23.609
655,1e+14,26.218
845,1e+14,32.687
1000,1e+14,38.091
1441,1e+14,40.923
1925,1e+14,41.408
2454,1e+14,41.769
3030,1e+14,42.189
3655,1e+14,42.817
4331,1e+14,43.896
5060,1e+14,45.728
5844,1e+14,48.308
6685,1e+14,51.151
7585,1e+14,53.696
8546,1e+14,55.567
10000,1e+14,57.177
20000,1e+14,60.466
50000,1e+14,64.907
1e+05,1e+14,66.438
0.5,1e+15,0.88634
1,1e+15,1.67
1.5,1e+15,1.9902
2,1e+15,1.9986
5,1e+15,2.4211
7,1e+15,8.9426
10,1e+15,8.9962
15,1e+15,8.9991
23,1e+15,8.9998
32,1e+15,9.0089
52,1e+15,9.4383
74,1e+15,11.833
100,1e+15,13.78
165,1e+15,16.901
235,1e+15,19.255
310,1e+15,21.217
390,1e+15,22.618
475,1e+15,23.61
655,1e+15,26.219
845,1e+15,32.688
1000,1e+15,38.091
1441,1e+15,40.923
1925,1e+15,41.408
2454,1e+15,41.769
3030,1e+15,42.189
3655,1e+15,42.817
4331,1e+15,43.896
5060,1e+15,45.728
5844,1e+15,48.308
6685,1e+15,51.151
7585,1e+15,53.696
8546,1e+15,55.567
10000,1e+15,57.177
20000,1e+15,60.466
50000,1e+15,64.907
1e+05,1e+15,66.438
0.5,1e+16,0.4787
1,1e+16,1.2484
1.5,1e+16,1.9455
2,1e+16,1.9922
5,1e+16,2.6563
7,1e+16,8.9349
10,1e+16,8.9959
15,1e+16,8.9991
23,1e+16,9
32,1e+16,9.0233
52,1e+16,10.704
74,1e+16,12.6
100,1e+16,14.057
165,1e+16,16.968
235,1e+16,19.284
310,1e+16,21.232
390,1e+16,22.626
475,1e+16,23.614
655,1e+16,26.222
845,1e+16,32.691
1000,1e+16,38.093
1441,1e+16,40.923
1925,1e+16,41.408
2454,1e+16,41.769
3030,1e+16,42.189
3655,1e+16,42.817
4331,1e+16,43.896
5060,1e+16,45.729
5844,1e+16,48.308
6685,1e+16,51.151
7585,1e+16,53.697
8546,1e+16,55.567
10000,1e+16,57.177
20000,1e+16,60.466
50000,1e+16,64.906
1e+05,1e+16,66.437
0.5,1e+17,0.093059
1,1e+17,1.0312
1.5,1e+17,1.6626
2,1e+17,1.9342
5,1e+17,2.6312
7,1e+17,8.7399
10,1e+17,8.9929
15,1e+17,8.9986
23,1e+17,9.0235
32,1e+17,10.712
52,1e+17,12.717
74,1e+17,13.857
100,1e+17,15.021
165,1e+17,17.416
235,1e+17,19.519
310,1e+17,21.357
390,1e+17,22.686
475,1e+17,23.647
655,1e+17,26.246
845,1e+17,32.707
1000,1e+17,38.098
1441,1e+17,40.923
1925,1e+17,41.408
2454,1e+17,41.769
3030,1e+17,42.189
3655,1e+17,42.818
4331,1e+17,43.897
5060,1e+17,45.73
5844,1e+17,48.31
6685,1e+17,51.152
7585,1e+17,53.698
8546,1e+17,55.568
10000,1e+17,57.177
20000,1e+17,60.467
50000,1e+17,64.906
1e+05,1e+17,66.436
0.5,1e+18,0.013362
1,1e+18,0.95636
1.5,1e+18,1.1838
2,1e+18,1.6145
5,1e+18,2.441
7,1e+18,4.2874
10,1e+18,8.9572
15,1e+18,8.9947
23,1e+18,11.471
32,1e+18,12.784
52,1e+18,14.458
74,1e+18,15.705
100,1e+18,16.829
165,1e+18,18.905
235,1e+18,20.658
310,1e+18,22.091
390,1e+18,23.082
475,1e+18,23.886
655,1e+18,26.442
845,1e+18,32.814
1000,1e+18,38.122
1441,1e+18,40.924
1925,1e+18,41.409
2454,1e+18,41.77
3030,1e+18,42.191
3655,1e+18,42.821
4331,1e+18,43.901
5060,1e+18,45.735
5844,1e+18,48.315
6685,1e+18,51.157
7585,1e+18,53.701
8546,1e+18,55.57
10000,1e+18,57.178
20000,1e+18,60.467
50000,1e+18,64.906
1e+05,1e+18,66.434
0.5,1e+19,0.0027402
1,1e+19,0.73399
1.5,1e+19,1.0111
2,1e+19,1.1716
5,1e+19,1.9793
7,1e+19,2.9854
10,1e+19,8.5883
15,1e+19,8.9527
23,1e+19,12.32
32,1e+19,14.001
52,1e+19,16.317
74,1e+19,17.89
100,1e+19,19.23
165,1e+19,21.508
235,1e+19,22.82
310,1e+19,23.513
390,1e+19,24.092
475,1e+19,24.85
655,1e+19,27.732
845,1e+19,33.487
1000,1e+19,38.26
1441,1e+19,40.93
1925,1e+19,41.413
2454,1e+19,41.778
3030,1e+19,42.204
3655,1e+19,42.839
4331,1e+19,43.925
5060,1e+19,45.763
5844,1e+19,48.339
6685,1e+19,51.175
7585,1e+19,53.713
8546,1e+19,55.577
10000,1e+19,57.182
20000,1e+19,60.469
50000,1e+19,64.903
1e+05,1e+19,66.425
0.5,1e+20,0.0014446
1,1e+20,0.37299
1.5,1e+20,0.89223
2,1e+20,1.0113
5,1e+20,1.5124
7,1e+20,1.9612
10,1e+20,3.8093
15,1e+20,8.375
23,1e+20,12.038
32,1e+20,14.416
52,1e+20,17.735
