"Te","ne","CS"
0.5,1e+12,3.9581e-05
1,1e+12,0.51281
1.5,1e+12,1.0191
2,1e+12,1.5733
5,1e+12,1.9989
7,1e+12,1.9997
10,1e+12,2.0006
15,1e+12,2.0971
23,1e+12,2.827
32,1e+12,3.1951
52,1e+12,3.873
74,1e+12,3.9731
100,1e+12,3.991
165,1e+12,3.9978
235,1e+12,3.999
310,1e+12,3.9994
390,1e+12,3.9996
475,1e+12,3.9997
655,1e+12,3.9998
845,1e+12,3.9999
1000,1e+12,3.9999
1441,1e+12,3.9999
1925,1e+12,4
2454,1e+12,4
3030,1e+12,4
3655,1e+12,4
4331,1e+12,4
5060,1e+12,4
5844,1e+12,4
6685,1e+12,4
7585,1e+12,4
8546,1e+12,4
10000,1e+12,4
20000,1e+12,4
50000,1e+12,4
1e+05,1e+12,4
0.5,1e+13,3.9754e-05
1,1e+13,0.53488
1.5,1e+13,1.0438
2,1e+13,1.6534
5,1e+13,1.9991
7,1e+13,1.9998
10,1e+13,2.001
15,1e+13,2.1313
23,1e+13,2.8572
32,1e+13,3.1999
52,1e+13,3.8738
74,1e+13,3.9733
100,1e+13,3.9911
165,1e+13,3.9978
235,1e+13,3.999
310,1e+13,3.9994
390,1e+13,3.9996
475,1e+13,3.9997
655,1e+13,3.9998
845,1e+13,3.9999
1000,1e+13,3.9999
1441,1e+13,3.9999
1925,1e+13,4
2454,1e+13,4
3030,1e+13,4
3655,1e+13,4
4331,1e+13,4
5060,1e+13,4
5844,1e+13,4
6685,1e+13,4
7585,1e+13,4
8546,1e+13,4
10000,1e+13,4
20000,1e+13,4
50000,1e+13,4
1e+05,1e+13,4
0.5,1e+14,4.6442e-05
1,1e+14,0.58043
1.5,1e+14,1.2124
2,1e+14,1.8721
5,1e+14,1.9996
7,1e+14,1.9999
10,1e+14,2.0019
15,1e+14,2.1915
23,1e+14,2.8955
32,1e+14,3.2078
52,1e+14,3.8757
74,1e+14,3.9737
100,1e+14,3.9912
165,1e+14,3.9979
235,1e+14,3.999
310,1e+14,3.9994
390,1e+14,3.9996
475,1e+14,3.9997
655,1e+14,3.9998
845,1e+14,3.9999
1000,1e+14,3.9999
1441,1e+14,3.9999
1925,1e+14,4
2454,1e+14,4
3030,1e+14,4
3655,1e+14,4
4331,1e+14,4
5060,1e+14,4
5844,1e+14,4
6685,1e+14,4
7585,1e+14,4
8546,1e+14,4
10000,1e+14,4
20000,1e+14,4
50000,1e+14,4
1e+05,1e+14,4
0.5,1e+15,5.1261e-05
1,1e+15,0.61057
1.5,1e+15,1.652
2,1e+15,1.9778
5,1e+15,1.9999
7,1e+15,2
10,1e+15,2.0025
15,1e+15,2.2309
23,1e+15,2.9167
32,1e+15,3.2176
52,1e+15,3.8794
74,1e+15,3.9745
100,1e+15,3.9915
165,1e+15,3.9979
235,1e+15,3.9991
310,1e+15,3.9994
390,1e+15,3.9996
475,1e+15,3.9997
655,1e+15,3.9998
845,1e+15,3.9999
1000,1e+15,3.9999
1441,1e+15,3.9999
1925,1e+15,4
2454,1e+15,4
3030,1e+15,4
3655,1e+15,4
4331,1e+15,4
5060,1e+15,4
5844,1e+15,4
6685,1e+15,4
7585,1e+15,4
8546,1e+15,4
10000,1e+15,4
20000,1e+15,4
50000,1e+15,4
1e+05,1e+15,4
0.5,1e+16,3.9287e-05
1,1e+16,0.54627
1.5,1e+16,1.5865
2,1e+16,1.9732
5,1e+16,1.9998
7,1e+16,1.9999
10,1e+16,2.0037
15,1e+16,2.317
23,1e+16,2.9495
32,1e+16,3.2381
52,1e+16,3.8872
74,1e+16,3.9761
100,1e+16,3.992
165,1e+16,3.998
235,1e+16,3.9991
310,1e+16,3.9995
390,1e+16,3.9996
475,1e+16,3.9997
655,1e+16,3.9998
845,1e+16,3.9999
1000,1e+16,3.9999
1441,1e+16,3.9999
1925,1e+16,4
2454,1e+16,4
3030,1e+16,4
3655,1e+16,4
4331,1e+16,4
5060,1e+16,4
5844,1e+16,4
6685,1e+16,4
7585,1e+16,4
8546,1e+16,4
10000,1e+16,4
20000,1e+16,4
50000,1e+16,4
1e+05,1e+16,4
0.5,1e+17,1.1606e-05
1,1e+17,0.25455
1.5,1e+17,1.1198
2,1e+17,1.8571
5,1e+17,1.9983
7,1e+17,1.9991
10,1e+17,2.005
15,1e+17,2.427
23,1e+17,2.9779
32,1e+17,3.2806
52,1e+17,3.903
74,1e+17,3.9793
100,1e+17,3.9929
165,1e+17,3.9982
235,1e+17,3.9992
310,1e+17,3.9995
390,1e+17,3.9997
475,1e+17,3.9997
655,1e+17,3.9998
845,1e+17,3.9999
1000,1e+17,3.9999
1441,1e+17,3.9999
1925,1e+17,4
2454,1e+17,4
3030,1e+17,4
3655,1e+17,4
4331,1e+17,4
5060,1e+17,4
5844,1e+17,4
6685,1e+17,4
7585,1e+17,4
8546,1e+17,4
10000,1e+17,4
20000,1e+17,4
50000,1e+17,4
1e+05,1e+17,4
0.5,1e+18,1.8416e-06
1,1e+18,0.044467
1.5,1e+18,0.6436
2,1e+18,1.3278
5,1e+18,1.9838
7,1e+18,1.9916
10,1e+18,1.9987
15,1e+18,2.3615
23,1e+18,2.9783
32,1e+18,3.3768
52,1e+18,3.9289
74,1e+18,3.983
100,1e+18,3.9933
165,1e+18,3.9979
235,1e+18,3.9989
310,1e+18,3.9993
390,1e+18,3.9995
475,1e+18,3.9996
655,1e+18,3.9998
845,1e+18,3.9998
1000,1e+18,3.9999
1441,1e+18,3.9999
1925,1e+18,3.9999
2454,1e+18,4
3030,1e+18,4
3655,1e+18,4
4331,1e+18,4
5060,1e+18,4
5844,1e+18,4
6685,1e+18,4
7585,1e+18,4
8546,1e+18,4
10000,1e+18,4
20000,1e+18,4
50000,1e+18,4
1e+05,1e+18,4
0.5,1e+19,3.8163e-07
1,1e+19,0.0064744
1.5,1e+19,0.19051
2,1e+19,0.67214
5,1e+19,1.91
7,1e+19,1.941
10,1e+19,1.9688
15,1e+19,2.2396
23,1e+19,2.9745
32,1e+19,3.5179
52,1e+19,3.9447
74,1e+19,3.9793
100,1e+19,3.9877
165,1e+19,3.9925
235,1e+19,3.9946
310,1e+19,3.9964
390,1e+19,3.9975
475,1e+19,3.9981
655,1e+19,3.9988
845,1e+19,3.9992
1000,1e+19,3.9994
1441,1e+19,3.9996
1925,1e+19,3.9998
2454,1e+19,3.9998
3030,1e+19,3.9999
3655,1e+19,3.9999
4331,1e+19,3.9999
5060,1e+19,3.9999
5844,1e+19,4
6685,1e+19,4
7585,1e+19,4
8546,1e+19,4
10000,1e+19,4
20000,1e+19,4
50000,1e+19,4
1e+05,1e+19,4
0.5,1e+20,2.0137e-07
1,1e+20,0.0014163
1.5,1e+20,0.03856
2,1e+20,0.2112
5,1e+20,1.6826
7,1e+20,1.8499
10,1e+20,1.9243
15,1e+20,2.0883
23,1e+20,2.9055
32,1e+20,3.5042
52,1e+20,3.9322
74,1e+20,3.9666
100,1e+20,3.9807
165,1e+20,3.9866
235,1e+20,3.9904
310,1e+20,3.9923
390,1e+20,3.9935
475,1e+20,3.9942
655,1e+20,3.9958
845,1e+20,3.9966
1000,1e+20,3.997
1441,1e+20,3.9977
1925,1e+20,3.9981
2454,1e+20,3.9985
3030,1e+20,3.9989
3655,1e+20,3.9992
4331,1e+20,3.9994
5060,1e+20,3.9995
5844,1e+20,3.9996
6685,1e+20,3.9997
7585,1e+20,3.9997
8546,1e+20,3.9998
10000,1e+20,3.9998
20000,1e+20,3.9999
50000,1e+20,4
1e+05,1e+20,4
0.5,1e+21,8.1712e-07
1,1e+21,0.00085888
1.5,1e+21,0.013028
2,1e+21,0.062645
5,1e+21,1.1906
7,1e+21,1.5744
10,1e+21,1.7541
15,1e+21,1.9145
23,1e+21,2.599
32,1e+21,3.2378
52,1e+21,3.8482
74,1e+21,3.9367
100,1e+21,3.9641
165,1e+21,3.9769
235,1e+21,3.9809
310,1e+21,3.9874
390,1e+21,3.9876
475,1e+21,3.9908
655,1e+21,3.9924
845,1e+21,3.9948
1000,1e+21,3.9947
1441,1e+21,3.9961
1925,1e+21,3.9968
2454,1e+21,3.9972
3030,1e+21,3.9975
3655,1e+21,3.9981
4331,1e+21,3.9983
5060,1e+21,3.9984
5844,1e+21,3.9987
6685,1e+21,3.9987
7585,1e+21,3.9988
