"Te","ne","CS"
0.5,1e+12,0.97695
1,1e+12,1.397
1.5,1e+12,1.9798
2,1e+12,1.9977
5,1e+12,2.2819
7,1e+12,3.0719
10,1e+12,6.9624
15,1e+12,7.0224
23,1e+12,7.4375
32,1e+12,8.1189
52,1e+12,9.4237
74,1e+12,12.242
100,1e+12,14.059
165,1e+12,17.074
235,1e+12,19.355
310,1e+12,20.845
390,1e+12,21.815
475,1e+12,22.905
655,1e+12,27.589
845,1e+12,35.443
1000,1e+12,38.021
1441,1e+12,39.193
1925,1e+12,39.611
2454,1e+12,40.01
3030,1e+12,40.56
3655,1e+12,41.488
4331,1e+12,43.119
5060,1e+12,45.589
5844,1e+12,48.521
6685,1e+12,51.312
7585,1e+12,53.423
8546,1e+12,54.792
10000,1e+12,55.942
20000,1e+12,58.974
50000,1e+12,63.283
1e+05,1e+12,64.716
0.5,1e+13,0.97575
1,1e+13,1.4229
1.5,1e+13,1.9804
2,1e+13,1.9977
5,1e+13,2.2882
7,1e+13,3.0814
10,1e+13,6.9624
15,1e+13,7.0225
23,1e+13,7.4378
32,1e+13,8.1205
52,1e+13,9.4258
74,1e+13,12.243
100,1e+13,14.06
165,1e+13,17.074
235,1e+13,19.355
310,1e+13,20.845
390,1e+13,21.815
475,1e+13,22.905
655,1e+13,27.589
845,1e+13,35.443
1000,1e+13,38.021
1441,1e+13,39.193
1925,1e+13,39.611
2454,1e+13,40.01
3030,1e+13,40.56
3655,1e+13,41.488
4331,1e+13,43.119
5060,1e+13,45.589
5844,1e+13,48.521
6685,1e+13,51.312
7585,1e+13,53.423
8546,1e+13,54.792
10000,1e+13,55.942
20000,1e+13,58.974
50000,1e+13,63.283
1e+05,1e+13,64.716
0.5,1e+14,0.9636
1,1e+14,1.7471
1.5,1e+14,1.9928
2,1e+14,1.9989
5,1e+14,2.3439
7,1e+14,3.1602
10,1e+14,6.9626
15,1e+14,7.0225
23,1e+14,7.4404
32,1e+14,8.1361
52,1e+14,9.4456
74,1e+14,12.253
100,1e+14,14.062
165,1e+14,17.075
235,1e+14,19.356
310,1e+14,20.845
390,1e+14,21.815
475,1e+14,22.906
655,1e+14,27.589
845,1e+14,35.443
1000,1e+14,38.021
1441,1e+14,39.193
1925,1e+14,39.611
2454,1e+14,40.01
3030,1e+14,40.56
3655,1e+14,41.488
4331,1e+14,43.119
5060,1e+14,45.589
5844,1e+14,48.521
6685,1e+14,51.312
7585,1e+14,53.423
8546,1e+14,54.792
10000,1e+14,55.942
20000,1e+14,58.974
50000,1e+14,63.283
1e+05,1e+14,64.716
0.5,1e+15,0.85689
1,1e+15,1.7772
1.5,1e+15,1.994
2,1e+15,1.9991
5,1e+15,2.5835
7,1e+15,3.4837
10,1e+15,6.9627
15,1e+15,7.0226
23,1e+15,7.4657
32,1e+15,8.2668
52,1e+15,9.6207
74,1e+15,12.335
100,1e+15,14.084
165,1e+15,17.081
235,1e+15,19.358
310,1e+15,20.847
390,1e+15,21.816
475,1e+15,22.906
655,1e+15,27.59
845,1e+15,35.444
1000,1e+15,38.021
1441,1e+15,39.193
1925,1e+15,39.611
2454,1e+15,40.01
3030,1e+15,40.56
3655,1e+15,41.488
4331,1e+15,43.119
5060,1e+15,45.589
5844,1e+15,48.521
6685,1e+15,51.312
7585,1e+15,53.423
8546,1e+15,54.792
10000,1e+15,55.942
20000,1e+15,58.974
50000,1e+15,63.283
1e+05,1e+15,64.715
0.5,1e+16,0.41452
1,1e+16,1.3675
1.5,1e+16,1.9666
2,1e+16,1.9947
5,1e+16,2.7676
7,1e+16,3.8529
10,1e+16,6.9555
15,1e+16,7.0238
23,1e+16,7.6863
32,1e+16,8.754
52,1e+16,10.924
74,1e+16,12.767
100,1e+16,14.255
165,1e+16,17.134
235,1e+16,19.382
310,1e+16,20.856
390,1e+16,21.821
