"Te","ne","CS"
0.5,1e+12,6.5252e-09
1,1e+12,0.049766
1.5,1e+12,0.9322
2,1e+12,1.0072
5,1e+12,2.3107
7,1e+12,2.8397
10,1e+12,3.0093
15,1e+12,3.8267
23,1e+12,4.896
32,1e+12,4.9814
52,1e+12,4.999
74,1e+12,5.0647
100,1e+12,5.4155
165,1e+12,6.3904
235,1e+12,6.8083
310,1e+12,6.9228
390,1e+12,6.9607
475,1e+12,6.9766
655,1e+12,6.9888
845,1e+12,6.9932
1000,1e+12,6.995
1441,1e+12,6.9973
1925,1e+12,6.9982
2454,1e+12,6.9987
3030,1e+12,6.999
3655,1e+12,6.9992
4331,1e+12,6.9994
5060,1e+12,6.9995
5844,1e+12,6.9996
6685,1e+12,6.9996
7585,1e+12,6.9997
8546,1e+12,6.9997
10000,1e+12,6.9998
20000,1e+12,6.9999
50000,1e+12,7
1e+05,1e+12,7
0.5,1e+13,3.4432e-09
1,1e+13,0.029654
1.5,1e+13,0.89954
2,1e+13,1.0117
5,1e+13,2.3486
7,1e+13,2.8582
10,1e+13,3.0167
15,1e+13,3.8337
23,1e+13,4.8964
32,1e+13,4.9815
52,1e+13,4.9991
74,1e+13,5.0655
100,1e+13,5.4182
165,1e+13,6.3911
235,1e+13,6.8084
310,1e+13,6.9228
390,1e+13,6.9607
475,1e+13,6.9766
655,1e+13,6.9888
845,1e+13,6.9932
1000,1e+13,6.995
1441,1e+13,6.9973
1925,1e+13,6.9982
2454,1e+13,6.9987
3030,1e+13,6.999
3655,1e+13,6.9992
4331,1e+13,6.9994
5060,1e+13,6.9995
5844,1e+13,6.9996
6685,1e+13,6.9996
7585,1e+13,6.9997
8546,1e+13,6.9997
10000,1e+13,6.9998
20000,1e+13,6.9999
50000,1e+13,7
1e+05,1e+13,7
0.5,1e+14,4.525e-09
1,1e+14,0.033279
1.5,1e+14,0.91349
2,1e+14,1.0216
5,1e+14,2.491
7,1e+14,2.9224
10,1e+14,3.0499
15,1e+14,3.8898
23,1e+14,4.9005
32,1e+14,4.9818
52,1e+14,4.9992
74,1e+14,5.0677
100,1e+14,5.4256
165,1e+14,6.3936
235,1e+14,6.809
310,1e+14,6.9231
390,1e+14,6.9608
475,1e+14,6.9766
655,1e+14,6.9888
845,1e+14,6.9933
1000,1e+14,6.995
1441,1e+14,6.9973
1925,1e+14,6.9982
2454,1e+14,6.9987
3030,1e+14,6.999
3655,1e+14,6.9992
4331,1e+14,6.9994
5060,1e+14,6.9995
5844,1e+14,6.9996
6685,1e+14,6.9996
7585,1e+14,6.9997
8546,1e+14,6.9997
10000,1e+14,6.9998
20000,1e+14,6.9999
50000,1e+14,7
1e+05,1e+14,7
0.5,1e+15,8.8508e-09
1,1e+15,0.05003
1.5,1e+15,0.93861
2,1e+15,1.0488
5,1e+15,2.6791
7,1e+15,2.9771
10,1e+15,3.1591
15,1e+15,4.1795
23,1e+15,4.9226
32,1e+15,4.9843
52,1e+15,5
74,1e+15,5.0783
100,1e+15,5.455
165,1e+15,6.4017
235,1e+15,6.811
310,1e+15,6.9238
390,1e+15,6.9611
475,1e+15,6.9768
655,1e+15,6.9889
845,1e+15,6.9933
1000,1e+15,6.9951
1441,1e+15,6.9973
1925,1e+15,6.9982
2454,1e+15,6.9987
3030,1e+15,6.9991
3655,1e+15,6.9992
4331,1e+15,6.9994
5060,1e+15,6.9995
5844,1e+15,6.9996
6685,1e+15,6.9996
7585,1e+15,6.9997
8546,1e+15,6.9997
10000,1e+15,6.9998
20000,1e+15,6.9999
50000,1e+15,7
1e+05,1e+15,7
0.5,1e+16,9.3436e-09
1,1e+16,0.049295
1.5,1e+16,0.93433
2,1e+16,1.0646
5,1e+16,2.8312
7,1e+16,3.0162
10,1e+16,3.508
