"Te","ne","CS"
0.5,1e+12,5.5213e-05
1,1e+12,0.25218
1.5,1e+12,0.88849
2,1e+12,1.1946
5,1e+12,2.9686
7,1e+12,3.8977
10,1e+12,4.7888
15,1e+12,6.2275
23,1e+12,6.9891
32,1e+12,7.5339
52,1e+12,9.1707
74,1e+12,10.804
100,1e+12,12.411
165,1e+12,16.354
235,1e+12,22.163
310,1e+12,23.85
390,1e+12,24.32
475,1e+12,24.572
655,1e+12,24.946
845,1e+12,25.379
1000,1e+12,25.856
1441,1e+12,28.045
1925,1e+12,31.25
2454,1e+12,34.968
3030,1e+12,38.839
3655,1e+12,40.841
4331,1e+12,41.703
5060,1e+12,42.201
5844,1e+12,42.585
6685,1e+12,42.953
7585,1e+12,43.363
8546,1e+12,43.857
10000,1e+12,44.724
20000,1e+12,48.712
50000,1e+12,50.564
1e+05,1e+12,51.178
0.5,1e+13,9.4442e-05
1,1e+13,0.4167
1.5,1e+13,0.97016
2,1e+13,1.3742
5,1e+13,3.0252
7,1e+13,3.9272
10,1e+13,4.8001
15,1e+13,6.2326
23,1e+13,6.9896
32,1e+13,7.5343
52,1e+13,9.171
74,1e+13,10.804
100,1e+13,12.411
165,1e+13,16.354
235,1e+13,22.163
310,1e+13,23.85
390,1e+13,24.32
475,1e+13,24.572
655,1e+13,24.946
845,1e+13,25.379
1000,1e+13,25.856
1441,1e+13,28.045
1925,1e+13,31.25
2454,1e+13,34.968
3030,1e+13,38.839
3655,1e+13,40.841
4331,1e+13,41.703
5060,1e+13,42.201
5844,1e+13,42.585
6685,1e+13,42.953
7585,1e+13,43.363
8546,1e+13,43.857
10000,1e+13,44.724
20000,1e+13,48.712
50000,1e+13,50.564
1e+05,1e+13,51.178
0.5,1e+14,0.00060503
1,1e+14,0.89193
1.5,1e+14,1.3705
2,1e+14,1.9141
5,1e+14,3.282
7,1e+14,4.119
10,1e+14,4.8855
15,1e+14,6.2769
23,1e+14,6.994
32,1e+14,7.537
52,1e+14,9.1734
74,1e+14,10.805
100,1e+14,12.412
165,1e+14,16.354
235,1e+14,22.164
310,1e+14,23.85
390,1e+14,24.32
475,1e+14,24.572
655,1e+14,24.946
845,1e+14,25.379
1000,1e+14,25.856
1441,1e+14,28.045
1925,1e+14,31.25
2454,1e+14,34.968
3030,1e+14,38.839
3655,1e+14,40.841
4331,1e+14,41.703
5060,1e+14,42.201
5844,1e+14,42.585
6685,1e+14,42.953
7585,1e+14,43.363
8546,1e+14,43.857
10000,1e+14,44.724
20000,1e+14,48.712
50000,1e+14,50.564
1e+05,1e+14,51.178
0.5,1e+15,0.0029806
1,1e+15,0.98695
1.5,1e+15,1.8894
2,1e+15,2.1101
5,1e+15,3.9307
7,1e+15,4.6176
10,1e+15,5.1983
15,1e+15,6.4948
23,1e+15,7.0241
32,1e+15,7.5612
52,1e+15,9.1948
74,1e+15,10.818
100,1e+15,12.419
165,1e+15,16.357
235,1e+15,22.164
310,1e+15,23.85
390,1e+15,24.32
475,1e+15,24.572
655,1e+15,24.946
845,1e+15,25.379
1000,1e+15,25.857
1441,1e+15,28.045
1925,1e+15,31.25
2454,1e+15,34.968
3030,1e+15,38.839
3655,1e+15,40.841
4331,1e+15,41.703
5060,1e+15,42.201
5844,1e+15,42.585
6685,1e+15,42.953
7585,1e+15,43.363
8546,1e+15,43.857
10000,1e+15,44.724
20000,1e+15,48.712
50000,1e+15,50.563
1e+05,1e+15,51.178
0.5,1e+16,0.0018821
1,1e+16,0.93798
1.5,1e+16,1.8703
2,1e+16,2.4099
5,1e+16,4.6058
7,1e+16,5.0258
10,1e+16,6.1105
15,1e+16,6.8383
23,1e+16,7.1643
32,1e+16,7.7544
52,1e+16,9.3731
74,1e+16,10.926
100,1e+16,12.485
165,1e+16,16.38
235,1e+16,22.167
310,1e+16,23.85
390,1e+16,24.32
475,1e+16,24.572
655,1e+16,24.947
845,1e+16,25.379
1000,1e+16,25.857
1441,1e+16,28.046
1925,1e+16,31.251
2454,1e+16,34.969
3030,1e+16,38.84
3655,1e+16,40.841
4331,1e+16,41.703
5060,1e+16,42.201
5844,1e+16,42.585
6685,1e+16,42.953
7585,1e+16,43.363
8546,1e+16,43.857
10000,1e+16,44.724
20000,1e+16,48.711
50000,1e+16,50.563
1e+05,1e+16,51.178
0.5,1e+17,0.00030599
1,1e+17,0.62731
1.5,1e+17,1.4347
2,1e+17,2.1321
5,1e+17,4.8892
7,1e+17,5.5595
10,1e+17,6.8661
15,1e+17,7.0806
23,1e+17,7.7474
32,1e+17,8.612
52,1e+17,10.183
74,1e+17,11.557
100,1e+17,12.942
165,1e+17,16.563
235,1e+17,22.181
310,1e+17,23.852
390,1e+17,24.321
475,1e+17,24.574
655,1e+17,24.949
845,1e+17,25.383
1000,1e+17,25.863
1441,1e+17,28.053
1925,1e+17,31.255
2454,1e+17,34.971
3030,1e+17,38.841
3655,1e+17,40.841
4331,1e+17,41.703
5060,1e+17,42.201
5844,1e+17,42.585
6685,1e+17,42.954
7585,1e+17,43.363
8546,1e+17,43.857
10000,1e+17,44.724
20000,1e+17,48.711
50000,1e+17,50.563
1e+05,1e+17,51.178
0.5,1e+18,4.2354e-05
1,1e+18,0.16095
1.5,1e+18,0.62419
2,1e+18,1.4653
5,1e+18,4.6733
7,1e+18,5.7348
10,1e+18,6.8975
15,1e+18,7.4085
23,1e+18,8.9375
32,1e+18,10.075
52,1e+18,11.807
74,1e+18,13.168
100,1e+18,14.495
165,1e+18,17.408
235,1e+18,22.269
310,1e+18,23.862
390,1e+18,24.327
475,1e+18,24.582
655,1e+18,24.97
845,1e+18,25.423
1000,1e+18,25.917
1441,1e+18,28.116
1925,1e+18,31.288
2454,1e+18,34.987
3030,1e+18,38.847
3655,1e+18,40.843
4331,1e+18,41.704
5060,1e+18,42.201
5844,1e+18,42.586
6685,1e+18,42.954
7585,1e+18,43.364
8546,1e+18,43.858
10000,1e+18,44.725
20000,1e+18,48.708
50000,1e+18,50.561
1e+05,1e+18,51.178
0.5,1e+19,8.6415e-06
1,1e+19,0.025638
1.5,1e+19,0.12756
2,1e+19,0.48729
5,1e+19,3.7072
7,1e+19,4.993
10,1e+19,6.567
15,1e+19,7.4356
23,1e+19,9.7363
32,1e+19,11.494
52,1e+19,13.807
74,1e+19,15.503
100,1e+19,16.513
165,1e+19,19.202
235,1e+19,22.648
310,1e+19,23.927
390,1e+19,24.378
475,1e+19,24.664
655,1e+19,25.171
845,1e+19,25.773
1000,1e+19,26.37
1441,1e+19,28.59
1925,1e+19,31.542
2454,1e+19,35.096
3030,1e+19,38.885
