"Te","ne","CS"
0.5,1e+12,0.73859
1,1e+12,0.99936
1.5,1e+12,0.99994
2,1e+12,0.99999
5,1e+12,1.794
7,1e+12,2.2168
10,1e+12,2.8859
15,1e+12,3.6169
23,1e+12,4.2875
32,1e+12,4.9786
52,1e+12,6.2363
74,1e+12,7.5465
100,1e+12,8.6574
165,1e+12,8.9652
235,1e+12,9.019
310,1e+12,9.1676
390,1e+12,9.4628
475,1e+12,9.8283
655,1e+12,10.409
845,1e+12,10.692
1000,1e+12,10.799
1441,1e+12,10.914
1925,1e+12,10.952
2454,1e+12,10.97
3030,1e+12,10.979
3655,1e+12,10.984
4331,1e+12,10.988
5060,1e+12,10.99
5844,1e+12,10.992
6685,1e+12,10.993
7585,1e+12,10.994
8546,1e+12,10.995
10000,1e+12,10.996
20000,1e+12,10.998
50000,1e+12,10.999
1e+05,1e+12,11
0.5,1e+13,0.70228
1,1e+13,0.99922
1.5,1e+13,0.99993
2,1e+13,0.99998
5,1e+13,1.8224
7,1e+13,2.2411
10,1e+13,2.909
15,1e+13,3.6269
23,1e+13,4.2916
32,1e+13,4.9809
52,1e+13,6.237
74,1e+13,7.5468
100,1e+13,8.6575
165,1e+13,8.9652
235,1e+13,9.0193
310,1e+13,9.1688
390,1e+13,9.4647
475,1e+13,9.8302
655,1e+13,10.41
845,1e+13,10.692
1000,1e+13,10.799
1441,1e+13,10.914
1925,1e+13,10.952
2454,1e+13,10.97
3030,1e+13,10.979
3655,1e+13,10.984
4331,1e+13,10.988
5060,1e+13,10.99
5844,1e+13,10.992
6685,1e+13,10.993
7585,1e+13,10.994
8546,1e+13,10.995
10000,1e+13,10.996
20000,1e+13,10.998
50000,1e+13,10.999
1e+05,1e+13,11
0.5,1e+14,0.68093
1,1e+14,0.99911
1.5,1e+14,0.99991
2,1e+14,0.99998
5,1e+14,1.8748
7,1e+14,2.334
10,1e+14,3.0077
15,1e+14,3.6882
23,1e+14,4.3236
32,1e+14,5.0012
52,1e+14,6.2439
74,1e+14,7.5496
100,1e+14,8.6581
165,1e+14,8.9652
235,1e+14,9.0195
310,1e+14,9.1695
390,1e+14,9.466
475,1e+14,9.8315
655,1e+14,10.41
845,1e+14,10.692
1000,1e+14,10.799
1441,1e+14,10.914
1925,1e+14,10.952
2454,1e+14,10.97
3030,1e+14,10.979
3655,1e+14,10.984
4331,1e+14,10.988
5060,1e+14,10.99
5844,1e+14,10.992
6685,1e+14,10.993
7585,1e+14,10.994
8546,1e+14,10.995
10000,1e+14,10.996
20000,1e+14,10.998
50000,1e+14,10.999
1e+05,1e+14,11
0.5,1e+15,0.59372
1,1e+15,0.9985
1.5,1e+15,0.99979
2,1e+15,0.99993
5,1e+15,1.9783
7,1e+15,2.5004
10,1e+15,3.1831
15,1e+15,3.877
23,1e+15,4.4821
32,1e+15,5.1288
52,1e+15,6.2972
74,1e+15,7.5733
100,1e+15,8.6628
165,1e+15,8.9655
235,1e+15,9.0198
310,1e+15,9.1707
390,1e+15,9.468
475,1e+15,9.8336
655,1e+15,10.411
845,1e+15,10.693
1000,1e+15,10.799
1441,1e+15,10.914
1925,1e+15,10.953
2454,1e+15,10.97
3030,1e+15,10.979
3655,1e+15,10.984
4331,1e+15,10.988
5060,1e+15,10.99
5844,1e+15,10.992
6685,1e+15,10.993
7585,1e+15,10.994
8546,1e+15,10.995
10000,1e+15,10.996
20000,1e+15,10.998
50000,1e+15,10.999
1e+05,1e+15,11
0.5,1e+16,0.2666
1,1e+16,0.99262
1.5,1e+16,0.99862
2,1e+16,0.99937
5,1e+16,2.0304
7,1e+16,2.7757
10,1e+16,3.419
15,1e+16,4.1284
23,1e+16,4.8969
32,1e+16,5.5488
52,1e+16,6.5432
74,1e+16,7.7217
100,1e+16,8.6963
165,1e+16,8.9673
235,1e+16,9.021
310,1e+16,9.1742
390,1e+16,9.4743
475,1e+16,9.8403
655,1e+16,10.415
845,1e+16,10.695
1000,1e+16,10.801
1441,1e+16,10.915
1925,1e+16,10.953
2454,1e+16,10.97
3030,1e+16,10.979
3655,1e+16,10.984
4331,1e+16,10.988
5060,1e+16,10.99
5844,1e+16,10.992
6685,1e+16,10.993
7585,1e+16,10.994
8546,1e+16,10.995
10000,1e+16,10.996
20000,1e+16,10.998
50000,1e+16,10.999
1e+05,1e+16,11
0.5,1e+17,0.044584
1,1e+17,0.94004
1.5,1e+17,0.9874
2,1e+17,0.99379
5,1e+17,2.0816
7,1e+17,2.9098
10,1e+17,3.7014
15,1e+17,4.4323
23,1e+17,5.4633
32,1e+17,6.2333
52,1e+17,7.0473
74,1e+17,8.1926
100,1e+17,8.8076
165,1e+17,8.9745
235,1e+17,9.0251
310,1e+17,9.1837
390,1e+17,9.4889
475,1e+17,9.8549
655,1e+17,10.424
845,1e+17,10.699
1000,1e+17,10.804
1441,1e+17,10.916
1925,1e+17,10.953
2454,1e+17,10.97
3030,1e+17,10.979
3655,1e+17,10.984
4331,1e+17,10.988
5060,1e+17,10.99
5844,1e+17,10.992
6685,1e+17,10.993
7585,1e+17,10.994
8546,1e+17,10.995
10000,1e+17,10.996
20000,1e+17,10.998
50000,1e+17,10.999
1e+05,1e+17,11
0.5,1e+18,0.0062331
1,1e+18,0.66762
1.5,1e+18,0.92148
2,1e+18,0.95441
5,1e+18,2.0423
7,1e+18,2.9071
10,1e+18,3.8002
15,1e+18,4.718
23,1e+18,5.9806
32,1e+18,6.7923
52,1e+18,7.874
74,1e+18,8.7196
100,1e+18,8.9197
165,1e+18,8.9862
235,1e+18,9.0413
310,1e+18,9.2282
390,1e+18,9.5509
475,1e+18,9.9083
655,1e+18,10.447
845,1e+18,10.71
1000,1e+18,10.81
1441,1e+18,10.919
1925,1e+18,10.955
2454,1e+18,10.971
3030,1e+18,10.98
3655,1e+18,10.985
4331,1e+18,10.988
5060,1e+18,10.99
5844,1e+18,10.992
6685,1e+18,10.993
7585,1e+18,10.994
8546,1e+18,10.995
10000,1e+18,10.996
20000,1e+18,10.998
50000,1e+18,10.999
1e+05,1e+18,11
0.5,1e+19,0.0012749
1,1e+19,0.23444
1.5,1e+19,0.68709
2,1e+19,0.85609
5,1e+19,1.7736
7,1e+19,2.5486
10,1e+19,3.5827
15,1e+19,4.7369
23,1e+19,6.2417
32,1e+19,7.0989
52,1e+19,8.5625
74,1e+19,8.9136
100,1e+19,8.9725
165,1e+19,9.0014
235,1e+19,9.1066
310,1e+19,9.3878
390,1e+19,9.7271
475,1e+19,10.04
655,1e+19,10.5
845,1e+19,10.732
1000,1e+19,10.823
1441,1e+19,10.923
1925,1e+19,10.957
2454,1e+19,10.972
3030,1e+19,10.98
3655,1e+19,10.985
4331,1e+19,10.989
5060,1e+19,10.991
5844,1e+19,10.993
6685,1e+19,10.994
7585,1e+19,10.995
8546,1e+19,10.995
10000,1e+19,10.996
20000,1e+19,10.998
50000,1e+19,10.999
1e+05,1e+19,11
0.5,1e+20,0.00067235
1,1e+20,0.062915
1.5,1e+20,0.28289
2,1e+20,0.50912
5,1e+20,1.1875
7,1e+20,1.9032
10,1e+20,2.8859
15,1e+20,4.1293
23,1e+20,5.8619
32,1e+20,7.0392
52,1e+20,8.7011
74,1e+20,8.9312
100,1e+20,8.9717
165,1e+20,9.0145
235,1e+20,9.2403
310,1e+20,9.61
390,1e+20,9.91
475,1e+20,10.17
655,1e+20,10.562
845,1e+20,10.762
1000,1e+20,10.841
1441,1e+20,10.929
1925,1e+20,10.96
2454,1e+20,10.974
3030,1e+20,10.981
