"Te","ne","CS"
0.5,1e+12,0.33088
1,1e+12,0.99519
1.5,1e+12,1.2204
2,1e+12,1.6838
5,1e+12,2.8973
7,1e+12,3.5564
10,1e+12,4.4071
15,1e+12,5.5075
23,1e+12,6.9791
32,1e+12,8.2179
52,1e+12,9.3771
74,1e+12,12.987
100,1e+12,15.601
165,1e+12,16.557
235,1e+12,16.932
310,1e+12,17.339
390,1e+12,17.94
475,1e+12,18.789
655,1e+12,20.894
845,1e+12,23.018
1000,1e+12,24.574
1441,1e+12,29.162
1925,1e+12,32.966
2454,1e+12,34.034
3030,1e+12,34.523
3655,1e+12,34.909
4331,1e+12,35.336
5060,1e+12,35.897
5844,1e+12,36.655
6685,1e+12,37.589
7585,1e+12,38.568
8546,1e+12,39.441
10000,1e+12,40.387
20000,1e+12,42.376
50000,1e+12,43.264
1e+05,1e+12,43.817
0.5,1e+13,0.24877
1,1e+13,0.99845
1.5,1e+13,1.3745
2,1e+13,1.8298
5,1e+13,2.933
7,1e+13,3.574
10,1e+13,4.4143
15,1e+13,5.5101
23,1e+13,6.9804
32,1e+13,8.2184
52,1e+13,9.3773
74,1e+13,12.987
100,1e+13,15.601
165,1e+13,16.557
235,1e+13,16.932
310,1e+13,17.339
390,1e+13,17.94
475,1e+13,18.789
655,1e+13,20.894
845,1e+13,23.018
1000,1e+13,24.574
1441,1e+13,29.162
1925,1e+13,32.966
2454,1e+13,34.034
3030,1e+13,34.523
3655,1e+13,34.909
4331,1e+13,35.336
5060,1e+13,35.897
5844,1e+13,36.655
6685,1e+13,37.589
7585,1e+13,38.568
8546,1e+13,39.441
10000,1e+13,40.387
20000,1e+13,42.376
50000,1e+13,43.264
1e+05,1e+13,43.817
0.5,1e+14,0.39529
1,1e+14,1.0031
1.5,1e+14,1.6797
2,1e+14,1.974
5,1e+14,3.1039
7,1e+14,3.6909
10,1e+14,4.4746
15,1e+14,5.5351
23,1e+14,6.9922
32,1e+14,8.2227
52,1e+14,9.3784
74,1e+14,12.988
100,1e+14,15.601
165,1e+14,16.557
235,1e+14,16.932
310,1e+14,17.339
390,1e+14,17.94
475,1e+14,18.789
655,1e+14,20.894
845,1e+14,23.018
1000,1e+14,24.574
1441,1e+14,29.162
1925,1e+14,32.966
