"Te","ne","CS"
0.5,1e+12,0.014281
1,1e+12,0.9905
1.5,1e+12,1.5742
2,1e+12,1.9658
5,1e+12,3.1036
7,1e+12,3.7458
10,1e+12,4.533
15,1e+12,5.0524
23,1e+12,5.8198
32,1e+12,6.6824
52,1e+12,8.1926
74,1e+12,9.458
100,1e+12,10.656
165,1e+12,12.923
235,1e+12,14.444
310,1e+12,15.76
390,1e+12,17.793
475,1e+12,20.234
655,1e+12,22.068
845,1e+12,22.541
1000,1e+12,22.759
1441,1e+12,23.324
1925,1e+12,24.26
2454,1e+12,25.817
3030,1e+12,27.62
3655,1e+12,28.978
4331,1e+12,29.774
5060,1e+12,30.221
5844,1e+12,30.487
6685,1e+12,30.662
7585,1e+12,30.79
8546,1e+12,30.893
10000,1e+12,31.023
20000,1e+12,31.648
50000,1e+12,32.429
1e+05,1e+12,32.732
0.5,1e+13,0.0077891
1,1e+13,0.95743
1.5,1e+13,1.655
2,1e+13,1.9924
5,1e+13,3.1075
7,1e+13,3.7494
10,1e+13,4.534
15,1e+13,5.053
23,1e+13,5.8211
32,1e+13,6.6833
52,1e+13,8.193
74,1e+13,9.4582
100,1e+13,10.656
165,1e+13,12.923
235,1e+13,14.444
310,1e+13,15.76
390,1e+13,17.793
475,1e+13,20.234
655,1e+13,22.068
845,1e+13,22.541
1000,1e+13,22.759
1441,1e+13,23.324
1925,1e+13,24.26
2454,1e+13,25.817
3030,1e+13,27.62
3655,1e+13,28.978
4331,1e+13,29.774
5060,1e+13,30.221
5844,1e+13,30.487
6685,1e+13,30.663
7585,1e+13,30.79
8546,1e+13,30.893
10000,1e+13,31.023
20000,1e+13,31.648
50000,1e+13,32.429
1e+05,1e+13,32.732
0.5,1e+14,0.002914
1,1e+14,0.87798
1.5,1e+14,1.6143
2,1e+14,2.012
5,1e+14,3.1324
7,1e+14,3.7802
10,1e+14,4.5437
15,1e+14,5.0587
23,1e+14,5.8333
32,1e+14,6.6916
52,1e+14,8.1961
74,1e+14,9.4597
100,1e+14,10.657
165,1e+14,12.923
235,1e+14,14.444
310,1e+14,15.761
390,1e+14,17.793
475,1e+14,20.234
655,1e+14,22.068
845,1e+14,22.541
1000,1e+14,22.759
1441,1e+14,23.324
1925,1e+14,24.26
2454,1e+14,25.817
3030,1e+14,27.62
3655,1e+14,28.978
4331,1e+14,29.774
5060,1e+14,30.221
5844,1e+14,30.487
6685,1e+14,30.663
7585,1e+14,30.79
8546,1e+14,30.894
10000,1e+14,31.023
20000,1e+14,31.648
50000,1e+14,32.429
1e+05,1e+14,32.732
0.5,1e+15,0.00091759
1,1e+15,0.83625
1.5,1e+15,1.4755
2,1e+15,1.9979
5,1e+15,3.2376
7,1e+15,3.9309
10,1e+15,4.6121
15,1e+15,5.1158
23,1e+15,5.9399
32,1e+15,6.764
52,1e+15,8.2251
74,1e+15,9.4737
100,1e+15,10.665
165,1e+15,12.926
235,1e+15,14.445
310,1e+15,15.761
390,1e+15,17.794
475,1e+15,20.235
655,1e+15,22.069
845,1e+15,22.541
1000,1e+15,22.759
1441,1e+15,23.325
1925,1e+15,24.26
2454,1e+15,25.817
3030,1e+15,27.62
3655,1e+15,28.978
4331,1e+15,29.774
5060,1e+15,30.221
5844,1e+15,30.487
6685,1e+15,30.663
7585,1e+15,30.79
8546,1e+15,30.894
10000,1e+15,31.023
20000,1e+15,31.648
50000,1e+15,32.429
1e+05,1e+15,32.732
0.5,1e+16,0.00061322
1,1e+16,0.81774
1.5,1e+16,1.3795
2,1e+16,1.9694
5,1e+16,3.295
7,1e+16,4.1019
10,1e+16,4.7989
15,1e+16,5.5515
23,1e+16,6.3851
32,1e+16,7.1253
52,1e+16,8.4298
74,1e+16,9.5908
100,1e+16,10.735
165,1e+16,12.955
235,1e+16,14.456
310,1e+16,15.769
390,1e+16,17.8
475,1e+16,20.237
655,1e+16,22.069
845,1e+16,22.541
1000,1e+16,22.759
1441,1e+16,23.325
1925,1e+16,24.26
2454,1e+16,25.817
3030,1e+16,27.62
3655,1e+16,28.978
4331,1e+16,29.774
5060,1e+16,30.221
5844,1e+16,30.487
6685,1e+16,30.662
7585,1e+16,30.79
8546,1e+16,30.894
10000,1e+16,31.023
20000,1e+16,31.648
50000,1e+16,32.429
1e+05,1e+16,32.732
0.5,1e+17,0.00036498
1,1e+17,0.70393
1.5,1e+17,1.1444
2,1e+17,1.8333
5,1e+17,3.2611
7,1e+17,4.159
10,1e+17,5.3379
15,1e+17,6.3005
23,1e+17,7.2136
32,1e+17,7.9485
52,1e+17,9.1637
74,1e+17,10.183
100,1e+17,11.184
165,1e+17,13.187
235,1e+17,14.554
310,1e+17,15.831
390,1e+17,17.851
475,1e+17,20.259
655,1e+17,22.071
845,1e+17,22.542
1000,1e+17,22.76
1441,1e+17,23.325
1925,1e+17,24.261
2454,1e+17,25.818
3030,1e+17,27.619
3655,1e+17,28.976
4331,1e+17,29.771
5060,1e+17,30.22
5844,1e+17,30.486
6685,1e+17,30.662
7585,1e+17,30.79
8546,1e+17,30.893
10000,1e+17,31.023
20000,1e+17,31.648
50000,1e+17,32.429
1e+05,1e+17,32.733
0.5,1e+18,8.9357e-05
1,1e+18,0.31438
1.5,1e+18,0.89864
2,1e+18,1.3505
5,1e+18,3.0911
7,1e+18,3.9806
10,1e+18,5.7628
15,1e+18,6.9717
23,1e+18,8.2012
32,1e+18,9.1155
52,1e+18,10.465
74,1e+18,11.53
100,1e+18,12.504
165,1e+18,14.069
235,1e+18,15.064
310,1e+18,16.279
390,1e+18,18.246
475,1e+18,20.424
655,1e+18,22.087
845,1e+18,22.546
1000,1e+18,22.763
1441,1e+18,23.329
1925,1e+18,24.267
2454,1e+18,25.823
3030,1e+18,27.609
3655,1e+18,28.954
4331,1e+18,29.75
5060,1e+18,30.203
5844,1e+18,30.474
6685,1e+18,30.654
7585,1e+18,30.784
8546,1e+18,30.889
10000,1e+18,31.02
20000,1e+18,31.649
50000,1e+18,32.429
1e+05,1e+18,32.733
0.5,1e+19,1.9839e-05
1,1e+19,0.06387
1.5,1e+19,0.51701
2,1e+19,0.85017
5,1e+19,2.6959
7,1e+19,3.3347
10,1e+19,5.1971
15,1e+19,7.1249
23,1e+19,8.9036
32,1e+19,10.223
52,1e+19,12.044
74,1e+19,13.371
100,1e+19,14.282
165,1e+19,15.39
235,1e+19,16.635
310,1e+19,18.128
390,1e+19,19.802
475,1e+19,21.111
655,1e+19,22.188
845,1e+19,22.584
1000,1e+19,22.791
1441,1e+19,23.365
1925,1e+19,24.326
2454,1e+19,25.876
3030,1e+19,27.589
3655,1e+19,28.87
4331,1e+19,29.656
5060,1e+19,30.125
5844,1e+19,30.416
6685,1e+19,30.611
7585,1e+19,30.754
8546,1e+19,30.868
10000,1e+19,31.007
20000,1e+19,31.65
50000,1e+19,32.431
1e+05,1e+19,32.733
0.5,1e+20,1.0547e-05
1,1e+20,0.014956
1.5,1e+20,0.17423
2,1e+20,0.44945
5,1e+20,1.9204
7,1e+20,2.6261
10,1e+20,3.5385
15,1e+20,6.1872
23,1e+20,8.5678
32,1e+20,10.55
52,1e+20,13.35
74,1e+20,14.751
100,1e+20,15.605
165,1e+20,17.967
235,1e+20,19.704
310,1e+20,20.876
390,1e+20,21.605
475,1e+20,22.037
655,1e+20,22.494
845,1e+20,22.774
1000,1e+20,22.976
1441,1e+20,23.667
1925,1e+20,24.811
2454,1e+20,26.372
3030,1e+20,27.866
3655,1e+20,28.948
4331,1e+20,29.643
5060,1e+20,30.086
5844,1e+20,30.375
6685,1e+20,30.577
7585,1e+20,30.727
8546,1e+20,30.848
10000,1e+20,30.995
20000,1e+20,31.655
50000,1e+20,32.434
1e+05,1e+20,32.735
0.5,1e+21,4.2829e-05
1,1e+21,0.0092547
1.5,1e+21,0.070699
2,1e+21,0.20485
5,1e+21,1.3737
7,1e+21,1.9638
10,1e+21,2.5914
15,1e+21,4.4871
23,1e+21,7.0286
32,1e+21,9.1477
52,1e+21,12.875
74,1e+21,14.944
100,1e+21,17.049
165,1e+21,20.367
235,1e+21,21.683
310,1e+21,22.226
390,1e+21,22.496
475,1e+21,22.689
655,1e+21,23.06
845,1e+21,23.516
1000,1e+21,23.942
1441,1e+21,25.305
1925,1e+21,26.76
2454,1e+21,28
3030,1e+21,28.916
3655,1e+21,29.555
4331,1e+21,29.988
5060,1e+21,30.287
5844,1e+21,30.498
6685,1e+21,30.657
7585,1e+21,30.784
8546,1e+21,30.891
10000,1e+21,31.028
20000,1e+21,31.677
50000,1e+21,32.443
1e+05,1e+21,32.738
0.5,1e+22,0.013415
1,1e+22,0.049226
1.5,1e+22,0.097761
2,1e+22,0.1558
5,1e+22,0.66255
7,1e+22,1.1027
10,1e+22,1.7859
15,1e+22,2.8305
23,1e+22,5.6761
32,1e+22,7.5335
52,1e+22,10.846
74,1e+22,13.467
100,1e+22,15.73
165,1e+22,20.204
235,1e+22,21.849
310,1e+22,22.616
390,1e+22,23.255
475,1e+22,23.854
655,1e+22,24.951
845,1e+22,25.941
1000,1e+22,26.64
1441,1e+22,28.119
1925,1e+22,29.074
2454,1e+22,29.692
3030,1e+22,30.094
3655,1e+22,30.356
4331,1e+22,30.534
5060,1e+22,30.665
5844,1e+22,30.767
6685,1e+22,30.855
7585,1e+22,30.935
8546,1e+22,31.013
10000,1e+22,31.123
20000,1e+22,31.731
50000,1e+22,32.465
1e+05,1e+22,32.747
0.5,1e+23,3
1,1e+23,3
1.5,1e+23,3
2,1e+23,3.0001
5,1e+23,3.0065
7,1e+23,3.0179
10,1e+23,3.0445
15,1e+23,3.1485
23,1e+23,5.1818
32,1e+23,6.6213
52,1e+23,9.1032
74,1e+23,11.566
100,1e+23,13.481
165,1e+23,17.73
235,1e+23,20.389
310,1e+23,22.181
390,1e+23,23.801
475,1e+23,25.022
655,1e+23,26.858
845,1e+23,28.089
1000,1e+23,28.742
1441,1e+23,29.804
1925,1e+23,30.315
2454,1e+23,30.553
3030,1e+23,30.686
3655,1e+23,30.775
4331,1e+23,30.842
5060,1e+23,30.899
5844,1e+23,30.955
6685,1e+23,31.012
7585,1e+23,31.074
8546,1e+23,31.14
10000,1e+23,31.241
20000,1e+23,31.832
50000,1e+23,32.513
1e+05,1e+23,32.768
0.5,1e+24,5
1,1e+24,5.0004
