"Te","ne","CS"
0.5,1e+12,0.99563
1,1e+12,0.99998
1.5,1e+12,1.0018
2,1e+12,1.1596
5,1e+12,2.8395
7,1e+12,3.5094
10,1e+12,4.3294
15,1e+12,5.6787
23,1e+12,7.6116
32,1e+12,8.3929
52,1e+12,8.9984
74,1e+12,9.5821
100,1e+12,10.496
165,1e+12,12.675
235,1e+12,14.501
310,1e+12,16.112
390,1e+12,17.476
475,1e+12,18.644
655,1e+12,21.831
845,1e+12,24.965
1000,1e+12,25.836
1441,1e+12,26.611
1925,1e+12,27.067
2454,1e+12,27.652
3030,1e+12,28.581
3655,1e+12,29.907
4331,1e+12,31.328
5060,1e+12,32.471
5844,1e+12,33.258
6685,1e+12,33.774
7585,1e+12,34.116
8546,1e+12,34.354
10000,1e+12,34.583
20000,1e+12,35.217
50000,1e+12,36.027
1e+05,1e+12,36.491
0.5,1e+13,0.9974
1,1e+13,0.99998
1.5,1e+13,1.0022
2,1e+13,1.1812
5,1e+13,2.8808
7,1e+13,3.5315
10,1e+13,4.3391
15,1e+13,5.6822
23,1e+13,7.6118
32,1e+13,8.3929
52,1e+13,8.9984
74,1e+13,9.5822
100,1e+13,10.496
165,1e+13,12.675
235,1e+13,14.501
310,1e+13,16.112
390,1e+13,17.476
475,1e+13,18.644
655,1e+13,21.831
845,1e+13,24.965
1000,1e+13,25.836
1441,1e+13,26.611
1925,1e+13,27.067
2454,1e+13,27.652
3030,1e+13,28.581
3655,1e+13,29.907
4331,1e+13,31.328
5060,1e+13,32.471
5844,1e+13,33.258
6685,1e+13,33.774
7585,1e+13,34.116
8546,1e+13,34.354
10000,1e+13,34.583
20000,1e+13,35.217
50000,1e+13,36.028
1e+05,1e+13,36.491
0.5,1e+14,0.99823
1,1e+14,0.99996
1.5,1e+14,1.0022
2,1e+14,1.1841
5,1e+14,3.0443
7,1e+14,3.6685
10,1e+14,4.4185
15,1e+14,5.7137
23,1e+14,7.6139
32,1e+14,8.3932
52,1e+14,8.9989
74,1e+14,9.5833
100,1e+14,10.498
165,1e+14,12.675
235,1e+14,14.501
310,1e+14,16.112
390,1e+14,17.476
475,1e+14,18.644
655,1e+14,21.831
845,1e+14,24.965
1000,1e+14,25.836
1441,1e+14,26.611
1925,1e+14,27.067
2454,1e+14,27.652
3030,1e+14,28.581
3655,1e+14,29.907
4331,1e+14,31.328
5060,1e+14,32.471
5844,1e+14,33.258
6685,1e+14,33.774
7585,1e+14,34.116
8546,1e+14,34.354
10000,1e+14,34.583
20000,1e+14,35.217
50000,1e+14,36.028
1e+05,1e+14,36.491
0.5,1e+15,0.99263
1,1e+15,0.99972
1.5,1e+15,1.0016
2,1e+15,1.1482
5,1e+15,3.2842
7,1e+15,4.0476
10,1e+15,4.7521
15,1e+15,5.9184
