"Te","ne","CS"
0.5,1e+12,0.17952
1,1e+12,0.99944
1.5,1e+12,1.0016
2,1e+12,1.0449
5,1e+12,2.1761
7,1e+12,2.8183
10,1e+12,3.6502
15,1e+12,4.7619
23,1e+12,6.3853
32,1e+12,16.44
52,1e+12,17.987
74,1e+12,17.99
100,1e+12,18
165,1e+12,18.138
235,1e+12,18.671
310,1e+12,20.076
390,1e+12,22.107
475,1e+12,23.978
655,1e+12,27.153
845,1e+12,29.918
1000,1e+12,31.658
1441,1e+12,40.455
1925,1e+12,48.678
2454,1e+12,49.551
3030,1e+12,49.84
3655,1e+12,50.06
4331,1e+12,50.312
5060,1e+12,50.675
5844,1e+12,51.266
6685,1e+12,52.287
7585,1e+12,53.965
8546,1e+12,56.288
10000,1e+12,59.778
20000,1e+12,67.475
50000,1e+12,71.891
1e+05,1e+12,74.183
0.5,1e+13,0.17614
1,1e+13,0.99943
1.5,1e+13,1.0019
2,1e+13,1.0517
5,1e+13,2.258
7,1e+13,2.9033
10,1e+13,3.6732
15,1e+13,4.7713
23,1e+13,6.3885
32,1e+13,16.443
52,1e+13,17.987
74,1e+13,17.99
100,1e+13,18
165,1e+13,18.138
235,1e+13,18.671
310,1e+13,20.076
390,1e+13,22.107
475,1e+13,23.978
655,1e+13,27.153
845,1e+13,29.918
1000,1e+13,31.658
1441,1e+13,40.455
1925,1e+13,48.678
2454,1e+13,49.551
3030,1e+13,49.84
3655,1e+13,50.06
4331,1e+13,50.312
5060,1e+13,50.675
5844,1e+13,51.266
6685,1e+13,52.287
7585,1e+13,53.965
8546,1e+13,56.288
10000,1e+13,59.778
20000,1e+13,67.475
50000,1e+13,71.891
1e+05,1e+13,74.183
0.5,1e+14,0.14723
1,1e+14,0.99935
1.5,1e+14,1.0047
2,1e+14,1.1122
5,1e+14,2.6507
7,1e+14,3.1225
10,1e+14,3.7847
15,1e+14,4.851
23,1e+14,6.4179
32,1e+14,16.463
52,1e+14,17.987
74,1e+14,17.99
100,1e+14,18
165,1e+14,18.138
235,1e+14,18.671
310,1e+14,20.076
390,1e+14,22.108
475,1e+14,23.979
655,1e+14,27.153
845,1e+14,29.918
1000,1e+14,31.658
1441,1e+14,40.456
1925,1e+14,48.678
2454,1e+14,49.551
3030,1e+14,49.84
3655,1e+14,50.06
4331,1e+14,50.312
5060,1e+14,50.675
5844,1e+14,51.266
6685,1e+14,52.287
7585,1e+14,53.965
8546,1e+14,56.289
10000,1e+14,59.778
20000,1e+14,67.475
50000,1e+14,71.891
1e+05,1e+14,74.183
0.5,1e+15,0.055989
1,1e+15,0.99862
1.5,1e+15,1.0268
2,1e+15,1.4209
5,1e+15,3.0104
7,1e+15,3.4537
10,1e+15,4.2096
15,1e+15,5.2375
23,1e+15,6.6172
32,1e+15,16.604
52,1e+15,17.987
74,1e+15,17.99
100,1e+15,18
165,1e+15,18.138
235,1e+15,18.673
310,1e+15,20.082
390,1e+15,22.112
475,1e+15,23.981
655,1e+15,27.154
845,1e+15,29.919
1000,1e+15,31.658
1441,1e+15,40.456
1925,1e+15,48.678
2454,1e+15,49.551
3030,1e+15,49.84
3655,1e+15,50.06
4331,1e+15,50.312
5060,1e+15,50.675
5844,1e+15,51.266
6685,1e+15,52.287
