"Te","ne","CS"
0.5,1e+12,1.0583
1,1e+12,1.9996
1.5,1e+12,2
2,1e+12,2
5,1e+12,2.6142
7,1e+12,3.4441
10,1e+12,4.5175
15,1e+12,5.933
23,1e+12,7.6442
32,1e+12,8.9814
52,1e+12,10.015
74,1e+12,10.813
100,1e+12,12.051
165,1e+12,15.183
235,1e+12,19.085
310,1e+12,24.301
390,1e+12,26.435
475,1e+12,27.072
655,1e+12,27.564
845,1e+12,27.876
1000,1e+12,28.129
1441,1e+12,29.184
1925,1e+12,31.256
2454,1e+12,34.3
3030,1e+12,37.915
3655,1e+12,41.495
4331,1e+12,43.493
5060,1e+12,44.431
5844,1e+12,44.978
6685,1e+12,45.384
7585,1e+12,45.748
8546,1e+12,46.126
10000,1e+12,46.752
20000,1e+12,50.876
50000,1e+12,53.214
1e+05,1e+12,53.956
0.5,1e+13,1.0575
1,1e+13,1.9996
1.5,1e+13,2
2,1e+13,2
5,1e+13,2.6868
7,1e+13,3.4932
10,1e+13,4.531
15,1e+13,5.9372
23,1e+13,7.6471
32,1e+13,8.9823
52,1e+13,10.015
74,1e+13,10.813
100,1e+13,12.051
165,1e+13,15.183
235,1e+13,19.085
310,1e+13,24.301
390,1e+13,26.435
475,1e+13,27.072
655,1e+13,27.564
845,1e+13,27.876
1000,1e+13,28.129
1441,1e+13,29.184
1925,1e+13,31.256
2454,1e+13,34.3
3030,1e+13,37.915
3655,1e+13,41.495
4331,1e+13,43.493
5060,1e+13,44.431
5844,1e+13,44.978
6685,1e+13,45.384
7585,1e+13,45.748
8546,1e+13,46.126
10000,1e+13,46.752
20000,1e+13,50.876
50000,1e+13,53.214
1e+05,1e+13,53.956
0.5,1e+14,1.0495
1,1e+14,1.9995
1.5,1e+14,2
2,1e+14,2.0002
5,1e+14,2.9885
7,1e+14,3.739
10,1e+14,4.6185
15,1e+14,5.9763
23,1e+14,7.6734
32,1e+14,8.9905
52,1e+14,10.016
74,1e+14,10.814
100,1e+14,12.052
165,1e+14,15.184
235,1e+14,19.085
310,1e+14,24.301
390,1e+14,26.435
475,1e+14,27.072
655,1e+14,27.564
845,1e+14,27.876
1000,1e+14,28.129
1441,1e+14,29.184
1925,1e+14,31.256
2454,1e+14,34.3
3030,1e+14,37.915
3655,1e+14,41.495
4331,1e+14,43.493
5060,1e+14,44.431
5844,1e+14,44.978
6685,1e+14,45.384
7585,1e+14,45.748
8546,1e+14,46.126
10000,1e+14,46.752
20000,1e+14,50.876
50000,1e+14,53.214
1e+05,1e+14,53.956
0.5,1e+15,1.0197
1,1e+15,1.9989
1.5,1e+15,2
2,1e+15,2.0029
5,1e+15,3.5357
7,1e+15,4.1478
10,1e+15,5.0149
15,1e+15,6.2799
23,1e+15,7.8626
32,1e+15,9.0547
52,1e+15,10.024
74,1e+15,10.82
100,1e+15,12.059
165,1e+15,15.187
235,1e+15,19.087
310,1e+15,24.302
390,1e+15,26.435
475,1e+15,27.072
655,1e+15,27.564
845,1e+15,27.876
1000,1e+15,28.129
1441,1e+15,29.185
1925,1e+15,31.256
2454,1e+15,34.3
3030,1e+15,37.915
3655,1e+15,41.495
4331,1e+15,43.493
5060,1e+15,44.431
5844,1e+15,44.978
6685,1e+15,45.384
7585,1e+15,45.748
8546,1e+15,46.126
10000,1e+15,46.752
20000,1e+15,50.876
50000,1e+15,53.213
1e+05,1e+15,53.956
0.5,1e+16,0.99551
1,1e+16,1.9934
1.5,1e+16,1.9999
2,1e+16,2.0211
5,1e+16,4.1386
7,1e+16,5.0361
10,1e+16,5.9914
15,1e+16,7.3774
23,1e+16,8.3689
32,1e+16,9.3416
52,1e+16,10.085
74,1e+16,10.88
100,1e+16,12.119
165,1e+16,15.217
235,1e+16,19.101
310,1e+16,24.305
390,1e+16,26.435
475,1e+16,27.072
655,1e+16,27.564
845,1e+16,27.876
1000,1e+16,28.129
1441,1e+16,29.185
1925,1e+16,31.257
2454,1e+16,34.301
3030,1e+16,37.916
3655,1e+16,41.495
4331,1e+16,43.493
5060,1e+16,44.431
5844,1e+16,44.978
6685,1e+16,45.384
7585,1e+16,45.748
8546,1e+16,46.126
10000,1e+16,46.752
20000,1e+16,50.876
50000,1e+16,53.213
1e+05,1e+16,53.956
0.5,1e+17,0.93659
1,1e+17,1.9463
1.5,1e+17,1.9988
2,1e+17,2.0128
5,1e+17,4.6863
7,1e+17,5.8724
10,1e+17,7.1667
15,1e+17,8.1529
23,1e+17,9.4732
32,1e+17,9.8453
52,1e+17,10.369
74,1e+17,11.308
100,1e+17,12.564
165,1e+17,15.466
235,1e+17,19.21
310,1e+17,24.32
390,1e+17,26.438
475,1e+17,27.073
655,1e+17,27.565
845,1e+17,27.877
1000,1e+17,28.131
1441,1e+17,29.189
1925,1e+17,31.261
2454,1e+17,34.304
3030,1e+17,37.918
3655,1e+17,41.497
4331,1e+17,43.493
5060,1e+17,44.432
5844,1e+17,44.978
6685,1e+17,45.384
7585,1e+17,45.748
8546,1e+17,46.126
10000,1e+17,46.752
20000,1e+17,50.876
50000,1e+17,53.212
1e+05,1e+17,53.956
0.5,1e+18,0.66565
1,1e+18,1.695
1.5,1e+18,1.9895
2,1e+18,2.0007
5,1e+18,4.442
7,1e+18,6.0236
10,1e+18,7.6505
15,1e+18,9.4121
23,1e+18,9.9754
32,1e+18,10.258
52,1e+18,11.51
74,1e+18,12.836
100,1e+18,14.11
165,1e+18,16.692
235,1e+18,19.864
310,1e+18,24.417
390,1e+18,26.45
475,1e+18,27.078
655,1e+18,27.57
845,1e+18,27.887
1000,1e+18,28.146
1441,1e+18,29.22
1925,1e+18,31.296
2454,1e+18,34.325
3030,1e+18,37.929
