"Te","ne","CS"
0.5,1e+12,0.00016562
1,1e+12,0.58315
1.5,1e+12,1.742
2,1e+12,1.951
5,1e+12,2.6059
7,1e+12,3.2043
10,1e+12,4.0121
15,1e+12,5.1265
23,1e+12,6.4978
32,1e+12,7.6915
52,1e+12,9.7748
74,1e+12,11.356
100,1e+12,13.713
165,1e+12,18.817
235,1e+12,19.469
310,1e+12,19.772
390,1e+12,20.04
475,1e+12,20.37
655,1e+12,21.411
845,1e+12,22.984
1000,1e+12,24.401
1441,1e+12,28.188
1925,1e+12,32.612
2454,1e+12,35.787
3030,1e+12,36.852
3655,1e+12,37.368
4331,1e+12,37.755
5060,1e+12,38.144
5844,1e+12,38.616
6685,1e+12,39.23
7585,1e+12,39.998
8546,1e+12,40.863
10000,1e+12,42.018
20000,1e+12,44.867
50000,1e+12,46.023
1e+05,1e+12,46.56
0.5,1e+13,0.00028531
1,1e+13,0.71108
1.5,1e+13,1.8242
2,1e+13,1.9737
5,1e+13,2.643
7,1e+13,3.2273
10,1e+13,4.022
15,1e+13,5.1297
23,1e+13,6.4991
32,1e+13,7.6922
52,1e+13,9.7752
74,1e+13,11.356
100,1e+13,13.714
165,1e+13,18.817
235,1e+13,19.469
310,1e+13,19.772
390,1e+13,20.04
475,1e+13,20.37
655,1e+13,21.411
845,1e+13,22.984
1000,1e+13,24.401
1441,1e+13,28.188
1925,1e+13,32.612
2454,1e+13,35.787
3030,1e+13,36.852
3655,1e+13,37.368
4331,1e+13,37.755
5060,1e+13,38.144
5844,1e+13,38.616
6685,1e+13,39.23
7585,1e+13,39.998
8546,1e+13,40.863
10000,1e+13,42.018
20000,1e+13,44.867
50000,1e+13,46.023
1e+05,1e+13,46.56
0.5,1e+14,0.0011034
1,1e+14,0.95413
1.5,1e+14,1.9437
2,1e+14,1.9957
5,1e+14,2.8445
7,1e+14,3.3665
10,1e+14,4.096
15,1e+14,5.1581
23,1e+14,6.5107
32,1e+14,7.6981
52,1e+14,9.7777
74,1e+14,11.357
100,1e+14,13.714
165,1e+14,18.817
235,1e+14,19.469
310,1e+14,19.772
390,1e+14,20.04
475,1e+14,20.37
655,1e+14,21.411
845,1e+14,22.985
1000,1e+14,24.401
1441,1e+14,28.188
1925,1e+14,32.613
2454,1e+14,35.787
3030,1e+14,36.852
3655,1e+14,37.368
4331,1e+14,37.755
5060,1e+14,38.144
5844,1e+14,38.616
6685,1e+14,39.23
7585,1e+14,39.998
8546,1e+14,40.863
10000,1e+14,42.018
20000,1e+14,44.867
50000,1e+14,46.023
1e+05,1e+14,46.56
0.5,1e+15,0.0077777
1,1e+15,1.0946
1.5,1e+15,1.9765
2,1e+15,1.9994
5,1e+15,3.2005
7,1e+15,3.7621
10,1e+15,4.3842
15,1e+15,5.3461
23,1e+15,6.6098
32,1e+15,7.7509
52,1e+15,9.8004
74,1e+15,11.365
100,1e+15,13.719
165,1e+15,18.817
235,1e+15,19.469
310,1e+15,19.772
390,1e+15,20.04
475,1e+15,20.37
655,1e+15,21.411
845,1e+15,22.985
1000,1e+15,24.401
1441,1e+15,28.189
1925,1e+15,32.613
2454,1e+15,35.787
3030,1e+15,36.852
3655,1e+15,37.368
4331,1e+15,37.755
5060,1e+15,38.144
5844,1e+15,38.616
6685,1e+15,39.23
7585,1e+15,39.998
8546,1e+15,40.863
10000,1e+15,42.018
20000,1e+15,44.867
50000,1e+15,46.023
1e+05,1e+15,46.561
0.5,1e+16,0.011844
1,1e+16,1.0239
1.5,1e+16,1.9436
2,1e+16,1.9967
5,1e+16,3.6074
7,1e+16,4.2852
10,1e+16,5.0707
15,1e+16,5.9917
23,1e+16,7.0918
32,1e+16,8.0827
52,1e+16,9.9864
74,1e+16,11.436
100,1e+16,13.756
165,1e+16,18.818
235,1e+16,19.469
310,1e+16,19.773
390,1e+16,20.041
475,1e+16,20.371
655,1e+16,21.414
845,1e+16,22.987
1000,1e+16,24.403
1441,1e+16,28.19
1925,1e+16,32.613
2454,1e+16,35.787
3030,1e+16,36.852
3655,1e+16,37.368
4331,1e+16,37.755
5060,1e+16,38.144
5844,1e+16,38.616
6685,1e+16,39.231
7585,1e+16,39.998
8546,1e+16,40.863
10000,1e+16,42.018
20000,1e+16,44.867
50000,1e+16,46.023
1e+05,1e+16,46.561
0.5,1e+17,0.002501
1,1e+17,0.8644
1.5,1e+17,1.6794
2,1e+17,1.9632
5,1e+17,3.738
7,1e+17,4.708
10,1e+17,5.8085
15,1e+17,6.9628
23,1e+17,8.1051
32,1e+17,9.0934
52,1e+17,10.8
74,1e+17,11.804
100,1e+17,14.02
165,1e+17,18.822
235,1e+17,19.471
310,1e+17,19.777
390,1e+17,20.05
475,1e+17,20.386
655,1e+17,21.437
845,1e+17,23.009
1000,1e+17,24.418
1441,1e+17,28.196
1925,1e+17,32.617
2454,1e+17,35.788
3030,1e+17,36.853
3655,1e+17,37.368
4331,1e+17,37.755
5060,1e+17,38.145
5844,1e+17,38.617
6685,1e+17,39.231
7585,1e+17,39.998
8546,1e+17,40.864
10000,1e+17,42.018
20000,1e+17,44.866
50000,1e+17,46.023
1e+05,1e+17,46.561
0.5,1e+18,0.00035769
1,1e+18,0.41584
1.5,1e+18,0.9655
2,1e+18,1.6924
5,1e+18,3.5333
7,1e+18,4.684
10,1e+18,6.0876
15,1e+18,7.8045
23,1e+18,9.4223
32,1e+18,10.785
52,1e+18,11.869
74,1e+18,12.713
100,1e+18,15.133
165,1e+18,18.849
235,1e+18,19.49
310,1e+18,19.821
390,1e+18,20.135
475,1e+18,20.521
655,1e+18,21.644
845,1e+18,23.19
1000,1e+18,24.548
1441,1e+18,28.241
1925,1e+18,32.635
2454,1e+18,35.792
3030,1e+18,36.854
3655,1e+18,37.369
4331,1e+18,37.755
5060,1e+18,38.145
5844,1e+18,38.617
6685,1e+18,39.232
7585,1e+18,39.999
8546,1e+18,40.864
10000,1e+18,42.017
20000,1e+18,44.861
50000,1e+18,46.022
1e+05,1e+18,46.561
0.5,1e+19,7.323e-05
1,1e+19,0.093156
1.5,1e+19,0.30093
2,1e+19,0.70532
5,1e+19,2.8636
7,1e+19,4.098
10,1e+19,5.7205
15,1e+19,7.8881
23,1e+19,10.365
32,1e+19,11.76
52,1e+19,12.926
74,1e+19,14.807
100,1e+19,16.715
165,1e+19,18.998
235,1e+19,19.68
310,1e+19,20.244
390,1e+19,20.839
475,1e+19,21.469
655,1e+19,22.793
845,1e+19,24.199
1000,1e+19,25.35
1441,1e+19,28.583
1925,1e+19,32.769
2454,1e+19,35.816
3030,1e+19,36.86
3655,1e+19,37.372
4331,1e+19,37.758
5060,1e+19,38.148
5844,1e+19,38.621
6685,1e+19,39.235
7585,1e+19,40.002
8546,1e+19,40.862
10000,1e+19,42.002
20000,1e+19,44.815
50000,1e+19,46.014
1e+05,1e+19,46.559
0.5,1e+20,3.8595e-05
1,1e+20,0.022135
1.5,1e+20,0.063644
2,1e+20,0.11898
5,1e+20,1.7213
7,1e+20,2.9743
10,1e+20,4.5433
15,1e+20,6.7972
23,1e+20,9.7979
32,1e+20,11.631
52,1e+20,14.166
74,1e+20,16.436
100,1e+20,17.855
