"Te","ne","CS"
0.5,1e+12,0.32338
1,1e+12,0.99992
1.5,1e+12,1.0646
2,1e+12,1.5145
5,1e+12,3.0032
7,1e+12,3.705
10,1e+12,5.0919
15,1e+12,12.83
23,1e+12,12.994
32,1e+12,12.997
52,1e+12,13.004
74,1e+12,13.066
100,1e+12,13.356
165,1e+12,16.082
235,1e+12,18.865
310,1e+12,20.975
390,1e+12,22.797
475,1e+12,24.474
655,1e+12,26.937
845,1e+12,29.078
1000,1e+12,32.443
1441,1e+12,43.634
1925,1e+12,44.962
2454,1e+12,45.364
3030,1e+12,45.683
3655,1e+12,46.044
4331,1e+12,46.556
5060,1e+12,47.397
5844,1e+12,48.832
6685,1e+12,51.001
7585,1e+12,53.6
8546,1e+12,56.125
10000,1e+12,58.884
20000,1e+12,63.583
50000,1e+12,68.076
1e+05,1e+12,69.892
0.5,1e+13,0.32431
1,1e+13,1.0026
1.5,1e+13,1.3043
2,1e+13,1.854
5,1e+13,3.0179
7,1e+13,3.7273
10,1e+13,5.1042
15,1e+13,12.83
23,1e+13,12.995
32,1e+13,12.997
52,1e+13,13.004
74,1e+13,13.066
100,1e+13,13.356
165,1e+13,16.082
235,1e+13,18.865
310,1e+13,20.975
390,1e+13,22.798
475,1e+13,24.474
655,1e+13,26.937
845,1e+13,29.078
1000,1e+13,32.443
1441,1e+13,43.634
1925,1e+13,44.962
2454,1e+13,45.364
3030,1e+13,45.683
3655,1e+13,46.044
4331,1e+13,46.556
5060,1e+13,47.397
5844,1e+13,48.832
6685,1e+13,51.001
7585,1e+13,53.6
8546,1e+13,56.125
10000,1e+13,58.884
20000,1e+13,63.583
50000,1e+13,68.076
1e+05,1e+13,69.892
0.5,1e+14,0.30229
1,1e+14,1.0298
1.5,1e+14,1.7511
2,1e+14,1.973
5,1e+14,3.1346
7,1e+14,3.8911
10,1e+14,5.1973
15,1e+14,12.831
23,1e+14,12.995
32,1e+14,12.997
52,1e+14,13.004
74,1e+14,13.066
100,1e+14,13.357
165,1e+14,16.085
235,1e+14,18.866
310,1e+14,20.976
390,1e+14,22.798
475,1e+14,24.474
655,1e+14,26.937
845,1e+14,29.078
1000,1e+14,32.444
1441,1e+14,43.634
1925,1e+14,44.962
2454,1e+14,45.364
3030,1e+14,45.683
3655,1e+14,46.044
4331,1e+14,46.556
5060,1e+14,47.397
5844,1e+14,48.832
6685,1e+14,51.001
7585,1e+14,53.6
8546,1e+14,56.125
10000,1e+14,58.884
20000,1e+14,63.583
50000,1e+14,68.076
1e+05,1e+14,69.892
0.5,1e+15,0.13721
1,1e+15,1.0776
1.5,1e+15,1.8817
2,1e+15,2.0031
5,1e+15,3.6595
7,1e+15,4.4222
10,1e+15,5.4985
15,1e+15,12.835
23,1e+15,12.995
32,1e+15,12.997
52,1e+15,13.004
74,1e+15,13.067
100,1e+15,13.365
165,1e+15,16.112
235,1e+15,18.872
310,1e+15,20.978
390,1e+15,22.799
475,1e+15,24.475
655,1e+15,26.938
845,1e+15,29.078
1000,1e+15,32.444
1441,1e+15,43.635
1925,1e+15,44.962
2454,1e+15,45.364
3030,1e+15,45.683
3655,1e+15,46.044
4331,1e+15,46.556
5060,1e+15,47.397
5844,1e+15,48.832
6685,1e+15,51.001
7585,1e+15,53.601
8546,1e+15,56.125
10000,1e+15,58.884
20000,1e+15,63.583
50000,1e+15,68.076
1e+05,1e+15,69.892
0.5,1e+16,0.02128
1,1e+16,1.016
1.5,1e+16,1.6119
2,1e+16,1.9419
5,1e+16,4.1764
7,1e+16,5.3242
10,1e+16,5.854
15,1e+16,12.847
23,1e+16,12.994
32,1e+16,12.997
52,1e+16,13.004
