"Te","ne","CS"
0.5,1e+12,0.25369
1,1e+12,1.4431
1.5,1e+12,1.9814
2,1e+12,1.9978
5,1e+12,4.9527
7,1e+12,4.997
10,1e+12,5.0705
15,1e+12,5.657
23,1e+12,6.6632
32,1e+12,8.0405
52,1e+12,10.081
74,1e+12,12.595
100,1e+12,14.26
165,1e+12,17.24
235,1e+12,18.98
310,1e+12,19.951
390,1e+12,21.087
475,1e+12,23.031
655,1e+12,30.596
845,1e+12,35.964
1000,1e+12,36.785
1441,1e+12,37.435
1925,1e+12,37.838
2454,1e+12,38.323
3030,1e+12,39.106
3655,1e+12,40.519
4331,1e+12,42.821
5060,1e+12,45.732
5844,1e+12,48.728
6685,1e+12,51.168
7585,1e+12,52.737
8546,1e+12,53.696
10000,1e+12,54.538
20000,1e+12,57.542
50000,1e+12,61.638
1e+05,1e+12,62.98
0.5,1e+13,0.21217
1,1e+13,1.6081
1.5,1e+13,1.9887
2,1e+13,1.9985
5,1e+13,4.9526
7,1e+13,4.997
10,1e+13,5.0705
15,1e+13,5.6573
23,1e+13,6.6694
32,1e+13,8.044
52,1e+13,10.083
74,1e+13,12.596
100,1e+13,14.26
165,1e+13,17.24
235,1e+13,18.98
310,1e+13,19.951
390,1e+13,21.087
475,1e+13,23.031
655,1e+13,30.596
845,1e+13,35.964
1000,1e+13,36.785
1441,1e+13,37.435
1925,1e+13,37.838
2454,1e+13,38.323
3030,1e+13,39.106
3655,1e+13,40.519
4331,1e+13,42.821
5060,1e+13,45.732
5844,1e+13,48.728
6685,1e+13,51.168
7585,1e+13,52.737
8546,1e+13,53.696
10000,1e+13,54.538
20000,1e+13,57.542
50000,1e+13,61.638
1e+05,1e+13,62.98
0.5,1e+14,0.31422
1,1e+14,1.8748
1.5,1e+14,1.9968
2,1e+14,1.9995
5,1e+14,4.9515
7,1e+14,4.997
10,1e+14,5.0706
15,1e+14,5.661
23,1e+14,6.7309
32,1e+14,8.0766
52,1e+14,10.099
74,1e+14,12.6
100,1e+14,14.262
165,1e+14,17.241
235,1e+14,18.98
310,1e+14,19.951
390,1e+14,21.087
475,1e+14,23.031
655,1e+14,30.596
845,1e+14,35.964
1000,1e+14,36.785
1441,1e+14,37.435
1925,1e+14,37.838
2454,1e+14,38.323
3030,1e+14,39.106
3655,1e+14,40.519
4331,1e+14,42.821
5060,1e+14,45.732
5844,1e+14,48.728
6685,1e+14,51.168
7585,1e+14,52.737
8546,1e+14,53.696
10000,1e+14,54.538
20000,1e+14,57.542
50000,1e+14,61.638
1e+05,1e+14,62.98
0.5,1e+15,0.33328
1,1e+15,1.8273
1.5,1e+15,1.9959
2,1e+15,1.9994
5,1e+15,4.9392
7,1e+15,4.9963
10,1e+15,5.0712
15,1e+15,5.7164
23,1e+15,7.259
32,1e+15,8.2746
52,1e+15,10.246
74,1e+15,12.642
100,1e+15,14.279
165,1e+15,17.246
235,1e+15,18.982
310,1e+15,19.952
390,1e+15,21.088
475,1e+15,23.032
655,1e+15,30.597
845,1e+15,35.964
1000,1e+15,36.786
1441,1e+15,37.435
1925,1e+15,37.838
2454,1e+15,38.323
3030,1e+15,39.106
3655,1e+15,40.519
4331,1e+15,42.821
5060,1e+15,45.733
5844,1e+15,48.728
6685,1e+15,51.168
7585,1e+15,52.737
8546,1e+15,53.696
10000,1e+15,54.538
20000,1e+15,57.542
50000,1e+15,61.638
1e+05,1e+15,62.98
0.5,1e+16,0.10285
1,1e+16,1.3885
1.5,1e+16,1.9742
2,1e+16,1.9959
5,1e+16,4.7807
7,1e+16,4.9902
10,1e+16,5.0841
15,1e+16,6.8241
23,1e+16,8.0925
32,1e+16,8.7407
52,1e+16,11.2
74,1e+16,12.929
100,1e+16,14.42
165,1e+16,17.291
235,1e+16,18.996
310,1e+16,19.958
390,1e+16,21.093
475,1e+16,23.038
655,1e+16,30.601
845,1e+16,35.965
1000,1e+16,36.786
1441,1e+16,37.435
1925,1e+16,37.838
2454,1e+16,38.323
3030,1e+16,39.106
3655,1e+16,40.519
4331,1e+16,42.821
5060,1e+16,45.733
5844,1e+16,48.729
6685,1e+16,51.169
7585,1e+16,52.737
8546,1e+16,53.696
10000,1e+16,54.538
20000,1e+16,57.542
50000,1e+16,61.638
1e+05,1e+16,62.978
