"Te","ne","CS"
0.5,1e+12,0.00091098
1,1e+12,0.94453
1.5,1e+12,1.0839
2,1e+12,1.694
5,1e+12,2.8081
7,1e+12,3.3253
10,1e+12,4.0217
15,1e+12,4.8933
23,1e+12,5.9316
32,1e+12,6.8451
52,1e+12,8.3723
74,1e+12,9.678
100,1e+12,10.825
165,1e+12,12.396
235,1e+12,14.389
310,1e+12,17.253
390,1e+12,18.772
475,1e+12,19.304
655,1e+12,19.736
845,1e+12,20.037
1000,1e+12,20.308
1441,1e+12,21.502
1925,1e+12,23.546
2454,1e+12,25.592
3030,1e+12,26.768
3655,1e+12,27.318
4331,1e+12,27.597
5060,1e+12,27.765
5844,1e+12,27.888
6685,1e+12,27.993
7585,1e+12,28.092
8546,1e+12,28.189
10000,1e+12,28.332
20000,1e+12,29.047
50000,1e+12,29.66
1e+05,1e+12,29.847
0.5,1e+13,0.00041104
1,1e+13,0.88284
1.5,1e+13,1.097
2,1e+13,1.7219
5,1e+13,2.8279
7,1e+13,3.3339
10,1e+13,4.0263
15,1e+13,4.8957
23,1e+13,5.9328
32,1e+13,6.8458
52,1e+13,8.3726
74,1e+13,9.6781
100,1e+13,10.825
165,1e+13,12.396
235,1e+13,14.389
310,1e+13,17.253
390,1e+13,18.772
475,1e+13,19.304
655,1e+13,19.736
845,1e+13,20.037
1000,1e+13,20.308
1441,1e+13,21.502
1925,1e+13,23.546
2454,1e+13,25.592
3030,1e+13,26.768
3655,1e+13,27.318
4331,1e+13,27.597
5060,1e+13,27.765
5844,1e+13,27.888
6685,1e+13,27.993
7585,1e+13,28.092
8546,1e+13,28.19
10000,1e+13,28.332
20000,1e+13,29.048
50000,1e+13,29.66
1e+05,1e+13,29.847
0.5,1e+14,0.00010685
1,1e+14,0.65602
1.5,1e+14,1.1371
2,1e+14,1.7952
5,1e+14,2.9477
7,1e+14,3.4053
10,1e+14,4.069
15,1e+14,4.9194
23,1e+14,5.9444
32,1e+14,6.8522
52,1e+14,8.3752
74,1e+14,9.6796
100,1e+14,10.826
165,1e+14,12.396
235,1e+14,14.389
310,1e+14,17.253
390,1e+14,18.772
475,1e+14,19.304
655,1e+14,19.736
845,1e+14,20.037
1000,1e+14,20.308
1441,1e+14,21.502
1925,1e+14,23.546
2454,1e+14,25.592
3030,1e+14,26.768
3655,1e+14,27.318
4331,1e+14,27.597
5060,1e+14,27.765
5844,1e+14,27.888
6685,1e+14,27.993
7585,1e+14,28.092
8546,1e+14,28.19
10000,1e+14,28.332
20000,1e+14,29.048
50000,1e+14,29.66
1e+05,1e+14,29.847
0.5,1e+15,2.5115e-05
1,1e+15,0.31156
1.5,1e+15,1.1197
2,1e+15,1.8336
5,1e+15,3.1113
7,1e+15,3.7583
10,1e+15,4.282
15,1e+15,5.0793
23,1e+15,6.0408
32,1e+15,6.9094
52,1e+15,8.3988
74,1e+15,9.6925
100,1e+15,10.832
165,1e+15,12.398
235,1e+15,14.391
310,1e+15,17.254
390,1e+15,18.772
475,1e+15,19.304
655,1e+15,19.736
845,1e+15,20.037
1000,1e+15,20.308
1441,1e+15,21.502
1925,1e+15,23.546
2454,1e+15,25.592
3030,1e+15,26.768
3655,1e+15,27.318
4331,1e+15,27.597
5060,1e+15,27.765
5844,1e+15,27.888
6685,1e+15,27.993
7585,1e+15,28.092
8546,1e+15,28.19
10000,1e+15,28.332
20000,1e+15,29.048
50000,1e+15,29.66
1e+05,1e+15,29.847
0.5,1e+16,1.5341e-05
1,1e+16,0.21549
1.5,1e+16,1.0235
2,1e+16,1.7742
5,1e+16,3.6483
7,1e+16,4.1193
10,1e+16,4.8439
15,1e+16,5.57
23,1e+16,6.454
32,1e+16,7.2231
52,1e+16,8.5806
74,1e+16,9.8031
100,1e+16,10.888
165,1e+16,12.417
235,1e+16,14.406
310,1e+16,17.261
390,1e+16,18.773
475,1e+16,19.304
655,1e+16,19.737
845,1e+16,20.037
1000,1e+16,20.308
1441,1e+16,21.502
1925,1e+16,23.546
2454,1e+16,25.592
3030,1e+16,26.768
3655,1e+16,27.318
4331,1e+16,27.597
5060,1e+16,27.765
5844,1e+16,27.888
6685,1e+16,27.993
7585,1e+16,28.092
8546,1e+16,28.19
10000,1e+16,28.332
20000,1e+16,29.048
50000,1e+16,29.66
1e+05,1e+16,29.847
0.5,1e+17,1.2612e-05
1,1e+17,0.16947
1.5,1e+17,0.89766
2,1e+17,1.412
5,1e+17,3.867
7,1e+17,4.5782
10,1e+17,5.3842
15,1e+17,6.312
23,1e+17,7.2608
32,1e+17,8.0453
52,1e+17,9.3103
74,1e+17,10.386
100,1e+17,11.231
165,1e+17,12.571
235,1e+17,14.539
310,1e+17,17.313
390,1e+17,18.783
475,1e+17,19.307
655,1e+17,19.738
845,1e+17,20.038
1000,1e+17,20.309
1441,1e+17,21.504
1925,1e+17,23.548
2454,1e+17,25.59
3030,1e+17,26.765
3655,1e+17,27.316
4331,1e+17,27.595
5060,1e+17,27.764
5844,1e+17,27.888
6685,1e+17,27.992
7585,1e+17,28.092
8546,1e+17,28.19
10000,1e+17,28.332
20000,1e+17,29.048
50000,1e+17,29.66
1e+05,1e+17,29.847
0.5,1e+18,5.4054e-06
1,1e+18,0.062351
1.5,1e+18,0.65581
2,1e+18,0.98705
5,1e+18,3.6859
7,1e+18,4.6322
10,1e+18,5.7204
15,1e+18,6.9883
23,1e+18,8.2713
32,1e+18,9.2229
52,1e+18,10.698
74,1e+18,11.503
100,1e+18,12.016
165,1e+18,13.39
235,1e+18,15.352
310,1e+18,17.658
390,1e+18,18.857
475,1e+18,19.329
655,1e+18,19.745
845,1e+18,20.045
1000,1e+18,20.318
1441,1e+18,21.52
1925,1e+18,23.555
2454,1e+18,25.57
3030,1e+18,26.739
3655,1e+18,27.297
4331,1e+18,27.583
5060,1e+18,27.757
5844,1e+18,27.883
6685,1e+18,27.99
7585,1e+18,28.091
8546,1e+18,28.189
10000,1e+18,28.333
20000,1e+18,29.049
50000,1e+18,29.66
1e+05,1e+18,29.848
0.5,1e+19,1.4149e-06
1,1e+19,0.011086
1.5,1e+19,0.22112
2,1e+19,0.60129
5,1e+19,2.8966
7,1e+19,4.0258
10,1e+19,5.3989
15,1e+19,7.1109
23,1e+19,8.9603
32,1e+19,10.389
52,1e+19,11.87
74,1e+19,12.534
100,1e+19,13.508
165,1e+19,15.61
235,1e+19,17.344
310,1e+19,18.552
390,1e+19,19.147
475,1e+19,19.453
655,1e+19,19.805
845,1e+19,20.109
1000,1e+19,20.399
1441,1e+19,21.666
1925,1e+19,23.665
2454,1e+19,25.543
3030,1e+19,26.665
3655,1e+19,27.234
4331,1e+19,27.539
5060,1e+19,27.727
5844,1e+19,27.864
6685,1e+19,27.978
7585,1e+19,28.084
8546,1e+19,28.186
10000,1e+19,28.333
20000,1e+19,29.053
50000,1e+19,29.662
1e+05,1e+19,29.848
0.5,1e+20,7.7008e-07
1,1e+20,0.0024971
1.5,1e+20,0.04643
2,1e+20,0.19628
5,1e+20,1.7511
7,1e+20,2.9013
10,1e+20,4.3023
15,1e+20,6.1785
23,1e+20,8.5796
32,1e+20,10.594
52,1e+20,12.363
74,1e+20,14.198
100,1e+20,15.885
165,1e+20,18.076
235,1e+20,18.984
310,1e+20,19.38
390,1e+20,19.603
475,1e+20,19.774
655,1e+20,20.117
845,1e+20,20.561
1000,1e+20,21.01
1441,1e+20,22.621
1925,1e+20,24.448
2454,1e+20,25.901
3030,1e+20,26.78
3655,1e+20,27.264
4331,1e+20,27.543
5060,1e+20,27.726
5844,1e+20,27.863
6685,1e+20,27.978
7585,1e+20,28.086
8546,1e+20,28.191
10000,1e+20,28.34
20000,1e+20,29.061
50000,1e+20,29.664
1e+05,1e+20,29.849
0.5,1e+21,3.1241e-06
1,1e+21,0.0015098
1.5,1e+21,0.015605
2,1e+21,0.056751
5,1e+21,1.0481
7,1e+21,1.8898
10,1e+21,3.073
15,1e+21,4.7529
23,1e+21,7.0026
32,1e+21,9.1295
52,1e+21,11.91
74,1e+21,14.703
100,1e+21,16.965
165,1e+21,19.091
235,1e+21,19.638
310,1e+21,19.936
390,1e+21,20.273
475,1e+21,20.673
655,1e+21,21.581
845,1e+21,22.524
1000,1e+21,23.242
1441,1e+21,24.894
1925,1e+21,26.067
2454,1e+21,26.812
3030,1e+21,27.253
3655,1e+21,27.516
4331,1e+21,27.689
5060,1e+21,27.819
5844,1e+21,27.929
6685,1e+21,28.029
7585,1e+21,28.13
8546,1e+21,28.231
10000,1e+21,28.377
20000,1e+21,29.085
50000,1e+21,29.67
1e+05,1e+21,29.851
0.5,1e+22,0.00098591
1,1e+22,0.0081804
1.5,1e+22,0.021658
2,1e+22,0.040506
5,1e+22,0.47171
7,1e+22,1.1239
10,1e+22,2.2968
15,1e+22,3.7687
23,1e+22,5.5701
32,1e+22,7.4061
52,1e+22,10.364
74,1e+22,12.595
100,1e+22,15.385
165,1e+22,18.601
235,1e+22,19.931
310,1e+22,21.072
390,1e+22,22.026
475,1e+22,22.854
655,1e+22,24.207
845,1e+22,25.217
1000,1e+22,25.811
1441,1e+22,26.839
1925,1e+22,27.343
2454,1e+22,27.592
3030,1e+22,27.731
3655,1e+22,27.824
4331,1e+22,27.9
5060,1e+22,27.973
5844,1e+22,28.048
6685,1e+22,28.129
7585,1e+22,28.218
8546,1e+22,28.311
10000,1e+22,28.45
20000,1e+22,29.133
50000,1e+22,29.686
1e+05,1e+22,29.857
0.5,1e+23,2
1,1e+23,2.0047
1.5,1e+23,2.0481
2,1e+23,2.1589
5,1e+23,2.8801
7,1e+23,3.2615
10,1e+23,3.8336
15,1e+23,4.8548
23,1e+23,5.5377
32,1e+23,6.3637
52,1e+23,8.9674
74,1e+23,10.573
100,1e+23,12.615
165,1e+23,16.529
235,1e+23,18.924
310,1e+23,21.092
390,1e+23,22.737
475,1e+23,23.991
655,1e+23,25.597
845,1e+23,26.562
1000,1e+23,27.017
1441,1e+23,27.539
1925,1e+23,27.721
2454,1e+23,27.819
3030,1e+23,27.885
3655,1e+23,27.943
4331,1e+23,27.995
5060,1e+23,28.065
5844,1e+23,28.145
6685,1e+23,28.234
7585,1e+23,28.33
8546,1e+23,28.431
10000,1e+23,28.578
20000,1e+23,29.233
50000,1e+23,29.722
1e+05,1e+23,29.871
0.5,1e+24,6
1,1e+24,6
1.5,1e+24,6
2,1e+24,6.0002
5,1e+24,6.0178
7,1e+24,6.0547
10,1e+24,6.1431
15,1e+24,6.3516
23,1e+24,6.8007
32,1e+24,7.4281
52,1e+24,8.9807
74,1e+24,10.475
100,1e+24,11.958
165,1e+24,14.335
235,1e+24,16.163
310,1e+24,18.463
390,1e+24,20.908
475,1e+24,22.542
655,1e+24,24.752
845,1e+24,26.058
1000,1e+24,26.657
1441,1e+24,27.379
1925,1e+24,27.582
2454,1e+24,27.711
3030,1e+24,27.819
3655,1e+24,27.918
4331,1e+24,28.022
5060,1e+24,28.134
5844,1e+24,28.252
6685,1e+24,28.374
7585,1e+24,28.5
8546,1e+24,28.622
10000,1e+24,28.781
20000,1e+24,29.393
50000,1e+24,29.782
1e+05,1e+24,29.898
