"Te","ne","CS"
0.5,1e+12,0.010182
1,1e+12,1.028
1.5,1e+12,1.8033
2,1e+12,2.1087
5,1e+12,3.0008
7,1e+12,3.1089
10,1e+12,3.6092
15,1e+12,4.4841
23,1e+12,5.6085
32,1e+12,6.5717
52,1e+12,8.5386
74,1e+12,10.039
100,1e+12,10.592
165,1e+12,10.967
235,1e+12,11.354
310,1e+12,11.986
390,1e+12,12.868
475,1e+12,13.891
655,1e+12,16.11
845,1e+12,17.824
1000,1e+12,18.407
1441,1e+12,18.86
1925,1e+12,19.04
2454,1e+12,19.236
3030,1e+12,19.47
3655,1e+12,19.719
4331,1e+12,19.952
5060,1e+12,20.152
5844,1e+12,20.313
6685,1e+12,20.439
7585,1e+12,20.538
8546,1e+12,20.615
10000,1e+12,20.697
20000,1e+12,20.886
50000,1e+12,20.963
1e+05,1e+12,20.983
0.5,1e+13,0.012468
1,1e+13,1.1946
1.5,1e+13,1.9285
2,1e+13,2.149
5,1e+13,3.001
7,1e+13,3.1119
10,1e+13,3.6177
15,1e+13,4.4895
23,1e+13,5.6103
32,1e+13,6.5725
52,1e+13,8.539
74,1e+13,10.039
100,1e+13,10.592
165,1e+13,10.967
235,1e+13,11.354
310,1e+13,11.986
390,1e+13,12.868
475,1e+13,13.891
655,1e+13,16.111
845,1e+13,17.824
1000,1e+13,18.407
1441,1e+13,18.86
1925,1e+13,19.04
2454,1e+13,19.236
3030,1e+13,19.47
3655,1e+13,19.719
4331,1e+13,19.952
5060,1e+13,20.152
5844,1e+13,20.313
6685,1e+13,20.439
7585,1e+13,20.538
8546,1e+13,20.615
10000,1e+13,20.697
20000,1e+13,20.886
50000,1e+13,20.963
1e+05,1e+13,20.983
0.5,1e+14,0.062401
1,1e+14,1.767
1.5,1e+14,1.9996
2,1e+14,2.2855
5,1e+14,3.0023
7,1e+14,3.1406
10,1e+14,3.6934
15,1e+14,4.5378
23,1e+14,5.6261
32,1e+14,6.5797
52,1e+14,8.5417
74,1e+14,10.039
100,1e+14,10.593
165,1e+14,10.967
235,1e+14,11.354
310,1e+14,11.986
390,1e+14,12.868
475,1e+14,13.891
655,1e+14,16.111
845,1e+14,17.824
1000,1e+14,18.407
1441,1e+14,18.86
1925,1e+14,19.04
2454,1e+14,19.236
3030,1e+14,19.47
3655,1e+14,19.719
4331,1e+14,19.952
5060,1e+14,20.152
5844,1e+14,20.313
6685,1e+14,20.439
7585,1e+14,20.538
8546,1e+14,20.615
10000,1e+14,20.697
20000,1e+14,20.886
50000,1e+14,20.963
1e+05,1e+14,20.983
0.5,1e+15,0.31388
1,1e+15,1.8658
1.5,1e+15,2.0222
2,1e+15,2.6576
5,1e+15,3.0052
7,1e+15,3.2663
10,1e+15,3.9803
15,1e+15,4.7799
23,1e+15,5.7364
32,1e+15,6.6437
52,1e+15,8.5664
74,1e+15,10.045
100,1e+15,10.594
165,1e+15,10.967
235,1e+15,11.355
310,1e+15,11.987
390,1e+15,12.869
475,1e+15,13.891
655,1e+15,16.111
845,1e+15,17.824
1000,1e+15,18.407
1441,1e+15,18.86
1925,1e+15,19.04
2454,1e+15,19.236
3030,1e+15,19.47
3655,1e+15,19.719
4331,1e+15,19.952
5060,1e+15,20.152
5844,1e+15,20.313
6685,1e+15,20.439
7585,1e+15,20.538
8546,1e+15,20.615
10000,1e+15,20.697
20000,1e+15,20.886
50000,1e+15,20.963
1e+05,1e+15,20.983
0.5,1e+16,0.24074
1,1e+16,1.5816
1.5,1e+16,2.02
2,1e+16,2.729
5,1e+16,3.008
7,1e+16,3.4263
10,1e+16,4.3934
15,1e+16,5.2907
23,1e+16,6.1747
32,1e+16,7.0364
52,1e+16,8.7543
74,1e+16,10.092
100,1e+16,10.604
165,1e+16,10.97
235,1e+16,11.359
310,1e+16,11.993
390,1e+16,12.875
475,1e+16,13.897
655,1e+16,16.114
845,1e+16,17.826
1000,1e+16,18.407
1441,1e+16,18.86
1925,1e+16,19.041
2454,1e+16,19.237
3030,1e+16,19.471
3655,1e+16,19.72
4331,1e+16,19.953
5060,1e+16,20.153
5844,1e+16,20.313
6685,1e+16,20.439
7585,1e+16,20.538
8546,1e+16,20.615
10000,1e+16,20.697
20000,1e+16,20.886
50000,1e+16,20.963
1e+05,1e+16,20.983
0.5,1e+17,0.048233
1,1e+17,1.0225
1.5,1e+17,1.9094
2,1e+17,2.3511
5,1e+17,3.0102
7,1e+17,3.5605
10,1e+17,4.7427
15,1e+17,5.9531
23,1e+17,7.0875
32,1e+17,8.0584
52,1e+17,9.432
74,1e+17,10.329
100,1e+17,10.671
165,1e+17,10.996
235,1e+17,11.398
310,1e+17,12.049
390,1e+17,12.933
475,1e+17,13.944
655,1e+17,16.14
845,1e+17,17.835
1000,1e+17,18.411
1441,1e+17,18.861
1925,1e+17,19.042
2454,1e+17,19.239
3030,1e+17,19.474
3655,1e+17,19.723
4331,1e+17,19.956
5060,1e+17,20.155
5844,1e+17,20.315
6685,1e+17,20.441
7585,1e+17,20.539
8546,1e+17,20.616
10000,1e+17,20.698
20000,1e+17,20.886
50000,1e+17,20.963
1e+05,1e+17,20.983
0.5,1e+18,0.0069385
1,1e+18,0.45843
1.5,1e+18,1.3862
2,1e+18,1.8798
5,1e+18,2.9873
7,1e+18,3.5181
10,1e+18,4.8638
15,1e+18,6.3863
23,1e+18,8.132
32,1e+18,9.0881
52,1e+18,10.413
74,1e+18,10.738
100,1e+18,10.861
165,1e+18,11.161
235,1e+18,11.695
310,1e+18,12.456
390,1e+18,13.341
475,1e+18,14.283
655,1e+18,16.336
845,1e+18,17.906
1000,1e+18,18.438
1441,1e+18,18.866
1925,1e+18,19.046
2454,1e+18,19.245
3030,1e+18,19.481
3655,1e+18,19.731
4331,1e+18,19.963
5060,1e+18,20.161
5844,1e+18,20.32
6685,1e+18,20.445
7585,1e+18,20.543
8546,1e+18,20.618
10000,1e+18,20.7
20000,1e+18,20.887
50000,1e+18,20.963
1e+05,1e+18,20.983
0.5,1e+19,0.0014235
1,1e+19,0.10158
1.5,1e+19,0.4288
2,1e+19,1.0902
5,1e+19,2.8127
7,1e+19,3.1186
10,1e+19,4.4781
15,1e+19,6.3251
23,1e+19,8.4553
32,1e+19,9.5949
52,1e+19,10.803
74,1e+19,10.957
100,1e+19,11.135
165,1e+19,11.952
235,1e+19,12.895
310,1e+19,13.773
390,1e+19,14.61
475,1e+19,15.445
655,1e+19,17.14
845,1e+19,18.208
