"Te","ne","CS"
0.5,1e+12,0.02819
1,1e+12,1.5457
1.5,1e+12,1.9906
2,1e+12,1.9991
5,1e+12,2.3611
7,1e+12,2.9875
10,1e+12,3.7359
15,1e+12,4.6447
23,1e+12,5.693
32,1e+12,6.8454
52,1e+12,8.7858
74,1e+12,9.5704
100,1e+12,9.811
165,1e+12,10.184
235,1e+12,10.821
310,1e+12,11.779
390,1e+12,12.891
475,1e+12,14.074
655,1e+12,16.406
845,1e+12,17.442
1000,1e+12,17.71
1441,1e+12,17.965
1925,1e+12,18.161
2454,1e+12,18.413
3030,1e+12,18.695
3655,1e+12,18.962
4331,1e+12,19.186
5060,1e+12,19.358
5844,1e+12,19.49
6685,1e+12,19.589
7585,1e+12,19.664
8546,1e+12,19.721
10000,1e+12,19.78
20000,1e+12,19.917
50000,1e+12,19.972
1e+05,1e+12,19.988
0.5,1e+13,0.050915
1,1e+13,1.6793
1.5,1e+13,1.9938
2,1e+13,1.9993
5,1e+13,2.3944
7,1e+13,3.0166
10,1e+13,3.7513
15,1e+13,4.6494
23,1e+13,5.6946
32,1e+13,6.8463
52,1e+13,8.786
74,1e+13,9.5705
100,1e+13,9.811
165,1e+13,10.184
235,1e+13,10.821
310,1e+13,11.779
390,1e+13,12.891
475,1e+13,14.074
655,1e+13,16.406
845,1e+13,17.442
1000,1e+13,17.71
1441,1e+13,17.965
1925,1e+13,18.161
2454,1e+13,18.413
3030,1e+13,18.695
3655,1e+13,18.962
4331,1e+13,19.186
5060,1e+13,19.358
5844,1e+13,19.49
6685,1e+13,19.589
7585,1e+13,19.664
8546,1e+13,19.721
10000,1e+13,19.78
20000,1e+13,19.917
50000,1e+13,19.972
1e+05,1e+13,19.988
0.5,1e+14,0.34717
1,1e+14,1.9153
1.5,1e+14,1.9985
2,1e+14,1.9998
5,1e+14,2.5329
7,1e+14,3.1495
10,1e+14,3.8538
15,1e+14,4.6898
23,1e+14,5.7096
32,1e+14,6.854
52,1e+14,8.7878
74,1e+14,9.5708
100,1e+14,9.8111
165,1e+14,10.184
235,1e+14,10.821
310,1e+14,11.779
390,1e+14,12.892
475,1e+14,14.074
655,1e+14,16.406
845,1e+14,17.442
1000,1e+14,17.71
1441,1e+14,17.965
1925,1e+14,18.161
2454,1e+14,18.413
3030,1e+14,18.695
3655,1e+14,18.962
4331,1e+14,19.186
5060,1e+14,19.358
5844,1e+14,19.49
6685,1e+14,19.589
7585,1e+14,19.664
8546,1e+14,19.721
10000,1e+14,19.78
20000,1e+14,19.917
50000,1e+14,19.972
1e+05,1e+14,19.988
0.5,1e+15,0.64539
1,1e+15,1.9362
1.5,1e+15,1.9987
2,1e+15,1.9998
5,1e+15,2.6468
7,1e+15,3.4228
10,1e+15,4.1801
15,1e+15,4.8926
23,1e+15,5.8272
32,1e+15,6.9242
52,1e+15,8.8043
74,1e+15,9.5735
100,1e+15,9.812
165,1e+15,10.185
235,1e+15,10.822
310,1e+15,11.78
390,1e+15,12.893
475,1e+15,14.075
655,1e+15,16.406
845,1e+15,17.442
1000,1e+15,17.711
1441,1e+15,17.965
1925,1e+15,18.161
2454,1e+15,18.413
3030,1e+15,18.695
3655,1e+15,18.962
4331,1e+15,19.186
5060,1e+15,19.358
5844,1e+15,19.49
6685,1e+15,19.589
7585,1e+15,19.664
8546,1e+15,19.721
10000,1e+15,19.78
20000,1e+15,19.917
50000,1e+15,19.972
1e+05,1e+15,19.988
0.5,1e+16,0.39652
1,1e+16,1.7361
1.5,1e+16,1.9921
2,1e+16,1.9983
5,1e+16,2.7582
7,1e+16,3.684
10,1e+16,4.629
15,1e+16,5.3647
23,1e+16,6.377
32,1e+16,7.3221
52,1e+16,8.9291
74,1e+16,9.597
100,1e+16,9.8195
165,1e+16,10.191
235,1e+16,10.832
310,1e+16,11.791
390,1e+16,12.901
475,1e+16,14.081
655,1e+16,16.409
845,1e+16,17.443
1000,1e+16,17.711
1441,1e+16,17.966
1925,1e+16,18.162
2454,1e+16,18.414
3030,1e+16,18.696
3655,1e+16,18.963
4331,1e+16,19.186
5060,1e+16,19.359
5844,1e+16,19.49
6685,1e+16,19.589
7585,1e+16,19.664
8546,1e+16,19.721
10000,1e+16,19.78
20000,1e+16,19.917
50000,1e+16,19.972
1e+05,1e+16,19.988
0.5,1e+17,0.08031
1,1e+17,1.147
1.5,1e+17,1.9317
2,1e+17,1.9843
5,1e+17,2.7904
7,1e+17,3.8329
10,1e+17,4.9217
15,1e+17,6.0816
23,1e+17,7.3891
32,1e+17,8.1435
52,1e+17,9.3734
74,1e+17,9.7168
100,1e+17,9.8711
165,1e+17,10.246
235,1e+17,10.923
310,1e+17,11.887
390,1e+17,12.974
475,1e+17,14.132
655,1e+17,16.43
845,1e+17,17.448
1000,1e+17,17.713
1441,1e+17,17.967
1925,1e+17,18.163
2454,1e+17,18.416
3030,1e+17,18.698
3655,1e+17,18.965
4331,1e+17,19.188
5060,1e+17,19.361
5844,1e+17,19.492
6685,1e+17,19.59
7585,1e+17,19.665
8546,1e+17,19.722
10000,1e+17,19.781
20000,1e+17,19.917
50000,1e+17,19.972
1e+05,1e+17,19.988
0.5,1e+18,0.011629
1,1e+18,0.51629
1.5,1e+18,1.5069
2,1e+18,1.8627
5,1e+18,2.6085
7,1e+18,3.7606
10,1e+18,4.999
15,1e+18,6.6247
23,1e+18,8.0512
32,1e+18,9.0602
52,1e+18,9.8189
74,1e+18,9.9217
100,1e+18,10.04
165,1e+18,10.611
235,1e+18,11.484
310,1e+18,12.446
