"Te","ne","CS"
0.5,1e+12,0.1044
1,1e+12,0.99919
1.5,1e+12,1.0292
2,1e+12,1.3487
5,1e+12,2.6413
7,1e+12,3.279
10,1e+12,4.0676
15,1e+12,5.1808
23,1e+12,14.877
32,1e+12,14.989
52,1e+12,14.995
74,1e+12,15.008
100,1e+12,15.075
165,1e+12,15.913
235,1e+12,18.373
310,1e+12,20.733
390,1e+12,22.628
475,1e+12,24.328
655,1e+12,27.315
845,1e+12,29.42
1000,1e+12,31.243
1441,1e+12,43.027
1925,1e+12,46.358
2454,1e+12,46.801
3030,1e+12,47.038
3655,1e+12,47.291
4331,1e+12,47.653
5060,1e+12,48.258
5844,1e+12,49.328
6685,1e+12,51.131
7585,1e+12,53.624
8546,1e+12,56.298
10000,1e+12,59.435
20000,1e+12,65.157
50000,1e+12,69.618
1e+05,1e+12,71.615
0.5,1e+13,0.10798
1,1e+13,0.99967
1.5,1e+13,1.077
2,1e+13,1.5638
5,1e+13,2.7511
7,1e+13,3.3189
10,1e+13,4.0858
15,1e+13,5.1878
23,1e+13,14.878
32,1e+13,14.989
52,1e+13,14.995
74,1e+13,15.008
100,1e+13,15.075
165,1e+13,15.913
235,1e+13,18.373
310,1e+13,20.733
390,1e+13,22.628
475,1e+13,24.328
655,1e+13,27.315
845,1e+13,29.42
1000,1e+13,31.243
1441,1e+13,43.027
1925,1e+13,46.358
2454,1e+13,46.801
3030,1e+13,47.038
3655,1e+13,47.291
4331,1e+13,47.653
5060,1e+13,48.258
5844,1e+13,49.328
6685,1e+13,51.131
7585,1e+13,53.624
8546,1e+13,56.298
10000,1e+13,59.435
20000,1e+13,65.157
50000,1e+13,69.618
1e+05,1e+13,71.615
0.5,1e+14,0.11322
1,1e+14,1.0025
1.5,1e+14,1.3082
2,1e+14,1.8553
5,1e+14,3.002
7,1e+14,3.4925
10,1e+14,4.2092
15,1e+14,5.2467
23,1e+14,14.882
32,1e+14,14.989
52,1e+14,14.995
74,1e+14,15.008
100,1e+14,15.075
165,1e+14,15.914
235,1e+14,18.375
310,1e+14,20.733
390,1e+14,22.628
475,1e+14,24.328
655,1e+14,27.315
845,1e+14,29.42
1000,1e+14,31.243
1441,1e+14,43.027
1925,1e+14,46.358
2454,1e+14,46.801
3030,1e+14,47.038
3655,1e+14,47.291
4331,1e+14,47.653
5060,1e+14,48.258
5844,1e+14,49.328
6685,1e+14,51.131
7585,1e+14,53.624
8546,1e+14,56.298
10000,1e+14,59.435
20000,1e+14,65.157
50000,1e+14,69.618
1e+05,1e+14,71.615
0.5,1e+15,0.053826
1,1e+15,1.0098
1.5,1e+15,1.6226
2,1e+15,1.9939
5,1e+15,3.3307
7,1e+15,3.9433
10,1e+15,4.6323
15,1e+15,5.5519
23,1e+15,14.898
32,1e+15,14.989
52,1e+15,14.995
74,1e+15,15.008
100,1e+15,15.076
165,1e+15,15.923
235,1e+15,18.386
310,1e+15,20.737
390,1e+15,22.63
475,1e+15,24.329
655,1e+15,27.316
845,1e+15,29.421
1000,1e+15,31.243
1441,1e+15,43.027
1925,1e+15,46.359
2454,1e+15,46.801
3030,1e+15,47.038
3655,1e+15,47.291
4331,1e+15,47.653
5060,1e+15,48.258
5844,1e+15,49.329
6685,1e+15,51.131
7585,1e+15,53.624
8546,1e+15,56.298
10000,1e+15,59.435
20000,1e+15,65.157
50000,1e+15,69.618
1e+05,1e+15,71.615
0.5,1e+16,0.0082279
1,1e+16,1.0014
1.5,1e+16,1.4152
2,1e+16,2.0454
5,1e+16,3.9202
7,1e+16,4.5112
10,1e+16,5.3264
15,1e+16,6.3994
23,1e+16,14.908
32,1e+16,14.989
52,1e+16,14.995
74,1e+16,15.009
100,1e+16,15.08
165,1e+16,16.015
235,1e+16,18.491
310,1e+16,20.771
390,1e+16,22.645
475,1e+16,24.339
655,1e+16,27.32
845,1e+16,29.423
1000,1e+16,31.245
1441,1e+16,43.029
1925,1e+16,46.359
2454,1e+16,46.801
3030,1e+16,47.038
3655,1e+16,47.291
4331,1e+16,47.653
5060,1e+16,48.258
5844,1e+16,49.329
